Momentum Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NTOG-L,0.11250000000000004,-0.11111111111111116,-0.13978494623655913,-0.17525773195876293,-0.3220338983050848,-0.3939393939393939,-0.5833333333333333,-0.7231833910034602,-0.34426229508196726,-0.5031055900621118,-0.416058394160584,0.09589041095890405,0.012658227848101333,0.33333333333333326,0.06666666666666665,0.02564102564102555,-0.08045977011494254,-0.17525773195876293,-0.33333333333333337,-0.45578231292517,-0.5375722543352601,-0.550561797752809,-0.631336405529954,-0.6734693877551021,-0.7037037037037037,-0.8072289156626506,0.19402985074626855,0.45454545454545436,0.5384615384615385,0.5384615384615385,0.26984126984126977,0.7777777777777777,1.1621621621621623,0.7777777777777777,0.3793103448275863,0.06666666666666665,1.0,1.2857142857142856,0.26984126984126977,-0.5555555555555556,-0.5151515151515151,-0.6444444444444444,-0.6521739130434783,-0.6444444444444444,-0.6444444444444444,-0.7333333333333334,-0.7333333333333334,-0.7090909090909091,-0.7333333333333334
SWGS-L,-0.0399999999999997,-0.03846153846153855,-0.03846153846153855,0.0,-0.13793103448275867,-0.10714285714285732,-0.03846153846153855,-0.10714285714285732,-0.26470588235294124,-0.4565217391304348,-0.4565217391304348,-0.4565217391304348,-0.8106060606060607,-0.8046875,-0.8134328358208955,-0.7983870967741936,-0.7983870967741936,-0.7641509433962265,-0.7641509433962265,-0.7448979591836735,-0.7767857142857143,-0.7685185185185186,-0.7282608695652174,-0.7159090909090909,-0.7282608695652174,-0.75,-0.7282608695652174,-0.7222222222222223,-0.7767857142857143,-0.6093750000000001,-0.3750000000000001,-0.46808510638297873,-0.8263888888888888,-0.8161764705882353,-0.7983870967741936,-0.788135593220339,-0.788135593220339,-0.7058823529411765,-0.7916666666666667,-0.8626373626373627,-0.9338624338624338,-0.9338624338624338,-0.9338624338624338,-0.9338624338624338,-0.9338624338624338,-0.9338624338624338,-0.9410377358490566,-0.9399038461538461,-0.930939226519337
ANEA-L,0.06866614048934494,-0.02538461538461534,0.0015810276679841806,-0.10141843971631204,-0.10269121813031157,-0.13633265167007502,-0.18782051282051282,-0.16945263847918712,-0.07518248175182485,-0.1201388888888889,-0.12135922330097082,-0.15533333333333332,0.10173913043478255,0.06291946308724827,0.07555178268251272,0.11140350877192984,0.0558333333333334,0.21012416427889202,0.2277131782945736,0.24215686274509807,0.36972972972972973,0.4077777777777778,0.6181353767560664,0.6562091503267973,0.6671052631578946,0.6562091503267973,0.7920792079207921,0.823021582733813,0.8756476683937824,0.8509861212563916,0.7845070422535212,0.7356164383561643,1.2228070175438597,1.6395833333333334,1.6395833333333334,1.1402027027027026,1.4601941747572815,1.6729957805907172,0.605830164765526,0.2994871794871794,0.17860465116279078,0.09696969696969693,0.06470588235294117,0.05936454849498318,0.013600000000000056,-0.02538461538461534,0.1623853211009174,0.3999999999999999,0.5937106918238995
CPI-L,0.030134813639968394,-0.11756473058082595,-0.11322081575246135,-0.119413407821229,-0.12673130193905813,-0.12064156206415644,-0.12914364640883969,-0.13807245386192746,-0.147396889790399,-0.17365661861074722,-0.07074428887251294,-0.1144662921348315,-0.02323780015491861,-0.1801040312093628,-0.1998730964467006,-0.14042263122017717,-0.1392491467576793,-0.13866120218579236,-0.19166666666666654,-0.22160493827160488,-0.18645161290322576,-0.12733564013840837,-0.12733564013840837,-0.1604527296937418,-0.12914364640883969,-0.17148488830486197,-0.11756473058082595,-0.05895522388059715,-0.05116629044394272,-0.12002791346824848,-0.13570938999314597,-0.07754206291148502,-0.06937269372693744,-0.02020202020202011,-0.06035767511177337,-0.1637931034482758,-0.04324734446130518,-0.03666921313980165,-0.09864188706218724,-0.121866295264624,-0.09280575539568348,-0.05259203606311058,-0.04469696969696968,-0.05116629044394272,-0.05895522388059715,-0.038871951219512146,-0.034456355283307816,-0.08424110384894712,-0.135116598079561
KWG-L,-0.33333333333333337,0.0,-0.2941176470588235,-0.52,-0.52,-0.6363636363636364,-0.6842105263157895,-0.6842105263157895,-0.7142857142857143,-0.6923076923076923,-0.7209302325581395,-0.5714285714285714,-0.5384615384615384,-0.6,-0.6470588235294117,-0.6470588235294117,-0.6470588235294117,-0.5714285714285714,-0.5714285714285714,-0.4545454545454545,-0.4545454545454545,-0.5384615384615384,-0.5384615384615384,-0.5,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,-0.1428571428571429,-0.1428571428571429,0.0,-0.4,-0.75,-0.8571428571428572,-0.8333333333333334,-0.90625,-0.9361702127659575,-0.94,-0.94,-0.9423076923076923,-0.9423076923076923,-0.9423076923076923,-0.9423076923076923
BKIRx-L,1.3529411764705883,-0.23163841807909602,-0.05555555555555558,-0.17575757575757578,-0.29166666666666663,-0.2272727272727273,0.3600000000000001,-0.47892720306513414,-0.3873873873873874,-0.5036496350364963,-0.5,-0.49629629629629635,-0.49629629629629635,-0.6666666666666667,-0.675417661097852,-0.7037037037037037,-0.6923076923076923,-0.6829836829836831,-0.6822429906542056,-0.7230142566191446,-0.6887871853546911,-0.6822429906542056,-0.6894977168949772,-0.6222222222222222,-0.5840978593272171,-0.5244755244755245,-0.5125448028673836,-0.5211267605633803,-0.5,-0.4426229508196722,-0.5763239875389408,-0.423728813559322,-0.1707317073170732,-0.31999999999999995,-0.4769230769230769,-0.6799999999999999,-0.6991150442477876,-0.5903614457831325,-0.6746411483253589,-0.7424242424242424,-0.7424242424242424,-0.7888198757763976,-0.8,-0.7933130699088146,-0.7914110429447853,-0.8032549728752261,-0.8092566619915849,-0.8014598540145985,-0.7974683544303798
LLOY-L,0.12666666666666648,-0.2146596858638743,-0.28261844268420255,-0.32707135847469504,-0.41733430444282593,-0.5276520370005904,-0.5200959808038392,-0.5922528032619776,-0.6065573770491803,-0.6113360323886639,-0.6275027161260283,-0.6462264150943395,-0.6252927400468383,-0.6551724137931034,-0.673469387755102,-0.6642417459429211,-0.6686913307564881,-0.5403179467534955,-0.5819543633513324,-0.6080992815153494,-0.6259351620947631,-0.5224830879426978,-0.546313799621928,-0.5407577497129735,-0.5567048393055042,-0.5759664122995183,-0.6367746149900135,-0.6600051414532502,-0.5772099125567044,-0.47189956110562714,-0.5028571730408145,-0.5585751292665977,-0.31858921362843795,-0.02064441634856473,-0.4514720427167699,-0.6278448782124546,-0.6906639013274879,-0.7554086661659206,-0.8064793366704763,-0.8426661273743711,-0.8387327805587304,-0.8392685520518907,-0.8717556903051533,-0.8876838866340548,-0.8992604563615182,-0.8911582320981307,-0.8904806659142481,-0.8968439960930045,-0.9014158617781337
HSX-L,-0.014675592173017504,0.03573333333333317,0.04156610351300616,0.08826001681143181,-0.014213197969543345,-0.06970059880239521,-0.06880843922320812,-0.05498783454987832,-0.002311841767275169,0.019422572178477537,0.016753926701570387,-0.002824133504492954,0.09624611910810033,0.09254571026722891,0.10781517398745,0.061202185792349484,0.09779536461277516,0.15560844986611122,0.1484328799526906,0.16287425149700585,0.13800175798417813,0.08340306834030664,0.13401459854014575,0.20583669667805027,0.2577720207253884,0.2137500000000001,0.12124711316397208,0.15560844986611122,0.2651465798045598,0.3267292912040993,0.231061806656101,0.16899924755455253,0.24487179487179467,0.38838248436103684,0.2818481848184813,0.1423529411764708,0.2892946058091286,0.4924111431316043,0.6388185654008434,0.5788617886178864,0.8854368932038834,0.9444305381727149,0.6440211640211642,0.536696340257171,0.5629778672032195,0.4519626168224298,0.36760563380281663,0.3712268314210061,0.47121212121212075
LIO-L,-0.058064516129032295,0.29166666666666674,0.13970588235294112,0.004862236628849326,0.06164383561643838,-0.028213166144200663,-0.0662650602409639,-0.07185628742514971,-0.0662650602409639,-0.08284023668639051,-0.10404624277456642,-0.10144927536231885,-0.14364640883977897,-0.11174785100286533,-0.1460055096418733,-0.11428571428571432,0.07638888888888884,0.019736842105263053,-0.12429378531073443,-0.22305764411027573,-0.23267326732673266,-0.28240740740740744,-0.33476394849785407,-0.24574209245742096,-0.24019607843137258,-0.4049904030710173,-0.3141592920353983,-0.3080357142857143,-0.3080357142857143,-0.2723004694835681,-0.2364532019704434,-0.2723004694835681,-0.14835164835164838,-0.07738095238095233,-0.10919540229885061,-0.28899082568807344,-0.34460887949260044,-0.30180180180180183,-0.5915678524374177,-0.693069306930693,-0.697265625,-0.69,-0.7589424572317263,-0.697265625,-0.6770833333333333,-0.7102803738317758,-0.7381756756756757,-0.7683109118086696,-0.7651515151515151
OXB-L,-0.3168016194331985,-0.03137254901960773,-0.08518518518518503,-0.1648351648351647,-0.29978738483345135,-0.24580152671755717,-0.14827586206896537,-0.16271186440677954,-0.14680483592400684,-0.24809741248097406,-0.11469534050179198,-0.12566371681415922,-0.40787674477387703,-0.470996482640621,-0.44567184617128897,-0.47366821757677946,-0.470996482640621,-0.5152851492102435,-0.47893153540101174,-0.44567184617128897,-0.4273972916494634,-0.5152851492102435,-0.5468969873052276,-0.5657762795008431,-0.5468969873052276,-0.646733244339669,-0.5152851492102435,-0.5565374769370313,-0.5263013958191015,-0.5565374769370313,-0.49164052234245037,-0.5152851492102435,-0.11533367640239689,-0.1729071990492248,-0.22228587373285325,-0.2556164791443024,-0.13155255900168616,-0.2812848764151886,-0.27629379916807184,-0.503744319429535,-0.37894104338618795,-0.7394657677005059,-0.7782687384685156,-0.7995890520773121,-0.7631506979095508,-0.7995890520773121,-0.7257534396847429,-0.7995890520773121,-0.7658119260229266
