Date,1,2,3,4,5,6,7,8
1990-10.csv,FBR.L^H05,,,,,,,
1990-12.csv,SCO.L^K93,BUAN.L^H92,,,,,,
1991-09.csv,SBSC.L^I16,,,,,,,
1991-10.csv,SBSC.L^I16,,,,,,,
1991-11.csv,SBSC.L^I16,GWR.L^A97,,,,,,
1991-12.csv,SBSC.L^I16,,,,,,,
1992-01.csv,SBSC.L^I16,,,,,,,
1992-02.csv,RNWH.L,LEP.L^L95,,,,,,
1992-04.csv,PPT.L^I01,,,,,,,
1992-05.csv,PPT.L^I01,MTM.L^D00,,,,,,
1992-10.csv,CKFL.L^J92,LEP.L^L95,RGAL.L^F01,,,,,
1993-03.csv,FBR.L^H05,,,,,,,
1993-04.csv,FBR.L^H05,,,,,,,
1993-05.csv,RGLN.L^J00,FBR.L^H05,,,,,,
1993-06.csv,RGLN.L^J00,FBR.L^H05,,,,,,
1993-07.csv,RGLN.L^J00,FBR.L^H05,,,,,,
1993-08.csv,RGLN.L^J00,,,,,,,
1993-09.csv,RGLN.L^J00,,,,,,,
1994-12.csv,HLR.L^H03,,,,,,,
1996-11.csv,BUV.L^D97,TYA.L^D97,,,,,,
1996-12.csv,BUV.L^D97,TYA.L^D97,,,,,,
1997-01.csv,BUV.L^D97,TYA.L^D97,,,,,,
1997-02.csv,BUV.L^D97,TYA.L^D97,,,,,,
1997-03.csv,BUV.L^D97,TYA.L^D97,,,,,,
1997-06.csv,SNLG.L^F99,,,,,,,
1997-07.csv,SNLG.L^F99,,,,,,,
1997-08.csv,SNLG.L^F99,,,,,,,
1997-09.csv,SNLG.L^F99,,,,,,,
1997-10.csv,SNLG.L^F99,,,,,,,
1997-12.csv,SIG.L^C16,,,,,,,
1998-01.csv,SIG.L^C16,,,,,,,
1998-02.csv,SIG.L^C16,,,,,,,
2000-06.csv,ACRM.L,,,,,,,
2000-07.csv,ACRM.L,,,,,,,
2000-08.csv,ACRM.L,,,,,,,
2000-09.csv,ICS.L^I00,ACRM.L,,,,,,
2000-10.csv,ACRM.L,,,,,,,
2001-05.csv,DNIC.L^F07,,,,,,,
2001-08.csv,COEG.L^I10,,,,,,,
2001-09.csv,COEG.L^I10,,,,,,,
2001-10.csv,TOME.L,PSQP.L^A12,CED.L^C02,,,,,
2001-11.csv,COLT.L^I15,TOME.L,FII.L^J14,COEG.L^I10,CED.L^C02,TFC.L^G10,,
2001-12.csv,PHB.L^H02,JSG.L,FII.L^J14,CED.L^C02,,,,
2002-01.csv,JSG.L,FII.L^J14,CED.L^C02,,,,,
2002-02.csv,FII.L^J14,CED.L^C02,,,,,,
2002-03.csv,FII.L^J14,,,,,,,
2002-08.csv,LIF.L^K02,BEK.L^G11,,,,,,
2002-09.csv,LIF.L^K02,GOH.L^J04,BEK.L^G11,,,,,
2002-10.csv,BFSi.L^I05,LIF.L^K02,GOH.L^J04,BFS.L^I05,,,,
2002-11.csv,BFSi.L^I05,BGY.L^J04,ATKW.L^G17,LIF.L^K02,GOH.L^J04,BFS.L^I05,,
2002-12.csv,BGY.L^J04,,,,,,,
2003-01.csv,IKK.L^K17,BGY.L^J04,,,,,,
2003-02.csv,BGY.L^J04,,,,,,,
2004-07.csv,HNL.L^G04,,,,,,,
2004-08.csv,GEE.L^G05,,,,,,,
2004-09.csv,GEE.L^G05,TTL.L^I05,,,,,,
2004-10.csv,GEE.L^G05,,,,,,,
2004-11.csv,GEE.L^G05,SSNi.L^J05,,,,,,
2004-12.csv,GEE.L^G05,SSNi.L^J05,,,,,,
2005-01.csv,SSNi.L^J05,BFG.L^K06,,,,,,
2005-02.csv,SSNi.L^J05,BFG.L^K06,,,,,,
2005-03.csv,SSNi.L^J05,BFG.L^K06,,,,,,
2005-04.csv,BFG.L^K06,,,,,,,
2005-05.csv,PAAC.L^H07,BFG.L^K06,,,,,,
2005-06.csv,PAAC.L^H07,,,,,,,
2005-07.csv,IKK.L^K17,,,,,,,
2005-08.csv,IKK.L^K17,,,,,,,
2005-09.csv,BFSi.L^I05,IKK.L^K17,BFS.L^I05,,,,,
2005-10.csv,IKK.L^K17,,,,,,,
2005-11.csv,IKK.L^K17,,,,,,,
2007-08.csv,OVD.L^L08,,,,,,,
2007-09.csv,OVD.L^L08,,,,,,,
2007-10.csv,OVD.L^L08,,,,,,,
2007-11.csv,OVD.L^L08,,,,,,,
2007-12.csv,OVD.L^L08,9020q.L^J08,,,,,,
2008-01.csv,ERGP.L^J14,9020q.L^J08,,,,,,
2008-02.csv,6703q.L^J08,ERGP.L^J14,9020q.L^J08,,,,,
2008-03.csv,6703q.L^J08,ERGP.L^J14,9020q.L^J08,,,,,
2008-04.csv,6703q.L^J08,9020q.L^J08,EIDE.L^D09,,,,,
2008-05.csv,6703q.L^J08,9020q.L^J08,LSB.L^L08,,,,,
2008-06.csv,6703q.L^J08,9020q.L^J08,,,,,,
2008-07.csv,TAN.L,,,,,,,
2008-08.csv,TAN.L,,,,,,,
2008-09.csv,TAN.L,,,,,,,
2008-10.csv,TAN.L,,,,,,,
2008-11.csv,CORV.L^K08,ATIA.L^H15,NNG.L^C09,CAN.L^L10,,,,
2008-12.csv,ACU.L^F15,ATIA.L^H15,ENK.L^J12,ECRE.L,EXP.L^B09,,,
2009-01.csv,OBPq.L^I11,ASA.L^K17,GCM.L,FMLq.L^C15,COC.L^H09,EXP.L^B09,CFM.L^L09,
2009-02.csv,OBPq.L^I11,ACU.L^F15,OIL.L^L15,JJB.L^K12,FMLq.L^C15,COC.L^H09,EXP.L^B09,CFM.L^L09
2009-03.csv,OIL.L^L15,COC.L^H09,,,,,,
2009-04.csv,OIL.L^L15,LEND.L,,,,,,
2009-05.csv,CDI.L^E18,LEND.L,,,,,,
2009-07.csv,CTNO.L^H09,,,,,,,
2009-08.csv,CTNO.L^H09,,,,,,,
2009-09.csv,LTW.L^B10,,,,,,,
2010-05.csv,TERNT.L,INC.L^E15,,,,,,
2010-06.csv,TERNT.L,INC.L^E15,,,,,,
2010-07.csv,TERNT.L,INC.L^E15,VTS.L^G10,,,,,
2010-08.csv,TERNT.L,INC.L^E15,DAV.L^K11,,,,,
2010-09.csv,INC.L^E15,,,,,,,
2011-04.csv,GAST.L^D11,,,,,,,
2011-07.csv,IPM.L^I11,ASTO.L,,,,,,
2011-08.csv,IPM.L^I11,,,,,,,
2011-09.csv,NDCM.L^C14,,,,,,,
2011-10.csv,SCHE.L^G14,NDCM.L^C14,LDP.L^H16,HLO.L^F13,,,,
2011-11.csv,SCHE.L^G14,NDCM.L^C14,LDP.L^H16,HLO.L^F13,,,,
2011-12.csv,SCHE.L^G14,NDCM.L^C14,HLO.L^F13,,,,,
2012-01.csv,SCHE.L^G14,NDCM.L^C14,CSLT.L^B13,HLO.L^F13,,,,
2012-02.csv,SIPP.L^J17,SCHE.L^G14,HLO.L^F13,,,,,
2012-03.csv,SIPP.L^J17,,,,,,,
2012-07.csv,PIRI.L,KZG.L,,,,,,
2012-08.csv,PIRI.L,VELA.L,KZG.L,RBDR.L,,,,
2012-09.csv,PIRI.L,VELA.L,JJB.L^K12,AAT.L^K12,RBDR.L,,,
2012-10.csv,GMRG.L,RBDR.L,,,,,,
2013-02.csv,PHEG.L,,,,,,,
2013-03.csv,PHEG.L,,,,,,,
2013-04.csv,ADAA.L,,,,,,,
2013-05.csv,ADAA.L,PHRM.L^E16,,,,,,
2013-06.csv,ADAA.L,IRFE.L^A21,PHRM.L^E16,LKOH.L^F22,,,,
2013-07.csv,ADAA.L,IRFE.L^A21,LKOH.L^F22,,,,,
2013-08.csv,ADAA.L,,,,,,,
2013-09.csv,TRICR.L^J17,,,,,,,
2013-12.csv,EMTE.L^E15,,,,,,,
2014-01.csv,EMTE.L^E15,,,,,,,
2014-02.csv,EMTE.L^E15,,,,,,,
2014-03.csv,BCEB.L,,,,,,,
2014-04.csv,JAIx.L^E14,,,,,,,
2014-11.csv,ENDV.L^K21,,,,,,,
2014-12.csv,ENDV.L^K21,,,,,,,
2015-01.csv,IRFE.L^A21,ENDV.L^K21,,,,,,
2015-02.csv,IRFE.L^A21,ENDV.L^K21,,,,,,
2015-03.csv,IRFE.L^A21,,,,,,,
2015-04.csv,ALEG.L^E15,,,,,,,
2015-05.csv,PTV.L^C16,,,,,,,
2015-09.csv,0QY1.L^A17,,,,,,,
2015-10.csv,0QY1.L^A17,0MMD.L^B17,,,,,,
2015-11.csv,0QY1.L^A17,PTV.L^C16,0MMD.L^B17,,,,,
2015-12.csv,0QY1.L^A17,0MMD.L^B17,,,,,,
2016-01.csv,0QY1.L^A17,ZOX.L^E17,MTVE.L^C16,0NVD.L^F17,PTV.L^C16,0MMD.L^B17,,
2016-02.csv,ZOX.L^E17,MTVE.L^C16,0NVD.L^F17,0MMD.L^B17,,,,
2016-03.csv,ALPHA.L^G18,ZOX.L^E17,0NVD.L^F17,,,,,
2016-04.csv,ZOX.L^E17,0NVD.L^F17,,,,,,
2016-05.csv,0Q4Z.L^D21,0I1W.L^A17,0B5W.L^B22,0NVD.L^F17,,,,
2016-06.csv,0Q4Z.L^D21,0I1W.L^A17,0B5W.L^B22,ZZZ.L^L17,,,,
2016-07.csv,0Q4Z.L^D21,0I1W.L^A17,0B5W.L^B22,,,,,
2016-08.csv,0Q4Z.L^D21,0I1W.L^A17,0B5W.L^B22,0J5Y.L^D20,,,,
2016-09.csv,0Q4Z.L^D21,0I1W.L^A17,0B5W.L^B22,,,,,
2017-04.csv,0KLP.L^K19,,,,,,,
2017-05.csv,0KLP.L^K19,,,,,,,
2017-08.csv,AOGL.L^L20,,,,,,,
2017-12.csv,BIDS.L,PCA.L,APTD.L,,,,,
2018-01.csv,BIDS.L,PCA.L,ATSS.L^F18,0GPE.L^G18,UZS.L^L18,APTD.L,,
2018-02.csv,BIDS.L,UZS.L^L18,0QV8.L^I19,,,,,
2018-03.csv,BIDS.L,UZS.L^L18,,,,,,
2018-04.csv,BIDS.L,UZS.L^L18,,,,,,
2018-05.csv,0FPQ.L^E23,UZS.L^L18,,,,,,
2018-06.csv,FLOWF.L^L18,WETI.L^I18,,,,,,
2018-07.csv,FLOWF.L^L18,OCV3.L^I18,OCV4.L^I18,,,,,
2018-08.csv,OCV3.L^I18,OCV4.L^I18,,,,,,
2018-09.csv,OCV3.L^I18,OCV4.L^I18,,,,,,
2018-12.csv,VNLq.L^H19,,,,,,,
2019-01.csv,VNLq.L^H19,,,,,,,
2019-02.csv,BOUB.L^D20,VNLq.L^H19,,,,,,
2019-03.csv,NSCI.L,BOUB.L^D20,VNLq.L^H19,FLYB.L^C19,,,,
2019-04.csv,CABC.L^L19,VNLq.L^H19,,,,,,
2019-05.csv,CABC.L^L19,0M98.L^K19,0QWS.L^K19,,,,,
2019-06.csv,0QWS.L^K19,,,,,,,
2019-07.csv,0QWS.L^K19,,,,,,,
2019-10.csv,D4OA.L^K19,,,,,,,
2019-11.csv,D4OA.L^K19,MTFB.L^F21,,,,,,
2020-02.csv,CBUY.L^B20,,,,,,,
2020-03.csv,PERE.L^G23,,,,,,,
2020-04.csv,PERE.L^G23,,,,,,,
2020-05.csv,TLW.L,FCCN.L^K21,BWNG.L,PERE.L^G23,,,,
2020-11.csv,AVGRq.L,,,,,,,
2021-07.csv,SIGB.L^K21,,,,,,,
2021-08.csv,SIGB.L^K21,,,,,,,
2021-09.csv,SIGB.L^K21,,,,,,,
2021-10.csv,SIGB.L^K21,,,,,,,
2022-02.csv,BCEB.L,,,,,,,
2022-03.csv,BCEB.L,TCSq.L,CEG.L,,,,,
2022-04.csv,BCEB.L,ODX.L,TCSq.L,,,,,
2022-05.csv,BCEB.L,TCSq.L,0JHD.L^C23,,,,,
2022-06.csv,BCEB.L,TCSq.L,0JHD.L^C23,MCLSM.L,,,,
2022-07.csv,TCSq.L,0JHD.L^C23,,,,,,
2022-08.csv,0JHD.L^C23,,,,,,,
2022-09.csv,0W6K.L,0JHD.L^C23,,,,,,
2022-12.csv,CATC.L,,,,,,,
