,BABJ-L^I00
441,BABJ-L^I00
0,BBMG-L^B01
1,BBNH-L^L97
491,BCPS-L^C06
2,BCQE-L^A14
3,BCYN-L
4,BCZB-L
5,BDAJ-L
6,BDCK-L^L08
7,BDFF-L^C99
8,BDLO-L
9,BFQK-L
509,BFUA-L^C99
10,BFUG-L^I04
11,BHDY-L
510,BIIM-L
12,BJFG-L^J99
442,BJZW-L
13,BLNV-L^F19
511,BLRE-L^E01
14,BQMM-L^C11
15,BTDH-L^B13
16,BTXX-L^G04
17,CWV-L^I06
18,DLY-L^F16
19,DOQX-L^J16
20,DPXL-L
443,DQVU-L^I15
21,DQYN-L
22,DRMJ-L^I10
512,DRRP-L^J99
23,FGW-L^J98
24,FRYL-L^L96
25,FRYP-L^G05
444,FRZE-L^H02
26,FRZJ-L
27,FRZT-L
513,FRZW-L^H07
28,FRZZ-L^G01
514,FSBF-L^C05
29,FSBO-L
30,FSCA-L^F98
31,FSCG-L^A05
492,FSCH-L^F18
32,FSCO-L^A08
33,FSCZ-L^D05
34,FSDG-L^J21
35,FSDJ-L
515,FSDR-L^B98
36,FSDV-L^F19
37,FSET-L
445,FSFL-L^I98
38,FSFM-L
423,FSFV-L^B05
39,FSFX-L^K04
446,FSFY-L^H12
40,FSHC-L
41,FSHK-L
42,FSHO-L^A07
516,FSHU-L
43,FSIY-L
44,FSJK-L
45,FSKE-L
46,FSLE-L
47,FSLV-L^J11
48,FSMD-L^J17
49,FSME-L^G03
50,FSMU-L^L09
51,FSNB-L^G02
52,FSNE-L
53,FSNF-L^K04
447,FSNP-L
54,FSOF-L
55,FSOP-L^I11
517,FSPP-L^J97
56,FSQE-L^E07
57,FSQU-L^L06
58,FSRC-L^I04
59,FSRL-L^A01
60,FSSF-L^H00
518,FSSW-L^E00
519,FSTC-L^B00
61,FSUX-L^C11
62,FSVE-L^L05
63,FSVT-L
64,FSWD-L^I15
65,FSXF-L^G00
66,FSXN-L
67,FSXR-L^A06
68,FSYE-L
69,FSYG-L^K08
70,FSZD-L^D15
71,FTAE-L
72,FTAG-L
73,FTAK-L
74,FTBY-L
75,FTCD-L^B00
76,FTFK-L
77,FTFY-L^J09
78,FTGH-L^B03
560,FTGM-L^B22
79,FTHF-L
80,FTHX-L^E20
81,FTIC-L^B14
82,FTJC-L^I07
83,FTJE-L
84,FTJI-L^H03
85,FTJJ-L^H12
86,FTJK-L
87,FTJV-L^E05
88,FTKA-L^K01
561,FTKK-L^H01
89,FTMA-L^K03
90,FTMP-L^C19
91,FTMQ-L
448,FTMS-L
92,FTNV-L
93,FTOE-L^L06
493,FTOF-L^J97
94,FTOQ-L^A05
95,FTPI-L
96,FTQG-L^H98
449,FTRD-L^C99
450,FTSE-L^A05
97,FTSG-L^A09
98,FTSJ-L
99,FTTA-L^B00
100,FTTL-L
101,FTTQ-L^J99
102,FTTX-L
451,FTVC-L^C99
103,FTVF-L
104,FTVM-L^L00
105,FTVQ-L
106,FTWE-L^I99
107,FTZA-L
108,FTZT-L^A03
109,FUAT-L^G99
520,FUBX-L
110,FUCN-L
111,FUCP-L
112,FUCZ-L^L02
113,FUEQ-L^F98
452,FUGK-L^J98
562,FUKE-L^G06
114,FUMF-L^G02
115,FUMO-L^B97
116,FUQX-L
117,FUSD-L
439,FUTX-L^G99
118,FUUQ-L^J08
119,FVFC-L^G02
521,FVFM-L
120,FVGB-L^G04
121,FVVN-L^B01
122,FVVT-L
123,FVWB-L^A01
124,FVWS-L^K98
125,FVXU-L^B08
126,FVYE-L
127,FVZY-L^G07
563,FWIX-L
564,FWJG-L^I06
453,FWND-L^G04
424,FWPG-L
128,FWQO-L^K18
129,FWQW-L^F07
130,FWXD-L^G16
522,FXLQ-L^C98
131,FYTJ-L
454,FYVA-L^H00
132,FZAQ-L
133,FZCV-L^J06
565,FZDC-L
134,FZEW-L^I99
135,FZFU-L^A07
136,GHH-L^L13
455,GKHK-L^F16
137,ION-L^A02
523,IPVV-L
138,KFZI-L
139,LJZU-L^D22
140,LKBG-L
566,LKEU-L^E05
141,LKFE-L^J18
142,LKKB-L^L16
143,LKMB-L^J03
567,LKQC-L
456,LKQL-L^I98
568,LKXH-L^L15
457,LLAZ-L^L03
144,LLCJ-L^K06
145,LLCO-L^A02
146,LLEU-L
494,LLIH-L^E08
147,LLPQ-L
148,LLWK-L^E09
149,LMEO-L
150,LMKV-L^J05
151,LMWP-L^F16
524,LMZP-L
525,LNBS-L^D99
152,LNDF-L^J03
153,LNFN-L^L05
154,LNQU-L^G02
526,LNRL-L^A06
569,LNTA-L^L03
458,LNTF-L^L10
459,LNUP-L
155,LNWZ-L^G12
156,LNYI-L^C10
157,LOEB-L^G12
158,LOJC-L
159,LPDL-L
160,LPHP-L^B00
161,LPHR-L^K08
162,LPSE-L
570,LPSK-L^D09
460,LQFX-L^G02
461,LQGG-L^A09
163,LQJI-L^G04
425,LQNF-L^E23
164,LQOG-L^A08
165,LQOL-L^C03
166,LQOP-L^I07
167,LQRW-L^B11
495,LQSF-L
168,LQTC-L^C02
169,LQUH-L^J03
170,LQUL-L
171,LQUO-L^I16
527,LQUZ-L
172,LQVL-L^L09
173,LQWF-L^A08
462,LQWQ-L^A22
174,LQWW-L
175,LQXF-L^B03
176,LQXK-L
463,LQXQ-L^C08
426,LQYG-L^B12
528,LQYK-L^K16
177,LRMN-L
178,LROS-L
179,LRQQ-L^G99
180,LTBQ-L^A22
181,LTBT-L^A11
182,LTCF-L^K00
183,LTCN-L
184,LTDC-L^I12
185,LTGY-L^I11
464,LTIG-L^K20
427,LTIY-L^A22
465,LTKO-L
186,LTKR-L^F23
187,LTKS-L
188,LTQX-L^H22
189,LTRU-L
190,LTUC-L
191,LUJE-L^H19
496,LUMQ-L
192,LUOU-L^J17
193,LUPF-L^F04
194,LUPP-L
195,LUPU-L^B06
196,LURX-L^C14
529,LURY-L
197,LURZ-L^L09
530,LUTH-L^A12
198,LUTI-L
199,LUTQ-L
200,LUTT-L^K02
201,LUUH-L^B05
202,LVKP-L
497,LVKS-L^L03
203,LVSN-L^A20
204,LVZJ-L^G04
466,LWCK-L^F06
205,LWEB-L^H03
206,LWFL-L
571,LWIG-L^H04
207,LWOD-L^E05
208,LWPX-L^J12
209,LWQW-L^B10
210,LWTG-L^D07
467,LXKX-L^A12
211,LXMD-L
212,LXOK-L
213,LXWQ-L^G17
428,LYBM-L
214,LYCL-L^I08
215,LYNK-L^B05
531,LZQO-L^G05
572,LZQY-L^C15
216,LZXG-L^F99
217,LZYY-L^K17
532,MABU-L^H09
218,MACX-L
219,MBDX-L
573,MBEQ-L^B04
220,MBIX-L
574,MBLX-L^I08
221,MBSD-L^E22
575,MBWC-L^H08
222,MCCB-L^G20
223,MCEL-L^J03
576,MCRL-L^L15
224,MCTP-L
533,MCTZ-L^J11
225,MCUA-L^I08
498,MCUB-L^G04
226,MCYT-L^J04
534,MDFJ-L^K19
468,MDKV-L^D12
577,MDLM-L^G03
227,MDSS-L^D04
228,MDST-L^B02
499,MDWA-L^J03
229,MDWD-L^J10
230,MDXD-L
231,MFVY-L^G02
232,MGZC-L^D19
233,MHAQ-L^H10
234,MHCE-L^F08
235,MHCL-L
236,MIHW-L
237,MJPN-L^G13
238,MNLX-L^I97
535,MNMN-L^G06
239,MNNQ-L^I98
240,MNWX-L
241,MOBH-L^C18
242,MOCW-L
243,MOHR-L
244,MOKV-L^K12
469,MOLI-L^G98
470,MOLQ-L^J07
536,MOLX-L^G19
245,MOMQ-L^I01
246,MOMR-L^J17
247,MONY-L^F07
537,MOOK-L^H18
248,MOOT-L^B03
249,MOPD-L^G08
250,MOPS-L^I00
