Date,1,2,3,4
1992-05.csv,PPT.L^I01,,,
1992-06.csv,PPT.L^I01,,,
1992-07.csv,PPT.L^I01,,,
1992-08.csv,PPT.L^I01,NSM.L^I97,,
1992-09.csv,PPT.L^I01,NSM.L^I97,,
1992-10.csv,NSM.L^I97,,,
1992-11.csv,NSM.L^I97,CNO.L^H01,,
1992-12.csv,HID.L,NSM.L^I97,CNO.L^H01,MCKSc.L^G02
1993-01.csv,HID.L,CNO.L^H01,MCKSc.L^G02,
1993-02.csv,HID.L,CNO.L^H01,MCKSc.L^G02,
1993-03.csv,HID.L,CNO.L^H01,MCKSc.L^G02,
1993-04.csv,HID.L,MCKSc.L^G02,,
1993-06.csv,NTAS.L,RNG.L^H00,,
1993-07.csv,NTAS.L,RNG.L^H00,,
1993-08.csv,NTAS.L,RNG.L^H00,,
1993-09.csv,NTAS.L,RNG.L^H00,,
1993-10.csv,NTAS.L,RNG.L^H00,,
1993-11.csv,NTAS.L,,,
1993-12.csv,NTAS.L,,,
1994-01.csv,NTAS.L,LITH.L^J14,,
1994-02.csv,NTAS.L,LITH.L^J14,,
1994-03.csv,NTAS.L,LITH.L^J14,,
1994-04.csv,JLEC.L,LITH.L^J14,,
1994-05.csv,JLEC.L,LITH.L^J14,,
1994-06.csv,JLEC.L,,,
1994-07.csv,JLEC.L,,,
1994-08.csv,JLEC.L,,,
1996-09.csv,WLT.L^I96,BAF.L,MTVW.L,STWT.L^H18
1996-10.csv,BAF.L,MTVW.L,STWT.L^H18,
1996-11.csv,BAF.L,MTVW.L,STWT.L^H18,TEA.L^F16
1996-12.csv,BAF.L,MTVW.L,STWT.L^H18,TEA.L^F16
1997-01.csv,BAF.L,MTVW.L,STWT.L^H18,TEA.L^F16
1997-02.csv,TEA.L^F16,,,
1997-03.csv,TEA.L^F16,,,
1999-12.csv,CULV.L^E09,,,
2000-01.csv,CULV.L^E09,,,
2000-02.csv,CULV.L^E09,,,
2000-03.csv,RETV.L^K08,BRTR.L^L06,CULV.L^E09,
2000-04.csv,RETV.L^K08,ROD.L,CULV.L^E09,ITX.L^H02
2000-05.csv,HLR.L^H03,,,
2000-06.csv,HLR.L^H03,,,
2000-07.csv,HLR.L^H03,,,
2000-08.csv,HLR.L^H03,,,
2000-09.csv,HLR.L^H03,,,
2002-01.csv,JSG.L,,,
2002-02.csv,JSG.L,,,
2002-03.csv,JSG.L,,,
2002-04.csv,JSG.L,,,
2002-05.csv,JSG.L,,,
2002-09.csv,BEK.L^G11,,,
2002-10.csv,BEK.L^G11,,,
2003-01.csv,BFSi.L^I05,BFS.L^I05,,
2003-02.csv,BFSi.L^I05,IKK.L^K17,BFS.L^I05,
2003-03.csv,BFSi.L^I05,IKK.L^K17,BFS.L^I05,
2003-04.csv,IKK.L^K17,,,
2003-05.csv,IKK.L^K17,,,
2003-06.csv,IKK.L^K17,,,
2006-01.csv,INFT.L^D18,,,
2006-02.csv,INFT.L^D18,,,
2006-04.csv,OTE.L^G12,,,
2006-05.csv,OTE.L^G12,,,
2006-06.csv,OTE.L^G12,,,
2006-07.csv,BRM.L^K10,OTE.L^G12,,
2006-08.csv,BRM.L^K10,OTE.L^G12,,
2006-09.csv,BRM.L^K10,,,
2006-10.csv,BRM.L^K10,,,
2006-11.csv,BRM.L^K10,,,
2007-02.csv,HOTx.L^E14,DNDLx.L^D12,,
2007-03.csv,HOTx.L^E14,DNDLx.L^D12,,
2007-04.csv,HOTx.L^E14,PARPR.L^I14,DNDLx.L^D12,
2007-05.csv,HOTx.L^E14,PARPR.L^I14,,
2007-06.csv,HOTx.L^E14,PARPR.L^I14,,
2007-07.csv,PARPR.L^I14,,,
2007-08.csv,PARPR.L^I14,,,
2007-12.csv,6703q.L^J08,0330q.L^J08,,
2008-01.csv,6703q.L^J08,9020q.L^J08,0330q.L^J08,
2008-02.csv,6703q.L^J08,9020q.L^J08,0330q.L^J08,
2008-03.csv,9020q.L^J08,0330q.L^J08,,
2008-04.csv,9020q.L^J08,0330q.L^J08,ADIL.L^C10,
2008-05.csv,RVWLq.L^L08,9020q.L^J08,,
2008-06.csv,RVWLq.L^L08,,,
2008-07.csv,RVWLq.L^L08,,,
2008-08.csv,RVWLq.L^L08,ATIA.L^H15,,
2008-09.csv,RVWLq.L^L08,,,
2009-01.csv,AMEDA.L^L18,,,
2009-02.csv,PED.L^F09,AMEDA.L^L18,,
2009-03.csv,PED.L^F09,AMEDA.L^L18,,
2009-04.csv,CLCRK.L^I10,AMEDA.L^L18,,
2009-05.csv,CLCRK.L^I10,ATIA.L^H15,,
2009-06.csv,CLCRK.L^I10,PDG.L,ATIA.L^H15,FMLq.L^C15
2009-07.csv,CLCRK.L^I10,ACU.L^F15,ATIA.L^H15,FMLq.L^C15
2009-08.csv,CLCRK.L^I10,ATIA.L^H15,,
2009-09.csv,ATIA.L^H15,PXSP.L,,
2009-10.csv,PXSP.L,,,
2010-01.csv,NHYN.L^K17,,,
2010-02.csv,NHYN.L^K17,,,
2010-03.csv,NHYN.L^K17,,,
2010-04.csv,NHYN.L^K17,,,
2010-05.csv,NHYN.L^K17,NGP.L^I12,,
2010-06.csv,NGP.L^I12,,,
2010-07.csv,NGP.L^I12,,,
2010-08.csv,NGP.L^I12,,,
2010-09.csv,NGP.L^I12,,,
