month,invested,first,second,number of clusters
1979-05,139,12,11,30
1979-06,1253,60,59,30
1979-07,1604,93,89,30
1979-08,1604,80,79,30
1979-09,1577,88,85,30
1979-10,1568,84,70,30
1979-11,1565,81,80,30
1979-12,1608,98,86,30
1980-01,1612,88,87,30
1980-02,1615,92,81,30
1980-03,1578,82,74,30
1980-04,1575,89,86,30
1980-05,1575,73,71,30
1980-06,1553,74,72,30
1980-07,1552,86,83,30
1980-08,1552,98,71,30
1980-09,1514,81,75,30
1980-10,1505,85,78,30
1980-11,1378,73,72,30
1980-12,1429,71,67,30
1981-01,1431,71,67,30
1981-02,1433,80,77,30
1981-03,1293,69,66,30
1981-04,1271,62,61,30
1981-05,1263,64,60,30
1981-06,1242,66,62,30
1981-07,1418,70,68,30
1981-08,1421,73,72,30
1981-09,1195,72,65,30
1981-10,1180,61,59,30
1981-11,1183,67,66,30
1981-12,1337,80,68,30
1982-01,1342,76,65,30
1982-02,1349,76,73,30
1982-03,1298,73,68,30
1982-04,1302,77,73,30
1982-05,1305,63,60,30
1982-06,1474,83,81,30
1982-07,1475,96,75,30
1982-08,1488,83,77,30
1982-09,1456,67,66,30
1982-10,1455,95,72,30
1982-11,1348,79,73,30
1982-12,1312,64,63,30
1983-01,1319,76,71,30
1983-02,1323,74,69,29
1983-03,1289,63,61,30
1983-04,1293,74,69,30
1983-05,1273,66,65,30
1983-06,1282,76,73,30
1983-07,1278,75,64,30
1983-08,1275,69,65,30
1983-09,1232,61,60,30
1983-10,1233,68,65,30
1983-11,1228,68,64,30
1983-12,1287,78,72,30
1984-01,1294,66,65,30
1984-02,1295,74,68,30
1984-03,1247,74,66,30
1984-04,1248,80,70,30
1984-05,1254,71,66,30
1984-06,1231,68,57,30
1984-07,1231,77,67,30
1984-08,1233,78,64,30
1984-09,1192,71,68,30
1984-10,1188,62,58,30
1984-11,1188,66,60,30
1984-12,1232,74,70,30
1985-01,1237,69,68,30
1985-02,1243,77,70,30
1985-03,1190,63,59,30
1985-04,1191,61,60,30
1985-05,1216,64,62,30
1985-06,1205,68,66,30
1985-07,1207,65,62,30
1985-08,1210,62,60,30
1985-09,1173,71,63,30
1985-10,1174,66,62,30
1985-11,1172,71,61,30
1985-12,1275,67,63,30
1986-01,1279,70,61,30
1986-02,1281,81,78,30
1986-03,1195,63,61,30
1986-04,1190,65,63,29
1986-05,1189,62,60,30
1986-06,1180,66,60,29
1986-07,1179,68,58,30
1986-08,1171,72,60,30
1986-09,1112,60,58,30
1986-10,1113,63,62,30
1986-11,1154,97,75,30
1986-12,1220,70,67,30
1987-01,1220,80,74,30
