Return Factor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1SN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABF,-0.017457776588941876,-0.012313928816162112,0.07407111820519652,0.03687017285766814,0.023575361159474895,0.024149513973561243,0.024742084755221327,-0.0484718332362174,-0.0032646217113737608,0.10261786594088762,0.03906048767923065,-0.010817983969425016,0.0520349356683345,0.045920214940716075,-0.005078914948513535,0.061362444876183586,0.040594313587061004,-0.028676516426656695,0.09626582105464565,-0.08781248051867085,-0.02956496488139526,0.14885321100917426,-0.030477820529234534,-0.1198654915961902,0.06708266356145653,0.005395569016199531,-0.047946159763994634,0.04918584993199504,0.03970026563759643,0.0851738182652595,0.05052392108415127,-0.07045024858203208,0.051441950185167507,0.012093889716840778,0.042637827086829505,-0.026965731522010317,-0.016330172894590045,-0.01803643798605281,0.048318571876937444,-0.05453505876903475,0.1286022348559106,0.018062069653727253,0.049759061386968284,0.08483436558895407,-0.03473682286048607,-0.0517656848638246,-0.04494391324144209,0.03972284386297131,
AC8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEP,0.04167316775648566,0.11110935997856619,-0.07692867222391953,0.0,-0.01680636210201103,0.0,0.0,0.10527231048928942,-0.02564695009242146,0.0,0.0173953925716972,-0.05737583833131443,-0.10045977622451963,0.21930037751745823,0.027023878858474015,-0.026312804808891976,-0.03388954980902881,0.10279825303388623,0.13829557289108108,0.021743495020880133,0.09523495393275727,0.06329202712181425,-0.03658152002522852,-0.012061598718177025,0.06521275334834642,-0.07056931347492723,-0.11458780383129807,0.185193748265976,0.09457168163988361,-0.051283282514225426,0.13812985025685887,0.18964956764839713,0.2888926132316587,0.022754542338018657,0.0475848446758842,0.13514064410925397,0.08654005868999493,0.0,-0.027776282499865523,-0.05262889489520117,-0.025639751552794965,0.026314447447600475,0.055552564999730825,-0.027025611480647305,0.0277762824998653,-0.027025611480647305,0.0,0.08823026503277287,
AEWU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHT,0.03225551426990281,0.15255472789812963,-0.06687214369220962,0.06357244591142375,0.029776039484099126,0.15068713332797556,-0.049886736745654026,-0.025377058940265873,-0.020864200529499,0.07947037231253273,-0.025798212005108456,0.06406109857853393,0.013916446208112943,0.02865889956628953,0.0014193658273484733,0.0,-0.011782197660392235,-0.05971881511962229,0.03432188361116428,0.058112009237875295,0.08937669035788431,0.04358385297013445,-0.05895796658327923,-0.01514736746053491,0.017989843943522432,-0.0995371661183293,0.11672945791948197,0.15478929958291365,0.05990853658536599,0.015912346587169335,0.052140616725732336,0.10035858359480065,0.1985602234876973,0.09765302512088714,0.014173793433406967,0.08719115734720417,0.10790952312346924,-0.053779565128484697,0.051307774991042665,0.14837063857801192,0.25007715255632124,0.04201950905777685,0.18992346938775517,0.0,-0.16666666666666663,-0.22074049532013595,-0.12004373177842564,0.04796822487014962,
AIQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTO,-0.04131507204985074,-0.031982406534715624,0.08694167463461278,0.17748291113791703,0.035344073935306586,-0.050365684917968,-0.10460176991150438,0.037115899996328805,0.025410329769613105,-0.03075856533002519,0.1091909830426161,0.0,0.005329969891773034,0.12166849215041986,-0.15975151468670912,-0.006325255296448673,-0.059725556232309907,-0.014685635612666337,-0.07224969704909445,0.13933355722228447,-0.030040899055340464,0.03097130489943667,-0.02121986851716584,0.17023550027781353,0.03742295925154071,-0.18057624532209426,0.09670863882690472,0.4854098845812371,0.10757834010751277,-0.0491210572247851,0.043517855981265896,0.025003333777837033,-0.026419993508601136,0.22242501190287256,0.009209577961079463,-0.09776011560693643,0.0,0.015258215962441257,0.1971546500395187,0.0028181417877586323,0.0926674364896074,-0.015256325215578626,0.039499605988967845,-0.015515903801396447,0.02058590657165471,0.0,0.027769301190112783,0.20670185344298497,
AO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APTD,-0.016665888977027143,-0.0029387818400340437,0.0,0.03911015139673357,0.02285351662298707,0.080249991097183,-0.05814284995555852,0.0058533787658985315,0.07545920449907006,0.25197315375268303,0.01575711434866367,0.11402246266930538,0.04588462985860975,0.009250969859743385,-0.03096821683009554,0.14704862419901987,-0.06421073424008128,-0.052181122790125434,-0.07257844474761244,-0.04616003406993807,0.007760994742551874,-0.034018540910922934,-0.042243423592345564,-0.040541398577717436,0.0,-0.092030670484463,-0.06321502830859516,0.2185296085463897,0.0,-0.06917885838548632,-0.030486296014015757,-0.04650943307190647,0.162153269059919,-0.1881878405812587,-0.015955629156480855,-0.05049958818292988,-0.04348137478812375,-0.08407556961471752,0.027277151735240146,0.19942702673575874,0.11242207480818411,0.08333694099311661,0.00645948389486195,0.06896832789939444,-0.03974953877117471,-0.12208457672373174,-0.07027342751797905,0.1935557661514331,
