Return Factor,1SN,888,AAF,AAL,ABDN,ABF,AC8,ACG,ACPE,ADM,ADMR,ADVT,AEET,AEP,AEWU,AEX,AFP,AGR,AGRO,AHT,AIQ,AIRE,AJAX,AJB,ALFA,ALGW,ALK,ALNA,ALTE,ALTN,AMGO,AML,AMOI,ANTO,AO,API,APTD,AQSG,ARA,ARB,ARIX,ASAI,ASC,ASCL,ASHM,ASIA,ASLI,ASPL,ATG,ATN,AUTO,AV,AVAP,AVGR,AVON,AWE,AZN,BA,BAB,BAF,BAG,BAKK,BARC,BATS,BAY,BBGI,BBOX,BBY,BCG,BCPT,BDEV,BEZ,BFSP,BGEO,BIH,BISI,BKG,BLND,BME,BMS,BMV,BMY,BNZL,BOOK,BOOT,BOWL,BOY,BP,BPCR,BPT,BRBY,BREE,BRES,BRS,BSFA,BT-A,BVC,BVIC,BWN,BWY,BYG,BYIT,CAD,CAL,CAPD,CAR,CARD,CARR,CAU,CBA,CBG,CBX,CCC,CCH,CCR,CDFF,CDL,CEY,CFYN,CGEO,CGL,CGO,CGS,CHF,CHG,CHLL,CHSS,CINE,CIZ,CKN,CLDN,CLI,CLIG,CMCX,CMRS,CNA,CNE,COA,COBR,CODX,CORD,COST,CPG,CPI,CRDA,CRE,CREI,CRES,CRH,CRL,CRN,CRST,CRTM,CSH,CSN,CTEC,CTO,CTPT,CURY,CWK,CZN,DAR,DARK,DCC,DEC,DEV,DFS,DGE,DGI,DIA,DISH,DKE,DLAR,DLG,DLN,DNA3,DNLM,DOCS,DOM,DPA,DPEU,DPH,DPLM,DRX,DSCV,DSI,DVNO,DVT,DWF,DWL,ECEL,ECOR,EISB,EJFI,ELEG,ELM,EMG,ENOG,ENPL,ENQ,ENT,EPIC,ESKN,ESNT,ESP,EST,ETLN,EVR,EVST,EXPN,EZJ,FAN,FAR,FCH,FCM,FDM,FGP,FINA,FINS,FIVE,FIXP,FLTR,FORT,FOUR,FOXT,FPP,FRAS,FRES,FSG,FSJ,FSTA,FUTR,FXPO,G3E,GAW,GCAT,GCG,GDWN,GEMD,GEN,GENF,GENL,GFHG,GFRD,GFTU,GHT,GILD,GKP,GLE,GLEN,GLTR,GMS,GNC,GNS,GPE,GPH,GPL,GR1T,GRG,GRI,GRIO,GRIT,GROW,GSC,GSCU,GSEO,GSK,GST,GVCT,GVMH,GYM,HAMA,HAS,HBR,HCFT,HEAD,HEIQ,HEIT,HELD,HEMO,HFD,HFG,HGEN,HIK,HILS,HL,HLCL,HLMA,HLN,HMA1,HMSG,HMSO,HNG,HOC,HOME,HOYE,HSBA,HSBK,HSD,HSW,HSX,HTG,HTWS,HWDN,HWG,IAG,IBST,ICGC,ICON,ICP,IDHC,IDS,IGG,IHG,IHP,IHR,III,IKIV,IMB,IMC,IMI,INCH,INDV,INF,IPF,IPO,IQAI,ITH,ITRK,ITV,IWG,JD,JDW,JEL,JMAT,JTC,JUP,JUST,KAV,KCT,KEN,KGF,KIE,KLR,KLSO,KMR,KNB,KNOS,KSPI,LABS,LAND,LAS,LFI,LGEN,LIO,LLOY,LMP,LMS,LOOK,LRE,LSAA,LSEG,LSL,LUCE,LWDB,LXI,MAB,MACA,MACF,MARS,MAST,MCB,MCI,MCLS,MDC,MDMG,MEGP,MER,MGAM,MGCI,MGNS,MGP,MHPC,MII,MILA,MKS,MMM,MNDI,MNG,MNRG,MODE,MONY,MOON,MORE,MOTR,MPO,MRO,MSLH,MTO,MTRO,MTVW,MUST,N91,NANO,NARF,NBS,NCC,NEOA,NETW,NEX,NFX,NG,NLMK,NOG,NRR,NSF,NVIQ,NWG,NWOR,NXR,NXT,NZI,OBOR,OCDO,OCI,OCN,OCTP,OFG,OHG,OKEY,ONDO,ONT,ORIT,ORNT,OSB,OTB,OXB,OXIG,PAG,PAGE,PALM,PAY,PBEE,PCA,PCTN,PDG,PDL,PERE,PETS,PFC,PFD,PHAR,PHLL,PHNX,PHP,PINT,PLAZ,PLUS,PNN,PNPL,PODP,POLN,POLY,PPH,PPP,PRD,PRE,PROC,PRSR,PRTC,PRU,PRV,PSDL,PSN,PSON,PTEC,PUAL,PZC,QLT,QQ,QRT,RAT,RBW,RCDO,RCGH,RCH,RCP,RDW,RE,REC,REDC,REDD,REL,RESI,RGL,RGP,RHIM,RHM,RIII,RIO,RKT,RM,RMII,RMV,RNK,ROC,ROO,ROOF,ROQ,ROR,ROSN,RR,RS1,RSW,RTN,RTO,RWA,RWI,SAFE,SAGA,SBRE,SBRY,SBSI,SCGL,SCS,SCSP,SCT,SDR,SDRY,SDY,SEFA,SEPL,SERE,SFOR,SFR,SGE,SGRO,SHC,SHED,SHEL,SHI,SIHL,SIV,SMDS,SMIN,SMJ,SMWH,SN,SNR,SNWS,SOHO,SOLG,SPI,SPMU,SPT,SPX,SRAD,SRE,SREI,SRP,SSE,SSPG,STAN,STB,STEM,STJ,STK,STVG,SUPR,SURE,SUS,SVS,SVT,SXS,SYME,SYNT,TATE,TBCG,TCAP,TCS,TEG,TENT,TEP,TET,TGR,THAL,THG,THRL,TIFS,TLEP,TLW,TM1,TMI,TMOR,TMTA,TOOP,TOWN,TPK,TPT,TRA,TRD,TRI,TRN,TRST,TSCO,TTG,TW,TYMN,UKCM,ULVR,UMR,UPGS,UPL,URAH,UTG,UU,VANQ,VCT,VID,VKCO,VMUK,VOD,VOX,VP,VSVS,VTY,WCAT,WCW,WEIR,WG,WHR,WIL,WIN,WISE,WIX,WIZZ,WKP,WOSG,WPP,WPS,WRKS,WSL,WTB,XAR,XPP,XPS,ZAIM,ZAMZ,ZEG,ZEN,ZTF
1,,1.0759522796037873,,0.9763388969488571,1.0503412614907521,1.0335134125343153,,,,0.9082194201528332,,,,0.9705211572896053,,0.9441340782122905,,1.0564788452625307,0.9499781564001747,1.103635424064924,,,,,,,,1.0518518518518518,,0.9682539682539683,,,,0.9641753206693572,1.1055276381909547,1.0299941188002353,0.9919667892180452,,,,,,1.1058091286307055,,1.0558362352762078,,,1.0,,,,1.0451711717776955,1.0353380685917681,,0.9475915115814322,,1.0688336652742494,1.0701712039447597,1.0407411781245608,0.966664888794069,0.9573990308104776,,1.003850251279557,1.0453729251731243,,1.020410907002041,1.0239260390064346,1.0120942327829638,,1.0502243361855494,1.0492181634885567,1.0614097261157953,,1.0040386586027445,,1.1208723807893648,1.0170314841906176,1.0436343430811876,1.0081395217749116,1.0066319664999896,,1.046617465180383,1.0492119959179846,,1.1129211708308724,,1.0305460373390043,1.0119856257797588,,,1.0163006416944553,1.1055906462078586,,,,1.0305807291372764,0.9637757490636705,1.018313561407827,,1.0478055796042143,1.084102463930895,,1.0,1.0459440424619428,0.9649163568773232,1.272997088031061,1.0696487459120703,0.9502793386819113,1.0570326770854477,,1.0745438998312924,,1.0197215197108034,1.0263163027852387,1.0260668705560503,1.0,,0.9093426927392975,0.9663862226962121,,,,0.8975950302317516,,1.130227620125738,,,0.995954675642339,,1.08994935694423,1.0121267400040708,1.0194237137349873,1.084611413126006,,,1.049547502641621,1.0465787512119666,0.9545503772426988,,,,1.1234185270029498,1.029781328394481,1.0454684138223218,1.0632942067650681,,1.052484112325079,,1.0124699163027269,1.05013750793315,,1.0212761891110633,,,1.1060429325023067,,0.7132383335146306,1.0174924409653303,1.1000316401781587,1.0500004661352722,,,,1.0497499632965333,,,,1.017032093788727,,1.0011022546219412,,,1.009002484857594,1.0376785933028208,1.061788903315928,1.0330801065820059,1.0825240435709191,,1.0961134302576652,1.0480769230769231,,1.0560817539166358,1.0796873166124228,0.9143072895092033,1.0930236405446094,,,,,,,0.8787103280310526,,,,1.057808098950892,1.032986840500359,,,0.8984269386751873,1.0379596348859328,,0.9639985139200152,1.1312326353040751,1.0024797628548625,,,1.1338851437835993,,1.0436079897830741,1.033897715277751,1.0214274260926806,,,,1.085970242013632,1.0135601477812513,,,0.9918307498952661,,1.0488988496022944,,1.0790826559695976,0.9404506257759285,,1.1032403918613414,1.032910545137309,,0.9970435514026473,1.0483436796810233,0.9626495873608305,1.0209046559397468,1.0048956454522031,0.9523810784830374,,,0.9885673384285987,1.1078973400413894,1.0649936382162177,,0.8641355371998732,,1.0234042553191491,1.136404071711647,0.9357420421661843,,0.962617289489729,0.9680569172956994,1.0160080970924903,,0.9812525090325172,1.029478675001063,1.1040858740599488,1.0283453947005612,,,,1.0372866779005054,0.9641870578507336,1.007596618190372,0.9714285714285714,,,,,1.047800121308263,,,,,,1.1166278131444454,,1.0432096282411243,1.0423938679245284,,,,,1.0098765354310864,0.9892477896999881,,0.9842887115531771,1.1041260945369071,1.0983285372457288,0.9795005941856759,1.1107174267637339,,,,1.0470112910789655,0.9775644195887946,1.0067866973512025,,,1.0387937869630208,1.2047650562541363,1.0574673286537695,,1.020981941980015,1.0235499851882592,,1.0567274894857104,1.0495904244050562,1.0662320859872614,,1.0759276072319028,,1.0436886418849212,,1.046018315855956,0.9656569906820434,0.9781870215003791,,,1.0487641807267254,,1.038628853424098,,0.9464475014466376,1.0608519269776877,,1.0774780392285563,0.9545445279480315,1.1860737770377041,1.105263157894737,,1.110145729656712,1.0637195557527312,0.9988442778695534,1.060078304306737,1.013660706181356,1.0075978910605146,1.1026351311401372,,1.025755721480016,1.046673757333023,,1.0348123146878552,,1.0262715254668775,0.9953677917537764,1.04679527767314,,0.7627121243995654,,,,,1.0415058645478623,1.1411630337051346,1.0,1.0518209309942945,0.9390758961965591,1.0343747568282624,1.0129866029614505,0.9913396935368972,1.0706068435685585,1.0414212092492674,,1.0814502546672027,1.0575554445710362,,1.0487626645568229,,1.107161754967412,,0.9756259274460898,1.0,,0.9891539848726632,,1.0401058134584111,,1.0,0.9578930975825966,0.9946829159895372,1.0197912454620992,,1.0548169468531725,,0.8919379258137775,,,1.0315773498044398,,0.991753017425389,,,,1.1177746926152847,,,,0.9835111542192047,1.0505712833795058,1.163577059387329,1.0361005485600299,,1.0450966106798287,,,1.1978891820580475,,1.0057695306408858,1.0644130066560107,,,1.016716454873311,,1.074404635701762,,1.0026315857445214,1.0067236299351798,,,1.0294277909359062,,1.0071424257066923,1.069992478393579,,,0.9837935174069629,1.0078623718887263,0.9642102215144056,,,,,,,,,1.1628570530254203,,1.1965811965811965,0.9495934605181596,1.012574381075985,1.0494109553701951,,0.977922149658592,,0.9954507251475705,1.0329704142011835,1.0164061543484473,0.9068702624964499,0.9512195121951219,1.0278146406572417,1.0135023128126057,1.0176604679064187,1.0002346731034146,,1.0830310230462976,1.0341666212806129,,0.862500286935962,1.0152556315792067,1.0386699219207038,,,,1.0589973528870518,1.1548209650525156,,,,,,,1.0896155752386643,0.9186465531462505,,1.0587765185666822,0.9868205306871255,1.172244722025162,,1.0454034110433887,,1.0854093376894087,0.8993715535565757,1.0114310755311389,,1.022292314405183,,1.080808516511957,1.0419522376164732,1.1506954685792494,0.9408613991349007,1.14402407566638,,1.0524553438788729,1.0531579451101116,,,1.075,,,0.9233437547588849,0.9790318474879588,1.031374578075396,0.9789396891058788,,1.1331226961558714,0.9962846333340886,,,,,1.0003763409915034,,0.9903854346216109,1.0248872743495372,0.9304543224274144,1.0641467173014256,1.1016710779478265,0.9873013295443013,0.9742989145120577,1.0536553355083544,1.04571446271056,,0.9311685097751876,,,,,,1.0526908416966814,1.0183581823389227,1.2258079096045198,,1.0638585865537928,,,1.0,1.0822428954605643,1.0586202684759438,1.0379240920145119,1.0,1.029604072506348,1.1262736351193796,1.044,,1.1108946406367288,1.0303493988431527,0.9798933798088013,1.0463636786981296,0.9887316052718376,1.0979434002193194,1.064999036516042,,0.8821428571428571,1.2047607857379379,,1.054856468737711,1.1039008080245194,,0.9748213395379757,1.0,0.8973681810581995,1.0563285950989798,1.0720529513392296,1.0081836817492686,1.0063144246008815,0.9633781131223725,1.0185626911314984,,1.0287309874408004,,,1.0319767493852001,1.1294850398682332,1.0346297848860002,1.0219209523201966,,1.0732589668301045,1.0625018719540633,,1.0828001717378606,,,,1.0387101671620802,0.9724793630023525,,1.0255681818181819,,1.0120807115100077,,,1.0070251937984496,,,,,,1.0222684177086354,1.0349321707928931,1.0935320034267533,,1.1748768472906403,1.0451216683419304,,,0.8893893616431522,0.92896214612005,1.0288216231124594,0.972112229890259,1.0075750661677467,1.0454226524530827,,,,,1.1250011866300025,1.019859086417619,1.020643902120678,1.082762265667567,1.08637702433034,,,1.052182797696452,,1.021637491373995,1.0082849048150884,1.1081420797350052,,1.0218592148406345,1.0304569241409862,1.0784113145324976,,1.0082340267959333,0.9741350617500218,,,,1.0452663614180353,,1.074576030299668,,,1.1666666666666667,1.0278489689494155,0.7621629469924042,1.0312905265027392,,,,,,1.0688178423954702
2,,0.9834030998981785,,1.0625417834384001,0.9659105725031342,0.9152374535390906,,,,0.9275729745111319,,,,0.9717196106772245,,0.988950276243094,,1.0456606778135493,1.085219864880882,1.0061483728774923,,,,,,,,1.0424710424710424,,0.9692307692307692,,,,1.0519833020669607,0.737037037037037,0.9926699532952776,1.0129467506385634,,,,,,0.8139142181695374,,0.9070956661330065,,,1.0476190476190477,,,,0.9512510647018515,1.010711739158618,,1.0499206650805686,,0.992905680465961,0.9852018439942791,0.9410940982961077,0.9473737399257218,1.0292320859402666,,1.0381938182998522,0.977157137559698,,1.0250952190037086,1.0151495401549713,1.034510907233326,,1.018401997503121,0.9228116847385026,0.965660610580189,,1.050488050226431,,0.8965548109877743,1.0041067299360569,0.9989273062914734,1.0240712092174837,0.971667178564638,,0.9746545231079526,0.9553943168156164,,1.0323079213606619,,0.9786472881391335,0.937221419005803,,,0.9692264985227925,0.9969062983390885,,,,0.9732327226396029,0.9387463604900292,0.9279408164234791,,0.9640155937595773,0.9682213629772837,,1.1794871794871795,0.9973042331779443,0.9913053492255427,0.96581812937189,0.9804923861273228,1.0122973728339855,0.9083462824936132,,0.9813232590894985,,0.9975413165715263,1.0503792426620338,0.9183892959465745,0.985713774363963,,1.1082504233700254,1.0016827023781263,,,,1.1230112231697158,,1.0195489015969066,,,0.968926610893917,,0.9094325705554872,0.9726093908553142,0.9727871532285206,1.0814388092250897,,,0.9755124493959559,0.849536496993301,0.9565262430939226,,,,0.9932434442076042,0.8744707174035294,1.0172404920800837,0.9543010126753766,,0.9570076098028641,,0.9017565354130069,0.952256244963739,,0.9988641407320088,,,0.9474109587534776,,0.8991588419405322,1.0147958511379251,1.0533957765376496,0.9790212981513005,,,,0.9496785800719989,,,,0.9345603555224902,,1.008893055481557,,,0.9235094234183889,1.100329612429697,0.9770369341925086,1.0222840418441566,0.9797864752942739,,1.0317760895879282,1.0146341463414634,,0.9359234230770413,0.9704317987879839,1.0503430731695131,0.9019382563153734,,,,,,,1.0450690501993458,,,,1.009093249575202,1.091588259660335,,,0.9456208651188274,0.9867666909414449,,0.9242160761162124,0.9794356929891131,0.9975263711580564,,,1.0998076110928627,,1.023845499880649,0.9621948508655831,0.9271535096985204,,,,1.0424528905047887,0.9668467082227701,,,0.8572967796001436,,1.0116396643707128,,1.0919003653883836,0.8668828807865152,,0.9120274914089347,1.041736089711113,,0.9664283523960605,0.9692030480098618,0.9255296849977781,1.011448481831757,0.8740990990990991,0.9959121561925559,,,0.927676791688819,1.2794636062926092,0.9720025539060183,,0.9775395403104165,,1.0930232558139534,0.9787396754178027,0.9503791301614741,,0.7661095252883195,0.9622450267949834,1.0688743456767364,,1.0322500440291318,0.9429572417387992,0.9261260081415273,0.9716915125061051,,,,0.9347623376653729,1.0,0.9610750571838929,0.6086956521739131,,,,,0.8999362440097545,,,,,,0.8207675608050926,,1.0318475567490837,0.9587590401857219,,,,,1.0012617540273612,0.9217052695717625,,1.02088183587513,1.0099197347543853,0.813600161583825,0.9891377191001974,0.9701552004751112,,,,1.0127946570798074,0.9873425071892079,1.0201253924267395,,,1.0519874748745437,0.8996189568944987,0.9280021183635642,,0.9157822716705929,1.0253235073869562,,1.0638240405843395,0.9877585184668504,0.9067023604520877,,1.0037191401569996,,0.9889484215792106,,0.8957947890891473,1.0700843358147278,0.9830295574912273,,,0.9158281461301444,,0.986918913078033,,0.9633328028735764,1.0070770544811176,,1.019122553241302,0.9090914706654518,0.92130557294928,0.8636363636363636,,0.9254662860675009,1.1498867311117644,0.9515971691489429,0.9295933734939759,0.9172930311384949,0.9924594015847755,0.9132364852056731,,0.917743513481783,0.921372573038525,,0.955275178003672,,0.8329653934558453,0.9685918836869373,0.913361375418911,,0.9218748926786321,,,,,0.9838559162669261,1.0119015417906412,1.031782756941062,1.022469897347228,0.9794241466177489,0.9711144276727184,1.0243968175251732,1.014654818090338,0.9274370632237843,0.9299474136799442,,0.9574215564902272,0.976272374400524,,0.9667642262603513,,0.9610005633116636,,1.0445895583918736,1.0,,0.9534877967317754,,1.11693991627102,,0.9458955223880597,1.0160418695228821,1.0118354896734065,0.9714708751694309,,0.9304233616484154,,0.8639633747547417,,,1.0011712530191421,,0.9662607745343311,,,,0.9374727227383253,,,,0.999031007751938,0.9890881380115442,0.8721383073164726,0.94833994694333,,0.8966901171132248,,,0.8917647058823529,,1.0008583690987123,1.0598951913169357,,,0.9504803377811778,,0.9818811458197564,,0.9957418485713256,0.9710293368733656,,,1.0703360109489335,,0.93333051462557,1.033933518144524,,,0.9385915492957746,0.9906519011668805,0.9674134012037393,,,,,,,,,1.0736124355479792,,1.0263157894736843,0.9403670625184024,0.9478937371127041,0.9876847290640394,,0.9801620630343854,,1.0277621534752912,1.0040876467512714,1.0517211777835007,1.0261096817579922,0.82,0.8830984961387346,0.921227129551744,0.8056876619108378,1.0064414016489986,,1.0588697781338685,0.9746615942670087,,0.8333328985821024,1.0133326012299337,0.9987550910388369,,,,0.8589545614824362,0.989949560612352,,,,,,,0.9867698962147816,0.9608962752654234,,0.96995344454663,0.9801720349992359,0.9799989879589112,,1.0209805963644958,,0.9937441759702759,0.9578341693714959,1.0156488842240385,,0.9736448551838706,,1.3156126571934443,0.9842346442110596,0.9027719244473392,0.9733120115240663,0.909067222511725,,0.936227739792711,1.0053077632792935,,,0.9523809523809523,,,0.9831926355486912,1.0474628324143227,1.0205479313814236,0.9546832187849195,,1.0276397707594624,0.93249066967115,,,,,1.0354472394522458,,0.9719618428805759,0.888013243159116,1.0852097182897023,1.0041289471607497,1.0384701204917035,1.034483482701563,1.003282361078233,0.9542688690391796,0.991501351549011,,0.9898081218030306,,,,,,0.9169290555922509,0.9539173547584264,0.9954109866378729,,0.8477531531706749,,,1.0,0.9474500266996069,1.0195389231900185,0.9810917316662157,1.0,0.9948445693367377,0.8643473688822679,1.0351966873706004,,0.9229650470957198,0.9892227839242297,1.0,1.0124805911644659,1.0201152041076176,0.9324800086109852,0.8185492616179341,,0.875,,,1.00715530443048,0.9881394463267694,,1.0235604320830145,1.0279051526487268,0.951056532722338,0.94505333901814,,1.024309049073045,0.9380893272415933,0.92628973365292,0.9264050949447179,,1.0013677012098896,,,0.9398907011967058,0.9143998755226453,0.9566769002202932,0.8595781087299276,,0.9358085233659605,0.9481469160569506,,0.9659976339085383,,,,1.0679956733323235,0.9342827415788789,,0.8844221105527639,,1.002379516599573,,,0.8526307301193877,,,,,,0.9159806309080533,1.005357433417229,1.0,,1.0,0.8369820461143058,,,0.8924869504984785,0.8755986956078671,0.9739603445091751,1.0555519367726247,0.9969428420650372,0.965763742433787,,,,,1.0101003320963624,0.958567624518894,0.9123951702489119,0.9531435770183962,0.9885549667460967,,,1.0020383280125835,,0.9428348684780412,1.0174593850213305,0.9563878663471757,,0.9780711891829423,0.9700759761017803,0.9051465074193389,,0.9962171515956377,1.0622737888106293,,,,1.0703355147170033,,0.9313343241297634,,,0.75,0.9733487693290355,1.0703941989985353,1.0404394209113712,,,,,,0.9607463048219045
3,,0.9601555541071932,,0.9969831284635479,0.962113707125029,1.0045511317752842,,,,1.0766066580133813,,,,0.9711265820720976,,1.0402298850574714,,0.9827850168407444,1.1518088737201364,0.9938891986080457,,,,,,,,0.9961538461538462,,1.0483870967741935,,,,0.9648902514595089,1.003717472118959,1.0065729334436078,0.9880492159104043,,,,,,0.6618238712561466,,1.0453019982858947,,,1.0552763819095476,,,,0.9848190521841138,1.1914926482656085,,0.9859365261443886,,0.9997708297590707,1.0105150052523533,0.9509802934740378,1.0555496293135636,1.033385497179912,,0.8776959439496897,0.9831213225250293,,1.0391355292279651,0.9812546188391791,0.9772371510566136,,0.9851429133664582,1.0533771470748907,1.0201921774201954,,0.9694636716398299,,0.9499951404412479,1.0586955834956149,0.9819324205983878,,1.0019225753130778,,1.069273733604037,0.9886771351322075,,0.8900001261972968,,0.9429534227051107,1.0205967551100896,,,0.9603892363331678,0.9613079592051309,,,,0.9817334857340033,1.0352024567788898,0.9728833263119724,,1.1379307839455621,1.0087655145367633,,1.0263157894736843,0.9814829078921018,1.0314170329017698,1.0588224065360352,0.9903338315894369,0.9581991036476343,0.9804777275661717,,0.9915119438737348,,0.995104931059487,0.9435825855637536,1.0139025320752564,1.0032488725060467,,1.0354823684138423,1.0100353317019162,,,,0.9944733146303923,,0.8957885514018693,,,0.97341049580503,,0.9024479997543432,1.0135742053878287,0.9614833442738141,1.0574069958047396,,,0.933790159290623,1.0184111252266843,1.0,,,,0.9801330295065082,1.0305156027507645,1.046931347163344,0.8499764076364589,,1.0184447800814682,,0.9349144914932048,1.1669017395392574,,1.053432543173877,,,0.974006083454717,,0.9512644448166137,1.0302942146195768,1.0059360828730468,1.0250586845126213,,,,0.9955469264093002,,,,0.9976397868636078,,0.9922790780337295,,,0.9435054962063165,1.0550599855207363,0.9803919300870887,0.97911760533409,0.9262113052309949,,0.9394188845094004,0.9951456310679612,,1.0478578622940253,1.0224820044143255,1.0306603672378205,0.9634426842241453,,,,,,,0.9953586414377324,,,,0.9230776543057312,1.0490246287071094,,,1.0063991712822569,0.9572850763204027,,0.9061919722169247,0.9749359685152503,,,,0.9063882272881932,,0.962321113551522,0.8652981302875391,,,,,,0.9251004059815093,,,1.0715156179847347,,1.0477622463282288,,0.9567819430020863,0.933898805784661,,0.9255725190839694,1.1203246418874637,,1.0606063451468999,0.9966656616778705,1.1071823101844547,0.9548084473281813,1.088235294117647,1.0599211152326988,,,0.9721740754412691,0.912437564207021,0.9689882451516731,,0.9624059102896493,,1.0295291300877893,1.0315798444936868,0.9812713001372462,,1.085492290187444,0.9679826452425488,1.0163199700225325,,0.9627379990624657,0.941126803083048,1.062201758675345,0.990902029558922,,,,1.0536739719280965,0.9800467017630214,0.9975722681383409,0.9583333333333334,,,,,0.9877628311822969,,,,,,0.968445434298441,,0.9874220280494103,0.9487480200374003,,,,,0.9787860075951712,0.9786604462840564,,1.0087770757051602,0.900805432583128,1.00401583101901,0.8810580059297336,0.9915822311839481,,,,0.9774796974436993,1.0259738677137635,1.0392173746651359,,,0.9543726037265071,1.0130277442702051,0.9842324732864217,,1.0291331274304278,1.030340483157556,,1.0031689186801276,0.9800054685897874,0.9294798091876497,,0.9498156862228198,,0.9743589743589745,,0.9338396045376152,0.9725670626128995,1.0189762014667414,,,0.9852693045989064,,0.9775197649257816,,0.9386736888828189,1.0192293260086926,,0.9243021832936176,1.0,1.113279888462879,0.9565217391304348,,0.9363661416074665,0.9824164996092555,0.948351855561972,0.9856506679861455,0.9851846755724433,1.0030253645898626,0.9844103595675131,,0.9938238474163614,1.0,,1.0080919114742628,,0.9449050203770561,1.0312317783037643,1.015970928952645,,1.5999998707093275,,,,,0.9881003869720673,0.8865707434052759,1.0,0.972991406356568,0.962668590835603,0.9757235023041475,0.9537117005963396,1.0333328451545818,0.9877602080764627,1.0015400424450722,,1.0302564334210405,0.8743326461350929,,0.9971583310160356,,0.9329362001914647,,0.9457874543809852,1.0,,0.9280638310085528,,0.9941176470588234,,1.1571318427139552,1.0163034066450607,0.9609771590122197,0.9521730909927906,,1.0155697833950026,,1.0204388087094352,,,0.9482558331507269,,0.9907160343123271,,,,1.0421702404158546,,,,1.0611825192802056,0.949986907567426,1.125689318122137,0.9771396388265111,,1.1161697464953306,,,1.0953608247422681,,0.9977421364061041,1.0756306520704428,,,0.9744301619916854,,0.9857369990417577,,0.7788265244803696,0.9819690737868878,,,0.9481037482674217,,0.9915385690329792,0.98052466974214,,,0.9446514103246407,1.0062687002846094,1.0491458224581447,,,,,,,,,,,1.3902439024390243,0.9710468130527599,0.952603997759368,0.9532615243116505,,1.0161492137697157,,1.2394646747587923,0.9799254774103401,0.9508223482838836,1.1946349192205086,1.0,0.9603799362435755,0.9556260072808945,0.8577255994428415,1.0076933300775517,,1.0022965559166337,0.9752877629558044,,1.0434781425251982,0.7594929030692709,1.024888698684824,,,,1.1159272312811865,1.0,,,,,,,0.9794817839331825,1.0190100147169678,,0.9629080484259256,0.9880758980239757,0.9412660052310158,,1.004842857619986,,0.9797118135510432,1.0033231935223632,0.9653993199858784,,0.9548468427170479,,0.9406313721722236,1.01524324102337,0.9966826250698081,0.9930391764515553,0.9863788229246979,,1.0172753846284448,0.9889761808860507,,,0.9130434782608696,,,1.025862024532225,1.0264422717613215,0.9980470677815536,1.054135605253816,,0.9472044989675221,1.0631878415811933,,,,,1.0201765093796917,,1.006585211807214,0.9559434821420519,0.9716143632249093,0.992123122006325,0.9458466438349594,0.9582977832869171,0.9977107737452797,1.0308766032082435,0.9502020713113144,,0.9262777164821867,,,,,,0.9837336571671896,0.9361513820483792,0.953989441606936,,1.090094769648271,,,1.0,0.9344435259637783,0.9329777904370704,0.9520879107238175,1.0,1.0288564308507477,0.9697589578919893,1.0147058823529411,,0.8727055380937215,0.9789003586366476,0.9803020024622497,1.069200627857151,1.0165534561137797,0.9706799125839116,0.9146221609095909,,1.0,,,0.9472881207558497,0.9325960316541727,,1.0378707627118644,1.0437684992757732,0.9724611042970658,1.0089181182814773,,0.8899659933466091,0.945716068786165,1.045701569454205,0.9766709154733422,,1.0727432153213063,,,0.974351498871905,0.9952233661966797,1.0173369086182467,0.9657711360060498,,0.8897642861320699,1.011778347870703,,0.891797990577421,,,,0.8603897921628554,0.9943229577519431,,0.9045454545454545,,1.012090921087358,,,1.0070679986778668,,,,,,1.017289840494324,0.9870734322339784,0.8845706243741372,,0.9756097560975608,1.0719375266334348,,,0.9454345588923192,1.0245153375834415,1.062448717491349,0.9498677473742826,0.9945164326046041,0.9921612181337187,,,,,0.9406184984306037,1.0466309349312857,1.0866257157646144,0.9374242290430579,0.9701114896181474,,,0.9730652538151519,,1.082213611649272,1.0094750793100433,1.0517688358493134,,0.9744918069711133,1.0138246233884103,1.01895171460332,,0.9765705340241434,1.144650939879653,,,,0.9948057955913264,,0.9951424900400248,,,0.8421052631578947,1.045736032724072,0.6246992622698999,0.9424364792540278,,,,,,0.8566352736241464
