Return Factor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1SN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABF,0.13101420451057666,-0.0433219992600552,0.15176705333288232,-0.12146061740499747,0.03889890359541681,0.02879644331533826,-0.02822438789554571,-0.030107301596803526,0.021434205457758315,-0.017399349927602947,0.12114915043025776,0.028512144767288694,-0.011941555174502683,0.08753978150415964,0.06834666836337022,0.010910377320565656,0.03512933186857081,-0.006231933801727596,0.04454744153499246,0.026452070586148846,-0.04060641637528406,-0.017457776588941876,-0.012313928816162112,0.07407111820519652,0.03687017285766814,0.023575361159474895,0.024149513973561243,0.024742084755221327,-0.0484718332362174,-0.0032646217113737608,0.10261786594088762,0.03906048767923065,-0.010817983969425016,0.0520349356683345,0.045920214940716075,-0.005078914948513535,0.061362444876183586,0.040594313587061004,-0.028676516426656695,0.09626582105464565,-0.08781248051867085,-0.02956496488139526,0.14885321100917426,-0.030477820529234534,-0.1198654915961902,0.06708266356145653,0.005395569016199531,-0.047946159763994634,
AC8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEP,-0.007400709135473416,-0.2329609754316796,-0.01122581576667625,-0.07291771241173906,-0.03030794691241856,-0.05262996095791461,-0.09913178337510542,0.013088491105998523,4.208695164198417e-05,0.017253681927160702,0.0,0.017541821561338322,0.031670411985018854,-0.034930457161032824,-0.02137894930458295,0.0,-0.00425477958269338,0.049116116826297684,-0.07438468800021891,-0.11029286462010357,0.11866991652936454,0.04167316775648566,0.11110935997856619,-0.07692867222391953,0.0,-0.01680636210201103,0.0,0.0,0.10527231048928942,-0.02564695009242146,0.0,0.0173953925716972,-0.05737583833131443,-0.10045977622451963,0.21930037751745823,0.027023878858474015,-0.026312804808891976,-0.03388954980902881,0.10279825303388623,0.13829557289108108,0.021743495020880133,0.09523495393275727,0.06329202712181425,-0.03658152002522852,-0.012061598718177025,0.06521275334834642,-0.07056931347492723,-0.11458780383129807,
AEWU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHT,-0.03420739649997162,0.0734391148398077,0.007112462626406968,0.13570989836244163,0.05080679534798782,-0.035654308228911025,0.0881777868653435,-0.06896141444667858,0.10525623660297456,0.026069004601206425,0.030722372117604646,-0.07044511383175389,0.2572696389967979,0.04684362770120809,-0.08566183334370514,0.08605511717891967,0.061311957535327366,0.17814586326375403,0.0057798555036123744,-0.0698869475847892,-0.03124760664777526,0.03225551426990281,0.15255472789812963,-0.06687214369220962,0.06357244591142375,0.029776039484099126,0.15068713332797556,-0.049886736745654026,-0.025377058940265873,-0.020864200529499,0.07947037231253273,-0.025798212005108456,0.06406109857853393,0.013916446208112943,0.02865889956628953,0.0014193658273484733,0.0,-0.011782197660392235,-0.05971881511962229,0.03432188361116428,0.058112009237875295,0.08937669035788431,0.04358385297013445,-0.05895796658327923,-0.01514736746053491,0.017989843943522432,-0.0995371661183293,0.11672945791948197,
AIQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTO,-0.03789977766375918,-0.05034919603703103,-0.08552162547528519,-0.0791115001641316,0.05064091510030466,-0.07602836126085455,-0.04241576605212982,0.10296179951758555,0.05823340852427883,0.07583740460452781,-0.09936155527435864,0.09822500157918013,0.07792871003983248,-0.07733626511700953,0.038018846392122274,-0.0013675881605939022,0.1260174525188824,0.04095263539559557,-0.05571773525065771,-0.12229146237307431,0.0702122617556451,-0.04131507204985074,-0.031982406534715624,0.08694167463461278,0.17748291113791703,0.035344073935306586,-0.050365684917968,-0.10460176991150438,0.037115899996328805,0.025410329769613105,-0.03075856533002519,0.1091909830426161,0.0,0.005329969891773034,0.12166849215041986,-0.15975151468670912,-0.006325255296448673,-0.059725556232309907,-0.014685635612666337,-0.07224969704909445,0.13933355722228447,-0.030040899055340464,0.03097130489943667,-0.02121986851716584,0.17023550027781353,0.03742295925154071,-0.18057624532209426,0.09670863882690472,
AO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
