Return Factor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1SN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,0.1490101561438144,-0.08438457235374863,-0.007569346957342682,0.01954760856908133,0.03814816876105809,-0.029920308770555182,0.04269224273701644,-0.09172210826718985,0.059241177870899664,0.09908107778860642,0.041255673898409784,-0.03713249530535001,0.020263639723530735,-0.13622542088448109,-0.03278112515128251,0.11219546212914677,0.019054885202730576,-0.05184515613935381,0.04601368136047612,0.10837903847486086,-0.09105853351375248,0.13660554803479807,0.18346041351669418,-0.05973227145640936,0.09965975113012537,-0.04695047451270096,0.02229572839187921,0.05862353936039355,-0.04769574288956391,0.004901464921879928,0.1007200944200275,-0.013017555217212262,0.055836256964500786,0.049223835864471654,-0.3094816676143136,-0.09838681671228122,0.16431790795475876,-0.08974239135832407,-0.01929660218232654,0.01670938428380042,0.14985565684508062,-0.026191602119853274,0.19910055237815905,0.10608033288925034,-0.14937174604926695,0.015857293701000863,-0.1191813473890756,-0.04955715383135073,
ABDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABF,0.08373673537842286,-0.025233750768642205,-0.017611513732418094,0.02336452961841662,-0.04035881672924757,0.06625579284315153,0.06305715144767965,0.03632340525871447,0.07148528967231682,0.007200227208179477,0.008429450607864375,-0.0102928671043232,0.011210834311711215,0.02209441042119309,0.04533716839309698,0.040035469305800486,-0.021304505043703847,0.0336281315327529,0.00623271931235192,0.04757686748035517,0.031759959855007125,-0.017958318420835395,0.010735393965027873,-0.07287071291838865,0.049769662632264566,0.07852936709156544,-0.018536674865690883,-0.022880192722485204,-0.09359123120164725,0.06715022705842832,-0.06133037626340987,0.020870116112415182,-0.031169582552479702,0.021512836523513323,-0.022827140468143492,-0.04313018824857939,-0.00159522153189251,0.222220267623638,-0.008693074314014337,0.0703193534539075,-0.025677862845296495,-0.01176534017048958,0.10509347526745039,0.04117312563541442,-0.06091214488682328,0.009626192654554888,0.027141864656506476,0.14955881615346311,
AC8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM,0.05323384270627218,0.020593373332749465,0.028569283515603505,-0.019396604612583412,0.07907127006572501,0.0353114701963515,0.07044460748349235,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEP,-0.01599661394630858,0.03878159329113351,-0.02957195025537407,0.18095054611200845,-0.039630523117212046,0.009228802482081022,0.0061930467332942385,-0.041543437757568524,-0.07671302957633896,0.11620685963096467,-0.006080084000226971,0.06818233488689307,-0.11611036312119427,-0.048259902205165295,0.0811598797937747,0.07813034108642358,0.01586798321103977,0.053515615680099105,0.031036292372534025,0.16465004345210232,0.028928259096581366,0.08520031137034945,0.0,0.022939482525415444,0.027562011724223012,0.10152603896584922,-0.061907133508611434,0.03960264900662258,0.10383051117786213,0.15822044334975383,0.006367255883127365,-0.01257438313625292,-0.012418231535056612,0.16666372913618965,0.04545789570665182,0.007631036595555196,0.20657287512881406,0.2471850465200749,0.0,0.1866648983787007,0.013508518431398997,0.10447595011876487,0.0,0.15520493911850441,-0.15943491422805245,0.04543741993821104,0.11864121043536913,-0.1323411102172164,
AEWU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEX,-0.06664749442806828,0.0,-0.16667665208795146,0.12495787558131699,0.0,-0.11107782637349461,-0.05267041262273686,0.0,0.0,0.0,0.35718687413341565,-0.3000107839965491,-0.39394137446488675,-0.029402435929967052,0.030293127675566245,0.0,0.10000359466551645,-0.03224796493425175,-0.06061893402176399,-0.05712525034663374,0.25,-0.0666810453287322,-0.09091206169733013,0.43478057014253557,0.0,-0.07997584332671903,-0.038490253007051,0.04003105857993283,0.3157386911856519,-0.1739028507126782,0.0,-0.23332973866781692,0.0,0.0,0.11111554898749842,-0.18182412339466036,0.0,-0.195112969830874,-0.08888516104294486,0.022720031371780136,0.1282214356818936,-0.11364917526531215,0.04763005186668723,-0.16001294079585904,0.0,-0.1071462959040228,0.24446414877300615,0.2857186874133417,
AFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR,0.0,0.047229387174241744,0.01592149492174788,0.051497415627850485,0.088779922620156,0.011828002009713678,0.014397961350605115,0.02708951317396635,0.016450139670997066,-0.014421186033299782,-0.004784064715348091,0.004807062011099816,-0.002397767896067604,0.002403531005549908,0.012163835810332646,0.002438699951226031,-0.004853726338084119,0.004877399902452062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHT,0.07150660612474824,-0.14867830206501675,0.10213658786597479,0.16250837864005363,0.036273828818399245,-0.05566386677113133,0.19779572239196863,0.24659919468930247,0.13468959343067954,0.06046618215150934,0.6545336366590835,0.1224464980544746,-0.169502650845746,0.2165233415233414,-0.24409156335608484,0.1256467882715726,0.8568517080745339,-0.08090268486308094,0.08791848617176123,0.037868868969684666,0.0027267218743689536,0.06415905427189683,0.10001182172833678,-0.3280108039402605,1.457633736821554,0.2206863679694948,-0.7883480453972257,-0.10512774216845722,0.31994756911344147,-0.1666335650446873,0.199952335557674,-0.1666335650446873,-0.08145580589254753,-0.2828312563372911,0.17855903781658378,-0.19999383211003519,0.24999036274623188,0.24752332403577948,-0.16870552490605262,-0.17773906183228694,-0.35896409305461907,-0.031055393347897864,0.059191176470588136,0.013346190090070431,-0.2581049003349267,0.009718619693338093,-0.023704582244803096,-0.10592534212223248,
AIQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTN,-0.15703319433635154,-0.023059147626766308,0.03030399921294702,0.3750002113667992,0.14591172789031281,-0.08011143769239126,-0.22557878230717843,0.22500080319383686,0.2631577823201612,-0.051706362629149516,-0.27141937978318675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
