Firm Name,Momentum_1,Long Short
PXKU-L,-0.1,0
FTPI-L,-0.0999999999999998,0
PVEB-L,-0.0995475113122171,0
LWSG-L,-0.0995024875621889,0
NPAJ-L,-0.0980502739284563,0
OKXS-L,-0.0980392156862745,0
SDDO-L,-0.097986577181208,0
FSAM-L,-0.0977011494252872,0
SAMU-L,-0.0973451327433627,0
QVPA-L,-0.0972222222222222,0
NIRS-L,-0.0971563981042653,0
FTPQ-L,-0.0970383772974003,0
FTCH-L,-0.0968681718863802,0
MIKN-L,-0.0961145194274029,0
MWYI-L,-0.0943368968506211,0
NENH-L,-0.0925925925925926,0
SCGP-L,-0.0924254853705223,0
LTDS-L,-0.0909090909090908,0
LWNH-L,-0.0909090909090908,0
NFBH-L,-0.0909090909090908,0
QGNN-L,-0.0909090909090908,0
NEDG-L,-0.0892857142857143,0
OLJZ-L,-0.0891844744875708,0
MHCF-L,-0.0887096774193548,0
PXJX-L,-0.088060965283658,0
PRIF-L,-0.088,0
LZDB-L,-0.0875455966649296,0
FUCW-L,-0.0871428571428571,0
MIKT-L,-0.0868559593269754,0
SOEH-L,-0.0851063829787234,0
LKKH-L,-0.0844069302532208,0
LZJJ-L,-0.0836707152496626,0
NGTE-L,-0.0834125023750712,0
OIQO-L,-0.0833333333333332,0
FSXI-L,-0.083076923076923,0
PVCJ-L,-0.0828067841702694,0
FWIC-L,-0.0826446280991735,0
QIUS-L,-0.0815068493150684,0
PNRA-L,-0.0813953488372092,0
FWTS-L,-0.0810810810810811,0
LTEG-L,-0.0804597701149424,0
FSIY-L,-0.0802139037433156,0
FTVQ-L,-0.0798611111111111,0
SNWH-L,-0.0797720797720796,0
ZTK-L,-0.0795328142380422,0
FSCX-L,-0.0794223826714801,0
SEWN-L,-0.0790960451977401,0
FVVT-L,-0.0789473684210526,0
FVRF-L,-0.078125,0
OMRV-L,-0.0762711864406778,0
OCKI-L,-0.0760869565217392,0
SEJE-L,-0.0760869565217392,0
FTLN-L,-0.0757434944237918,0
