firms,clusters,mom1
54594,29,-0.0788381742738589
11624,13,-0.140495867768595
11790,8,-0.0681818181818182
12320,32,-0.0071942446043165
13056,26,0.0275862068965517
50091,39,0.0333919156414763
14286,44,-0.1111111111111111
14526,17,0.1578947368421053
11581,21,-0.0327510917030567
15748,10,-0.0816326530612244
16126,48,0.1743119266055046
17137,11,-0.07981220657277
85885,47,0.119047619047619
85914,19,-0.2074303405572755
18092,36,0.0105078809106831
18244,37,-0.1607142857142857
67176,14,-0.1666666666666666
20336,5,-0.1900826446280992
20670,19,-0.1620370370370371
64899,24,0.0416666666666667
22905,13,-0.0686274509803921
47175,15,-0.1710945802337938
23660,14,0.1104100946372239
23975,25,-0.0173611111111111
24548,22,-0.0948905109489051
82542,33,-0.0449438202247191
30680,43,-0.1042553191489361
56274,31,0.2218543046357615
64565,46,0.1131221719457014
27642,47,-0.25
28215,45,0.0
87207,19,-0.2661498708010336
63554,31,0.239795918367347
30593,36,0.1111111111111111
31318,5,-0.1129032258064516
31668,28,-0.1770833333333333
54391,27,-0.0714285714285714
32046,31,-0.0170454545454545
32054,37,-0.2507433102081269
47511,35,0.0925925925925925
33188,33,0.0
48143,41,-0.0751445086705202
23552,43,0.0319148936170212
60628,31,-0.0580431177446102
57330,28,0.0684931506849315
37875,39,0.0097560975609756
20765,17,-0.0062111801242236
17144,4,0.0910652920962198
39328,41,0.0
26657,41,0.0034129692832765
40540,36,0.1779141104294479
22250,17,-0.0999999999999999
41452,17,-0.0094339622641509
62287,11,0.1499999999999999
44821,48,-0.0769230769230768
53129,31,0.0878048780487805
89181,45,-0.1058823529411764
46843,2,-0.0333333333333333
46907,44,-0.25
47141,38,-0.1564625850340135
48550,23,-0.0270270270270269
48697,45,0.0
61145,38,-0.0410958904109589
52708,38,0.0134228187919462
49585,31,0.3275862068965518
64020,4,0.0
51423,11,0.023391812865497
67002,8,0.0117647058823529
52090,27,0.0420841683366732
53613,22,-0.4979811574697174
54114,5,-0.0136986301369863
55160,27,0.0113636363636364
55213,5,-0.5283582089552239
64442,49,-0.0909090909090909
55862,2,-0.074074074074074
56363,31,-0.2049549549549549
52337,5,0.0049019607843137
51377,40,-0.1041666666666666
22066,31,0.0116279069767442
57665,14,-0.0129496402877697
67010,44,-0.034965034965035
34948,50,-0.0919117647058823
35107,6,-0.0219512195121951
61621,18,-0.334916864608076
51692,33,-0.2527472527472527
65307,11,-0.037037037037037
66852,36,-0.0295566502463053
46922,16,0.3703703703703704
67193,8,-0.1128205128205128
67679,13,-0.0434782608695651
67732,31,-0.1860465116279069
77354,24,0.1392235609103078
69199,39,-0.0825242718446601
70288,41,-0.05
70798,23,-0.1717171717171717
38850,39,0.0122699386503066
71002,16,-0.1999999999999999
72128,44,-0.0186335403726708
72710,31,0.1
27764,9,-0.2222222222222222
44951,28,0.0060422960725075
74500,41,-0.0520833333333333
60353,12,-0.0374999999999999
74740,6,-0.1388888888888888
65752,28,0.0588235294117647
40061,42,-0.0755939524838013
75417,16,0.0
40694,25,-0.1173076923076923
76129,33,0.0602218700475436
65306,32,-0.1493506493506493
79039,16,0.146341463414634
92874,20,-0.073170731707317
81294,29,-0.0250783699059561
19502,38,0.0088888888888889
81614,47,-0.1807228915662651
82449,16,-0.1153846153846154
51086,36,-0.1764705882352941
83601,35,-0.0202020202020202
83919,16,-0.2916666666666666
62042,14,0.0814814814814814
10012,49,-0.1574074074074074
88867,8,-0.0915492957746478
21785,12,-0.0588235294117647
65067,42,-0.2137931034482758
10044,5,-0.1111111111111111
69032,6,-0.0684039087947883
10104,34,-0.1008600469116497
10160,45,-0.3015873015873016
10216,49,-0.0863636363636363
39416,29,-0.2982456140350877
75510,34,-0.069250645994832
10800,30,-0.2068965517241379
89659,35,-0.0434782608695651
10972,46,-0.0212765957446808
11353,44,0.1928571428571428
75033,19,-0.4480874316939891
75094,34,-0.1434689507494646
75174,31,0.0263157894736842
11694,6,-0.0833333333333333
11614,2,0.0948275862068965
11757,33,-0.1627906976744185
75110,47,-0.3628318584070796
11956,4,-0.0999999999999999
11952,12,-0.0555555555555555
10114,2,-0.1314301596705651
12099,8,0.0
11106,2,-0.421875
11794,1,-0.1999999999999999
12211,50,0.0489510489510489
12171,49,0.0078740157480314
75434,47,-0.0334728033472803
80297,38,-0.1970588235294117
75625,1,0.0
75657,48,0.0652173913043479
75976,14,0.0
75857,47,-0.2927235246995994
75993,35,-0.1286549707602339
77488,5,-0.0363636363636363
77820,50,0.2444444444444444
76400,33,0.0555555555555555
76138,17,-0.0847457627118644
76276,38,-0.0833333333333333
76410,46,0.1153846153846154
76279,14,-0.0573248407643312
76568,24,-0.0044943820224718
76990,23,-0.0851063829787234
76605,28,0.220708446866485
76613,41,0.0677966101694915
76623,24,0.0731707317073171
76988,23,-0.3478260869565217
76752,38,-0.24375
76772,6,0.5
76797,48,0.0413223140495868
77163,41,-0.2025316455696202
77478,40,-0.0218579234972677
79580,19,-0.2361111111111111
77637,32,-0.1506849315068493
77667,27,-0.0329670329670329
77669,14,-0.3372781065088757
77989,14,0.0909090909090908
77803,50,0.0632530120481926
79094,1,-0.1042944785276073
79562,28,-0.2424242424242424
79255,31,0.0238095238095237
87055,18,-0.4092485549132948
79866,39,-0.0461538461538461
79950,4,-0.5108695652173914
80006,28,-0.04
80357,16,-0.1428571428571429
80465,23,-0.1232876712328767
80599,44,-0.0597867479055598
80553,34,0.2228571428571428
80540,45,0.1499999999999999
80659,17,0.0681818181818181
80763,38,-0.0263157894736841
80803,2,-0.1999999999999999
80975,23,-0.375
81078,37,0.1063829787234043
81181,23,-0.2325581395348837
81300,41,0.0217391304347827
81655,48,-0.0709459459459459
81755,12,-0.1666666666666666
82271,41,-0.183673469387755
82533,38,-0.0303030303030302
82535,49,0.0404624277456646
