Firm Name,Momentum_1,Long Short,Long,Short,Cluster Index
FSYC_23-L^H00,-0.0791855203619908,0.0,0,0,0
FSDU_19-L^I02,-0.2058823529411765,0.0,0,0,0
FTTQ_89-L^J99,-0.1469534050179212,0.0,0,0,0
FTMS_64-L,-0.1374149659863945,0.0,0,0,0
FVUH_J7-L,-0.1283333333333333,0.0,0,0,0
FVWA_N4-L,-0.119533527696793,0.0,0,0,0
LKMB_84-L^J03,-0.1161616161616161,0.0,0,0,0
LUHP_34-L,-0.1142857142857142,0.0,0,0,0
FVWS_77-L^K98,-0.1125,0.0,0,0,0
FTLU_07-L^E02,-0.0491803278688525,0.0,0,0,0
FVVM_61-L^D02,-0.1087344028520499,0.0,0,0,0
FSUH_43-L^F05,-0.0980392156862745,0.0,0,0,0
XKG_55-L^H00,-0.097142857142857,0.0,0,0,0
BFQZ_11-L^I03,-0.0928571428571428,0.0,0,0,0
FVVN_37-L^L00,-0.0924956369982548,0.0,0,0,0
FSWW_84-L^E98,-0.0921052631578948,0.0,0,0,0
FTLA_26-L^G99,-0.0916030534351145,0.0,0,0,0
LLVM_66-L,-0.081218274111675,0.0,0,0,0
FTYS_87-L^A02,-0.0793650793650794,0.0,0,0,0
FVYE_M4-L,-0.105865522174535,0.0,0,0,0
FVPB_77-L^B03,-0.0216216216216216,0.0,0,0,0
MORM_11-L^G98,-0.0476190476190476,0.0,0,0,0
XFP_87-L^H99,-0.0460829493087557,0.0,0,0,0
FTMO_13-L^G06,-0.0315315315315316,0.0,0,0,0
FTJV_58-L^I97,-0.03125,0.0,0,0,0
FSDV_69-L^F19,-0.0306719737766331,0.0,0,0,0
FTNC_74-L^I02,-0.0295983086680762,0.0,0,0,0
FSEY_39-L^I97,-0.0294117647058823,0.0,0,0,0
FSTZ_06-L^A00,-0.0289156626506024,0.0,0,0,0
FSBL_22-L^A00,-0.028436018957346,0.0,0,0,0
BFSV_71-L^I00,-0.0273972602739726,0.0,0,0,0
FTTH_87-L^H98,-0.0261096605744125,0.0,0,0,0
FTJK_00-L,-0.025706940874036,0.0,0,0,0
FSWB_01-L^H01,-0.0252100840336134,0.0,0,0,0
FSTC_32-L^B00,-0.025,0.0,0,0,0
FZDL_87-L^A00,-0.0243902439024389,0.0,0,0,0
FTGH_45-L^B03,-0.0243902439024389,0.0,0,0,0
UGF_25-L^G96,-0.0236220472440945,0.0,0,0,0
FTRZ_42-L^K97,-0.0232558139534883,0.0,0,0,0
LMFU_49-L^I00,-0.0231213872832369,0.0,0,0,0
FTGF_31-L^H99,-0.0322580645161291,0.0,0,0,0
LWCO_33-L,-0.0338983050847457,0.0,0,0,0
FRYW_00-L^I99,-0.0344827586206895,0.0,0,0,0
FSKO_65-L^D00,-0.0346820809248555,0.0,0,0,0
FSME_32-L^G03,-0.0460048426150121,0.0,0,0,0
LMYZ_36-L^D98,-0.0454545454545455,0.0,0,0,0
FWJQ_58-L^I05,-0.0448717948717948,0.0,0,0,0
FSEA_02-L^C01,-0.0434782608695651,0.0,0,0,0
FVSF_03-L^A11,-0.043478260869565,0.0,0,0,0
XDT_84-L,-0.0430622009569376,0.0,0,0,0
BBTU_63-L^C18,-0.0426439232409382,0.0,0,0,0
FTTP_25-L,-0.0425531914893616,0.0,0,0,0
NVJ_39-L^G03,-0.04739336492891,0.0,0,0,0
FUKE_88-L^G06,-0.0416666666666666,0.0,0,0,0
FSUX_S9-L^A11,-0.0394088669950739,0.0,0,0,0
FTWC_87-L^B06,-0.0382513661202186,0.0,0,0,0
FSRU_04-L^J00,-0.0382409177820267,0.0,0,0,0
FSCM_81-L^E05,-0.0376569037656905,0.0,0,0,0
FSFV_71-L^B05,-0.0372670807453416,0.0,0,0,0
FTIT_63-L,-0.0360360360360361,0.0,0,0,0
FUEG_73-L^A98,-0.0352941176470588,0.0,0,0,0
FWKZ_24-L^C13,-0.0348837209302326,0.0,0,0,0
FTKZ_L8-L,-0.0408163265306122,0.0,0,0,0
FSVT_07-L,0.0138888888888888,0.0,0,0,0
FTGM_05-L^B22,-0.0138869005010736,0.0,0,0,0
BKEO_50-L^A00,0.014388489208633,0.0,0,0,0
FTOH_K0-L,0.0769230769230768,0.0,0,0,0
LRIY_22-L^L06,0.0769230769230771,0.0,0,0,0
LMYQ_84-L^G99,0.0784313725490197,0.0,0,0,0
FSSF_79-L^F94,0.0788732394366198,0.0,0,0,0
UEM_23-L^F05,0.0791075050709939,0.0,0,0,0
FSIW_67-L^J01,0.0810810810810811,0.0,0,0,0
FTNQ_24-L^J96,0.0814332247557003,0.0,0,0,0
FSIF_16-L^I98,0.0816326530612245,0.0,0,0,0
FTIP_09-L^I98,0.0818181818181817,0.0,0,0,0
FSXN_M8-L,0.0833333333333332,0.0,0,0,0
FTZM_24-L^G04,0.0833333333333334,0.0,0,0,0
FTTC_96-L^A99,0.0833333333333334,0.0,0,0,0
FSGG_17-L^F99,0.0864197530864196,0.0,0,0,0
FSJV_53-L^B01,0.0887096774193549,0.0,0,0,0
FSKX_06-L^D98,0.088888888888889,0.0,0,0,0
FSPK_05-L^G03,0.0903225806451613,0.0,0,0,0
LKGD_51-L^K01,0.0909090909090908,0.0,0,0,0
FSVZ_N1-L,0.0758620689655171,0.0,0,0,0
FTLC_33-L^B01,0.0752972258916777,0.0,0,0,0
FTHP_V2-L^F09,0.0751879699248119,0.0,0,0,0
XOF_38-L^H99,0.0745341614906831,0.0,0,0,0
FSLV_X2-L^J11,0.0625000000000002,0.0,0,0,0
LYNI_23-L^L00,0.0633484162895927,0.0,0,0,0
LPTA_36-L^B02,0.0634920634920634,0.0,0,0,0
FUMF_38-L^G02,0.0641711229946524,0.0,0,0,0
FSLO_06-L^E10,0.0657894736842104,0.0,0,0,0
ZTK_23-L,0.0660377358490567,0.0,0,0,0
FTMA_04-L^K03,0.0663265306122449,0.0,0,0,0
MQUF_44-L^F96,0.0666666666666666,0.0,0,0,0
FTVI_84-L^I00,0.0923076923076922,0.0,0,0,0
FSQG_08-L^E11,0.0669856459330144,0.0,0,0,0
FVVT_39-L,0.0675324675324675,0.0,0,0,0
BDBL_73-L^I97,0.0679117147707979,0.0,0,0,0
XCC_Q6-L^C09,0.0679738562091503,0.0,0,0,0
FTHX_01-L^E20,0.0696969696969695,0.0,0,0,0
FRZG_09-L^C99,0.0698924731182795,0.0,0,0,0
