firms,clusters,mom1
54594,19,0.0782608695652173
10154,5,0.1428571428571428
10867,100,-0.028169014084507
11010,34,-0.0999999999999999
11790,2,0.1666666666666667
12117,44,-0.05
12320,15,-0.0489130434782608
13056,41,0.1074918566775244
13283,72,0.146341463414634
50091,89,0.0
14526,46,0.0315789473684211
11581,13,-0.0068965517241379
15203,33,0.0
15828,4,-0.0833333333333333
16126,19,0.24
17137,32,0.1042944785276074
85885,78,0.0408163265306122
42438,19,0.0791366906474819
85914,97,0.0294117647058822
55044,13,0.0362694300518133
18092,72,-0.031578947368421
18244,81,0.1891891891891892
55108,19,0.0172413793103447
20336,53,-0.0769230769230768
20670,71,0.0566037735849056
64899,23,-0.0306748466257669
41419,84,0.0606060606060605
22905,72,0.1783783783783783
23027,47,-0.0952380952380952
23115,8,0.1515151515151516
47175,33,0.1261261261261261
23660,41,0.0386266094420599
23975,57,-0.3110236220472441
24548,78,0.125
30680,57,0.0109890109890109
53401,52,0.0
25583,34,0.0555555555555555
56274,81,-0.1616541353383458
48637,2,0.3
26658,37,0.1666666666666667
36150,19,-0.0204081632653061
64565,71,-0.1779661016949152
12044,45,0.1176470588235294
87207,80,0.0
63554,89,-0.1008771929824561
31318,28,0.0714285714285714
21872,37,0.6666666666666667
31536,76,0.0661157024793388
54391,23,-0.0664335664335664
31748,41,0.2839506172839505
32046,100,0.1657754010695187
32054,79,-0.0555555555555555
47511,61,0.0540540540540539
33188,100,0.0454545454545454
33639,37,0.0
48143,32,0.0110294117647058
34041,72,0.1025641025641026
23552,79,0.15625
60628,28,0.1714285714285714
63597,69,0.0
57330,2,0.3081761006289307
37875,64,-0.0567375886524822
20765,93,0.0380952380952381
66923,41,-0.1428571428571429
17144,72,-0.010752688172043
88357,2,-0.0789473684210526
38798,49,0.0
38907,58,0.1875
32205,2,0.046875
39328,54,-0.0483870967741935
26657,79,0.1057268722466959
22250,34,0.0185185185185186
64979,21,0.1244444444444443
41452,41,0.0058479532163742
27879,72,0.0684931506849315
50382,79,0.0277777777777776
52716,15,0.0586206896551724
50999,11,0.0357142857142858
42586,20,0.0555555555555555
62287,46,0.032
44856,90,0.0227272727272727
45103,52,0.0714285714285714
53129,2,-0.0538116591928251
51828,71,-0.0355029585798816
46739,69,0.0777777777777777
46843,53,-0.0094339622641509
47563,90,-0.0799999999999999
89392,2,0.1368421052631578
61137,19,-0.0555555555555555
50462,89,0.1531531531531531
49585,55,0.1290322580645162
64020,87,-0.0079365079365079
11198,2,-0.0606060606060605
59926,23,-0.0531400966183575
67328,41,0.1687499999999999
45022,41,-0.0176991150442478
67002,24,0.0946745562130177
52090,55,-0.0047169811320755
59942,1,0.0903614457831325
52602,98,-0.0231213872832369
53613,9,0.0469798657718121
54114,16,-0.0063694267515923
55213,41,0.0
64442,61,0.0
65373,5,0.6799999999999999
52337,19,-0.0787401574803149
51377,95,0.3770491803278688
22066,16,0.0793650793650793
57665,99,-0.0084889643463497
67010,95,0.4444444444444444
25232,46,-0.0692307692307692
34948,15,0.0
35107,16,0.0
58675,77,-0.0476190476190476
61621,15,0.0340136054421769
45823,69,0.096774193548387
51692,72,-0.0476190476190476
63096,41,-0.01707779886148
40571,72,-0.0163934426229508
64064,48,0.180327868852459
65058,15,0.0363636363636363
65307,50,0.0282485875706215
79733,97,0.0638297872340425
66852,19,0.1428571428571428
46922,19,0.0121212121212122
67679,71,-0.4036144578313253
67732,2,-0.0425531914893616
67970,81,0.2307692307692308
91679,53,-0.0793650793650794
69199,89,0.089430894308943
69220,98,-0.1238670694864048
69682,12,0.0
70288,41,-0.0933333333333333
38850,28,0.096774193548387
71002,42,0.1176470588235294
25283,57,-0.03515625
72128,49,0.625
72291,34,0.0666666666666666
72486,78,0.1967213114754098
72603,97,0.2063492063492062
72710,99,0.2875000000000001
27764,84,0.0082987551867219
54471,19,0.0
44951,31,-0.0416666666666666
58625,20,-0.0480769230769231
76022,52,-0.0638297872340425
74500,56,0.0434782608695651
60353,55,0.04
74561,56,0.0833333333333332
65752,29,-0.1891891891891891
74975,78,-0.2199999999999999
40061,76,-0.0566037735849056
75433,56,0.3999999999999999
40694,63,-0.0117647058823529
37640,71,-0.131578947368421
76129,80,0.0294117647058822
48709,19,-0.0135135135135134
92524,34,0.1
