Momentum Index,0,1,2,3,4,5
ABF,-0.0286765164266566,-2.565006554813851,-2.369111230696381,0.8494756282647811,-0.07673708664424281,-0.097686211192883
AEP,0.1028114806441033,3.6363283841697807,0.3468015258046845,-2.8449729687265384,3.2422727804437828,-1.1463949557850415
AHT,-0.0597188151196222,5.046831219759689,5.145799683824679,-2.9713972302921645,3.9944603494851285,-1.2976205819373592
ANTO,-0.0146856356126663,4.5610825033584526,7.018927720273282,-3.2382672449344736,0.19816975136726084,-1.2913563346688923
APTD,-0.0521811227901254,-4.7449073706906475,-3.3954341006310385,2.016777981405374,-1.1134689225977796,0.7722075478742556
AV,-0.0403669119889235,-2.5686379478319386,-2.0577266167261663,0.6290248594882282,-0.4012404379307165,0.6040490561508988
AVON,-0.0316563844898132,-1.0960859909625276,0.7126359959974063,-0.6284779796001517,-0.9755749537427643,0.27804839002729453
BA,-0.0433707633666426,-0.876064609586552,-3.4874704443204823,0.40861345083244005,3.021462247789484,-0.4189861316197945
BAB,-0.1016938464060943,-4.659860997237162,-3.9705554305900392,2.4084762993319453,-0.7507338901805635,-0.2058943148459188
BAG,-0.0027256095284322,-1.4472253117801828,-0.11204049595574546,-0.13721215155043484,-1.1097147002285408,0.37284015683048344
BARC,0.0204431499778794,-1.1708374430117245,-1.5377433697338563,0.12088511248058283,0.7379595657551258,-0.029201268136539307
BBY,0.0,-3.412856945531944,-3.1225027369132756,1.2929689069015353,0.16626945334785392,0.42891339015007085
BDEV,0.0484892160395327,1.5515700988556258,0.7758249215051419,-2.873801228231685,2.6059341211124885,2.988078088651134
BISI,0.0,-0.777667358981566,-1.5560663611797827,-0.33595874002856974,0.6823372750358383,0.40507293742009637
BKG,-0.0290203289614043,-2.2261753353171647,-1.4627823878711448,0.43702565514427805,0.21826595931451634,0.6220669015143637
BLND,-0.0869490420484589,-0.33601748192381153,-1.8377115131853798,-0.3865401748002292,2.089818224253935,-0.052445523188798214
BNZL,0.006177741288577,-0.6426915644438823,0.5792485985826339,-0.5509645555490894,-0.1677441068867662,0.10467226257057174
BOOT,-0.1245187436676797,-1.3536977617815333,1.4766057078211483,-0.6063052667755443,-1.5585656512426884,0.6581182145412693
BOY,0.0133916142324184,-1.0041279074340672,1.5880977632023325,-0.4570350598005181,-1.5096224438924934,-0.15141180366240134
BP,-0.0082767299656345,-1.0827946519245528,-2.2003568254628996,0.32540607177493175,1.3152781230302473,-0.4902415804588498
BT-A,-0.0564582363151433,-3.065561714912699,-2.1737342440367478,1.1563346168022834,-0.6265128831697298,0.3204392160809917
BWY,0.0257694580222376,-1.3332215394288855,-0.07519843320014269,-0.5829501123163875,-0.28936750367253555,0.798789158501786
CAL,0.0071966845618709,-2.518437239680321,-2.2606473291194384,0.6069880084816354,0.16413088323936176,0.5525160994335273
