firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,quick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
54594,0.7721231131,0.0801502404,-5.157850781,0.0255621922,0.6010163547,1.9345799292,0.1096476064,0.1324583904,0.3912248229,0.004827701,0.21154908,-0.098846956,11.0,0.0462558905,0.0769784173,0.2316805616,0.0158099114,0.1311437359,0.0298073335,0.0801439939,0.0776962447,0.519268936,0.0,2.2514888474,1.1849686848,43.745454545,5.0982885086,0.218921901,0.0,0.0,1.0,0.0,0.0,0.636282913,4.0,-0.639038468,-0.022242688,-0.145235729,-0.125490207,0.4331077948,0.0947628235,35.169610054,0.4894653679,12.293973627,0.0038649651,0.0186355249,0.0320773988,0.0405502393,0.0147643147,0.0189861017,1.0,0.0018000006,0.2971164255,0.0404806924,5.0,11.34430561,0.4677803422,0.0,0.0434782617,0.0182747247,0.0255192977,0.9211663268,2.4893025014,3.7382724e-08,3.9924705e-08,1.1146299079,1.2423998316,0.0940762908,0.0372527295,0.0265685399,0.2487619631,0.0666666666666666,0.1428571428571428,0.0607734806629833,0.0971428571428572,0.263157894736842,0.28,0.4328358208955223,0.28,0.1428571428571428,0.1162790697674418,0.2972972972972973,0.2387096774193549,0.0909090909090908,0.0491803278688525,0.0607734806629833,0.1566265060240963,0.1779141104294479,0.2307692307692308,0.2229299363057324,0.1999999999999999,0.2715231788079471,0.3426573426573427,0.3913043478260869,0.7142857142857142,0.6991150442477876,0.6000000000000001,0.6271186440677967,0.6134453781512605,0.5737704918032787,0.6271186440677967,1.0,1.258823529411765,1.5945945945945947,1.5945945945945947,1.56,1.7826086956521738,2.0,2.3684210526315788,2.6226415094339623,2.764705882352941,2.4909090909090907,2.4285714285714284,2.4285714285714284,2.4285714285714284,2.0476190476190474,2.310344827586207,2.1475409836065573,2.096774193548387
41734,1.8155333077,-0.154131679,-128.457533,0.0026989456,3.4575864145,6.696941192,-0.014872199,0.0592430199,0.1845378943,0.0070705448,0.1397852694,-0.596138733,11.0,0.0166467527,-0.147705675,0.1164194078,-0.034521849,0.1080772707,-0.118165224,0.0442374939,-0.064489758,0.5439441046,0.0,1.8478648815,0.6305596458,313.60802733,6.2234781725,0.0062649424,0.0,0.0,1.0,1.0,0.0,0.3638507799,2.0,0.4127916755,-0.194108866,0.9820091884,71.58981512,0.0240053523,-0.416907837,-91.99846751,0.0279510998,10.871808432,0.0013769912,-0.013330426,-0.036440005,0.1281634449,0.0040059662,-0.013484045,0.0,0.0551460241,0.0724731882,-0.051757793,1.0,10.132811963,0.705570573,0.0,0.0634920672,0.0248730559,0.0282554519,1.28071799,11.208522078,2.3934618e-07,1.9719193e-08,1.188204632,1.4118302474,0.1103234041,0.0418839211,0.0275643142,0.2179932366,-0.1025641025641025,-0.1358024691358025,-0.2783505154639175,-0.3203883495145631,-0.1463414634146341,-0.125,-0.0789473684210526,-0.1463414634146341,-0.0909090909090909,-0.125,0.0769230769230768,0.0294117647058822,-0.0277777777777777,-0.0666666666666666,-0.1463414634146341,-0.0410958904109589,-0.125,-0.2391304347826086,-0.3269230769230768,-0.3203883495145631,-0.2708333333333333,-0.375,-0.3333333333333333,-0.3457943925233645,-0.3636363636363636,-0.4308943089430894,-0.396551724137931,-0.375,-0.4444444444444444,-0.396551724137931,-0.339622641509434,-0.3269230769230768,-0.3457943925233645,-0.3333333333333333,-0.2473118279569892,-0.396551724137931,-0.3518518518518518,-0.3333333333333333,-0.2631578947368421,-0.0277777777777777,-0.2134831460674157,-0.3693693693693693,-0.3333333333333333,-0.3636363636363636,-0.4017094017094017,-0.4573643410852713,-0.4573643410852713,-0.4615384615384615
50091,1.1413407009,0.1073570042,-29.16505769,0.0326065572,1.4754039467,2.6115611287,-0.013826183,0.1411513684,0.3325636655,0.0075821398,0.195972931,-0.105919989,11.0,0.0132717308,-0.1,0.1772633154,-0.009454872,0.1039036472,0.0148561302,0.0853249578,0.0773149681,0.4439146544,0.0,1.9981346919,1.2630780367,71.889569108,4.0535714286,0.1391295562,0.0,0.0,1.0,0.0,0.0,0.6504759521,4.0,0.0351138963,-0.267832527,-0.009997111,0.6138042075,-0.387925157,0.0101794344,-107.258458,0.063541233,11.74404413,0.012458921,0.0148557517,0.0342858027,0.1197683668,0.0138827144,0.0326510905,0.0,0.0025575448,0.1515151515,-0.008030992,3.0,10.68716076,0.2530928191,0.0,0.0238095243,0.0182316845,0.0148977333,1.4057203248,2.2369295238,3.9216929e-07,9.0310852e-08,0.564667149,0.3188489891,0.0533600163,0.0303937029,-0.301123569,0.2618669566,0.1171428571428572,0.1499999999999999,0.2532051282051282,0.2819672131147541,0.4064748201438848,0.4064748201438848,0.5155038759689923,0.52734375,0.5155038759689923,0.5766129032258065,0.7149122807017543,0.8101851851851851,0.7935779816513762,0.7692307692307692,0.670940170940171,0.7612612612612613,0.7533632286995515,0.7,0.6567796610169492,0.6853448275862069,0.6090534979423867,0.453531598513011,0.3914590747330961,0.5766129032258065,0.649789029535865,0.3964285714285713,0.4699248120300752,0.4810606060606059,0.6024590163934427,0.6567796610169492,0.5096525096525097,0.7935779816513762,0.7455357142857142,0.7772727272727273,0.9073170731707316,0.8888888888888888,1.0154639175257731,1.209039548022599,1.0797872340425534,1.4904458598726116,1.341317365269461,0.9948979591836736,0.955,1.0471204188481678,0.9166666666666669,0.964824120603015,0.7935779816513762,0.7074235807860263
44601,0.4401098963,0.0675458927,86.055811808,0.0172276247,0.4202412343,1.3053596121,0.1470501807,0.1579827785,0.6271274882,0.0049622766,0.1534049876,-0.015802836,11.0,0.0192150061,0.065648507,0.0215197679,0.011938566,0.0775172373,-0.015253366,0.1489161701,0.1623879494,0.5430005726,0.0,1.7504596005,0.9727587381,430.19787823,5.9822904974,0.2472283319,0.0,0.0,1.0,0.0,0.0,1.1828925238,3.0,-0.659770478,0.0248799122,-0.364483086,-0.411701122,0.2247830295,0.0097803011,-10.12795158,0.0432569654,13.666396527,0.0005180391,0.0214449352,0.0415891015,0.0266021173,0.0035268491,0.0343049535,1.0,-0.000277778,0.0827350004,0.0106366547,6.0,12.236227751,0.3588607489,0.0,0.0325443782,0.0142704294,0.0155705442,1.0509037589,3.2172041187,1.2077529e-08,4.4674894e-08,1.2622717252,1.5933299082,0.0235647886,0.0312120099,-0.005363488,0.6980859381,0.0434782608695651,0.1900826446280992,0.0746268656716417,0.0176678445229681,0.1519999999999999,0.1338582677165354,0.0472727272727273,0.0627306273062731,-0.0170648464163822,-0.0367892976588628,0.125,0.1900826446280992,0.2151898734177215,0.1851851851851851,0.1999999999999999,0.3714285714285714,0.411764705882353,0.4845360824742268,0.3649289099526067,0.3271889400921659,0.4048780487804877,0.4472361809045226,0.3211009174311927,-0.336405529953917,-0.2671755725190839,-0.2360742705570292,-0.2216216216216215,-0.2380952380952381,-0.1999999999999999,-0.170028818443804,-0.1138461538461538,-0.0557377049180327,0.0,-0.0463576158940397,-0.0068965517241379,-0.0270270270270269,0.1294117647058823,0.2687224669603525,0.2307692307692308,0.4048780487804877,0.4693877551020409,0.4922279792746113,0.4048780487804877,0.5483870967741935,0.5652173913043479,0.5238095238095237,0.2972972972972973,0.3846153846153846
46156,1.6673845169,-0.088684777,-5.108042422,0.0552485232,1.3827006737,4.1213772346,-0.102387079,-0.089068094,0.1100474761,0.0030188679,-0.124209788,-0.188111362,11.0,-0.076788114,-0.113234938,-0.232901807,-0.394828786,0.1546897342,0.1403998321,-0.033414096,-0.057713738,0.6065524131,0.0,2.6569517858,2.0216102561,15.040906508,5.0194446785,0.0930208108,0.0,0.0,1.0,0.0,0.0,0.1662104831,1.0,-0.062832823,-0.435202869,0.6555069549,-1.050311649,1.5084842135,-0.850022139,-52.52605766,0.0759736259,11.63195772,0.0167785235,0.007860262,0.0143784883,0.2377028714,0.0714854808,-0.018604588,2.0,0.0393896119,0.4853658537,0.0873761978,1.0,9.6430882313,0.1679567208,0.0,0.0088888891,0.0038219031,0.003603121,1.4520497876,0.6631037582,2.6978506e-07,7.0000003535,0.6057707882,0.3669582478,-0.249760304,0.0447373476,0.4812168717,0.6333005582,0.1680672268907563,0.188034188034188,0.1982758620689655,0.1779661016949152,0.1487603305785123,0.1583333333333334,0.1031746031746032,0.0775193798449611,0.0296296296296296,0.139344262295082,0.0859375,0.0859375,0.188034188034188,0.0530303030303029,-0.027972027972028,-0.1089743589743589,-0.0071428571428571,-0.1032258064516129,-0.1676646706586826,-0.2146892655367231,-0.6181318681318682,-0.6342105263157894,-0.6351706036745407,-0.5863095238095238,-0.5959302325581395,-0.6051136363636364,-0.6005747126436782,-0.5530546623794212,-0.5487012987012987,-0.5105633802816901,-0.4549019607843138,-0.4674329501915708,-0.430327868852459,-0.305,-0.2760416666666666,-0.2277777777777777,-0.2566844919786096,-0.2526881720430107,-0.120253164556962,0.139344262295082,0.1031746031746032,0.0451127819548873,0.0530303030303029,-0.0211267605633802,0.0859375,-0.0211267605633802,0.0296296296296296,0.0692307692307692
42438,0.4105975242,0.0598828265,-2.449419893,0.0101237232,1.2068641265,6.2658512639,0.0900727917,0.6571260589,0.5805146972,0.0028685259,0.9547591657,-0.131333049,11.0,0.1780886345,0.4545454545,0.429438366,-0.107821579,0.1563359131,-0.14451041,0.3075659586,0.1447892377,0.5572036122,0.0,1.6655118712,0.7290137507,64.169855577,13.299364762,0.0847432761,0.0,0.0,0.0,1.0,0.0,1.5254887892,2.0,-0.175344304,0.3888796498,-0.233398705,0.3755438033,0.8927949711,0.0852902648,147.54419956,0.0746244585,12.614593912,0.0012755163,0.0098833315,0.0389332832,0.7178684301,0.0010294816,-0.004569514,1.0,0.0001248947,-0.142377857,0.0003830008,3.0,12.903264137,1.4881671905,0.0,0.048648648,0.0432450514,0.0320705693,1.2414248281,14.916206318,1.300494e-08,7.4482363e-09,1.4871799025,2.2117040624,0.084184718,0.0364243338,-0.304876366,0.2999907478,0.0349344978165939,0.1023255813953487,-0.0404858299595142,-0.0404858299595142,0.0171673819742488,0.0349344978165939,0.0921658986175115,0.2606382978723405,0.144927536231884,0.1179245283018868,0.3166666666666666,0.2539682539682539,0.2606382978723405,0.3021978021978022,0.2741935483870967,0.4023668639053255,0.3314606741573034,0.4812499999999999,0.2606382978723405,0.2216494845360825,0.3021978021978022,0.2473684210526316,0.234375,0.0972222222222223,0.0128205128205127,0.0723981900452488,0.0128205128205127,-0.0778210116731517,-0.0443548387096773,-0.2229508196721311,-0.1413043478260869,-0.052,-0.1654929577464788,-0.1286764705882352,-0.0988593155893535,-0.1022727272727272,0.0533333333333332,0.0349344978165939,0.144927536231884,0.234375,0.2880434782608696,0.4363636363636363,0.5095541401273886,0.5490196078431373,0.1560975609756096,0.0871559633027523,-0.0286885245901639,-0.0669291338582677
55044,0.7849048401,0.0823292266,-2.54597645,0.0359566527,0.3372785688,1.6665943735,0.1393251607,0.036981173,0.4688079865,-0.002286088,-0.039397993,-0.007562405,11.0,0.0264013041,0.0470409712,-0.049677588,0.0835637247,0.0797356512,-0.066321246,0.0511312463,0.0736647659,0.5788203593,0.0,3.1687820356,1.5045561793,42.955205811,4.5742095594,0.2770632186,0.0,0.0,1.0,0.0,1.0,0.676026022,5.0,-0.113056893,-0.046474195,0.3701464712,-0.334296493,0.6950173366,-0.709750169,-141.0195717,0.0294676945,11.41946264,0.0065975802,0.015989423,0.0236697248,-0.050764405,0.0345740506,-0.000324312,0.0,0.0003587445,9.837037037,-0.047376596,3.0,9.2665316516,0.12700491,0.0,0.0081967209,0.0049884176,0.0035229654,0.6294963995,0.5045590538,1.1618174e-07,3.0000002165,0.4905020425,0.2405922537,0.1486185213,0.0237785815,-0.41131182,0.2788923834,0.0420560747663552,0.2119565217391303,0.2742857142857142,0.2320441988950277,0.2670454545454546,0.252808988764045,0.2119565217391303,0.2054054054054053,0.1989247311827957,0.2388888888888889,0.2388888888888889,0.2458100558659217,0.2252747252747253,0.2054054054054053,0.2054054054054053,0.4203821656050954,0.3765432098765431,0.4387096774193548,0.3515151515151515,0.3433734939759036,0.3850931677018634,0.2458100558659217,0.4025157232704401,0.1989247311827957,0.2890173410404624,0.2670454545454546,0.2816091954022988,0.2816091954022988,0.1989247311827957,0.2185792349726776,0.2598870056497175,0.2388888888888889,0.1925133689839573,0.4294871794871795,0.457516339869281,0.39375,0.5594405594405594,0.7022900763358779,0.7153846153846153,0.7698412698412698,0.7983870967741935,0.7022900763358779,0.7022900763358779,0.7286821705426356,0.7559055118110236,0.6518518518518519,0.6397058823529411,0.6518518518518519
55108,0.5925200146,0.1132844488,-6.424268617,0.0230277185,2.6299676375,3.9460881674,0.085197669,0.891687747,0.3845924548,0.0434361233,1.2068574601,-0.10460538,11.0,0.1291256103,0.8273214286,0.0341242885,0.1035462019,0.0399260658,-0.577879712,0.6471387746,0.158203872,0.537285919,0.0,1.2674338825,0.8039214299,24.927751619,4.6195987107,0.0838259118,0.0,0.0,1.0,0.0,0.0,1.1972426102,2.0,-0.034779034,0.7681746212,-0.450799533,-1.085011578,-0.672379041,-0.23784585,99.228964166,0.0261787142,11.185986145,-0.018571498,0.0011219955,0.0061023545,0.5199966433,0.0448332686,-0.26625507,1.0,-0.013335595,0.4285714286,-0.024130082,1.0,7.7832240163,0.0317720052,0.0,0.0350877196,0.0131884993,0.0077995153,1.2540249362,0.241377135,1.315656e-06,4.0000005277,1.267557805,1.606702789,-0.06150798,0.0454954701,-0.043703875,0.2179932366,0.1386138613861385,0.2234042553191488,-0.1153846153846154,-0.1153846153846154,-0.049586776859504,-0.0873015873015873,-0.1726618705035971,-0.1417910447761193,-0.1958041958041958,-0.1481481481481481,-0.0336134453781512,-0.0086206896551723,-0.1221374045801526,-0.094488188976378,-0.0254237288135593,0.1274509803921568,0.0176991150442478,0.1499999999999999,0.0648148148148148,0.2637362637362637,0.2777777777777777,0.1616161616161615,-0.0725806451612903,0.0648148148148148,0.0952380952380953,-0.1015625,-0.1544117647058823,-0.1353383458646616,-0.6166666666666667,-0.5907473309608541,-0.5676691729323309,-0.5692883895131087,-0.5576923076923077,-0.4748858447488584,-0.2628205128205128,-0.2532467532467533,-0.094488188976378,0.0454545454545454,0.0849056603773585,0.1499999999999999,0.1855670103092783,0.0267857142857141,0.0952380952380953,0.2105263157894736,-0.0254237288135593,-0.1015625,-0.1015625,-0.1726618705035971
52003,0.57237786,0.0834403081,9.4914611006,0.0082156611,0.6835460243,2.1910594276,0.1285118902,0.3231031136,0.5046059854,0.0059400826,0.5014928344,-0.018832591,11.0,0.0147794047,0.16,0.1919730518,0.0111223127,0.1511444453,0.0971677088,0.1709544493,0.1587024978,0.3661921574,0.0,1.1952057737,0.6562419452,91.765338393,30.517669331,0.3117034679,0.0,0.0,1.0,0.0,0.0,0.8818062307,3.0,-0.206274595,-0.053371012,-0.03822452,4.0140846425,0.6572639854,-0.15861142,-82.67052149,0.055552445,11.275603752,-0.017081278,0.0054324154,0.0113812071,0.0240401447,0.0077858466,-0.019094091,0.0,-0.019807834,1.2981823042,-0.083965568,5.0,10.907789162,0.6855798032,0.0,0.038961038,0.0245900951,0.0316834315,0.6559878001,2.8234232139,1.7675395e-07,3.9748143e-08,1.5131042395,2.2894844396,0.0930228163,0.0521379085,0.4558823475,0.0697920586,0.1785714285714286,0.2452830188679244,0.1578947368421053,-0.0434782608695651,-0.0294117647058823,-0.0294117647058823,-0.1428571428571429,-0.1951219512195121,-0.2235294117647058,-0.2235294117647058,-0.0571428571428571,-0.1081081081081081,-0.131578947368421,-0.1081081081081081,-0.1428571428571429,0.0,-0.0704225352112676,0.0153846153846153,-0.0294117647058823,0.03125,0.03125,-0.0434782608695651,-0.1851851851851852,-0.0704225352112676,-0.0704225352112676,-0.175,-0.1951219512195121,-0.5657894736842105,-0.3653846153846154,-0.3529411764705882,-0.2666666666666667,-0.2666666666666667,-0.175,-0.326530612244898,-0.2413793103448276,-0.1538461538461538,-0.131578947368421,0.1999999999999999,0.4347826086956521,0.5,0.4042553191489362,0.5,0.346938775510204,0.6499999999999999,0.6097560975609757,0.5,0.5,0.5348837209302326
41419,0.4539857939,0.0555441309,2.1058005953,0.0,0.4358589422,2.9432903931,0.0458350969,0.0762032086,0.6619556914,0.0034904014,0.0105794616,-0.007521688,11.0,0.0103220059,0.0,0.0024003283,0.0044799848,0.1241137818,0.0298704183,0.0591049817,0.1477590301,0.4713259609,0.0,1.4650566257,0.7637208402,34.732542173,21.034271799,0.1831408444,0.0,0.0,1.0,0.0,0.0,1.3632619613,3.0,-0.077902648,-0.150664753,0.1774668844,-0.692324632,0.4634277228,0.032985206,-48.16287526,0.1306978641,11.148246251,-0.003393904,0.0035985069,0.0070885719,0.0714006521,0.0503261967,-0.003381428,0.0,0.0012500001,-0.482449038,0.0011494234,5.0,9.9243527279,0.2828743625,0.0,0.0625,0.0317463762,0.0509184158,0.5092131847,0.7097336333,1.9879581e-07,7.0615425e-08,2.8750284527,8.2657886041,0.1445996173,0.0679857555,0.1687500123,0.3258264031,0.1428571428571428,-0.0588235294117647,-0.0588235294117647,-0.1111111111111111,-0.1999999999999999,-0.2380952380952381,-0.2727272727272727,-0.4074074074074074,-0.4074074074074074,-0.4838709677419355,-0.3846153846153846,-0.4285714285714286,-0.4285714285714286,-0.3846153846153846,-0.3846153846153846,-0.2727272727272727,-0.3043478260869565,-0.3333333333333333,-0.4285714285714286,-0.5151515151515151,-0.5294117647058824,-0.5675675675675675,-0.5428571428571429,-0.5789473684210527,-0.5675675675675675,-0.627906976744186,-0.627906976744186,-0.6521739130434783,-0.6862745098039216,-0.6923076923076923,-0.5897435897435898,-0.6097560975609756,-0.5897435897435898,-0.627906976744186,-0.6190476190476191,-0.6595744680851063,-0.5294117647058824,-0.3333333333333333,-0.4666666666666667,-0.3333333333333333,-0.3043478260869565,-0.1999999999999999,-0.3043478260869565,0.0,0.0,-0.0588235294117647,-0.1578947368421053,-0.2380952380952381
