firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
20670,0.2469953128,-0.139598215,8.3547287341,0.0,0.4857055596,1.442334783,-0.179609762,-0.182261978,0.3380619409,0.0969584011,-0.187177058,-0.210473934,-1.227813105,0.0318023029,0.2104739336,27.0,-0.071579779,0.0416666667,0.1397072278,-0.067718587,-0.386170775,1.2272506083,-0.599161849,-0.054632647,-0.172421225,0.3810124313,0.0,1.1327995165,0.1657000662,0.8122677142,0.2716650279,37.546215673,6.7865012107,-0.197833781,0.0,0.0,0.0,0.0,1.0,0.9743954481,5.0,-1.030829852,0.9263970315,0.0140987196,0.3696554913,-0.258765915,-0.931547566,0.0083615041,-2382.44207,0.035833818,11.360380386,0.024095963,-0.003283319,-0.01092196,-0.016097454,0.0816761773,-0.004923191,2.0,-0.007955449,1.7390876516,-0.081229438,2.0,11.278014845,0.5888096751,0.0,0.0269360002,0.0209558525,0.0313590323,0.6775536385,1.4451904717,1.0046561e-07,3.813781e-08,1.3988840212,1.9568765048,0.1413032642,0.1079207338,-0.509210269,0.363531354
64899,0.7707658433,0.0297081273,-33.90069701,0.0,1.6508504147,1.0066657259,0.0374993789,0.0071921857,0.1650967461,0.0141368233,-0.099572468,-0.03759268,-3.053373615,0.1204181392,0.0375926798,35.0,0.0063481042,-0.090909091,-0.079297324,-0.125999573,-0.018485894,0.0954568657,-0.017822475,0.0146207926,0.3500497825,0.2845043796,1.0,1.8862742241,-0.01284114,0.516683666,-0.029003663,77.351724138,6.1278455655,0.0427435558,0.0,0.0,1.0,0.0,0.0,0.5509091862,5.0,0.1025984094,0.0383223471,-0.854017155,0.2531490247,-0.397807432,3.4758169871,0.0248239558,-3472.675583,0.0439270233,13.113482055,-0.000916527,0.0176841731,0.057327462,-0.004942368,0.0019375621,0.0831462471,3.0,0.0019408054,1.972972973,-0.085352711,2.0,7.0544928526,0.0039978527,0.0,0.0155880926,0.0121696804,0.0066566161,1.1543283438,0.0391184486,2.2342111e-06,4.7727306044,0.6206175642,0.385166161,0.0574958754,0.0393223897,-0.459718727,0.2979585051
23660,0.6375525207,0.0542492112,1.396124624,0.0186080682,0.3612186825,0.8924976476,0.1197482467,0.0668605956,0.4434017003,0.0005235945,0.0607036945,-0.089966475,-1.604452277,0.1412894818,0.089966475,27.0,-0.009416064,-0.032258065,-0.060229132,-0.057102745,0.0106574038,0.1699891115,-0.013297851,0.0271648296,0.0703807411,0.4010720814,0.0,3.9744997159,-0.006698125,2.6671931443,0.155999142,6.2664201792,9.2864222287,0.2636401411,0.0,0.0,0.0,0.0,0.0,0.6754565857,5.0,-0.047038163,-0.082208384,0.0342575378,0.1005295898,2.2588039332,0.4639336882,-0.070731857,2967.4995739,0.1481788716,15.281932467,-0.000575605,0.0143581029,0.0226180152,0.0133957777,0.0724428792,-0.001308337,0.0,0.0,0.6383837059,-0.030474439,6.0,15.898959096,1.9003061367,0.0,0.0244366415,0.0116420529,0.0143135481,0.1660115348,1.7231066189,2.026693e-10,9.2960813e-09,0.7606161968,0.5785369989,0.0757981427,0.0313212004,-0.006498494,0.3412825927
23975,0.3691650125,0.0468885,8.6983593816,0.0098294998,0.138261074,0.4935875837,0.1576140712,0.0703580487,0.3792296871,-0.001150954,-0.002418989,-0.045828475,-0.480865103,0.0694355433,0.045828475,36.0,0.0247661435,0.0359015732,0.1142178226,-0.07396778,0.0698407571,0.1706692424,0.0367982844,0.0351928863,0.1017318192,0.4357324731,0.0,3.219641863,-0.05288859,2.1038499422,-0.046462636,8.5910897817,5.173285254,0.4477269402,0.0,0.0,0.0,0.0,0.0,0.5370984491,7.0,-0.445815764,-0.041817739,-0.051958048,1.1848234058,-0.473316511,0.5657931851,0.3899066214,-1959.497668,0.0478739101,14.684032194,0.0034788323,0.0287095832,0.0396889907,0.0201387135,0.1129400975,0.0129028478,3.0,0.0002456399,0.2806988627,0.0174504711,6.0,14.382690264,0.9700720756,0.0,0.0451908857,0.0178856443,0.0216348551,0.3444106054,2.5723040223,1.0168851e-09,1.3865176e-08,0.7986052075,0.6377702774,0.0764366625,0.0340047267,-0.10622864,0.5503193471
82542,0.7310971164,0.0961811786,0.0567877739,0.0157731394,0.3736593056,1.0647810636,0.1619671078,0.3528759361,0.5494696154,0.0076887767,0.9982736297,-0.005563153,-0.055565915,0.1015255737,0.0055631525,35.0,0.0068792675,-0.164383562,0.1034979462,-0.179867491,0.3050709086,0.2233530313,0.4169491895,0.0469659368,0.1611952203,0.4332244138,0.0,2.5504394345,-0.190072355,1.8493504012,-0.112336233,6.8479238754,6.3652103994,0.5389696592,0.0,0.0,0.0,0.0,0.0,0.7075327931,4.0,-10.3622942,-0.087707948,-0.336410835,0.6574636453,-0.993096024,-1.413943077,0.1747655272,-3851.641446,0.028155989,11.919297375,0.0060228721,0.0237416904,0.0358759245,0.0502720325,0.1378981048,-0.00640657,0.0,0.0077242192,1.7021972885,-0.071061948,4.0,10.116672894,0.4672021419,0.0,0.0513463132,0.0213517213,0.0424956026,0.9932053566,13.052580303,6.614921e-08,2.093572e-08,0.8597933012,0.7392445207,0.0978122953,0.0596087685,-0.429321401,0.4252895828
30680,0.8402595479,-0.112007196,-2.555287456,0.0366063682,1.6478065504,4.236515472,-0.040432758,0.0050431776,0.1529389655,0.0155542132,0.137920716,-0.057247046,-1.269367338,0.0301710803,0.0572470461,36.0,-0.001044401,-0.149271309,-0.071730545,-0.198982413,-0.324924139,0.1370919313,0.1977354906,-0.007634596,-0.182361428,0.5442378458,0.0,1.9721549033,-0.195028297,1.3604549217,-0.159043712,15.79237841,7.6498891839,0.000959145,0.0,0.0,0.0,0.0,0.0,0.3163791689,2.0,-0.105932184,-0.151309672,-0.218618519,-11.0641361,-1.165712052,-0.243708477,2.4653793099,-2635.199766,0.0947427082,14.320212849,0.0063332543,0.00399201,0.0118290351,0.21208343,0.1054657603,0.0126882974,3.0,0.0,0.1950718504,-0.037825961,3.0,15.017946044,2.0506806077,0.0,0.0476539284,0.0184740166,0.0276035741,0.3886131221,4.7762670533,7.805478e-10,7.9179037e-09,1.8047505472,3.2571245376,0.0941825657,0.0502576571,-0.396189074,0.4782498059
56274,0.4604319437,0.0698797278,2.2896439362,0.0327190108,0.6367162509,1.1295399217,0.1100669771,0.0600272728,0.3077131478,0.0013879549,0.0718940873,-0.063600058,-0.9706945,0.1377115952,0.0636000579,35.0,-0.036701109,-0.046875,-0.051197059,-0.138476302,0.1296588411,0.1244952381,0.0307846556,-0.028645481,0.0430002754,0.32746588,0.0,1.9448482467,-0.082133749,1.1558785974,0.3878475237,12.672471674,14.217749529,0.1632184781,0.0,0.0,1.0,0.0,1.0,0.6671609227,5.0,0.0017083424,0.0557237353,-0.854017155,-0.057184875,-0.14250682,0.0252375136,0.0421174118,3878.893337,0.0439270233,16.171965889,-0.001097999,0.0171965281,0.040818406,0.0050670002,0.0469858232,0.0110887452,2.0,-0.002327747,0.5600309663,1.21156e-05,8.0,17.094051262,2.2029961343,0.0,0.0266333483,0.0111863063,0.0158157677,0.4038453228,5.4366070404,7.953994e-11,7.9867157e-09,0.4186585223,0.1752749583,0.0600094122,0.0260137371,0.1791819238,0.2979585051
31668,0.6504236484,0.0807230491,3.69732665,0.1081368327,0.1660853539,1.2091587342,0.1542696691,-0.029135951,0.9161526503,0.0127670662,-0.02669303,0.0764357141,0.7847439916,0.0173761213,0.0764357141,32.0,0.0499732831,0.0,-0.024763589,-0.043515511,-0.011478234,0.0637802607,0.0377959564,0.0495461612,-0.029757785,0.5624269112,0.0,4.2249546984,-0.030827632,1.3036500129,-0.239781402,23.95154553,8.6511768256,0.5137775551,0.0,0.0,0.0,0.0,0.0,1.1493551431,5.0,3.3144966384,0.2890945098,-0.038237793,0.3095086525,-0.790416732,3.4127005147,-0.105835899,-1534.461988,0.115656022,9.9504526943,-0.004174149,0.0411198137,0.0524610087,-0.022270202,0.1824583556,0.0025853016,2.0,-0.006207137,-0.86845931,0.0044977111,3.0,8.4757209821,0.2157366932,0.0,0.0413533412,0.0157181894,0.0237183188,0.9291849455,0.7567082827,1.1165241e-06,1.147364e-07,0.3842028486,0.1476118289,-0.150723481,0.0524272691,-0.474229087,0.2227022483
32046,0.7062064523,0.0356140416,1.0720973848,0.0332770332,0.1415901527,0.4479532122,0.0702883323,0.0174471316,0.3936329395,0.0002922268,0.082783401,-0.082484171,-1.946710356,0.1049442651,0.0824841707,31.0,0.0048995071,0.1317567568,0.1179175512,-0.860387409,-0.128120782,0.2337153905,-0.148630844,0.056940892,0.0052851766,0.6163220004,0.0,9.6164697372,-0.634767032,9.4547865927,-0.640907749,3.1553137641,4.5315791109,1.2483453043,0.0,0.0,0.0,0.0,0.0,0.4669053521,4.0,-0.503391569,-0.026608634,0.1142637678,37.338664436,2.5814471613,4.7459347048,-2.600076969,-1893.650987,0.0349204744,12.925264549,-0.00125782,0.0253321757,0.0311844301,0.0469973558,0.1098783335,-0.133873447,3.0,0.0074224022,2.5116966229,0.0364711173,6.0,11.426472415,0.387918213,0.0,0.0420382209,0.0244469442,0.0351846459,0.6822696659,4.1063227717,2.3756275e-08,2.8302821e-08,0.6018657009,0.3622423219,0.2430761391,0.0492705267,-0.208478707,0.4439176344
47511,0.7911673537,0.0889160373,0.240448654,0.0404120182,0.3016543368,1.3075956183,0.1423247724,-0.008435309,0.3361703103,0.0017498833,-0.172711153,-0.108991242,-1.34525365,0.2085306611,0.1089912425,36.0,-0.059902494,-0.058944483,-0.11350635,-0.109712868,0.0545537685,0.1731436397,-0.237342163,-0.020413401,0.0727861756,0.319520438,0.0,3.3420814843,-0.195350799,1.83333668,-0.007895057,24.580449129,9.0436164824,0.3531668265,0.0,0.0,1.0,0.0,0.0,0.4924248132,6.0,0.0154414847,0.0133568801,-0.005223394,-84.42277835,2.2063862356,1.5994171724,-47.99940618,-528.7526879,0.0790527586,13.024396771,0.0003389862,0.0213979807,0.0291466673,0.0160130721,0.0389712675,-0.027109217,0.0,0.0,0.6313233757,-0.033514888,5.0,12.62468453,0.8213582048,0.0,0.0207492039,0.0176798288,0.0247758257,0.5089922573,2.5362553297,8.8548e-09,2.3744965e-08,1.1507444407,1.3242127679,-0.026943935,0.0501455843,-0.124005126,0.2497903372
