firms,bm,ep,cashpr,dy,lev,sp,agr,gma,chcsho,lgr,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,invest,egr,tang,sin,currat,quick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
15763,1.102089065,0.0390235199,-12.21508538,0.0427154303,1.2689413768,2.8739463164,0.0304999781,0.4284871221,0.01104016,0.0915176808,10.0,0.0265012142,-0.002881844,0.1285415329,-0.017160151,0.0091952613,0.1596256348,0.0444616296,-0.029444116,0.557446421,0.0,1.8079462528,1.2766200169,34.443567408,3.6634567786,0.1578828661,0.0,0.0,1.0,1.0,0.0,0.8398366732,5.0,0.0477529125,-0.00372419,0.2464650816,10.228767298,0.2790937071,307.47927491,0.0798412188,12.772648797,0.0074876048,0.0096008675,0.0204591367,0.0665934582,0.0338487085,0.0521872966,1.0,0.0217946044,1.4012321405,0.0233163759,5.0,13.870522754,1.7783638825,0.0,0.0186915882,0.0515936745,0.0230939893,1.283752067,17.197015643,1.2424826e-08,9.9264187e-09,0.9439756671,0.8910900601,-0.413328844,0.0375652304,-0.251123798,0.213452423,-0.0333333333333333,-0.0645161290322581,-0.1145038167938931,-0.1343283582089552,-0.0333333333333333,-0.1145038167938931,-0.0333333333333333,-0.1007751937984495,0.045045045045045,0.0086956521739129,-0.09375,-0.09375,-0.0793650793650794,-0.1888111888111888,-0.1343283582089552,-0.0719999999999999,-0.1278195488721805,-0.1145038167938931,-0.1278195488721805,-0.09375,-0.1076923076923076,-0.1773049645390071,-0.1407407407407407,-0.1145038167938931,-0.1714285714285713,-0.1470588235294118,-0.0085470085470085,-0.0252100840336134,-0.0169491525423728,-0.056910569105691,-0.09375,-0.1944444444444444,-0.1944444444444444,-0.2611464968152867,-0.3894736842105263,-0.4774774774774775,-0.4368932038834952,-0.4751131221719457,-0.3989637305699481,-0.3446327683615819,-0.3371428571428572,-0.3796791443850267,-0.4228855721393034,-0.42,-0.4449760765550239,-0.3591160220994475,-0.3371428571428572,-0.3409090909090909
21020,0.8646238494,0.133617874,-1.454642169,0.0124482635,1.9971473087,3.0586307124,0.1126718532,0.1423186675,0.0016331087,0.0930531787,10.0,0.0009842769,0.1035294118,0.1239504924,0.0687906665,0.0440275126,0.1081805739,0.0285965123,0.1644933508,0.6438005923,0.0,1.4042300396,1.2770306907,3.9549281479,9.1151801083,0.1608216467,0.0,0.0,1.0,0.0,0.0,0.400037857,5.0,-0.015836942,-0.103988493,0.1219124892,-1.079907186,0.2193346391,1509.1930481,0.0615020066,14.854049276,-0.001848718,0.0045851567,0.0134996164,0.039402076,0.2573111887,-0.108680258,0.0,-0.000692042,3.887026966,-0.05630181,4.0,15.102608905,1.6760317216,0.0,0.0386597924,0.0182054015,0.0227441722,0.3642248096,3.2014255887,5.920966e-10,1.0099545e-08,1.1315255742,1.2803501251,0.4349416749,0.0576703389,-0.102222215,0.5262750435,0.1115384615384615,0.1158301158301158,0.3196347031963471,0.3076923076923077,0.337962962962963,0.1844262295081966,0.1468253968253967,0.0823970037453183,0.0471014492753623,0.1844262295081966,0.0471014492753623,0.0,-0.0236486486486486,0.1030534351145038,0.3136363636363637,0.1653225806451612,0.0988593155893535,-0.0398671096345515,0.3696682464454977,0.3256880733944953,0.3827751196172249,0.6900584795321638,0.6609195402298851,0.4595959595959595,0.6900584795321638,1.079136690647482,1.5803571428571428,1.0069444444444446,1.4700854700854702,1.035211267605634,1.2936507936507935,1.5350877192982455,1.6513761467889907,1.89,2.4,2.284090909090909,1.6272727272727274,1.7264150943396226,1.675925925925926,1.4491525423728815,1.4285714285714284,1.0942028985507246,0.7730061349693251,1.079136690647482,1.4491525423728815,2.074468085106383,2.6582278481012658,3.0138888888888893
56899,0.699156451,0.0942347372,-0.540363097,0.0176781163,0.7783893676,1.40130477,0.2740183356,0.3941885047,0.0597636466,0.380359449,10.0,0.0338446387,0.0740740741,0.4355067328,0.2915343795,0.0650211241,0.0725196823,0.2834006614,0.1733785546,0.5709379266,0.0,2.459620098,1.2068423203,13.182633021,6.2281051922,0.2157037385,0.0,0.0,1.0,0.0,0.0,0.6922105435,5.0,-0.029491453,-0.058435197,0.1750779439,-0.553119511,0.5444553885,-70.26486984,0.0422630468,11.903873204,-0.009429421,0.0155109299,0.0337128601,0.0566027431,0.0719431552,-0.06799373,1.0,0.000782862,9.6739435209,0.1592950984,3.0,11.550897803,0.6225872048,0.0,0.0776699036,0.0324353626,0.0362096017,0.9357996753,3.5246013566,1.2799272e-07,3.7134456e-08,2.1827278486,4.7643008612,-0.040357837,0.0653785193,-0.684974736,0.0602023606,-0.0277777777777777,-0.0967741935483871,-0.0789473684210526,-0.3137254901960784,-0.1025641025641025,-0.1358024691358025,-0.1566265060240963,-0.1764705882352941,-0.1616766467065868,-0.2553191489361702,-0.2708333333333333,-0.3548387096774194,-0.375,-0.1566265060240963,-0.3665158371040724,-0.3301435406698564,-0.3137254901960784,-0.5918367346938775,-0.4214876033057851,-0.4142259414225941,-0.3269230769230768,-0.3269230769230768,-0.2783505154639175,-0.1860465116279069,-0.2307692307692307,-0.0070921985815602,0.1475409836065573,-0.0140845070422535,0.09375,0.0370370370370369,0.0,-0.10828025477707,-0.054054054054054,-0.0344827586206896,0.25,0.2612612612612612,0.1864406779661016,0.1111111111111111,0.2844036697247707,-0.0344827586206896,-0.2631578947368421,-0.4871794871794872,-0.4945848375451264,-0.4814814814814815,-0.5070422535211268,-0.4444444444444444,-0.396551724137931,-0.4262295081967213
27991,1.0992380167,0.1928745878,-130.7968635,0.1462358441,1.5922501452,0.6449032159,0.0609763243,0.1235330206,0.0512209381,0.0481588783,10.0,-0.000314157,0.0017699115,-0.073595286,-0.067378623,0.2957047376,0.0201409827,0.0742209452,0.0688554842,0.5269362098,0.0,0.4435655565,0.277637307,91.247890682,9.2072012881,0.1604356792,0.0,0.0,0.0,0.0,0.0,0.2117824048,3.0,0.0301771979,-0.043238361,-252.0882246,1.9126294869,-0.534595124,896.85590881,0.0095336956,14.413368696,0.0035763554,0.0172579858,0.0372752913,-0.01087492,0.0023430451,-0.558687358,0.0,-0.007272727,-0.057024365,9.6669e-05,5.0,13.734716631,0.5203431304,0.0,0.0146341464,0.0104723378,0.0135940671,0.6696975277,3.0429929428,2.6558562e-09,3.7340151e-08,0.3004494507,0.0902698724,0.0124238804,0.0297409675,-0.130862919,0.4581172065,0.0538922155688623,0.0666666666666666,0.0797546012269938,0.1891891891891892,0.3538461538461539,0.2753623188405796,0.2846715328467153,0.3643410852713178,0.2222222222222223,0.1655629139072847,0.1428571428571428,0.1354838709677419,0.0,-0.0833333333333333,-0.0833333333333333,-0.0974358974358974,-0.1155778894472361,-0.0880829015544041,-0.1287128712871287,-0.12,-0.0974358974358974,-0.12,-0.1065989847715735,-0.0974358974358974,-0.0434782608695651,-0.0276243093922652,-0.0329670329670329,-0.0382513661202186,0.1282051282051282,0.0666666666666666,0.0797546012269938,0.0864197530864196,0.0602409638554217,0.1210191082802547,0.1891891891891892,0.1354838709677419,0.1503267973856208,0.2753623188405796,0.2941176470588236,0.2753623188405796,0.3037037037037038,0.2941176470588236,0.3233082706766916,0.3968253968253967,0.3233082706766916,0.3435114503816794,0.3134328358208955,0.2482269503546099
20482,0.3192776083,0.0801979055,5.1824392633,0.0288025177,0.3128026098,0.6183475158,0.123496173,0.5903854216,-0.007134717,0.1165885034,10.0,0.000118392,-0.019226288,0.0601426565,0.0406312207,0.0434147143,0.104078048,0.0970058723,0.1303471443,0.5342747042,0.0,1.9218310121,1.3883112373,6.9425266275,6.3188707323,0.3569866303,0.0,0.0,0.0,0.0,0.0,1.1024188879,5.0,-0.489463852,-0.696337161,-0.168189231,105.36099511,0.3385372197,4265.8936588,0.0651922914,15.546891906,8.1441068e-06,0.0408532871,0.080194436,0.0096269361,0.140910386,0.0233672312,1.0,9.1018e-05,0.553076957,0.0228644554,7.0,14.75881287,0.3222761439,0.0,0.0465631932,0.0185456332,0.0184035516,0.5849415929,0.9003043578,1.1656007e-09,5.5851885e-08,0.9261623989,0.8577767891,0.1234220859,0.0314593791,0.0890449593,0.184580328,0.0121212121212122,0.0151975683890577,0.003003003003003,-0.1164021164021164,-0.0402298850574712,-0.0429799426934097,0.0569620253164557,-0.0564971751412429,0.0151975683890577,-0.0118343195266271,-0.0429799426934097,-0.0773480662983425,-0.0696378830083565,-0.1753086419753086,-0.1369509043927648,-0.1117021276595744,-0.1413881748071979,-0.1324675324675325,-0.0374639769452449,-0.1021505376344086,-0.0290697674418605,0.0404984423676011,0.0340557275541795,0.0774193548387096,0.0915032679738561,0.1208053691275168,0.1971326164874551,0.1928571428571428,0.3858921161825726,0.4585152838427948,0.4458874458874458,0.3688524590163935,0.4396551724137931,0.4521739130434783,0.4396551724137931,0.5462962962962963,0.409282700421941,0.4844444444444444,0.6057692307692308,0.5980861244019138,0.5045045045045045,0.3253968253968253,-0.2511210762331838,-0.2770562770562771,-0.3041666666666667,-0.302713987473904,-0.2409090909090909,-0.2610619469026548
10057,1.2523566546,-0.125387504,-4.169699305,0.0281890825,1.1167805911,2.3418613927,0.1718806031,0.2051017186,0.3972101532,0.0323643687,10.0,0.0709624635,0.1865384615,0.232236625,0.0652984975,-0.28186214,0.1610456527,0.0466016196,0.3413547657,0.5535798368,0.0,1.9578975281,1.2648124687,8.4101074759,3.7604770318,-0.024592379,0.0,0.0,1.0,0.0,0.0,0.4250141416,4.0,0.0888394707,0.0540291907,0.7282781474,-2.514567987,0.0273163554,-144.1586198,0.0422630468,11.474522417,-0.000271024,0.000440451,0.0008088342,0.0390154853,0.0290539284,0.5483253313,1.0,-0.000769231,1.3308237378,0.083548665,0.0,11.180507499,0.5572831424,0.0,0.0461538471,0.0237065057,0.026361863,1.0494574743,3.5297571261,1.2002779e-07,3.178281e-08,1.2928714564,1.6715166028,-0.209784301,0.0464402469,-0.535538521,0.0602023606,-0.087719298245614,-0.1746031746031746,-0.1260504201680672,-0.1186440677966101,-0.0458715596330274,-0.2517985611510791,-0.2972972972972972,-0.3809523809523809,-0.3809523809523809,-0.425414364640884,-0.4773869346733668,-0.4851485148514851,-0.5071090047393365,-0.4222222222222223,-0.4285714285714286,-0.4526315789473684,-0.4157303370786517,-0.4901960784313726,-0.425414364640884,-0.3580246913580247,-0.3333333333333333,-0.2925170068027211,-0.3066666666666666,-0.2827586206896552,-0.2676056338028169,-0.3020134228187919,-0.3112582781456954,-0.3658536585365853,-0.2676056338028169,-0.2624113475177305,-0.3459119496855346,-0.4124293785310734,-0.3953488372093023,-0.409090909090909,-0.4347826086956522,-0.3846153846153846,-0.3459119496855346,-0.3066666666666666,-0.3290322580645161,-0.409090909090909,-0.4639175257731959,-0.5185185185185186,-0.5574468085106383,-0.5251141552511416,-0.4851485148514851,-0.4747474747474747,-0.4851485148514851,-0.4901960784313726
60038,0.6575,0.0649679487,9.1582446809,0.0328205128,0.2233974359,1.2634935897,0.0335827912,0.4786581926,0.0,0.0485933504,10.0,0.0525566343,0.0,-0.104780288,0.0840641814,-0.058236743,0.1376498003,0.1069910872,0.0285800241,0.561362611,0.0,6.6783216783,1.7879847425,52.421542553,9.2515841352,0.419181905,0.0,0.0,1.0,0.0,1.0,0.6206879262,2.0,-0.060273996,-0.059146807,-0.385819548,-2.228297242,0.3921127548,-84.22538821,0.0261787142,10.373491182,-0.030762288,0.0078520393,0.0102233635,-0.093782051,0.0273613739,0.0712570965,0.0,-0.028012821,2.0906432749,-0.059204413,6.0,8.2374792886,0.1282291667,0.0,0.0250000004,0.0116293757,0.0101432704,0.9937438729,0.5075046415,1.7351703e-06,0.9545456456,0.795118958,0.6322141574,-0.132331507,0.0410291167,0.0105985602,0.1142438642,-0.025,0.0540540540540539,-0.1034482758620689,-0.1136363636363636,-0.1034482758620689,-0.2352941176470588,-0.2277227722772277,-0.2777777777777778,-0.3035714285714286,-0.3333333333333333,-0.3553719008264463,-0.3953488372093023,-0.376,-0.2571428571428571,-0.390625,-0.409090909090909,-0.48,-0.5873015873015873,-0.5894736842105264,-0.5094339622641509,-0.5357142857142857,-0.4935064935064935,-0.524390243902439,-0.4935064935064935,-0.4045801526717557,-0.4306569343065693,-0.3157894736842105,-0.2972972972972972,-0.25,-0.2909090909090909,-0.2909090909090909,-0.390625,-0.3389830508474576,-0.35,-0.4388489208633094,-0.48,-0.4264705882352941,-0.409090909090909,-0.3658536585365853,-0.4306569343065693,-0.4868421052631578,-0.5916230366492147,-0.5411764705882354,-0.5357142857142857,-0.515527950310559,-0.4868421052631578,-0.5272727272727273,-0.5593220338983051
51510,0.3839387152,0.0856548587,21.763621795,0.0,0.6106304511,1.6715381869,0.447348149,0.7243208674,2.0024615385,0.2437292756,10.0,0.2717899988,0.4008746356,0.6725530171,-0.562627891,-0.030576081,0.1263378652,0.4316070987,0.9568825087,0.5719734482,0.0,2.0464361503,0.7747597054,178.80235043,5.7640433959,0.1871889025,0.0,0.0,1.0,1.0,0.0,2.3414274079,3.0,-0.661048643,0.3016535298,-0.533420127,0.5141412175,1.0577589141,22.117403211,0.4894653679,11.378665235,-0.000109254,0.0262717152,0.0778437287,0.1941217437,0.0019456599,0.0030471491,2.0,0.0078655145,7.3847472151,-0.005363807,4.0,10.084057576,0.3394663731,0.0,0.0625,0.0249454141,0.023452287,0.9170523281,1.355375957,2.1565597e-07,6.4849942e-08,2.2214402661,4.9347968558,0.0175833931,0.0840873049,-0.257752085,0.1120996267,0.0917431192660549,0.0818181818181817,0.072072072072072,0.072072072072072,0.0530973451327434,-0.0555555555555555,0.0818181818181817,0.1226415094339623,0.072072072072072,0.2934782608695652,0.1553398058252426,0.2395833333333332,0.202020202020202,0.3370786516853932,0.1782178217821781,0.2526315789473683,0.3076923076923077,-0.6234177215189873,-0.5423076923076924,-0.5102880658436214,-0.4108910891089109,-0.2468354430379746,-0.3199999999999999,0.0625,0.072072072072072,0.5063291139240507,1.5869565217391304,2.4,2.838709677419355,3.958333333333333,3.25,2.966666666666667,4.409090909090909,4.666666666666667,4.95,4.409090909090909,4.666666666666667,3.958333333333333,4.173913043478261,2.606060606060606,2.051282051282051,2.051282051282051,2.216216216216216,2.4,2.71875,2.5,2.305555555555556,2.838709677419355
17224,1.1461244268,0.1589616683,-9.394831731,0.0182746387,0.9097447434,3.0796365839,0.361342843,0.5309216919,0.0008798944,0.8010195691,10.0,0.1486761395,0.2830474268,0.3433540673,0.1683123465,0.4446669269,0.1309520251,0.3955739719,0.1403658604,0.5608239842,0.0,3.4117167693,1.3603766751,48.611451049,8.7756824996,0.3961721364,0.0,0.0,1.0,0.0,0.0,0.7246955755,2.0,0.0225652151,-0.748519054,-0.045470869,-0.408755664,0.7754388097,-58.32342044,0.0667835165,10.548573054,0.0225885114,0.0225687982,0.0457575529,0.1919667734,0.0308152298,-0.125308354,0.0,0.0332819936,2.4547152194,0.0626531406,4.0,9.7507733405,0.3164909197,0.0,0.0287769791,0.0162061739,0.017506203,0.7072918852,1.2085168513,2.5346649e-07,5.2752172e-08,1.1673737241,1.3627614117,0.0895673165,0.0535616177,-0.504992683,0.161295017,0.1140350877192981,0.0,0.0583333333333333,0.0325203252032519,0.3368421052631578,0.1545454545454545,-0.0592592592592592,-0.0661764705882352,-0.1360544217687075,-0.1180555555555555,-0.0592592592592592,-0.0078125,0.0079365079365079,0.1140350877192981,-0.1180555555555555,-0.0378787878787878,-0.1180555555555555,0.0854700854700853,0.3655913978494622,0.3804347826086955,0.6710526315789473,0.9242424242424244,0.7638888888888888,0.8676470588235294,0.6933333333333334,0.984375,1.3518518518518516,1.152542372881356,1.081967213114754,1.3518518518518516,1.702127659574468,1.1166666666666667,1.081967213114754,1.152542372881356,1.6458333333333337,1.702127659574468,1.3518518518518516,1.309090909090909,1.7608695652173911,1.4901960784313726,1.4901960784313726,1.5918367346938775,1.5918367346938775,1.702127659574468,1.7608695652173911,1.7608695652173911,1.702127659574468,1.8222222222222224
61487,-0.126640214,0.2836752146,-0.920365739,0.0421506641,3.4732147233,15.199529481,-0.171945701,0.3242741913,0.0144689737,-0.220520943,11.0,-0.009501261,-0.289719626,-0.128422473,0.0409332393,0.6580525933,0.3358219085,-0.039768416,-0.304576577,0.5608110511,0.0,0.9333820612,0.8666597055,24.235386058,20.213531482,0.1374493126,0.0,0.0,1.0,0.0,0.0,-0.684828829,4.0,-0.013523543,-0.557394622,-1.810749296,-0.417363711,-0.982707257,-182.5167637,0.0719670273,10.077587908,-0.004300048,0.0046542553,-0.020436201,-0.563838651,0.2171537182,-0.002467945,0.0,-0.044209185,-0.728795812,-0.167010665,3.0,7.4148740408,0.1685046317,0.0,0.3000000119,0.0859740606,0.0652937028,1.6287591675,1.5080706616,1.98292e-05,6.4219924e-08,1.8615326354,3.4653037525,-0.095309983,0.1087197975,0.8611111149,0.2427728257,-0.25,-0.25,-0.4285714285714286,-0.5,-0.3333333333333333,-0.4782608695652174,-0.4782608695652174,-0.5384615384615384,-0.5,-0.5,-0.5384615384615384,-0.4,-0.5384615384615384,-0.625,-0.6363636363636364,-0.7,-0.6756756756756757,-0.7446808510638299,-0.7142857142857143,-0.4285714285714286,-0.4545454545454546,-0.3333333333333333,-0.4,-0.3333333333333333,-0.3333333333333333,-0.5714285714285714,-0.368421052631579,-0.4782608695652174,-0.4782608695652174,-0.625,-0.6129032258064516,-0.5384615384615384,-0.6842105263157895,-0.8309859154929577,-0.8441558441558441,-0.8811881188118812,-0.90625,-0.8888888888888888,-0.88,-0.9387755102040816,-0.9516129032258064,-0.9454545454545454,-0.9538461538461538,-0.9444444444444444,-0.9508196721311476,-0.9545454545454546,-0.9425837320574164,-0.9358288770053476
