firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
54594,0.4030712959,0.0484809685,4.9470156151,0.0,0.4676182573,0.8654179503,0.0700486429,0.0907358766,0.2288451695,0.0293283134,0.031087822,0.0788545248,1.3572762292,-0.017321098,0.0788545248,33.0,0.0185697001,0.1818181818,0.1826456284,-0.150651014,-0.023253693,0.1237628139,-0.096279884,0.0831716589,0.1692054022,0.505617362,0.0,2.5173719133,-0.242967077,1.1817579316,-0.262386215,12.736524359,5.8405149402,0.1622782631,0.0,0.0,1.0,1.0,0.0,0.4880806781,4.0,0.7375326277,0.0668228495,0.1015725465,-0.040014846,0.5445448986,-0.029011062,51.085321033,0.0531375747,13.373557108,0.0031874197,0.0178362599,0.0382499854,0.1053396897,0.089359663,0.603372955,2.0,0.0003707995,0.2531815447,0.0845585689,4.0,14.34725512,4.0292682927,0.0,0.1176108271,0.0445577531,0.0728967765,0.4537570394,9.3019658932,2.5154055e-09,5.2220138e-09,1.8819524457,3.5417450078,0.1123108435,0.0471791036,-0.290452616,-0.138925047
13056,1.0281001763,0.0907995632,-5.556959028,0.0237602361,0.9383097393,1.9359214449,0.0660266234,0.0147417577,0.5872268467,-0.115469042,0.1245716002,-0.089407761,-1.922203553,0.2653348061,0.0894077611,34.0,0.0190099932,-0.055363322,0.018255156,0.4099487479,0.0613805316,0.1639668249,-0.053415336,0.035761725,-0.068304144,0.2469546565,0.0,1.4795290227,-0.30954905,1.0006144719,-0.394759864,14.384218623,28.082185934,0.1621177667,0.0,0.0,0.0,0.0,0.0,1.0114905182,7.0,0.0400079212,0.1611192774,-2.265765257,-531.6421364,-0.712000534,35.597834344,-546.7991373,0.0742788069,13.449276266,-0.003578872,0.0083286816,0.0151099261,-0.001060345,0.068442742,0.0059226206,0.0,0.0026567481,0.8707275639,0.0885507148,5.0,14.245807659,2.8143305897,0.0,0.0825243145,0.0354408856,0.0574382593,0.3555010381,3.9607670327,3.5887508e-09,9.2179257e-09,1.1511096272,1.3250533738,0.04915925,0.040004703,0.1277487936,-0.391160082
50091,0.4607036416,0.0632445628,2.0491428461,0.008490536,0.2694038384,0.6527306435,0.0392184295,0.1121034122,0.2569280753,0.0070523416,-0.040524759,-0.003078011,-0.033742231,0.0653785754,0.0030780111,33.0,0.0307099866,0.04,0.1490039696,-0.008088674,-0.06067661,0.0980481319,-0.244006176,0.1196696205,0.2261628467,0.6153831459,0.0,2.9808118872,-0.026109834,2.3650467572,-0.051700099,4.0596913139,3.404699598,0.2939546287,0.0,0.0,1.0,0.0,0.0,0.4400275311,5.0,0.0940342545,0.0030972965,0.0349870662,-0.042529842,0.4269728023,-0.044867235,-1974.217434,0.1754364449,13.396684586,0.0031088821,0.0137954583,0.0218625736,0.0290720605,0.224435356,-0.007026742,0.0,-0.00335236,3.7870585663,-0.196725652,3.0,14.283203775,2.7419307991,0.0,0.0956792757,0.093948107,0.0868522093,0.6947191769,25.277591601,4.0165256e-09,5.2899365e-09,1.7949559264,3.2218667778,-0.027483271,0.049645639,-0.118630634,-0.23088712
14526,0.6432895469,0.0975845617,-5.130662916,0.0185177839,0.6305043191,1.9933042569,0.1343524827,0.254579093,0.4743288041,0.0068301226,0.3064878005,-0.085317117,-1.000671763,0.1952346771,0.0853171174,34.0,0.0120473718,0.1707212056,0.1321979798,-0.047925779,0.1483506636,0.1211256764,-0.123822801,0.1502690572,0.2075546956,0.475280642,0.0,1.4619688126,-0.041543172,1.1976820912,-0.038681546,71.902234181,4.6563433979,0.2622563305,0.0,0.0,0.0,0.0,1.0,0.8923358284,5.0,0.0114542433,-0.081722176,0.1296053392,0.2148711341,0.1178488485,0.104663773,-619.9717747,0.0608126715,12.968163589,0.0066078756,0.0292016933,0.0511097411,0.0838047264,0.0217636662,0.044734186,1.0,0.0032488629,4.798500852,0.214825361,7.0,14.092808906,3.3592540629,0.0,0.0409999862,0.0372792558,0.0550766388,0.4201415452,10.409489751,3.3039348e-09,4.921894e-09,1.8141606502,3.2911788646,-0.063953211,0.049773358,0.3848004394,-0.049777877
11581,0.2961902855,0.0621813504,8.6317404246,0.0013188475,0.5929807474,0.8642705281,0.135528281,0.2368608221,0.4196295457,0.013885327,0.1769087852,-0.053171692,-0.687533349,0.1049331024,0.0531716916,21.0,0.0234172675,0.1746031746,0.2144513877,0.0771588185,-0.015325589,0.2929073337,-0.002893783,0.0644631709,0.3773256375,0.2663322528,0.0,1.7373902698,0.1750478046,1.0581582865,0.2425141652,16.829118597,7.4894005904,0.1522483275,0.0,0.0,0.0,1.0,0.0,1.3118813109,5.0,-0.971524427,-0.002550137,0.0830618096,0.1861211013,0.1196055302,0.112348078,-2034.334391,0.0410781622,14.160089523,0.0023019648,0.0140871479,0.0413758075,0.0390499739,0.0586589865,-0.008045023,0.0,0.0007440476,1.1852190941,0.0544734842,5.0,14.610292465,1.880653162,0.0,0.0567129366,0.0351413377,0.0715231178,0.4457314671,6.8137844634,1.9369903e-09,7.8686099e-09,1.5221590248,2.3169680967,0.0051205122,0.0334728253,-0.093158606,-0.129461891
15203,0.2166270845,0.0477122061,53.799673203,0.0042287452,0.2098141061,0.5449955577,0.1861017825,0.3662925961,0.5493362529,0.003033367,0.4955092099,0.1208756253,0.9355416294,0.0030754511,0.1208756253,34.0,0.1613109133,0.6176470588,0.2852825627,-0.049203176,0.0507134433,0.0631253411,-0.338637463,0.3771041467,0.2607830951,0.5323888917,0.0,3.8852874859,-0.059067109,1.3762683202,-0.28379218,41.696078431,8.2636010363,0.314890502,0.0,0.0,1.0,0.0,0.0,0.937849596,4.0,-0.925886144,-0.018786463,0.5261056938,0.1065579002,1.5809704057,0.0104904267,-3675.349251,0.0410781622,10.355656186,0.0029110452,0.0238894175,0.0470275067,0.0430008904,0.1631301313,-0.051586646,1.0,0.0028297737,1.0294487417,0.1993719772,4.0,12.036664422,1.8699043785,0.0,0.2193627506,0.0707054922,0.0803026802,0.4467414382,2.0668032209,2.8180985e-07,1.8739711e-08,1.7960571221,3.2258211859,0.1273498037,0.0968632555,-0.126603743,-0.129461891
16126,0.3402068829,0.0644492746,106.10246071,0.0,0.1097811737,0.7453122859,0.2262470433,-0.037773508,0.4407091803,1.0815170757,-0.474565508,-0.057012838,-0.405879804,0.0906079335,0.0570128378,33.0,0.0136824723,0.0930053805,0.2298843069,0.4561309008,-0.023754352,0.1656622139,0.1924201469,0.046399347,0.3149674308,0.4488128016,0.0,2.4122868653,0.0710909599,1.0896571107,-0.069092447,143.77772789,8.230759344,0.5212710794,0.0,0.0,0.0,0.0,0.0,0.7831629899,7.0,0.0062976226,0.1042407277,0.0518895141,-0.08821153,-0.334821266,3.70293e-05,-632.7481447,0.0608126715,13.127146454,-0.000637108,0.0353667954,0.0528498381,-0.007057577,0.0115198196,-0.012551481,0.0,0.0002823264,3.5862063423,-0.175616799,6.0,14.410754174,4.8974802372,0.0,0.1179687157,0.061315322,0.0827777997,0.4391938814,12.153835365,4.3050065e-09,3.7925096e-09,1.0213105564,1.0430752527,-0.101751175,0.0604392749,0.1449971668,-0.049777877
16249,0.1568103858,-0.022644978,6.3313349054,0.0,0.0078324028,0.0191684193,-1.562564633,-0.140162487,0.0477216531,0.0130482404,-0.568875652,0.067347869,0.5295698925,-0.034637077,0.067347869,22.0,0.0054698777,0.1538461538,-0.022084196,-0.713595583,0.0875416092,0.3616236162,0.2594477669,0.0038502296,-0.095223228,0.9132536357,0.0,21.605405405,0.9147565549,20.245045045,0.8867446255,0.1452811811,1.1562627499,-1.69094693,0.0,0.0,0.0,0.0,0.0,0.0527240087,3.0,-8.744503167,-0.018760135,0.0227686159,-0.130235548,-1.29794964,0.0083192632,-1943.508693,0.0409330073,11.582959225,0.0126547882,-0.017322835,-0.018076838,0.0070319726,0.6978811277,-0.271946616,2.0,0.0026315971,-0.036355672,0.0997514054,2.0,10.89578885,0.4197363289,0.0,0.0389464982,0.0383107626,0.076424776,0.6244400176,1.2093971605,1.1238133e-07,4.1691371e-08,1.7780386121,3.1614213063,0.1874099857,0.0668667161,-0.025480945,-0.121601037
17137,1.8542799311,-0.094307034,-49.96345393,0.0899675778,1.1024787238,2.8109776813,-0.082323832,0.00247147,0.3508874384,0.0002541511,0.2315272507,-0.004666151,-0.146115035,-0.080527358,0.0046661511,33.0,0.0053815416,-0.198333333,-0.100026202,-0.109411087,0.0727634767,0.0991330301,0.0287973774,-0.045654439,-0.097347428,0.3346203609,0.0,1.9634943634,-0.191314488,1.0702901368,-0.180405064,83.488976823,7.6500569771,-0.014672116,0.0,0.0,1.0,0.0,0.0,0.4867927325,2.0,-0.045135078,-0.116285551,-0.172188452,0.9430969407,-1.028016628,-0.206877417,-858.5271951,0.1436951932,11.522887204,0.0068735476,0.001667187,0.0026584279,0.058985524,0.0179003838,0.0791868664,1.0,0.0339388527,0.3473746626,-0.097072504,3.0,11.00832109,0.655464319,0.0,0.0712041184,0.0389462176,0.0575213851,0.6977241546,2.2295305551,1.0814476e-07,2.723527e-08,0.8097677117,0.6557237469,0.2120596383,0.035142994,-0.469427539,-0.228123722
85885,0.8513732444,-0.059700731,-58.91161473,0.0,1.5225599878,5.4179051167,-0.007079694,0.2376884096,0.6729469854,0.2161581435,0.1089380284,0.0154169993,0.5673076923,-0.093569415,0.0154169993,22.0,0.048805981,-0.024390244,0.5491501313,0.3300952966,-0.186703568,1.6098654709,-0.262519728,0.0371296778,0.5936007641,0.4564504869,0.0,1.334091331,0.1355014645,0.6795062187,0.1770483491,240.63172805,6.5990522063,-0.025420182,0.0,0.0,0.0,1.0,0.0,2.3494508118,2.0,0.0261360921,-0.204511664,-0.221965917,0.2322698038,2.4194422518,-0.158212575,-1996.30373,0.1256613283,8.4413479267,0.0052589894,-0.044081381,-0.126436782,0.1851961715,0.0059612519,0.0173462058,0.0,-0.1306162,4.0870491792,-0.161415558,0.0,6.1548593534,0.1087486157,0.0,0.3181294799,0.1787187526,0.192186905,1.6325871423,0.3783672379,0.0002190366,6.0000004088,1.010850393,1.0218185171,0.7314998193,0.1576546683,-0.131074792,-0.235264681
