firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20
50906.0,0.0221310363,0.0272826981,0.0433041737,0.0432703969,0.1300135984,0.0148348802,0.0,0.0108266668,-0.647508682,0.0,0.0694444444444444,-0.0128205128205127,0.0694444444444444,0.1159420289855073,0.2419354838709677,0.3508771929824561,0.3162393162393162,0.4807692307692308,0.4528301886792452,0.711111111111111,0.711111111111111,0.6041666666666667,0.4528301886792452,0.4528301886792452,0.6041666666666667,0.6041666666666667,0.925,0.925,0.711111111111111,0.439252336448598
18980.0,-0.000168337,0.0063660284,0.0209405289,-0.000711455,0.0919256342,0.0116299058,0.0,0.0050960067,0.57848372,0.0481997672,0.3333333333333332,0.1612903225806452,0.125,0.0909090909090908,0.125,0.125,0.125,-0.0270270270270269,0.0909090909090908,0.3846153846153846,0.5652173913043479,0.5652173913043479,0.5652173913043479,0.3846153846153846,0.7142857142857142,0.3846153846153846,0.3333333333333332,3.0,1.7692307692307692,1.1176470588235294
65840.0,0.0133879279,0.0296168491,0.0773341619,0.0884028386,0.0249135158,-0.004473885,4.0,0.0306732787,3.1335944299,0.0811453862,0.0270270270270269,0.1515151515151516,0.2391304347826086,0.3103448275862068,0.3571428571428572,0.5,0.2808988764044944,0.2127659574468086,0.0961538461538462,0.4074074074074074,0.1999999999999999,-0.0256410256410256,-0.1363636363636363,-0.2137931034482758,-0.0578512396694215,-0.0952380952380952,-0.0806451612903226,-0.0655737704918032,-0.1678832116788321,-0.0806451612903226
11181.0,-0.000373785,0.0263627546,0.0821396192,0.0418063924,0.0164839346,0.1164641686,2.0,0.0023492005,-0.250406218,-0.011627907,-0.0609756097560976,-0.125,-0.4460431654676259,-0.4539007092198581,-0.3984375,-0.3790322580645161,-0.3864541832669322,-0.3913043478260869,-0.347457627118644,-0.2524271844660194,-0.2299999999999999,-0.2376237623762376,-0.1538461538461538,-0.1149425287356321,0.1240875912408758,0.0694444444444444,0.203125,0.0547945205479452,0.0769230769230768,-0.1630434782608695
50032.0,0.0009467687,0.0179120564,0.0396785264,0.0813547338,0.160213852,-0.003947237,0.0,8.51064e-05,-0.081257621,-0.040646714,0.0633484162895927,0.0491071428571427,-0.0042372881355932,-0.08203125,-0.06,-0.0248962655601659,-0.0408163265306122,-0.048582995951417,0.0307017543859648,0.0129310344827586,0.0307017543859648,0.0352422907488987,0.0444444444444445,0.0633484162895927,0.146341463414634,0.1633663366336633,0.2368421052631579,0.1576354679802956,0.1633663366336633,0.175
49330.0,-0.005149541,-0.004914696,-0.011986888,-0.049222296,0.0179178747,0.0304518805,0.0,-0.010311111,4.2719881744,0.0042966679,0.1538461538461537,0.125,0.125,0.2228260869565217,0.2096774193548387,0.2784090909090908,0.25,0.1968085106382979,0.2228260869565217,0.3719512195121952,0.271186440677966,0.2228260869565217,0.1904761904761904,0.1842105263157893,0.125,0.0817307692307691,0.171875,0.1083743842364532,0.0817307692307691,0.2857142857142858
17304.0,0.0019323373,0.0092043014,0.0210298387,0.0510814129,0.0058394563,-0.003725106,0.0,0.0042455285,-0.191057747,0.0357671049,0.0904872389791182,0.0444444444444445,0.0398230088495574,-0.0167364016736402,0.0021321961620468,0.0491071428571427,0.0262008733624454,0.0706150341685649,0.1298076923076923,0.1868686868686868,0.1928934010152283,0.1032863849765257,0.2113402061855669,0.2401055408970975,0.3662790697674418,0.3988095238095237,0.4873417721518986,0.4506172839506173,0.4417177914110428,0.370262390670554
47730.0,-0.00937094,0.0035115037,0.0068893496,0.2052354528,0.0266317025,-0.008645935,0.0,-0.001521739,1.2085889571,-0.010178192,-0.0799999999999999,-0.1636363636363637,-0.1965065502183406,-0.1401869158878504,-0.1279620853080568,-0.1067961165048543,-0.1111111111111111,-0.0799999999999999,-0.0799999999999999,-0.0466321243523316,0.0222222222222221,0.0574712643678161,0.0952380952380953,-0.0515463917525773,0.0454545454545454,-0.031578947368421,0.0,-0.0054054054054053,0.0337078651685394,-0.0515463917525773
13777.0,0.001577065,0.0354712507,0.0460364353,0.0471587546,0.5237032569,-0.27455264,1.0,0.0008756763,0.2836338248,-0.038084464,-0.097560975609756,-0.2884615384615384,-0.3392857142857143,-0.26,-0.2448979591836735,-0.2291666666666666,-0.5256410256410257,-0.5066666666666666,-0.4637681159420289,-0.4032258064516129,-0.3018867924528302,-0.3508771929824561,-0.4126984126984127,-0.4307692307692308,-0.2448979591836735,-0.3272727272727272,-0.2884615384615384,-0.2884615384615384,-0.4598540145985401,-0.4126984126984127
44652.0,0.000502557,0.0086229025,0.0303514027,-0.030749393,0.0110499061,0.0134787174,0.0,-0.000324544,-0.504749427,0.0157629966,0.0835164835164834,0.0602150537634409,0.0228215767634853,-0.0767790262172284,0.0144032921810699,0.1966019417475728,0.1572769953051642,0.1359447004608294,0.2294264339152119,0.5406249999999999,0.6324503311258278,0.6270627062706271,0.5358255451713396,0.6543624161073827,0.74822695035461,0.9034749034749034,1.097872340425532,0.972,0.948616600790514,0.9182879377431908
44548.0,0.0071555428,0.0135578598,0.035326141,0.2929243925,0.0169485369,-0.10409319,2.0,0.004037938,1.9785278443,0.0514193508,0.0835820895522387,0.0225352112676056,0.03125,-0.0595854922279792,0.0111420612813371,0.0803571428571428,0.278169014084507,0.3010752688172042,0.5381355932203389,0.6883720930232557,0.6575342465753424,0.5714285714285714,0.5782608695652174,0.704225352112676,-0.2074235807860261,-0.1059113300492611,0.0868263473053891,0.2181208053691274,0.1203703703703704,0.0933734939759036
38746.0,0.0050456954,0.0151571317,0.0459559589,0.0442351485,0.0292176731,-0.096730154,0.0,0.0256353793,1.8258483034,0.0893903812,0.0584795321637428,0.0969696969696969,0.0284090909090908,0.1753246753246753,0.1907894736842106,0.3407407407407408,0.4715447154471544,0.3712121212121211,0.4715447154471544,0.7238095238095239,0.6017699115044248,0.3115942028985508,0.2147651006711408,0.1830065359477124,0.2482758620689655,0.4140625,0.0402298850574711,-0.0858585858585858,-0.1170731707317073,0.0225988700564971
14190.0,-0.015339695,-0.041773382,-0.085529587,-0.174897829,0.0122307056,-0.166073989,0.0,-0.198631149,-0.383300046,0.0016666688,0.0952380952380953,-0.0212765957446808,0.0,0.0952380952380953,-0.0416666666666666,-0.1481481481481481,-0.2068965517241379,-0.28125,-0.1636363636363637,0.0454545454545454,0.0,-0.1481481481481481,-0.0980392156862745,-0.2459016393442623,-0.0799999999999999,-0.2068965517241379,-0.2333333333333332,-0.3611111111111111,-0.3783783783783784,-0.4651162790697675
60871.0,-0.006423788,0.0167024971,0.024999023,-0.008927673,0.0323903522,-0.069017671,0.0,0.0001876544,2.1324451411,0.0658291513,0.0,-0.0898876404494382,-0.1428571428571429,-0.0061349693251533,-0.0795454545454545,0.0945945945945945,-0.2358490566037735,-0.2702702702702703,-0.2465116279069767,-0.1428571428571429,-0.1290322580645161,-0.1195652173913043,-0.1147540983606557,-0.2863436123348017,-0.1049723756906076,-0.173469387755102,-0.0847457627118644,-0.0949720670391061,-0.3221757322175732,-0.3545816733067729
