firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
54594,0.4107590612,0.0486835162,13.899343863,0.0124490647,0.5047742122,1.0678547755,0.0976234317,0.2661995075,0.3072015016,0.5218633267,0.4201824642,0.031160891,24.0,0.0769674947,0.2857142857,0.3271437977,0.019307356,0.172281527,-0.002962902,0.1330629324,0.1173256976,0.4808992721,0.0,3.1405047336,-0.241751259,1.3743060584,-0.302022777,45.414179538,4.7877558016,0.1585311269,0.0,0.0,1.0,0.0,0.0,0.5503808601,5.0,-0.506831581,0.1443815753,-0.376597473,-2.242855318,0.0700560526,371.46775572,0.2091536928,13.402849559,0.0030042448,0.0160369596,0.0363472113,0.0806745269,0.0256830495,0.0094158621,7.0,0.0011234043,1.8174799915,0.110387757,5.0,12.356328249,0.5461446264,0.0,0.0681818202,0.0333332236,0.0387849235,0.7217216996,3.3158214613,2.0195771e-08,2.9983666e-08,0.7542011595,0.568819389,0.0747071691,0.0408897114,-0.337980468,-0.130375563
11624,0.1511237626,0.0314869666,7.3957867464,0.0,0.0054025109,0.1269931986,0.7161542808,0.0830355961,0.5522694191,0.0019546521,-0.328068044,0.0525010731,15.0,0.0151192707,0.0,0.1045118532,0.0118449744,0.5315315315,0.3521416153,0.0173349213,0.1110392875,0.8582468691,0.0,27.960216998,0.8103421123,25.511754069,0.8107954807,1.1180012041,5.7314814815,1.8695246971,0.0,0.0,0.0,0.0,0.0,0.5995115995,7.0,8.3515026719,-0.155131275,0.0277555206,0.7622776058,0.0909107855,-2669.030155,0.0264272264,10.557448769,0.0036390102,0.044359673,0.0461137548,-0.006174298,0.7103060663,0.0003431926,0.0,-0.001251956,-0.532500197,-0.050749116,5.0,10.240459664,1.0667190982,0.0,0.1899999976,0.0610194201,0.0902391698,1.1009012031,5.5375669948,3.3974541e-07,1.3581947e-08,1.2186940647,1.4852152234,-0.454974041,0.0886370107,-0.337739981,-0.100479261
11790,0.5226297192,0.0662409884,4.9564980968,0.0062488143,0.1753106621,0.2047939196,-0.068097282,0.0281035763,0.0884328195,0.0,-0.203437315,0.0077131948,23.0,0.0267151248,-0.074626866,0.0011012897,-0.023876816,0.0606181912,0.0156917956,0.0242958823,0.1391778556,0.554129346,0.0,7.5956295108,0.1139617785,4.3103448276,0.0210917837,2.6833682902,4.1329265374,0.4622143585,0.0,0.0,0.0,0.0,0.0,0.1171316697,5.0,0.295795071,-0.126995651,-0.319493206,-12.47208597,0.0078633728,-736.874142,0.2176042751,11.748029207,0.000181161,0.0161551986,0.0219397407,0.003990921,0.1174423844,-0.050343254,3.0,-0.000617153,1.1224588969,-0.031528181,4.0,9.7043046387,0.1501612597,0.0,0.0399999991,0.0202001334,0.026608432,0.7984144927,0.6187589561,2.341787e-07,1.141114e-07,0.4569454639,0.208799157,-0.13434502,0.0324335472,0.0219648149,-0.138796711
12117,0.5396476348,-0.17262232,0.6738956626,0.0,0.2869708631,1.0119113066,-0.354659249,-0.081826112,0.3847048561,0.0085012013,0.4885931559,-0.08570905,17.0,0.016675257,0.3769633508,-0.177994216,-0.11932892,0.3935969868,-0.441690196,-0.179877871,-0.237253016,0.6234671903,0.0,1.7992990223,-0.494155145,1.6923076923,-0.512782064,3.8630821507,4.9028411974,-0.445923824,0.0,0.0,0.0,0.0,0.0,0.4890105824,1.0,-10.21934307,-0.456910149,0.3136439276,57.198503524,-0.020068572,-892.3569973,0.0519717294,10.789915548,0.0001876525,-0.062642513,-0.095954206,0.0279788989,0.1904794997,0.0049611669,0.0,0.0046163624,7.1722230595,0.2528145164,2.0,13.074431795,6.3997181235,0.0,0.2222222239,0.0835401541,0.1297902636,0.7200424269,29.753479033,3.7950048e-08,2.1639008e-09,1.5378295154,2.3649196185,0.4099121573,0.1978384155,-0.777618414,0.1107744366
12320,0.7109930811,0.0583394839,-14.68273834,0.0221171485,1.5758445868,1.7392247989,0.065488374,0.8903635357,0.345457382,0.0648642376,1.6357316257,0.1378389946,23.0,0.0692399134,0.5538461538,0.1253641687,-0.069999001,0.0869862781,-0.30819256,0.51631212,0.1620252049,0.4848458789,0.0,1.1483909248,-0.459066774,0.7417568446,-0.40558934,40.284242298,3.847846186,0.1382794654,0.0,0.0,1.0,0.0,0.0,0.6442451749,3.0,-0.033194459,0.3801291696,-2.384349458,-1.921719841,-1.101141942,-2984.027768,0.0791407986,12.078715723,0.0057108425,0.0100718711,0.0345986219,0.2671892684,0.0088867138,-0.292593905,3.0,0.0060289855,3.3255037864,-0.020301411,3.0,11.173225274,0.7469813989,0.0,0.0785714313,0.028902387,0.0334603184,0.6221593675,2.6083666676,3.7811606e-08,1.8734652e-08,0.6233585316,0.3885758589,-0.238210129,0.0404252005,0.2215080364,-0.043762763
13056,0.4142029448,0.0585283657,26.261100204,0.0159985867,0.2465341598,0.6770171191,0.1270599718,0.0050451497,0.6903607291,-0.050665493,0.0351793552,0.0601011593,24.0,-0.015139411,-0.019283747,0.0174338031,0.0202084589,0.1472772277,0.0556327848,-0.006490033,-0.012072074,0.3274046247,0.0,1.9783707387,-0.128353427,1.4540153437,-0.082028412,46.170232871,5.885439809,0.3252696711,0.0,0.0,0.0,0.0,0.0,1.0656230837,7.0,0.0153757346,-0.141843323,0.0885454423,-0.722492732,0.0356038095,2274.9255187,0.0331741021,14.815364861,0.0016495041,0.0157654719,0.0251491023,0.0038306512,0.019959436,-0.006439492,0.0,0.0006315789,0.2569444444,0.0272909217,4.0,14.129328195,0.6653336194,0.0,0.0976430997,0.028275073,0.0311643978,0.6079436531,1.8970693101,1.9546873e-09,2.5448225e-08,0.5202465299,0.2706564519,0.140145109,0.0293082022,-0.498050691,-0.094664591
50091,0.5922132218,0.0749915319,-3.45100528,0.0198356705,1.0848571069,2.0652711243,0.050869556,0.0523701253,0.3701034334,0.0050188206,0.0501184106,-0.031429705,23.0,0.0255204518,0.0574492532,0.0735823238,-0.027936237,0.1306098153,-0.001766138,0.0506648594,0.0565201177,0.5032344717,0.0,2.7650489887,0.2583017415,1.6677935025,0.2240934555,54.174045491,4.3604191186,0.1317758188,0.0,0.0,0.0,0.0,1.0,0.9663531264,4.0,0.2683342441,0.0011339448,0.0930175869,-0.570388807,-0.119830571,-432.5926953,0.0656574121,11.912439568,-0.000415736,0.0105923707,0.0303472701,0.0225021455,0.0122045007,0.2362683536,1.0,0.0024041451,1.1843280552,0.0022160024,2.0,11.212016299,0.564681555,0.0,0.0154373925,0.0075335688,0.0084824919,0.8606478013,1.3279798069,3.2444243e-08,4.943988e-08,0.5580469334,0.3114163799,0.0644382474,0.02817788,-0.274008888,-0.044840659
14286,1.3556387922,0.1555377366,-1.878277763,0.0386647481,2.1595140544,2.2317468338,-0.092048447,0.1882846299,0.2590970619,0.0015511892,0.2840273787,-0.221092059,24.0,-0.023384436,-0.010309278,0.0358934617,-0.100925547,0.1487874616,-0.002814256,-0.001486318,0.1304315967,0.5867892609,0.0,3.2420222302,0.3515538039,2.276801721,0.6730737358,2.2051749588,3.4362061967,0.1452623873,0.0,0.0,0.0,1.0,0.0,0.6301018539,3.0,-0.203388775,-0.496059361,1.2290131331,-0.787391154,-0.198679426,-5004.235526,0.035532534,8.6177622463,-0.002548787,0.001183802,0.002624282,0.1127993109,0.3245556132,-0.013584682,2.0,-0.011300603,0.6598691075,0.0003024805,2.0,5.5264484594,0.1023693254,0.0,0.1458333284,0.0638371333,0.0976390341,1.12142761,0.798549598,2.04279e-05,13.363636577,1.1123744619,1.2373769435,0.3935281122,0.0928463786,-1.000841035,0.0899069116
14526,0.3085966102,-0.143752337,5.4763074407,0.0147849089,0.9981995626,2.5702005668,0.086859039,-0.073544207,0.4059992335,-0.015386271,0.0781746575,0.0957457298,24.0,-0.026805929,0.0181596215,-0.039910515,0.2206383728,0.1846279351,0.07212895,0.0157915539,-0.363336412,0.4993900685,0.0,1.4752036362,-0.146274365,1.0759248009,-0.141219657,116.23978098,5.6468197508,-0.079214441,0.0,0.0,0.0,0.0,0.0,1.1266112496,4.0,0.6683251475,-0.195503749,-0.035044573,-0.54518778,-0.006099566,-569.5668089,0.0572588492,12.647459763,-0.0028755,0.009023509,0.0382113302,-0.086952752,0.0244660275,0.0044329265,1.0,-0.007174888,1.064291181,0.1432892624,2.0,12.012324807,0.5754648723,0.0,0.0479041934,0.0201582999,0.0331665956,1.0357975219,4.0518701282,3.0536018e-08,2.4121597e-08,0.8307326559,0.6901167455,0.2251473658,0.0642350519,-0.557563674,-0.16778908
11581,0.2326347949,0.0479131322,88.171484776,0.0018851592,0.2957477352,0.7662773065,0.1551515469,0.2160077221,0.7075471946,0.0120861412,0.2194552273,0.0738904887,11.0,-0.01156915,0.3953871499,0.1769929011,-0.03861278,0.261238684,-0.055138423,0.0480640854,0.2116529637,0.3843593548,0.0,1.7611207259,-0.083039198,0.8586697226,0.0724188245,115.00444749,7.9378962655,0.2782354971,0.0,0.0,0.0,0.0,0.0,1.5300406637,4.0,0.0728130795,0.2615451531,-14.68764206,-0.301635751,-0.909822616,-296.2833905,0.0270140569,14.181922939,0.0198324035,0.0328940493,0.0981306564,0.1359701665,0.00582895,-0.02912503,1.0,0.0008029197,2.4103062713,0.0437700003,6.0,13.990047203,0.8896979713,0.0,0.0869565234,0.0316392825,0.0385788258,0.7129395166,3.9008635339,4.153363e-09,1.7635812e-08,1.2418778089,1.5422604922,0.178243562,0.0374540936,0.0947996851,-0.102544749
15203,0.5725521669,0.0553772071,-156.6666667,0.0,0.6571428571,1.62929374,0.1233592372,0.0070987249,0.4308531616,0.0064620355,-0.050556586,-0.074077047,24.0,0.0206968824,0.1105263158,0.2348540146,0.0893884096,0.2045855379,0.0484136013,0.0196529512,0.0825493171,0.5569924292,0.0,1.8859688869,0.0536466912,0.563812113,0.0194344645,1476.4575646,6.5381642512,0.1510825601,0.0,0.0,1.0,0.0,0.0,0.935660091,6.0,0.098456047,-0.023315681,-14.34772468,-12.47208597,-1.057790151,-1161.202891,0.0270140569,8.7371316118,-0.009990798,-0.003235885,-0.008183999,0.2146161836,0.0026558266,0.0003162623,0.0,-0.026531961,0.1975399754,-0.029411765,2.0,6.9801922129,0.2231139647,0.0,0.1000000015,0.0500546761,0.0591183323,1.1848415006,2.1325623445,5.5708299e-06,6.6818182363,0.1562547123,0.0244155351,0.7569061348,0.0570916358,-0.262360439,-0.102544749
