firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,invest,egr,tang,sin,currat,quick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48,mom49
54594,0.7721231131,0.0801502404,-5.157850781,0.0255621922,0.6010163547,1.9345799292,0.1096476064,0.1324583904,0.3912248229,0.004827701,0.21154908,11.0,0.0462558905,0.0769784173,0.2316805616,0.0116868115,0.0158099114,0.1311437359,0.0801439939,0.0776962447,0.519268936,0.0,2.2514888474,1.1849686848,43.745454545,5.0982885086,0.218921901,0.0,0.0,1.0,0.0,0.0,0.636282913,4.0,-0.639038468,-0.022242688,-0.145235729,-0.125490207,0.4331077948,35.169610054,0.4894653679,11.960429427,0.0086716997,0.018851381,0.0317376634,0.0773492674,0.032206171,0.0153765848,1.0,0.0102849608,-0.763184844,-0.011363637,5.0,10.981897134,0.4517036057,0.0,0.0505050495,0.0180184112,0.0213901814,0.9472552896,1.8877172961,5.7073065e-08,3.9222316e-08,0.9115646673,0.8309501426,0.0843916825,0.0402113276,0.3389276809,0.1551311721,0.1194029850746267,0.0,-0.1071428571428571,-0.127906976744186,0.0135135135135135,-0.032258064516129,-0.1477272727272727,-0.180327868852459,-0.1712707182320442,-0.0963855421686746,-0.0797546012269938,-0.0384615384615384,-0.0445859872611464,-0.0625,-0.0066225165562914,0.0489510489510489,0.0869565217391303,0.3392857142857142,0.3274336283185841,0.25,0.271186440677966,0.2605042016806722,0.2295081967213115,0.271186440677966,0.5625,0.7647058823529411,1.0270270270270272,1.0270270270270272,1.0,1.1739130434782608,1.34375,1.6315789473684212,1.8301886792452828,1.9411764705882355,1.727272727272727,1.6785714285714284,1.6785714285714284,1.6785714285714284,1.380952380952381,1.5862068965517242,1.459016393442623,1.4193548387096775,1.5862068965517242,1.5862068965517242,1.272727272727273,0.875,0.7241379310344827,0.7241379310344827,0.7441860465116279
50091,1.9323067802,0.1489594059,-30.43697163,0.0592218166,2.2500546039,4.046038878,-0.053025978,0.1124431498,0.3167969658,0.00295733,0.1864526691,10.0,0.0561146415,0.0714285714,0.0662196385,0.0127117692,0.2158432698,0.1023826374,0.1109658733,0.0371111576,0.4471303151,0.0,1.7912133061,1.097061657,48.721209844,4.1526107633,0.1338987068,0.0,0.0,1.0,0.0,0.0,0.5832447143,3.0,-0.019495796,-0.053588935,0.6061703025,-0.962666806,-1.177508573,-111.2850078,0.0614925382,11.646896761,0.0004467396,0.0088907705,0.0194496122,0.1215350138,0.0161691718,-0.031707437,1.0,0.0001438849,-0.505518764,0.0146822716,3.0,10.346035674,0.3150013994,0.0,0.025510205,0.0135706035,0.0134768534,0.9766616679,0.9527697447,7.3605192e-08,7.3409763e-08,0.3518943311,0.1238296203,0.5151644854,0.0338410877,0.1581993794,0.267952554,0.0775193798449611,0.0859375,0.0775193798449611,0.1209677419354837,0.2192982456140351,0.287037037037037,0.275229357798165,0.257918552036199,0.188034188034188,0.2522522522522523,0.2466367713004484,0.2086956521739129,0.1779661016949152,0.1982758620689655,0.1440329218106995,0.0334572490706319,-0.0106761565836298,0.1209677419354837,0.1729957805907174,-0.0071428571428571,0.0451127819548873,0.0530303030303029,0.139344262295082,0.1779661016949152,0.0733590733590734,0.275229357798165,0.2410714285714286,0.2636363636363636,0.3560975609756098,0.3429951690821256,0.4329896907216495,0.5706214689265536,0.4787234042553192,0.7707006369426752,0.6646706586826348,0.4183673469387754,0.3899999999999999,0.4554973821989529,0.3627450980392157,0.3969849246231156,0.275229357798165,0.2139737991266375,0.1487603305785123,0.2990654205607477,0.3113207547169812,0.287037037037037,0.2300884955752211,0.1209677419354837,0.0610687022900764
27502,1.0078885182,0.1631046706,-1.232920098,0.0395989714,0.3782839867,1.7446830692,0.1722783226,0.0711053826,0.5381640955,-0.004152824,-0.030504097,10.0,-0.005069429,0.094783715,0.1931554869,0.0845329303,0.1068899205,0.1671649905,0.0049677099,0.1149639596,0.6243355604,0.0,5.5990855053,3.090260631,9.0860555606,5.1616717216,0.5635471545,0.0,0.0,1.0,0.0,0.0,0.7570014416,5.0,0.0861267887,-0.044514569,0.3661418254,-0.500888207,0.1429164437,-152.7670441,0.0309805399,11.335410836,0.0025891231,0.0244798346,0.0336886117,0.0067302462,0.1449142801,0.0099539218,1.0,0.0057294122,1.6404494382,0.0263157897,4.0,9.6177286296,0.456928839,0.0,0.1169354841,0.0282095557,0.0103461655,1.7916425823,5.6903693932,2.0476124e-07,0.9130434973,0.8646360864,0.7475955618,-0.291434467,0.0368359631,0.3295284034,0.0081107059,0.1057692307692308,-0.068825910931174,-0.1221374045801526,-0.049586776859504,0.0267857142857141,0.1979166666666667,0.1274509803921568,0.2432432432432432,0.369047619047619,0.4935064935064934,0.4743589743589744,0.4935064935064934,0.4556962025316455,0.3855421686746987,0.554054054054054,0.4935064935064934,0.3068181818181819,0.513157894736842,0.5862068965517242,0.5333333333333334,0.5333333333333334,0.4465408805031445,0.4024390243902438,0.4285714285714286,0.6911764705882353,0.7164179104477613,0.811023622047244,1.0,1.1698113207547172,0.9008264462809918,1.0535714285714284,1.2549019607843137,0.9166666666666669,0.9166666666666669,0.9827586206896552,0.8852459016393444,1.0353982300884956,0.8852459016393444,0.7557251908396947,0.8253968253968254,0.8253968253968254,0.811023622047244,0.8852459016393444,0.8400000000000001,0.796875,0.619718309859155,0.6428571428571428,0.5972222222222223,0.6083916083916083
44601,0.4528317994,0.0796123582,44.503998119,0.0178169917,0.4357563454,1.5283058584,0.1685972027,0.1307001046,0.6861361443,1.0135603589,0.1396725331,10.0,0.0320692247,0.1069896543,0.1338734736,0.0527623624,0.0231059644,0.078717951,0.1496676159,0.122198393,0.5466505956,0.0,1.7592845291,0.9517146829,286.30322985,6.7025473499,0.2672687542,0.0,0.0,1.0,0.0,0.0,1.2887247114,5.0,-0.014853901,0.0989855441,-0.496926308,-0.048868923,0.3972800145,-1.234509973,0.0439818798,13.503039597,0.0026550544,0.0255890555,0.0493065748,-0.018046771,0.018798673,0.0062001607,1.0,0.0,1.2327347622,-0.059514092,6.0,12.237687585,0.3759723132,0.0,0.038869258,0.0220158942,0.0206622185,0.6946507491,1.2244463959,1.9690696e-08,5.3969731e-08,1.0802413124,1.166921293,0.2010330615,0.0310294096,0.2056861015,0.2767185881,-0.0763636363636364,-0.0627306273062731,-0.1331058020477815,-0.1505016722408027,-0.0078125,0.0495867768595041,0.0717299578059071,0.045267489711934,0.0583333333333333,0.2095238095238094,0.2450980392156863,0.3092783505154639,0.2037914691943128,0.1705069124423963,0.2390243902439024,0.2763819095477386,0.1651376146788989,-0.4147465437788018,-0.3536895674300254,-0.3262599469496021,-0.3135135135135135,-0.328042328042328,-0.2944444444444444,-0.2680115273775216,-0.2184615384615384,-0.1672131147540984,-0.1180555555555555,-0.1589403973509934,-0.1241379310344827,-0.1418918918918918,-0.0039215686274509,0.118942731277533,0.0854700854700853,0.2390243902439024,0.2959183673469387,0.3160621761658031,0.2390243902439024,0.3655913978494622,0.3804347826086955,0.3439153439153439,0.1441441441441442,0.2211538461538462,0.3956043956043955,0.4941176470588235,0.4767441860465116,0.2512315270935961,0.2763819095477386,0.4514285714285715,0.4111111111111112
46156,1.4397396314,0.1746158244,-8.465468008,0.0419826714,1.2845740423,4.3714192726,0.0811038883,0.231007466,0.3639011485,1.001510574,0.4161391423,10.0,0.0741013121,-0.118387372,0.0280169989,-0.01724643,-0.02352309,0.1356451745,0.0273965633,0.1024204151,0.5689342463,0.0,2.2566506153,1.4870840021,31.396239765,6.3744817962,0.308248515,0.0,0.0,1.0,0.0,0.0,0.5849408367,1.0,0.0176398459,-1.068097888,0.2481443361,0.7958141067,-0.129911539,-23.38592044,0.0667835165,11.131333732,-0.024357566,-0.007184796,-0.012841427,-0.281815902,0.0319925446,-0.109957837,0.0,-0.078220885,-0.72629521,-0.0079957,3.0,8.8638455769,0.079006772,0.0,0.065637067,0.0238934708,0.0177672017,0.8798409581,0.4243822537,6.2472642e-07,2.0000002209,0.616556908,0.3801424208,0.4389955909,0.0419662779,0.1914265429,0.2160997395,-0.0476190476190476,-0.0697674418604651,-0.1111111111111111,-0.0163934426229508,-0.0625,-0.0625,0.0256410256410255,-0.0909090909090909,-0.1608391608391608,-0.2307692307692307,-0.1428571428571429,-0.2258064516129032,-0.281437125748503,-0.3220338983050848,-0.6703296703296704,-0.6842105263157895,-0.6850393700787402,-0.6428571428571428,-0.6511627906976745,-0.6590909090909092,-0.6551724137931034,-0.6141479099678457,-0.6103896103896104,-0.5774647887323944,-0.5294117647058824,-0.5402298850574713,-0.5081967213114754,-0.4,-0.375,-0.3333333333333333,-0.3582887700534759,-0.3548387096774194,-0.240506329113924,-0.0163934426229508,-0.0476190476190476,-0.0977443609022556,-0.0909090909090909,-0.1549295774647887,-0.0625,-0.1549295774647887,-0.1111111111111111,-0.0769230769230768,-0.0697674418604651,-0.04,-0.1111111111111111,-0.1428571428571429,-0.183673469387755,-0.2105263157894736,-0.1999999999999999
17953,0.7531348146,0.1706488061,-14.32490122,0.060920555,2.8294213327,4.4871016979,0.0707663782,1.3250448029,0.8525985663,0.0023512686,2.3383774695,11.0,0.1947045745,0.3888888889,0.3503806154,-0.918935058,0.0788345554,0.1205641492,0.4912634409,0.1526717557,0.4077828307,0.0,1.1378610108,0.6270306859,36.192528736,6.1259727626,0.1441720763,0.0,0.0,1.0,1.0,0.0,1.8304252999,2.0,-0.009722059,0.1367178624,-0.120901744,-0.263648482,-0.479446995,2197.4093888,0.0312775509,15.429870736,-0.005015264,0.0034685422,0.0152736529,0.0334462143,0.0307676262,-0.089525034,0.0,-0.012286364,0.2490626484,-0.0119813,3.0,15.240230304,2.9880147146,0.0,0.0165745858,0.0050338555,0.0065086822,0.5593775312,5.6557184308,7.550831e-11,1.075589e-08,0.5796602001,0.3360059476,0.6727826284,0.0342130297,0.3132258471,0.3556229387,0.0580912863070539,0.0669456066945606,0.0408163265306122,0.1135371179039301,0.1383928571428572,0.0669456066945606,0.1038961038961039,0.186046511627907,0.108695652173913,0.2686567164179105,0.2028301886792451,0.1486486486486486,0.0450819672131148,-0.00390625,-0.0555555555555555,0.02,0.0,-0.034090909090909,0.0119047619047618,0.0580912863070539,0.1333333333333333,0.2085308056872037,0.2142857142857142,0.1751152073732718,0.1184210526315789,0.2439024390243902,0.3350785340314135,0.3636363636363635,0.3563829787234043,0.3212435233160622,0.3783783783783783,0.4912280701754385,0.4912280701754385,0.59375,0.6451612903225807,0.7114093959731544,0.6451612903225807,0.6776315789473684,0.7346938775510203,0.795774647887324,0.7708333333333333,0.7465753424657535,0.5178571428571428,0.624203821656051,0.59375,0.4325842696629214,0.4655172413793103,0.3934426229508196,0.4825581395348837
42438,0.4776598527,0.0803393885,-3.779089018,0.0134173153,0.8222295334,5.8377111074,0.1317580997,0.1004819256,0.4833821255,0.0075465639,0.0891312045,10.0,0.0320602252,0.1115602264,0.1731538882,0.0575731137,-0.055627175,0.1827443782,0.055913236,0.1205849956,0.5897866836,0.0,1.5508947732,0.6438320663,87.102116997,14.610407768,0.1191834819,0.0,0.0,0.0,0.0,0.0,1.3208631821,3.0,-0.010653187,-0.15611477,-0.387248145,-0.272845527,0.381158417,99.068871424,0.0719670273,12.884390412,0.0008202072,0.010889734,0.0399962911,0.6178104575,0.0135390628,-0.003793891,2.0,-0.000649783,0.1186451469,0.017447622,4.0,12.587189988,0.780562495,0.0,0.0593220331,0.0167725634,0.0145939769,0.7399098635,2.2285709581,9.6750583e-09,2.6472715e-08,1.4757934501,2.1779663073,0.1850600851,0.0358791456,-0.197543537,0.2868633297,0.0552995391705068,0.2180851063829787,0.106280193236715,0.080188679245283,0.2722222222222221,0.2116402116402116,0.2180851063829787,0.2582417582417582,0.2311827956989247,0.3550295857988166,0.2865168539325842,0.4312499999999999,0.2180851063829787,0.1804123711340206,0.2582417582417582,0.2052631578947368,0.1927083333333332,0.0601851851851851,-0.0213675213675214,0.0361990950226245,-0.0213675213675214,-0.1089494163424124,-0.0766129032258065,-0.2491803278688524,-0.1702898550724637,-0.0839999999999999,-0.1936619718309858,-0.1580882352941176,-0.1292775665399239,-0.1325757575757575,0.0177777777777776,0.0,0.106280193236715,0.1927083333333332,0.2445652173913044,0.3878787878787879,0.4585987261146496,0.4967320261437908,0.1170731707317074,0.0504587155963303,-0.0614754098360655,-0.0984251968503937,-0.1518518518518519,0.0700934579439251,0.0361990950226245,-0.0043478260869564,-0.1192307692307692,-0.1124031007751937,-0.025531914893617
55044,0.9086706478,0.0949320359,-5.023291573,0.0446927881,0.4364187996,2.1798024344,0.1422230821,0.1346203568,0.5144851701,0.0,0.4319237584,10.0,0.0316998893,-0.01641791,0.2742576792,0.0711525634,-0.166994636,0.085399449,0.0532497753,0.0317368247,0.6051121914,0.0,2.9673530889,1.4825174825,34.844377042,4.5133730243,0.2988913176,0.0,0.0,1.0,0.0,0.0,0.6751408684,4.0,0.0154894481,-0.155716194,0.266923955,-0.273961393,1.247848673,-141.8068717,0.0309805399,11.429890263,-0.001944895,0.0225568118,0.0325110118,-0.077851801,0.0180874524,-0.006784267,1.0,0.0036841633,1.1291666667,0.0,4.0,9.7622767486,0.1839607201,0.0,0.0341880359,0.0101688643,0.007741025,0.8066814557,0.445718214,1.0025612e-07,1.3599537e-07,0.4587083672,0.2104133662,0.300967718,0.0286464314,0.420635769,0.1544186937,-0.0326086956521739,-0.0378378378378377,-0.043010752688172,-0.011111111111111,-0.011111111111111,-0.0055865921787709,-0.021978021978022,-0.0378378378378377,-0.0378378378378377,0.1337579617834394,0.0987654320987654,0.1483870967741936,0.0787878787878788,0.072289156626506,0.1055900621118013,-0.0055865921787709,0.1194968553459119,-0.043010752688172,0.0289017341040462,0.0113636363636364,0.0229885057471264,0.0229885057471264,-0.043010752688172,-0.0273224043715847,0.0056497175141243,-0.011111111111111,-0.0481283422459892,0.1410256410256409,0.1633986928104576,0.1125,0.2447552447552448,0.3587786259541985,0.3692307692307692,0.4126984126984128,0.435483870967742,0.3587786259541985,0.3587786259541985,0.3798449612403101,0.4015748031496062,0.3185185185185184,0.3088235294117647,0.3185185185185184,0.3088235294117647,0.2805755395683453,0.1125,-0.021978021978022,-0.0481283422459892,0.0171428571428571,-0.0481283422459892
55108,0.5925200146,0.1132844488,-6.424268617,0.0230277185,2.6299676375,3.9460881674,0.085197669,0.891687747,0.3845924548,0.0434361233,1.2068574601,11.0,0.1291256103,0.8273214286,0.0341242885,-0.4496869,0.1035462019,0.0399260658,0.6471387746,0.158203872,0.537285919,0.0,1.2674338825,0.8039214299,24.927751619,4.6195987107,0.0838259118,0.0,0.0,1.0,0.0,0.0,1.1972426102,2.0,-0.034779034,0.7681746212,-0.450799533,-1.085011578,-0.672379041,99.228964166,0.0261787142,11.243770697,-0.002599916,0.0070823147,0.038517179,0.3269179748,0.0376879538,-0.259063349,1.0,-0.006023765,3.125,-0.015542042,2.0,8.2858914524,0.0608660946,0.0,0.0434782617,0.0140589502,0.0115558424,1.1874298755,0.4143342635,5.1182924e-07,3.0000003183,1.2634128119,1.5962119332,0.0705710112,0.0501007995,-0.00612678,0.0749987912,-0.093525179856115,-0.0597014925373133,-0.1188811188811188,-0.0666666666666666,0.0588235294117647,0.0862068965517242,-0.0381679389312976,-0.0078740157480314,0.0677966101694915,0.2352941176470588,0.1150442477876105,0.26,0.1666666666666667,0.3846153846153846,0.3999999999999999,0.2727272727272727,0.0161290322580645,0.1666666666666667,0.1999999999999999,-0.015625,-0.0735294117647058,-0.0526315789473684,-0.5800000000000001,-0.5516014234875445,-0.5263157894736843,-0.5280898876404494,-0.5153846153846153,-0.4246575342465754,-0.1923076923076923,-0.1818181818181817,-0.0078740157480314,0.1454545454545455,0.1886792452830188,0.26,0.2989690721649485,0.125,0.1999999999999999,0.3263157894736841,0.0677966101694915,-0.015625,-0.015625,-0.093525179856115,-0.0454545454545454,0.125,-0.0454545454545454,-0.1486486486486486,-0.6158536585365854,-0.6227544910179641,-0.5078125
52003,0.57237786,0.0834403081,9.4914611006,0.0082156611,0.6835460243,2.1910594276,0.1285118902,0.3231031136,0.5046059854,0.0059400826,0.5014928344,11.0,0.0147794047,0.16,0.1919730518,0.0052531317,0.0111223127,0.1511444453,0.1709544493,0.1587024978,0.3661921574,0.0,1.1952057737,0.6562419452,91.765338393,30.517669331,0.3117034679,0.0,0.0,1.0,0.0,0.0,0.8818062307,3.0,-0.206274595,-0.053371012,-0.03822452,4.0140846425,0.6572639854,-82.67052149,0.055552445,10.975499159,-0.001320542,0.0099192524,0.0195650416,0.0846484935,0.0190113154,0.1121290437,0.0,-0.00481764,0.0049986846,-0.014078675,4.0,9.9540618385,0.3052631579,0.0,0.0482758619,0.0204573115,0.0297156226,0.6954818974,1.0885893691,2.4831578e-07,5.984206e-08,1.3106053411,1.7176863602,-0.117680754,0.0557128019,-0.077310926,0.0200774605,-0.1168831168831169,-0.1707317073170732,-0.1999999999999999,-0.1999999999999999,-0.0285714285714285,-0.081081081081081,-0.1052631578947368,-0.081081081081081,-0.1168831168831169,0.0303030303030302,-0.0422535211267606,0.0461538461538462,0.0,0.0625,0.0625,-0.0144927536231883,-0.1604938271604938,-0.0422535211267606,-0.0422535211267606,-0.15,-0.1707317073170732,-0.5526315789473684,-0.3461538461538461,-0.3333333333333333,-0.2444444444444444,-0.2444444444444444,-0.15,-0.3061224489795918,-0.2183908045977011,-0.1282051282051282,-0.1052631578947368,0.2363636363636363,0.4782608695652173,0.5454545454545454,0.4468085106382979,0.5454545454545454,0.3877551020408163,0.7,0.6585365853658536,0.5454545454545454,0.5454545454545454,0.5813953488372092,0.3076923076923077,0.6585365853658536,0.4782608695652173,0.3333333333333332,0.2142857142857142,0.1724137931034481,0.0793650793650793
