firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,invest,egr,tang,sin,currat,quick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
17304,0.9751384762,0.1290607461,-70.81636302,0.0384872162,1.4785884597,3.7970039617,0.0358343569,0.0574096952,0.6003784421,0.0003339217,0.0310014317,11.0,0.0243990798,0.0322580645,0.0855318009,-0.000134152,-1.0238e-05,0.0841621519,0.0388468266,0.1027191272,0.5909949294,0.0,2.1410826459,1.3579383753,352.49489188,4.0549628772,0.1388986579,0.0,0.0,0.0,1.0,0.0,1.4795681752,5.0,0.0030677172,-0.125222662,0.191580647,-0.534728691,-0.127378627,192.0342168,0.1108229395,14.342549877,0.0001258652,0.0119805889,0.0292879557,0.0405061734,0.0069983184,0.0178587114,1.0,0.0118697765,-0.536727834,-0.004390699,1.0,14.294208779,0.9254519512,0.0,0.0211267602,0.0112449649,0.0156025616,0.5898804432,2.2093253857,1.969582e-09,3.4671053e-08,0.9814893607,0.9633213651,-0.069576776,0.0304036286,0.3092960321,0.2460897268
47730,0.7845123335,0.0958291369,-6.403063885,0.0371908621,0.6034562691,4.7847041709,0.1415771979,0.1731887661,0.6971007286,0.0286123033,0.4016873125,10.0,0.0145448757,0.0,0.1367239603,-0.006342179,-0.038641339,0.281854364,0.0729033792,0.0424689428,0.5146445954,0.0,1.7893050576,1.5548096727,97.554628422,7.1466885709,0.3097417376,0.0,0.0,0.0,0.0,0.0,1.0888805805,1.0,-0.044174555,-0.265440317,0.3310699955,-0.664407351,0.3561716828,-274.7857075,0.207869402,11.287004623,-0.005594883,0.0123646217,0.0238736822,0.1366056686,0.0222209864,-0.001353234,0.0,-0.000349345,0.018018018,-0.10096616,5.0,9.8640513162,0.2901521363,0.0,0.0294117648,0.0204560839,0.0210335943,0.7413591981,0.8039531803,2.1173854e-07,9.7534232e-08,0.8480006111,0.7191050364,0.168970335,0.0310251444,-0.306823039,0.0398827628
13777,0.4080262774,0.0715032914,1.9866407047,0.0,0.1001176798,0.3866014338,0.2170270406,0.1084718697,0.2283213094,0.5,-0.178659517,3.0,0.0,0.4057971014,0.4031217383,0.4198532558,-0.120359803,0.0917356123,0.248766717,0.2124766936,0.778043372,0.0,3.6007311659,3.6007311659,1.5615100317,3.9012003693,0.7629533679,0.0,0.0,0.0,0.0,0.0,0.3110239279,4.0,-0.056484813,0.1403567849,-0.045416061,7.7229860505,1.1991890053,-276.4769825,0.207869402,10.579297813,-0.003949148,0.0329791886,0.0410713142,0.0251764798,0.4824422051,-0.318356977,0.0,-0.000764286,0.233759662,-0.036923081,7.0,11.747032695,2.3685490196,0.0,0.0588235296,0.0778175555,0.0741998268,1.0505498641,12.027895297,6.7755974e-08,8.3886372e-09,1.7904452367,3.2056941457,-0.025657458,0.0616611156,-0.328461512,0.0398827628
44652,0.4268506729,0.1170169738,-9.886352558,0.0208413522,1.6430255376,7.6436811859,0.0969877893,1.1735703374,1.6620911599,0.068400608,1.4647205814,10.0,0.1985769882,0.8484848485,0.5179359823,-1.589992644,-0.024515175,0.0841158971,1.0687738021,0.4982532422,0.5142484894,0.0,1.1664260218,0.2247334668,159.6498788,78.706675846,0.1853094298,0.0,0.0,1.0,0.0,0.0,4.6360902256,1.0,0.0010478843,0.7804264,-0.562283324,0.9635224827,1.0769743081,1237.6725777,0.0601175357,14.50723022,0.003057736,0.0118850194,0.0441563136,0.4506028711,0.0214812268,-0.002238395,1.0,0.0,1.719665272,0.0002100831,3.0,13.088122803,0.3724102432,0.0,0.0346938781,0.0146517754,0.0188411317,0.7854902291,1.5225124544,4.0623694e-09,5.7063701e-08,1.1901993168,1.4165744138,0.0118905307,0.037880173,0.0348572413,0.303958045
44548,0.3220106449,0.0736771393,3.2239513553,0.011745556,0.441217962,2.0239768499,0.133313081,0.51596415,1.0950889666,1.0172201722,0.5001449466,11.0,0.0970442291,0.2065217391,0.2691006649,-0.109008788,-0.027690842,0.1140319582,0.3448397472,0.2610772142,0.5826893214,0.0,3.0451242541,0.9457360828,16.146758734,88.375451264,0.2857444027,0.0,0.0,1.0,1.0,0.0,2.2678363638,2.0,0.00694549,0.0490410128,-0.461547184,-0.048950657,-0.659728949,-511.3657832,0.1108229395,13.800074025,0.0031341283,0.017684867,0.0447791954,0.1756026111,0.0316252508,0.3543921999,1.0,0.0015248205,4.7530588743,-0.087255972,6.0,13.711446701,0.888503175,0.0,0.0333333351,0.0163625781,0.0298247953,0.6450466244,2.4322477256,4.7323206e-09,2.958041e-08,1.031801273,1.0646138669,-0.057544017,0.0477895621,-0.002544223,0.2460897268
38746,0.7367465342,0.1134465861,-10.70331056,0.0001620434,1.4658932327,1.4471286067,0.1191767381,0.1044224347,0.4108809932,-0.028169014,0.4349412306,11.0,0.0090731489,0.0256410256,0.0807556395,-0.372716871,-0.019274982,0.0354595121,0.1041136849,-0.242662491,0.4472464816,0.0,2.1183966021,0.8541721972,20.05952381,3.6440608806,0.1044910297,0.0,0.0,0.0,0.0,0.0,0.7774427824,1.0,-0.368075294,-0.13262944,0.0024110835,20.760818308,0.2678496942,-14.35489058,0.0516841245,11.606643469,0.0024457772,0.0185096631,0.0553380548,-0.002061601,0.0476749454,-0.106337297,3.0,0.0031818198,-0.804347826,-0.006129071,5.0,11.440604741,0.895515593,0.0,0.0382513665,0.0272720163,0.0252682878,0.7035097659,3.0408027457,6.1430312e-08,3.1307523e-08,0.7849088079,0.6160818367,-0.796609161,0.0496204064,0.2045454518,0.2179779495
14190,1.9824761905,-0.044021164,-49.68456884,0.0158306878,1.9942433862,4.8412275132,-0.066049143,-0.04190148,0.1226434219,-0.009060023,-0.033598622,10.0,0.0654912882,0.1,0.3106064078,0.3925821897,-0.134021421,0.103017061,0.1148185688,-0.05055747,0.5292813617,0.0,1.7174146446,1.0224035502,86.515885023,5.4267413171,0.0707654434,0.0,0.0,1.0,0.0,0.0,0.2246908575,3.0,-0.023707596,0.0408531926,0.9391566427,-2.375750583,-1.094341847,-103.6128882,0.0261787142,9.4223825302,0.0111357124,-0.004205033,-0.008764045,-0.036535526,0.0365848273,-0.039626856,1.0,0.0253089763,-0.8950627,0.0352147855,2.0,9.4641683054,0.7038505096,0.0,0.0377358496,0.0190762488,0.0222695303,1.6051773413,2.9402248841,3.3408861e-06,4.6687111e-08,1.2123647132,1.4698281978,0.2911898206,0.0535910194,0.4571143693,-0.016407319
60871,0.3362824066,0.0643544837,22.770483634,0.0,0.1736702941,0.5398494079,0.1946133243,0.3305068371,0.8752971416,0.3405204461,0.4116090554,10.0,0.0639731289,0.2999180552,0.4643169172,0.007982413,0.0544586185,0.1372392082,0.3256447242,0.2921360213,0.5312080672,0.0,2.3376701269,1.212118416,22.696647114,5.1775531106,0.6129785085,0.0,0.0,1.0,0.0,0.0,1.2627900512,5.0,-0.009747234,0.1674087843,-0.187796101,0.2213788486,0.1387665213,345.52073865,0.0422630468,13.759068241,-0.011364378,0.0183951715,0.0276447679,-0.003781497,0.0354590793,-0.017252152,0.0,-0.000423281,-0.252218692,-0.030714288,7.0,12.301419188,0.3418752731,0.0,0.0540540554,0.0294407913,0.0319683318,0.5863089661,0.8751374468,1.6561413e-08,7.2575103e-08,2.1647845837,4.6862922936,0.176300727,0.0427146922,0.3235904625,-0.058332636
14198,0.5136495453,0.0343155539,2.3233088954,0.0,0.1016064079,0.4769244247,0.0627218637,0.0568476575,0.3725535216,0.0281597546,-0.104438642,11.0,-0.014994223,-0.052631579,-0.065762285,0.0637004696,0.0042363286,0.1289042121,0.0242382873,0.0958888272,0.6951450053,0.0,10.339792961,6.7527950311,2.5810166178,4.7286435761,0.5100450178,0.0,0.0,1.0,0.0,0.0,0.4539015292,4.0,-1.003025719,-0.220587971,0.0155264669,0.3060155173,0.2595740463,50.77699013,0.0812427753,12.441441166,-0.004604406,0.0185395911,0.0224904729,-0.008912146,0.3003329204,-0.003839699,3.0,-0.002033898,-0.56787249,-0.031469299,5.0,12.272629051,0.7402966841,0.0,0.0347826071,0.0182175619,0.0215974471,0.887547171,1.8819260685,3.9079232e-08,5.6595371e-08,1.9474353875,3.7925045883,0.054539531,0.0560376759,-0.069640175,0.0701274438
14331,0.4938764022,0.0220658598,17.88869382,0.0,0.0964335974,0.5654135338,0.00430839,0.0180849884,0.3932098081,0.0089245872,-0.149744753,5.0,0.0439826269,-0.188118812,-0.206195809,-0.640897302,-0.099038459,0.1345636294,0.1758570953,0.0588965517,0.5625285527,0.0,4.7069625096,3.0076511094,24.688202247,2.8572821847,0.4248927039,0.0,0.0,0.0,0.0,0.0,0.4885517241,2.0,-1.059319472,-0.356075204,-0.004246676,0.9931951962,-1.964313902,-210.4918849,0.0812427753,9.8303790807,-0.023410629,0.0309105163,0.0375663536,0.0282417273,0.0387968614,-0.111363077,2.0,0.0020586225,-0.095880423,-0.078333329,6.0,9.8222774971,1.104020979,0.0,0.09375,0.0346600288,0.0506650985,0.8271088732,3.1999255825,3.9919212e-07,2.5674567e-08,1.719214827,2.9556996215,-0.315079334,0.0811886113,-0.023569015,0.0701274438
