firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
54594,0.4107590612,0.0486835162,13.899343863,0.0124490647,0.5047742122,1.0678547755,0.0976234317,0.2661995075,0.3072015016,0.5218633267,0.4201824642,0.031160891,24.0,0.0769674947,0.2857142857,0.3271437977,0.019307356,0.172281527,-0.002962902,0.1330629324,0.1173256976,0.4808992721,0.0,3.1405047336,-0.241751259,1.3743060584,45.414179538,4.7877558016,0.1585311269,0.0,0.0,1.0,0.0,0.0,0.5503808601,5.0,-0.506831581,0.1443815753,-0.376597473,-2.242855318,0.0700560526,371.46775572,0.2091536928,13.103041022,0.0019140819,0.0143507134,0.0319860396,0.0733519721,0.0363263835,0.0021083064,0.0,0.0004384181,2.1445391021,0.0394855645,5.0,13.497490405,1.3398316511,0.0,0.0714285746,0.0287751272,0.0389612821,0.6562502168,5.3370736662,8.7168447e-09,1.2356972e-08,0.7897286438,0.6236713309,-0.102363829,0.0477149195,0.1900287338,-0.258486379
11624,0.1511237626,0.0314869666,7.3957867464,0.0,0.0054025109,0.1269931986,0.7375642884,0.0830355961,0.5522694191,0.0019546521,-0.328068044,0.0525010731,15.0,0.0151192707,0.0,0.1045118532,0.0118449744,0.5315315315,0.3521416153,0.0173349213,0.1110392875,0.8582468691,0.0,27.960216998,0.8103421123,25.511754069,1.1180012041,5.7314814815,1.8719149333,0.0,0.0,0.0,0.0,0.0,0.5995115995,7.0,8.3515026719,-0.155131275,0.0277555206,0.7622776058,0.0909107855,-2669.030155,0.0264272264,10.589971961,0.0136661466,0.0631681838,0.0653768336,0.0131576008,0.6772823779,0.0030269051,1.0,-0.005714286,2.7166651149,0.317879336,5.0,9.6088144329,0.8513566654,0.0,0.200000003,0.0620264214,0.0769111199,0.9824614547,4.3522996272,6.1970963e-07,2.1487905e-08,1.4831793111,2.199820869,-0.5032245,0.0909377171,0.5819252302,-0.171240669
11790,0.7263105632,0.0547031731,1.2519318182,0.0340441678,0.3276619964,0.3359853393,0.0560611483,0.1089931449,0.1210468642,0.0,0.3725735543,0.0324699177,24.0,0.0099727321,-0.040322581,0.2048171844,0.2024512336,0.0605659844,-0.000861239,0.0984684386,0.0205778589,0.5554135071,0.0,7.4976101965,-0.012904699,4.3775889538,3.1528787879,3.717884581,0.3276365865,0.0,0.0,0.0,0.0,0.0,0.1450659649,4.0,-0.168319825,-0.082970397,-0.342685067,0.6829044254,0.1287391667,-829.3205977,0.2054802195,11.582236952,0.0115270593,0.0206598468,0.0280020809,0.0374913719,0.1011075877,0.9493326793,4.0,0.0156133319,0.0876244025,5.52791e-05,5.0,9.7722107592,0.1342250047,0.0,0.0198412705,0.0134124042,0.0145456697,1.2802401232,0.9356207862,5.9735847e-07,1.8260870819,0.4537448978,0.2058844323,-0.235919217,0.0331414644,0.149742386,-0.327088311
12117,0.5396476348,-0.17262232,0.6738956626,0.0,0.2869708631,1.0119113066,-0.354659249,-0.081826112,0.3847048561,0.0085012013,0.4885931559,-0.08570905,17.0,0.016675257,0.3769633508,-0.177994216,-0.11932892,0.3935969868,-0.441690196,-0.179877871,-0.237253016,0.6234671903,0.0,1.7992990223,-0.494155145,1.6923076923,3.8630821507,4.9028411974,-0.445923824,0.0,0.0,0.0,0.0,0.0,0.4890105824,1.0,-10.21934307,-0.456910149,0.3136439276,57.198503524,-0.020068572,-892.3569973,0.0519717294,11.016039728,0.0,-0.083947186,-0.129822676,0.0379211282,0.1179397132,-0.015307609,0.0,-0.014277009,-0.274875859,-0.113884944,2.0,12.748207783,6.4023930739,0.0,0.1643835604,0.0552522981,0.0754006429,0.4993471051,11.302752014,3.5374651e-08,4.2232866e-09,1.5364601001,2.3607096393,0.7302708241,0.1606593196,0.3918494924,0.0572318037
12320,1.1406689232,0.1189157318,-29.23224331,0.0365578098,2.8559352578,4.0743728707,0.068019582,0.1071528223,0.2501719334,0.0032690422,0.148118577,0.0679518468,24.0,0.0229305612,0.1138613861,0.4840783256,-0.115122485,0.1234559833,0.4192581405,0.106325577,0.016356351,0.4821799095,0.0,1.6404930667,0.4285144817,1.019702038,81.802050698,5.1718257613,0.1297655205,0.0,0.0,1.0,0.0,0.0,0.7095673277,5.0,-0.05494729,-0.065222643,0.582256442,-0.717224379,-0.016793259,-3888.405617,0.0798490138,11.906568467,-0.002707705,0.0016469585,0.0053857738,0.2729990269,0.0124625078,0.0080498726,0.0,0.0,0.2472658833,0.0286821332,3.0,10.721864969,0.416440045,0.0,0.040650405,0.016738269,0.0203445055,0.9506131153,1.8606504557,5.231009e-08,3.3843013e-08,0.6954862997,0.483701193,-0.129985513,0.04236408,0.4254132406,-0.155722623
13056,0.4142029448,0.0585283657,26.261100204,0.0159985867,0.2465341598,0.6770171191,0.1270599718,0.0050451497,0.6903607291,-0.050665493,0.0351793552,0.0601011593,24.0,-0.015139411,-0.019283747,0.0174338031,0.0202084589,0.1472772277,0.0556327848,-0.006490033,-0.012072074,0.3274046247,0.0,1.9783707387,-0.128353427,1.4540153437,46.170232871,5.885439809,0.3252696711,0.0,0.0,0.0,0.0,0.0,1.0656230837,7.0,0.0153757346,-0.141843323,0.0885454423,-0.722492732,0.0356038095,2274.9255187,0.0331741021,14.319960299,-0.00307333,0.0063897544,0.0103478052,-0.001930475,0.0338803532,-0.020435916,0.0,0.0,0.3467946361,-0.032500111,4.0,15.168879464,2.0571065212,0.0,0.0446650125,0.0210670915,0.0305559341,0.503990599,6.596881998,1.206953e-09,6.6225396e-09,0.6127839081,0.375504118,0.0805949016,0.0396055839,-0.218354055,-0.166142668
50091,0.5922132218,0.0749915319,-3.45100528,0.0198356705,1.0848571069,2.0652711243,0.050869556,0.0523701253,0.3701034334,0.0050188206,0.0501184106,-0.031429705,23.0,0.0255204518,0.0574492532,0.0735823238,-0.027936237,0.1306098153,-0.001766138,0.0506648594,0.0565201177,0.5032344717,0.0,2.7650489887,0.2583017415,1.6677935025,54.174045491,4.3604191186,0.1317758188,0.0,0.0,0.0,0.0,1.0,0.9663531264,4.0,0.2683342441,0.0011339448,0.0930175869,-0.570388807,-0.119830571,-432.5926953,0.0656574121,11.862832055,-0.001051409,0.0124052987,0.0408160569,0.0611766432,0.0200000788,-0.088306598,2.0,0.0019704433,-0.431693989,-0.01908268,2.0,11.020467616,0.4490868151,0.0,0.0126126129,0.0123490866,0.0144347188,0.8201105837,1.5408984074,3.3827468e-08,4.0213549e-08,0.5826120001,0.3394367427,0.0515083704,0.0288637265,0.4141310756,-0.217486005
14286,1.3556387922,0.1555377366,-1.878277763,0.0386647481,2.1595140544,2.2317468338,-0.092048447,0.1882846299,0.2590970619,0.0015511892,0.2840273787,-0.221092059,24.0,-0.023384436,-0.010309278,0.0358934617,-0.100925547,0.1487874616,-0.002814256,-0.001486318,0.1304315967,0.5867892609,0.0,3.2420222302,0.3515538039,2.276801721,2.2051749588,3.4362061967,0.1452623873,0.0,0.0,0.0,1.0,0.0,0.6301018539,3.0,-0.203388775,-0.496059361,1.2290131331,-0.787391154,-0.198679426,-5004.235526,0.035532534,9.5478299481,-0.078893515,-0.078999481,-0.166443153,0.0356461562,0.3077209401,0.0430350934,0.0,-0.605873261,-0.058362681,-0.116010007,2.0,7.5517122154,0.5518192792,0.0,0.314814806,0.106341878,0.1167458276,1.8414789139,5.1528997862,9.3895856e-06,1.0500000226,1.9017068181,3.6164888219,0.1988886347,0.139275164,1.4455284029,0.3861446735
14526,0.3085966102,-0.143752337,5.4763074407,0.0147849089,0.9981995626,2.5702005668,0.086859039,-0.073544207,0.4059992335,-0.015386271,0.0781746575,0.0957457298,24.0,-0.026805929,0.0181596215,-0.039910515,0.2206383728,0.1846279351,0.07212895,0.0157915539,-0.363336412,0.4993900685,0.0,1.4752036362,-0.146274365,1.0759248009,116.23978098,5.6468197508,-0.079214441,0.0,0.0,0.0,0.0,0.0,1.1266112496,4.0,0.6683251475,-0.195503749,-0.035044573,-0.54518778,-0.006099566,-569.5668089,0.0572588492,12.705786765,-0.001121377,0.015958014,0.0672547344,-0.135398221,0.0192503513,0.0732301182,2.0,-0.000987654,0.5735732273,0.0812905133,2.0,11.752680282,0.7578290106,0.0,0.130952388,0.0368427724,0.0527832859,0.8942428328,2.603024917,3.6297441e-08,2.2828518e-08,0.8382981078,0.7027437176,0.2321864618,0.0651641984,0.0467675045,-0.264498498
11581,0.3567187813,0.0278451457,46.659729879,0.0026752709,0.8689830697,1.2840976719,0.1216957256,1.5339565825,0.9663130511,1.795541724,2.2096129612,0.1352942074,12.0,0.0598481121,1.3966942149,0.8305216595,-0.169792677,0.1887818093,-0.277358903,0.5951440059,0.6749971829,0.274387976,0.0,1.3983613852,-0.205982097,0.7662902558,193.83981729,8.350447822,0.1266932949,0.0,0.0,0.0,0.0,0.0,2.0550000245,3.0,-1.934665861,1.27288527,-0.126398002,0.7387669915,0.318702613,-618.5163296,0.0307916777,13.757063314,-0.019411465,-0.042824046,-0.12797855,0.1917388752,0.005404683,0.2110213357,0.0,0.002115869,0.8215526554,-0.079250336,6.0,14.484744233,2.0750205677,0.0,0.0524271838,0.0716214488,0.0532604169,0.799709777,15.677208755,3.2266611e-09,9.4090402e-09,1.3451211222,1.8093508334,0.1399304436,0.0438884785,-0.359666722,-0.06990444
15203,0.5725521669,0.0553772071,-156.6666667,0.0,0.6571428571,1.62929374,0.1233592372,0.0070987249,0.4308531616,0.0064620355,-0.050556586,-0.074077047,24.0,0.0206968824,0.1105263158,0.2348540146,0.0893884096,0.2045855379,0.0484136013,0.0196529512,0.0825493171,0.5569924292,0.0,1.8859688869,0.0536466912,0.563812113,1398.347541,6.5381642512,0.1510825601,0.0,0.0,1.0,0.0,0.0,0.935660091,6.0,0.098456047,-0.023315681,-14.34772468,-11.95584665,-1.057790151,-1161.202891,0.0270140569,8.7371316118,-0.00395636,0.013495935,0.0354246692,0.009837933,0.0013554543,0.0483153683,1.0,-0.012841091,-0.712958227,-0.023118276,2.0,7.0094089327,0.2415730337,0.0,0.0375000015,0.0244846205,0.0217881649,1.5972652545,4.2037421324,9.0146874e-06,7.3043478685,0.2388116514,0.0570310049,0.719714078,0.0554066152,-0.215690859,-0.164272195
