firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25
68806.0,0.0385639721,0.0492273528,0.1163201477,0.0378455151,0.3368264641,0.0146007311,1.0,0.0225208493,0.5309917355,0.1117381146,0.0140845070422535,-0.2525951557093425,-0.2677966101694915,-0.2775919732441472,-0.2421052631578947,-0.0649350649350649,-0.0357142857142857,-0.1219512195121951,0.0,-0.1290322580645161,-0.0924369747899159,-0.1529411764705882,-0.0226244343891403,0.0485436893203883,-0.2058823529411765,-0.136,-0.0046082949308755,0.0746268656716417,0.1368421052631578,0.2934131736526946,0.5104895104895104,0.4210526315789473,0.3333333333333332,0.2934131736526946,0.2857142857142858
66755.0,0.0062651432,0.0192391874,0.0619939051,0.112898372,0.0493393026,-0.004118916,5.0,0.0062463546,0.7160669365,-0.02087752,-0.6047197640117994,-0.5914634146341464,-0.5265017667844523,-0.5363321799307958,-0.4924242424242424,-0.4017857142857143,-0.3232323232323232,-0.2471910112359551,-0.1006711409395972,-0.1066666666666666,-0.0428571428571428,-0.2023809523809523,-0.2117647058823529,-0.2471910112359551,-0.2596685082872928,-0.3092783505154639,-0.2555555555555555,-0.2756756756756756,-0.0884353741496598,0.0387596899224806,0.0806451612903225,0.0634920634920634,0.0151515151515151,0.1452991452991452,0.1964285714285714
65832.0,0.0017543549,0.0137886598,0.0355777224,0.0715998239,0.0333162825,-0.03234971,2.0,-0.0003,0.5119363395,-0.042275053,0.0864197530864196,0.2941176470588236,0.0731707317073171,-0.1111111111111111,-0.0736842105263158,-0.0434782608695651,-0.0112359550561798,-0.1619047619047618,-0.12,-0.2666666666666667,-0.1020408163265306,-0.5217391304347826,-0.4567901234567901,-0.4601226993865031,-0.4465408805031446,-0.3383458646616541,-0.3529411764705882,-0.3125,-0.3282442748091603,-0.3282442748091603,-0.1698113207547169,-0.3481481481481481,-0.5416666666666667,-0.4666666666666667,-0.3714285714285714
65453.0,0.0012423662,-0.006067416,-0.014905772,-0.085970575,0.0314601787,0.0951712103,3.0,-1.066451643,0.7375886525,-0.037978741,0.0161290322580645,0.0,-0.0869565217391304,-0.0307692307692307,0.1052631578947369,0.125,0.0161290322580645,-0.015625,-0.2125,-0.2025316455696202,-0.2758620689655172,-0.3505154639175257,-0.3942307692307693,-0.37,-0.4375,-0.3225806451612903,-0.3571428571428571,-0.284090909090909,-0.3076923076923077,-0.2222222222222222,-0.2222222222222222,-0.3076923076923077,-0.3571428571428571,-0.2758620689655172,-0.2674418604651163
66413.0,0.0008661652,-0.008355798,-0.05218195,0.2051885113,0.0195870161,-0.216346948,1.0,-0.012587846,-0.556737589,0.0287616877,0.0694444444444444,-0.0493827160493827,-0.2061855670103093,0.0694444444444444,0.0694444444444444,0.1,-0.2299999999999999,-0.2596153846153846,-0.1630434782608695,-0.2376237623762376,-0.3362068965517241,-0.3063063063063063,-0.347457627118644,-0.3529411764705882,-0.3304347826086956,-0.1894736842105263,-0.1979166666666666,-0.1630434782608695,-0.0941176470588235,-0.125,-0.4253731343283582,-0.4210526315789473,-0.4338235294117647,-0.5389221556886228,-0.5032258064516129
21020.0,0.0036790717,0.0122204289,0.0364350159,0.0899492961,0.114114784,0.0111245631,2.0,-0.000759494,-0.10498299,0.0106178841,0.0193548387096773,0.1232227488151658,0.1339712918660287,0.0042372881355932,0.0486725663716813,0.1048951048951047,0.0149892933618842,0.0193548387096773,0.0440528634361232,0.0556792873051223,0.1504854368932038,0.0748299319727892,0.0149892933618842,0.021551724137931,0.0349344978165939,0.1179245283018868,0.2707774798927613,0.4320241691842901,0.3982300884955752,0.5339805825242718,0.5,0.3465909090909091,0.2279792746113988,0.237597911227154,0.2440944881889764
10429.0,8.27395e-05,0.0238311075,0.032247866,0.0297987532,0.5855483806,0.0254822337,1.0,-0.000808081,1.5429788202,0.1042677332,-0.0480769230769231,-0.0480769230769231,-0.1391304347826086,-0.2556390977443609,-0.0294117647058823,0.1785714285714286,0.053191489361702,-0.0294117647058823,0.1785714285714286,0.0206185567010308,0.125,0.125,-0.0480769230769231,-0.0833333333333333,-0.01,-0.0999999999999999,0.0421052631578946,-0.0571428571428571,0.0879120879120878,0.1123595505617978,0.1,-0.0480769230769231,-0.0480769230769231,-0.0294117647058823,-0.1610169491525424
62500.0,0.0003424564,0.0293373245,0.0669406114,0.0679819199,0.1714629145,-0.048158337,3.0,0.0133204824,4.4594352308,0.0320292832,-0.0119047619047618,0.0121951219512195,-0.0119047619047618,-0.2095238095238095,-0.0978260869565217,-0.1170212765957446,-0.0568181818181817,-0.0568181818181817,-0.0348837209302325,-0.0777777777777777,-0.0348837209302325,-0.1443298969072165,-0.2654867256637168,-0.3359999999999999,-0.2905982905982905,-0.3083333333333333,-0.2314814814814815,-0.3306451612903226,-0.3140495867768594,-0.3140495867768594,-0.1941747572815534,-0.2314814814814815,-0.2522522522522522,-0.2522522522522522,-0.2019230769230768
56899.0,0.0095023225,0.0147671526,0.0237988855,0.0458261946,0.1893768716,0.5231883831,2.0,0.016934556,-0.682590234,-0.015095424,0.0437956204379561,-0.0529801324503311,0.0437956204379561,0.1259842519685039,0.2767857142857142,0.6823529411764706,0.4591836734693877,0.5212765957446808,0.6823529411764706,0.5543478260869565,0.625,0.4158415841584157,0.2543859649122806,0.2434782608695651,0.2327586206896552,0.0362318840579709,0.2543859649122806,0.2327586206896552,0.3240740740740742,0.6436781609195403,0.4591836734693877,0.3490566037735849,0.2882882882882882,0.3364485981308411,0.1721311475409837
27991.0,0.0029076372,0.0114038131,0.0280303099,0.0115975079,0.0037241192,0.2348504614,2.0,0.0053543307,20.031050149,-0.017239463,0.0241935483870967,0.0495867768595041,0.0283400809716598,0.0,0.0409836065573769,0.118942731277533,0.0901287553648069,0.118942731277533,0.0901287553648069,-0.0039215686274509,0.1140350877192981,0.0808510638297872,0.1493212669683257,0.1238938053097344,0.0583333333333333,0.1043478260869565,0.1705069124423963,0.1651376146788989,0.2037914691943128,0.2959183673469387,0.3804347826086955,0.3025641025641026,0.2512315270935961,0.1390134529147981,0.263681592039801
