firms,bm,ep,cashpr,dy,lev,sp,agr,gma,chcsho,lgr,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,invest,egr,tang,sin,currat,quick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
21020,0.8646238494,0.133617874,-1.454642169,0.0124482635,1.9971473087,3.0586307124,0.1126718532,0.1423186675,0.0016331087,0.0930531787,10.0,0.0009842769,0.1035294118,0.1239504924,0.0687906665,0.0440275126,0.1081805739,0.0285965123,0.1644933508,0.6438005923,0.0,1.4042300396,1.2770306907,3.9549281479,9.1151801083,0.1608216467,0.0,0.0,1.0,0.0,0.0,0.400037857,5.0,-0.015836942,-0.103988493,0.1219124892,-1.079907186,1509.1930481,0.0615020066,15.040314284,-0.002955575,0.0141732253,0.0404312594,0.0829174879,0.2188396909,0.1511939648,0.0,-0.007341772,-0.434943532,0.0279519279,4.0,15.563627392,1.9570843487,0.0,0.0668151453,0.0254542389,0.0309910597,0.32734927,2.6691271878,8.013969e-10,1.1306791e-08,1.4729823084,2.1696768808,0.33520048,0.0505994838,0.5268547073,0.3795143069,-0.1022727272727272,-0.1813471502590673,-0.1749347258485639,-0.1706036745406823,-0.003154574132492,-0.0595238095238095,-0.0538922155688622,0.0533333333333332,0.0934256055363322,0.2153846153846152,0.22007722007722,0.4429223744292236,0.4298642533936652,0.462962962962963,0.2950819672131148,0.2539682539682539,0.1835205992509363,0.144927536231884,0.2950819672131148,0.144927536231884,0.0934256055363322,0.0675675675675675,0.2061068702290076,0.4363636363636363,0.2741935483870967,0.2015209125475285,0.0498338870431893,0.4976303317535544,0.4495412844036697,0.5119617224880382,0.8479532163742689,0.8160919540229885,0.595959595959596,0.8479532163742689,1.2733812949640289,1.821428571428572,1.1944444444444446,1.700854700854701,1.2253521126760565,1.507936507936508,1.7719298245614037,1.8990825688073396,2.16,2.717647058823529,2.590909090909091,1.8727272727272728,1.981132075471698,1.925925925925926
62500,0.488424138,0.0839784461,0.5277267352,0.0,0.7875797395,0.8446984687,0.8497893527,0.4171071109,0.0590062112,2.0915376106,9.0,0.0098018134,0.3684210526,0.3235911023,0.0803570308,-0.122502947,0.1437089592,0.1196221116,0.1226670985,0.7640814803,0.0,5.4668148005,4.7482368853,1.4222294712,3.2727582913,0.2254815816,0.0,0.0,1.0,1.0,0.0,0.5938221125,2.0,-0.973342371,0.2004646605,-0.00969894,1.3912793368,-169.2597866,0.0812427753,11.163811153,-0.001111084,0.0118707469,0.0310122246,0.025909057,0.4267157813,0.0670443376,0.0,0.0019460411,-0.307995316,-0.015625126,5.0,10.517124696,0.5576652602,0.0,0.0508474559,0.0226381287,0.0231245602,0.9436673545,3.1357750125,1.3512076e-07,2.5809961e-08,1.7651530281,3.1157652126,0.0171119078,0.040901557,-0.111059041,0.23256854,-0.0462962962962962,-0.0720720720720721,-0.0720720720720721,-0.0096153846153845,0.0618556701030927,0.0842105263157895,-0.0720720720720721,-0.019047619047619,0.2875000000000001,0.1573033707865168,0.0729166666666667,0.1839080459770115,0.0510204081632652,0.2261904761904762,0.0510204081632652,0.271604938271605,0.03,-0.0720720720720721,-0.134453781512605,-0.1416666666666667,-0.2196969696969697,-0.1825396825396825,-0.1416666666666667,-0.2847222222222222,-0.3178807947019867,-0.3522012578616352,-0.3976608187134502,-0.455026455026455,-0.2481751824817518,-0.304054054054054,-0.3641975308641975,-0.3354838709677419,-0.326797385620915,-0.2847222222222222,-0.3133333333333333,-0.1825396825396825,-0.0803571428571429,-0.0462962962962962,0.1573033707865168,0.2875000000000001,0.0618556701030927,0.3552631578947369,0.2261904761904762,0.0957446808510638,0.0957446808510638,0.197674418604651,0.0,0.1573033707865168
28636,1.7401970179,-0.021260557,-2.256194051,0.0058262103,5.5307089834,8.9761798289,0.0263338864,0.2761307076,-0.001339764,0.0403376209,11.0,0.0027576976,0.0067243036,0.7171162833,0.7168574097,-0.070570245,0.1144766841,0.0432325855,-0.015763205,0.6115527151,0.0,1.830087922,1.1780561348,6.1899861375,7.5759022286,0.0468651841,0.0,0.0,1.0,0.0,0.0,0.8377623186,2.0,-0.09077181,-0.030944057,0.957256852,1.1343947723,-124.2366554,0.1312189809,10.708265549,0.0240460972,0.0467901472,0.195443692,0.1130018499,0.1583893461,-0.024306561,2.0,0.2504778653,-0.30413756,0.0140365278,0.0,9.7870660895,0.2581164475,0.0,0.0217391308,0.0120875769,0.0125237883,1.101288897,0.5563408472,9.6561044e-07,0.9545455848,1.9032618115,3.6224055231,-0.183726496,0.0680377526,-0.000194754,0.4389746068,-0.0129870129870129,-0.05,0.2063492063492062,0.0857142857142856,0.1692307692307693,0.0270270270270269,-0.1058823529411764,-0.0952380952380952,-0.0952380952380952,-0.1264367816091953,-0.2897196261682243,-0.1555555555555555,-0.073170731707317,0.0704225352112675,-0.1162790697674418,-0.1999999999999999,-0.1058823529411764,-0.1555555555555555,-0.1460674157303371,-0.2692307692307693,-0.327433628318584,-0.392,-0.2475247524752475,-0.3613445378151261,-0.3027522935779816,-0.1363636363636363,-0.0379746835443037,-0.0129870129870129,0.4615384615384614,0.5833333333333333,0.7674418604651163,1.6206896551724137,1.8148148148148149,1.5333333333333332,2.3043478260869565,1.8148148148148149,1.7142857142857144,1.8148148148148149,1.6206896551724137,1.3030303030303032,1.3030303030303032,1.375,1.2352941176470589,1.1111111111111112,1.2352941176470589,1.1111111111111112,0.8999999999999999,1.3030303030303032
55335,0.6278462455,-0.060475558,-1.09696875,0.0,1.0765871016,2.3216505551,-0.019558711,0.399735505,-0.210801938,0.6370053873,2.0,0.0021087407,0.0,0.1920085309,-0.654293472,-0.086096727,0.1949008499,0.1072596924,-0.425167785,0.6088983388,0.0,1.4581661465,1.4022886016,4.75075,3.9647402462,-0.021275097,0.0,0.0,1.0,0.0,0.0,0.6004474273,3.0,-1.095790462,-0.317985242,0.1931352699,0.0752229966,-53.95252025,0.1559160049,9.1080999837,0.0088811189,-0.01223653,-0.022065619,0.0891569726,0.38254898,-0.127479386,1.0,-0.023897745,0.664845815,-0.027027028,3.0,7.8173234651,0.4147455867,0.0,0.0714285746,0.0320099087,0.0279815601,1.2061794872,1.9079834312,1.9528508e-06,3.0000000653,0.9352664038,0.8747232462,-0.041709704,0.0510179132,-0.10421837,0.3867190321,-0.032258064516129,-0.032258064516129,-0.032258064516129,-0.0625,0.0,-0.0625,-0.0625,-0.1176470588235294,-0.0625,-0.1176470588235294,-0.3181818181818182,-0.2105263157894736,-0.2682926829268293,-0.2682926829268293,-0.5081967213114754,-0.5081967213114754,-0.4642857142857143,-0.53125,-0.7520661157024793,-0.6907216494845361,-0.7321428571428572,-0.7478991596638656,-0.7457627118644068,-0.7520661157024793,-0.6842105263157895,-0.7478991596638656,-0.7761194029850746,-0.7413793103448276,-0.7222222222222222,-0.7169811320754718,-0.6551724137931034,-0.6808510638297872,-0.6842105263157895,-0.6808510638297872,-0.6739130434782609,-0.6842105263157895,-0.6808510638297872,-0.6551724137931034,-0.7115384615384616,-0.6808510638297872,-0.6907216494845361,-0.6590909090909092,-0.6470588235294117,-0.6666666666666667,-0.6341463414634146,-0.5454545454545454,-0.5652173913043479,-0.6385542168674698
56899,0.699156451,0.0942347372,-0.540363097,0.0176781163,0.7783893676,1.40130477,0.2740183356,0.3941885047,0.0597636466,0.380359449,10.0,0.0338446387,0.0740740741,0.4355067328,0.2915343795,0.0650211241,0.0725196823,0.2834006614,0.1733785546,0.5709379266,0.0,2.459620098,1.2068423203,13.182633021,6.2281051922,0.2157037385,0.0,0.0,1.0,0.0,0.0,0.6922105435,5.0,-0.029491453,-0.058435197,0.1750779439,-0.553119511,-70.26486984,0.0422630468,11.96521452,-0.031510229,-0.023069531,-0.047631308,-0.13060478,0.120014506,-0.058528001,0.0,-0.07303267,0.5051710422,-0.031359319,4.0,11.981978643,1.2025605853,0.0,0.0810810775,0.0302554085,0.0370656524,1.064523172,7.9115279795,7.9864206e-08,1.7374352e-08,2.3415157187,5.482695861,0.0822961458,0.0602283073,0.5824740982,0.1152200296,-0.0754716981132075,-0.1171171171171171,-0.0841121495327102,-0.1967213114754098,-0.1764705882352941,-0.3098591549295775,-0.4895833333333333,-0.4974358974358974,-0.3,-0.3194444444444444,-0.367741935483871,-0.3552631578947368,-0.5196078431372548,-0.3717948717948718,-0.3950617283950617,-0.4096385542168674,-0.4235294117647059,-0.4131736526946108,-0.4787234042553191,-0.4895833333333333,-0.5483870967741935,-0.5625,-0.4096385542168674,-0.5565610859728507,-0.5311004784688995,-0.5196078431372548,-0.7142857142857143,-0.5950413223140496,-0.5899581589958158,-0.5288461538461539,-0.5288461538461539,-0.4948453608247423,-0.4302325581395348,-0.4615384615384615,-0.3049645390070922,-0.1967213114754098,-0.3098591549295775,-0.234375,-0.274074074074074,-0.3,-0.375796178343949,-0.3378378378378378,-0.3241379310344827,-0.125,-0.1171171171171171,-0.1694915254237288,-0.2222222222222222,-0.1009174311926605
27991,1.0992380167,0.1928745878,-130.7968635,0.1462358441,1.5922501452,0.6449032159,0.0609763243,0.1235330206,0.0512209381,0.0481588783,10.0,-0.000314157,0.0017699115,-0.073595286,-0.067378623,0.2957047376,0.0201409827,0.0742209452,0.0688554842,0.5269362098,0.0,0.4435655565,0.277637307,91.247890682,9.2072012881,0.1604356792,0.0,0.0,0.0,0.0,0.0,0.2117824048,3.0,0.0301771979,-0.043238361,-252.0882246,1.9126294869,896.85590881,0.0095336956,14.557578608,0.0018796226,0.0227756515,0.0516412125,0.0331091507,0.007129032,0.0871004138,2.0,0.0039130435,3.4548645154,-0.014754417,5.0,14.045025767,0.7152772173,0.0,0.0247933883,0.0146397069,0.0165933653,0.8220458198,5.6842120989,1.221747e-09,2.0668668e-08,0.4724210816,0.2231816784,-0.123047499,0.0280676535,0.115386388,0.3403053802,-0.0564102564102564,-0.0935960591133004,-0.1748878923766815,-0.0845771144278606,-0.0515463917525773,0.0054644808743169,0.0887573964497041,0.0823529411764705,0.0454545454545454,0.1017964071856287,0.1151515151515152,0.1288343558282207,0.2432432432432432,0.4153846153846154,0.3333333333333332,0.3430656934306568,0.4263565891472869,0.2777777777777777,0.2185430463576159,0.1948051948051947,0.1870967741935483,0.0454545454545454,-0.0416666666666666,-0.0416666666666666,-0.0564102564102564,-0.0753768844221105,-0.0466321243523316,-0.089108910891089,-0.0799999999999999,-0.0564102564102564,-0.0799999999999999,-0.065989847715736,-0.0564102564102564,0.0,0.0165745856353591,0.0109890109890109,0.0054644808743169,0.1794871794871795,0.1151515151515152,0.1288343558282207,0.1358024691358024,0.108433734939759,0.1719745222929936,0.2432432432432432,0.1870967741935483,0.2026143790849672,0.3333333333333332,0.3529411764705883
20482,0.3192776083,0.0801979055,5.1824392633,0.0288025177,0.3128026098,0.6183475158,0.123496173,0.5903854216,-0.007134717,0.1165885034,10.0,0.000118392,-0.019226288,0.0601426565,0.0406312207,0.0434147143,0.104078048,0.0970058723,0.1303471443,0.5342747042,0.0,1.9218310121,1.3883112373,6.9425266275,6.3188707323,0.3569866303,0.0,0.0,0.0,0.0,0.0,1.1024188879,5.0,-0.489463852,-0.696337161,-0.168189231,105.36099511,4637.2792925,0.0651922914,15.887912505,-0.000995823,0.0313565161,0.0623005004,0.0134481954,0.1767529234,0.0004711235,0.0,-8.8106e-05,0.4888382926,0.0346115562,7.0,15.315248553,0.421508703,0.0,0.0375722535,0.0181159811,0.0261789893,0.2661319103,0.4645435235,8.065536e-10,5.0827271e-08,1.0323361788,1.0657179861,0.3968762819,0.0293523808,0.3392060737,0.23256854,-0.019438444924406,0.0225225225225225,-0.0108932461873638,0.048498845265589,0.1127450980392157,0.070754716981132,0.1853785900783289,0.2010582010582011,0.3592814371257484,0.3757575757575757,0.3799392097264438,0.3633633633633633,0.2010582010582011,0.3045977011494252,0.3008595988538682,0.4367088607594938,0.2824858757062147,0.3799392097264438,0.3431952662721893,0.3008595988538682,0.2541436464088398,0.2646239554317549,0.1209876543209875,0.17312661498708,0.2074468085106382,0.1670951156812339,0.1792207792207791,0.3083573487031701,0.2204301075268817,0.319767441860465,0.4143302180685357,0.4055727554179567,0.4645161290322581,0.4836601307189543,0.523489932885906,0.6272401433691757,0.6214285714285714,0.8838174273858921,0.982532751091703,0.9653679653679654,0.860655737704918,0.956896551724138,0.9739130434782608,0.956896551724138,1.1018518518518516,0.9156118143459916,1.017777777777778,1.1826923076923077
10057,1.2275840102,0.0563784042,-4.985006454,0.0339103483,1.4719884352,2.7066166832,0.0230049371,0.350668865,0.0276595745,0.1837832512,11.0,0.0041359723,0.0171799028,0.0380092369,0.5280092369,0.9655919218,0.1830765046,0.0411321151,-0.119642951,0.4484631144,0.0,1.882808966,1.1346456816,10.968771721,7.6537448902,0.144757144,0.0,0.0,1.0,0.0,1.0,0.6249670538,3.0,-0.010575084,0.0363013188,0.6834564136,1.6988606811,-183.8577024,0.0510165814,11.31948482,0.0007696302,0.0043874724,0.0092242364,0.1373565119,0.0899236573,-0.149188995,0.0,0.0046153846,0.3518856448,0.0756833544,1.0,12.056249256,1.1357965706,0.0,0.0272727273,0.0166787865,0.0242243122,0.9524682141,2.9739004903,8.5420538e-08,2.5389686e-08,1.699542935,2.8884461878,-0.057364288,0.0501000213,0.3113624968,0.1152200296,-0.079646017699115,-0.1746031746031746,-0.2296296296296296,-0.0956521739130434,-0.1034482758620689,-0.1612903225806451,-0.2925170068027211,-0.3020134228187919,0.0,-0.087719298245614,-0.1746031746031746,-0.1260504201680672,-0.1186440677966101,-0.0458715596330274,-0.2517985611510791,-0.2972972972972972,-0.3809523809523809,-0.3809523809523809,-0.425414364640884,-0.4773869346733668,-0.4851485148514851,-0.5071090047393365,-0.4222222222222223,-0.4285714285714286,-0.4526315789473684,-0.4157303370786517,-0.4901960784313726,-0.425414364640884,-0.3580246913580247,-0.3333333333333333,-0.2925170068027211,-0.3066666666666666,-0.2827586206896552,-0.2676056338028169,-0.3020134228187919,-0.3112582781456954,-0.3658536585365853,-0.2676056338028169,-0.2624113475177305,-0.3459119496855346,-0.4124293785310734,-0.3953488372093023,-0.409090909090909,-0.4347826086956522,-0.3846153846153846,-0.3459119496855346,-0.3066666666666666,-0.3290322580645161
28695,0.7496012759,-0.823422192,-245.7038997,0.0,6.9336978811,17.354550043,-0.085678651,0.3294289898,0.0048076923,0.0144676312,11.0,0.0006798482,-0.131428571,0.2184037115,0.3201630359,-0.44619067,0.1729032258,-0.010736945,-0.522080186,0.593360121,0.0,1.1586463831,0.6805339957,1041.4210526,6.4606706362,-0.057521099,0.0,0.0,1.0,0.0,0.0,1.4366647298,1.0,-0.167104397,-0.224943738,0.3348429071,-1.133260811,-223.9831655,0.0294676945,8.5273910164,-0.00325362,0.0004925623,0.006119951,0.6151742994,0.0007117016,0.0628186257,2.0,-0.168603326,0.3333333333,-0.128623191,0.0,7.3232532228,0.6581291759,0.0,0.3421052694,0.0852506543,0.0488374595,1.3578492537,5.8440553821,3.1369593e-06,1.9090909311,2.4494377261,5.9997451739,-0.068093363,0.1001612772,1.9232803961,0.1900147168,-0.0869565217391304,-0.0454545454545454,-0.0454545454545454,-0.125,-0.2222222222222222,-0.2222222222222222,-0.4324324324324324,-0.475,-0.4,-0.2222222222222222,-0.1923076923076923,-0.2758620689655172,-0.3,0.2352941176470588,-0.0454545454545454,-0.0454545454545454,-0.25,-0.3823529411764705,-0.3636363636363636,-0.5714285714285714,-0.5227272727272727,-0.6037735849056604,-0.5434782608695652,-0.5961538461538461,-0.6557377049180328,-0.475,-0.631578947368421,-0.65,-0.6557377049180328,-0.7162162162162162,-0.5625,-0.3823529411764705,0.1666666666666667,-0.0869565217391304,0.2352941176470588,0.3125,0.3125,0.1052631578947369,0.05,0.2352941176470588,0.2352941176470588,0.75,0.3125,0.1666666666666667,0.9090909090909092,0.75,0.6153846153846154,0.5
60038,0.6575,0.0649679487,9.1582446809,0.0328205128,0.2233974359,1.2634935897,0.0335827912,0.4786581926,0.0,0.0485933504,10.0,0.0525566343,0.0,-0.104780288,0.0840641814,-0.058236743,0.1376498003,0.1069910872,0.0285800241,0.561362611,0.0,6.6783216783,1.7879847425,52.421542553,9.2515841352,0.419181905,0.0,0.0,1.0,0.0,1.0,0.6206879262,2.0,-0.060273996,-0.059146807,-0.385819548,-2.228297242,-84.22538821,0.0261787142,10.497504767,0.0013396844,0.0151855635,0.0216757387,0.0179646441,0.0143898454,0.1087576485,3.0,0.0,1.1552511416,-0.012820513,6.0,8.4740507985,0.1584886128,0.0,0.0449438207,0.0172782008,0.0171608035,0.8963210811,0.6727423579,7.3950803e-07,0.9545455493,0.7433559326,0.5525780426,-0.367785863,0.0332442273,0.2083392686,0.186705201,-0.025,-0.025,-0.025,-0.048780487804878,-0.025,0.0263157894736842,-0.0126582278481012,-0.0602409638554216,0.0,-0.025,0.0540540540540539,-0.1034482758620689,-0.1136363636363636,-0.1034482758620689,-0.2352941176470588,-0.2277227722772277,-0.2777777777777778,-0.3035714285714286,-0.3333333333333333,-0.3553719008264463,-0.3953488372093023,-0.376,-0.2571428571428571,-0.390625,-0.409090909090909,-0.48,-0.5873015873015873,-0.5894736842105264,-0.5094339622641509,-0.5357142857142857,-0.4935064935064935,-0.524390243902439,-0.4935064935064935,-0.4045801526717557,-0.4306569343065693,-0.3157894736842105,-0.2972972972972972,-0.25,-0.2909090909090909,-0.2909090909090909,-0.390625,-0.3389830508474576,-0.35,-0.4388489208633094,-0.48,-0.4264705882352941,-0.409090909090909,-0.3658536585365853
