firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34
54594.0,-0.001841249,0.0195911574,0.0370735583,0.063435003,0.0163399597,-0.014345083,4.0,0.0004666667,1.7486296006,0.0748728653,0.1999999999999999,0.1200000000000001,0.263157894736842,0.1428571428571428,-0.4206896551724137,-0.4381270903010034,-0.3587786259541985,-0.3463035019455253,-0.308641975308642,-0.2941176470588235,-0.3731343283582089,-0.3057851239669421,-0.2466367713004484,-0.1016042780748662,-0.1063829787234043,-0.125,-0.0289017341040462,-0.1063829787234043,0.0120481927710842,-0.125,-0.1111111111111111,-0.0666666666666666,-0.1016042780748662,0.0306748466257669,-0.2037914691943128,-0.1884057971014492,-0.125,-0.0666666666666666,0.0,-0.0718232044198895,-0.04,0.1052631578947369,0.1200000000000001,0.2537313432835821
10154.0,-0.012670404,0.0034519,0.0066498254,0.2560139962,0.0580540664,-0.01333071,0.0,-0.068841204,-0.430363083,-0.112742333,-0.0129870129870129,0.0857142857142856,0.0555555555555555,-0.073170731707317,-0.3214285714285714,-0.3090909090909091,-0.3448275862068966,-0.3214285714285714,-0.2549019607843137,-0.2549019607843137,-0.3090909090909091,-0.2692307692307693,-0.2083333333333333,-0.1162790697674418,-0.1363636363636363,-0.1264367816091953,-0.1162790697674418,-0.1914893617021277,-0.1363636363636363,-0.2692307692307693,-0.2830188679245283,-0.2830188679245283,-0.3090909090909091,-0.3666666666666667,-0.3027522935779816,-0.3559322033898305,-0.2692307692307693,-0.2962962962962963,-0.3666666666666667,-0.3666666666666667,-0.62,-0.6041666666666667,-0.6122448979591837,-0.6041666666666667
26649.0,0.0003078719,0.0131392579,0.0132050345,-0.002211022,0.0174240837,0.0,1.0,-0.006960125,-0.33894891,-0.010617171,0.0136239782016349,-0.0629722921914357,-0.099273607748184,0.0108695652173913,-0.2249999999999999,-0.2900763358778626,-0.3309352517985612,-0.193058568329718,-0.2168421052631579,-0.2914285714285715,-0.2135306553911204,0.0720461095100863,0.15527950310559,0.24,0.2653061224489796,0.3144876325088339,0.2236842105263157,0.3381294964028776,0.4645669291338583,0.4645669291338583,0.3144876325088339,0.2696245733788396,0.3098591549295775,0.3006993006993006,0.1481481481481481,0.3333333333333332,0.3098591549295775,0.3098591549295775,0.2156862745098038,0.28719723183391,0.0163934426229508,-0.0606060606060605,-0.0814814814814814,-0.0769230769230768
10867.0,0.0073243682,0.00760293,0.0164059519,0.2090750173,0.0068579679,0.000854763,1.0,0.0069565248,0.723095373,0.1214320306,-0.0212765957446808,-0.0416666666666666,0.0454545454545454,-0.0416666666666666,-0.4651162790697675,-0.4651162790697675,-0.5576923076923077,-0.5106382978723405,-0.4651162790697675,-0.4888888888888889,-0.4651162790697675,-0.4888888888888889,-0.2068965517241379,0.0,-0.2580645161290322,-0.1153846153846154,-0.2068965517241379,-0.5106382978723405,-0.54,-0.6349206349206349,-0.6515151515151515,-0.6891891891891893,-0.7012987012987013,-0.7386363636363636,-0.6515151515151515,-0.6805555555555556,-0.6805555555555556,-0.6666666666666667,-0.676056338028169,-0.7125,-0.7444444444444445,-0.6891891891891893,-0.6515151515151515,-0.6461538461538461
12117.0,0.0888954737,0.0211065038,0.0289002558,0.0301764891,0.3745111732,0.0238703581,4.0,0.596281122,1.4138062113,0.064292321,-0.0303030303030302,-0.0588235294117647,0.2307692307692308,0.1851851851851851,-0.1794871794871795,-0.1999999999999999,-0.1999999999999999,-0.0857142857142857,0.0666666666666666,-0.1351351351351351,-0.0857142857142857,-0.1578947368421053,-0.1351351351351351,-0.1351351351351351,-0.1794871794871795,-0.2558139534883721,-0.3962264150943396,-0.1111111111111111,-0.1999999999999999,-0.36,-0.4074074074074074,-0.36,-0.3191489361702128,-0.3333333333333333,-0.3469387755102041,-0.36,-0.2727272727272727,-0.2558139534883721,-0.1578947368421053,-0.2727272727272727,-0.3469387755102041,-0.36,-0.36,-0.4285714285714286
12320.0,0.0041507407,0.0112754695,0.0272267941,0.1299874897,0.0115639486,-0.020468477,2.0,0.0198301791,-0.678408177,0.0470653381,0.1999999999999999,0.1999999999999999,0.3125,0.1666666666666667,-0.1923076923076923,-0.2075471698113207,-0.1428571428571429,-0.0666666666666666,-0.0869565217391304,-0.0869565217391304,-0.16,-0.125,-0.1764705882352941,-0.1428571428571429,-0.1428571428571429,-0.125,0.0,-0.0666666666666666,-0.0869565217391304,-0.1764705882352941,-0.1923076923076923,-0.16,-0.16,-0.3114754098360656,-0.3,-0.2363636363636363,-0.2222222222222222,-0.16,-0.2631578947368421,-0.3333333333333333,-0.3488372093023255,-0.3731343283582089,-0.2631578947368421,-0.2758620689655172
13056.0,0.0037863564,0.0005991127,0.0013856342,0.0385529468,0.0317609349,0.0006672679,0.0,-0.003404255,0.2344517601,0.0768826343,0.1557377049180328,0.2589285714285714,0.2368421052631579,0.0444444444444445,-0.2295081967213115,-0.381578947368421,-0.3677130044843049,-0.3221153846153846,-0.3088235294117647,-0.3648648648648649,-0.3974358974358974,-0.3869565217391304,-0.3472222222222222,-0.3285714285714286,-0.3532110091743119,-0.4758364312267658,-0.4173553719008265,-0.4946236559139785,-0.5284280936454849,-0.5674846625766872,-0.5346534653465347,-0.4964285714285714,-0.5137931034482759,-0.5017667844522968,-0.4555984555984556,-0.4597701149425287,-0.3948497854077253,-0.4382470119521913,-0.4426877470355731,-0.426829268292683,-0.4872727272727273,-0.506993006993007,-0.5035211267605634,-0.5
13283.0,-0.007870297,0.0515428959,0.0618388934,0.0068169597,0.6682328673,-0.035274313,1.0,0.0028522844,-0.867924528,2.7556e-05,0.6290322580645162,0.8363636363636364,0.8363636363636364,0.7719298245614035,0.1098901098901099,0.2948717948717949,0.2317073170731707,0.2948717948717949,0.2023809523809523,0.2023809523809523,0.2948717948717949,0.2624999999999999,0.2023809523809523,0.160919540229885,-0.0471698113207547,0.0978260869565217,0.0978260869565217,-0.0288461538461538,-0.0471698113207547,-0.2986111111111111,-0.3082191780821918,-0.0471698113207547,-0.1583333333333333,-0.223076923076923,0.063157894736842,0.1222222222222222,0.086021505376344,0.1744186046511628,0.3466666666666667,0.3289473684210526,0.2168674698795181,0.3289473684210526,0.5303030303030303,0.4852941176470589
50091.0,0.0042115504,0.0011648224,0.0023581599,0.0493782821,0.0152264089,0.0281888091,0.0,0.0056256153,-0.467040673,-0.015444246,0.0118110236220472,0.00390625,0.1473214285714286,0.2849999999999999,-0.1198630136986301,-0.1258503401360544,-0.1013986013986013,-0.0190839694656488,-0.0620437956204379,-0.0446096654275093,-0.0077220077220077,-0.0077220077220077,0.0532786885245901,0.0663900414937759,0.06198347107438,0.1077586206896552,0.16289592760181,0.1953488372093024,0.3112244897959184,0.229665071770335,0.1077586206896552,0.1788990825688072,-0.4105504587155963,-0.4250559284116331,-0.3201058201058201,-0.3307291666666666,-0.3427109974424552,-0.2657142857142857,-0.2441176470588235,-0.1762820512820513,-0.1573770491803279,-0.0755395683453237,-0.0755395683453237,-0.003875968992248
14286.0,-0.012308265,-0.190527693,-0.563993746,-0.057212376,0.0215389186,-0.102934024,0.0,-1.03745109,0.2417732522,0.0534957647,0.1333333333333333,0.0625,-0.1052631578947368,-0.15,-0.4848484848484848,-0.4769230769230769,-0.4516129032258065,-0.4137931034482759,-0.4137931034482759,-0.46875,-0.4333333333333333,-0.4516129032258065,-0.423728813559322,-0.4333333333333333,-0.4848484848484848,-0.4848484848484848,-0.4848484848484848,-0.4925373134328358,-0.46875,-0.5142857142857142,-0.5526315789473684,-0.5405405405405406,-0.575,-0.5952380952380952,-0.5142857142857142,-0.5277777777777778,-0.5952380952380952,-0.6136363636363636,-0.5853658536585367,-0.6382978723404256,-0.6666666666666667,-0.653061224489796,-0.679245283018868,-0.6222222222222222
