firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17
18980.0,-0.006732403,0.0091792597,-0.202041913,0.5755203192,0.3749503057,-0.003120092,3.0,0.0720097808,0.7618069815,-0.041666668,-0.1923076923076923,-0.2222222222222222,1.3333333333333337,0.6153846153846154,0.2352941176470588,-0.34375,-0.3636363636363636,-0.3636363636363636,-0.475,-0.6037735849056604,-0.7613636363636364,-0.79,-0.8018867924528301,-0.8141592920353982,-0.8125,-0.8421052631578947,-0.8090909090909091
39116.0,0.0,-0.023203908,-0.034447188,0.0465248227,0.007991121,-0.049820226,0.0,-0.005547675,0.0778242678,-0.036794871,0.1363636363636364,-0.074074074074074,-0.1935483870967742,-0.2424242424242424,-0.3243243243243243,-0.3243243243243243,-0.3243243243243243,-0.2857142857142857,-0.21875,-0.2647058823529411,-0.5,-0.5283018867924528,-0.4565217391304348,-0.2424242424242424,-0.1071428571428571,-0.0384615384615384,-0.1071428571428571
50032.0,0.003731607,0.0196331194,0.0470009251,0.1412029543,0.2078905406,0.0397457765,1.0,0.0033485651,0.4235062963,0.0091531756,0.0148514851485148,0.0789473684210526,0.0098522167487684,0.0148514851485148,0.0249999999999999,0.0,-0.0552995391705068,-0.0596330275229357,-0.0330188679245283,-0.0888888888888889,0.0301507537688441,-0.0238095238095238,-0.0375586854460093,-0.4489247311827957,-0.4716494845360824,-0.4661458333333333,-0.4459459459459459
17304.0,0.0005388497,0.0067413809,0.0174407563,0.0822004857,0.0067459562,-0.002062423,1.0,0.0006953455,1.0895846923,-0.036385249,0.0238095238095237,0.0886075949367088,0.0617283950617284,0.0552147239263802,0.0029154518950438,-0.0337078651685393,-0.0994764397905759,-0.1962616822429906,-0.1609756097560976,-0.14,-0.1041666666666666,-0.1848341232227488,-0.2018561484918793,-0.1018276762402088,-0.0851063829787234,-0.0254957507082153,0.1096774193548386
47730.0,0.0015083469,0.0213883197,0.0349518627,0.152524687,0.0286749253,-0.004932841,2.0,0.0012979741,0.7428571429,-0.004601058,-0.0736842105263158,-0.0434782608695651,-0.0486486486486485,-0.0112359550561798,-0.0927835051546391,-0.053763440860215,-0.1065989847715735,-0.053763440860215,-0.0434782608695651,-0.0927835051546391,-0.1020408163265306,-0.1538461538461538,-0.1999999999999999,-0.2727272727272727,-0.2666666666666667,-0.1372549019607842,-0.1658767772511848
48581.0,0.0031705893,0.0276836818,0.058430224,0.0220606592,0.1045966886,-0.010509498,2.0,0.0058757814,-0.959213401,0.0,0.1694915254237288,0.3018867924528301,-0.4201680672268907,-0.4177215189873418,-0.4320987654320988,-0.4772727272727273,-0.4850746268656716,-0.4963503649635036,-0.4127659574468085,-0.4479999999999999,-0.4651162790697675,-0.4981818181818181,-0.54,-0.5053763440860215,-0.4850746268656716,-0.4201680672268907,-0.4273858921161826
44652.0,0.0049582113,0.0208758576,0.0585801383,0.6109300654,0.0518354757,0.460217821,1.0,0.0067627567,0.5790303923,0.0201043393,0.0888030888030888,0.1999999999999999,0.1279999999999999,0.1146245059288537,0.0972762645914397,0.0681818181818181,-0.1104100946372239,-0.1632047477744806,-0.1582089552238805,-0.0961538461538461,0.036764705882353,-0.6475,-0.6544117647058824,-0.5607476635514019,-0.5377049180327869,-0.5579937304075235,-0.5212224108658743
44548.0,0.0062308486,0.0188524323,0.0444680132,0.1457613645,0.0265083917,-0.018217648,1.0,0.0056045647,-0.277730009,-0.03221328,0.1280788177339902,0.3712574850299401,0.5369127516778522,0.4135802469135803,0.3795180722891567,0.4493670886075949,0.2052631578947368,0.0853080568720379,0.2793296089385475,0.1834625322997416,-0.0276008492569002,-0.0984251968503937,-0.0576131687242797,0.062645011600928,0.2722222222222221,0.2865168539325842,0.3836858006042296
38746.0,-0.001165089,0.0151124906,0.0309824433,0.1213002765,0.1022383301,0.0337179178,0.0,0.001920023,-0.705965408,0.0196078438,0.1328125,-0.1666666666666666,-0.2676767676767676,-0.2926829268292683,-0.1807909604519774,-0.1853932584269663,-0.0993788819875776,-0.0333333333333333,-0.0645161290322581,-0.0136054421768707,-0.0584415584415584,0.0431654676258992,0.0069444444444444,0.2946428571428572,0.3063063063063063,0.2719298245614034,0.4499999999999999
60871.0,0.0104645945,0.0400492185,0.0591645304,0.0453761185,0.0906647418,0.0996318971,6.0,0.0088605191,-0.397522666,-0.008547009,-0.0765306122448979,0.0225988700564971,0.0111731843575419,-0.2426778242677824,-0.2788844621513944,-0.2520661157024794,-0.4161290322580645,-0.4564564564564565,-0.3626760563380281,-0.4343749999999999,-0.3758620689655172,-0.336996336996337,-0.3693379790940766,-0.2845849802371542,-0.1581395348837209,-0.3195488721804511,-0.3418181818181818
