firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue
54594.0,-0.00938145,-0.000327314,-0.000545901,0.0475123403,0.0461522718,0.0010620834,0.0,-0.010532745
14526.0,0.0180026007,0.0361778508,0.0812445454,-0.016551244,0.0232208757,-0.011002181,2.0,-0.003647128
11581.0,0.0069786297,0.029133473,0.068638431,0.005947696,0.2024857166,0.0850926966,3.0,0.0087247777
15203.0,-0.000687674,0.0094621123,0.0202981555,0.047919143,0.0001564639,-0.192582173,0.0,-0.004709682
16126.0,-0.001878714,0.0128432889,0.0325142046,-0.006633743,0.0009518817,0.0179052291,0.0,0.0026086659
17137.0,-0.007211556,-0.006921793,-0.013412014,-0.230518751,0.1781828627,0.0003895423,0.0,-0.077580657
20670.0,0.0008327988,-0.011350387,-0.339521054,-0.480079562,0.1059634313,-0.043722773,0.0,0.141207494
69796.0,0.0006095326,0.0278684287,0.0803727432,0.0037969508,0.0033413558,-0.017304456,1.0,0.0384752106
23660.0,0.0036899775,0.0450583851,0.0996600402,0.0034224754,0.0101065624,0.0090428563,3.0,0.0006498726
30680.0,0.0006014083,0.0282425938,0.0457739057,-0.030164382,0.0892188,0.1027967509,0.0,-0.015927718
56274.0,0.0037759626,0.0144971568,0.036592345,-2.1006e-05,0.0041716222,-0.050468884,1.0,0.0278118466
31668.0,0.0066916075,0.0108087203,0.0241963045,-0.677468084,0.0258586716,-0.136655482,2.0,0.1430773293
47511.0,-0.000964684,0.0275512008,0.0323085989,-0.008129137,0.2515606589,0.0203623428,0.0,-0.002333515
60628.0,0.0007689977,0.0123704715,0.0413216805,-0.023787283,0.0805586005,-0.00901487,0.0,0.0030934135
37875.0,-0.001318346,0.0081476001,0.022363283,-0.010361989,0.0203725052,-0.012865216,0.0,-0.002264548
17144.0,-0.001379102,0.0214137869,0.0644522278,0.0047579096,0.0156738411,-0.120654127,2.0,-0.003725461
41452.0,-0.000391603,0.0095310266,0.0180743649,-0.010233784,0.0083448784,-0.063857698,1.0,-0.001128779
20415.0,-0.001245432,0.0010740415,0.005953079,0.0315057891,0.2692334683,0.012172323,1.0,-0.018616077
89155.0,-0.001282745,0.01317767,0.0344541219,0.0040454749,0.0119090692,0.0027351006,2.0,-0.002397318
53613.0,-0.001206946,-0.021772229,-0.031494329,-0.034286479,0.1493136614,-0.204094968,2.0,-0.038049788
54114.0,-0.000269821,0.0039066155,0.0116571269,-0.113360056,0.051993689,-0.017122933,1.0,-0.00640333
57665.0,-0.003942757,0.0386347286,0.1035418452,0.0016257431,0.2389496004,-0.005687875,1.0,-0.000116125
35107.0,-0.000447182,0.012703448,0.0152497074,-0.005050587,0.5770065076,-0.002750561,0.0,-0.00050361
61621.0,0.0018737878,0.0397481605,0.1200045803,0.0018073359,0.1427377049,0.0102720439,1.0,0.0009059328
65307.0,0.0017637838,0.0296493485,0.093926683,0.0061835529,0.0358266681,-0.032697504,2.0,0.0024931838
66852.0,-0.009206444,0.0061954678,0.0077014813,-0.083316908,0.1233863213,-0.013145046,0.0,-0.028356455
46922.0,-0.001150813,-0.13332997,1.0766078983,-5.862572084,0.0136283545,-0.041179738,0.0,-15.83520753
77354.0,-0.00584977,-0.03974929,-0.063806002,-0.025526006,0.0709812109,0.0448267174,0.0,-0.021296407
74500.0,-0.000611297,0.0234281309,0.0337758567,-0.202260755,0.3568809273,-0.000422843,2.0,0.0028533802
74740.0,0.0043905795,0.0319275755,0.036891382,0.0105240443,0.5093992136,-0.04664341,0.0,0.0106882851
65306.0,0.0007364171,0.0109407908,0.01397728,0.0168524289,0.0348641524,-0.021783237,2.0,0.0004404792
92874.0,0.0,0.040248298,-0.348958333,0.0590262881,0.0435950087,0.0711523185,2.0,0.0201192361
19502.0,0.0009320492,-0.001825465,-0.008545791,0.1360043873,0.0076478867,-0.015964525,0.0,0.0107504309
51086.0,-0.007017545,0.018153183,0.0321751267,-0.20838767,0.1274050321,-0.004014116,0.0,-0.019815979
83601.0,0.0026434828,0.0263237903,0.0566659061,-0.058462901,0.0578161655,0.0061442876,0.0,0.0086914471
10044.0,-0.027847619,-0.048079235,-0.072737853,0.0,0.1940589238,0.0464141872,2.0,0.0675073719
10104.0,-0.001174132,0.0180080962,2.2553588071,0.0030568779,0.0884152142,-0.561329486,0.0,0.002644442
75510.0,0.0007478313,0.0503987355,0.0945545222,0.001791742,0.2583705741,-0.013087499,4.0,0.0010468165
70092.0,-0.003907533,0.023127041,0.0398071728,-0.064000513,0.0931121033,-0.002485683,0.0,-0.026156714
75033.0,0.00343439,-0.021739259,-0.033379493,-0.061222563,0.0120360961,0.0035655416,0.0,-0.0043038
