firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
54594,0.6597575168,0.0313493155,2.1728612957,6.77091e-05,0.3827595692,1.118148156,0.0524501521,-0.259403559,0.137950938,0.0079209049,-0.519466168,-0.032553127,-1.272138229,0.0712299782,0.0325531268,47,-0.056208031,-0.12962963,-0.209591729,-0.251058338,0.0049328275,0.0955011839,-0.044769623,-0.06974507,0.0795479725,0.4919331688,0,2.7820665083,-0.259185599,1.0273159145,-0.472433342,27.431893688,6.9212070411,0.0948498593,0.0,0.0,0,0,0.0,0.3122091735,7.0,-0.022097501,-0.146263332,-0.109943885,1.6968730384,-0.58626263,-0.589647541,0.0837103881,-2207.141621,0.0624291911,14.04397835,-0.002313124,0.0147751046,0.0224428997,0.0254148375,0.0277061856,2.0,0.0013351135,0.7709686442,0.1069634613,2.0,14.471222029,1.6706286996,0,0.0354812592,0.0259299035,0.0337418301,0.4982321862,6.7456734041,1.7678682e-09,1.0221119e-08,2.16011122,4.6660804828,9.43298e-05,0.0541974034,-0.75374614,0.0552468642,0.1159672212565183,0.1514219830899308,0.3759951010410289,0.2705682782018659,0.3857539315448657,0.3276218611521417,0.2567114093959732,0.1597419354838709,0.0764071856287424,0.1167992047713717,0.0789915966386554,0.1297134238310708,0.3394932935916543,0.240750966316952,0.5840676771237221,1.3093525179856114,1.3904255319148937,1.2269573835480672,1.6097560975609757,1.174165457184325,1.2280614774417449,1.2951991828396323,1.5304054054054053,0.3007235890014472,0.0554250821982151,-0.0035476718403548,0.0055940926381741,0.0764071856287424,0.0905120116476583,0.0460893854748603,0.0735785953177257,0.2215275890187551,0.4935194416749751,0.3307669529167898,0.3823438941864041,0.2302217355598137,0.1926751592356688,0.2035350830208888,0.0286106660563056,-0.0554854981084489,-0.0615994988515348,-0.0370687808013714,-0.0520987133516135,-0.0333405033340504,0.0055940926381741,0.0378752886836026,0.0188165948764451,0.0554250821982151
14526,0.3615404686,0.0032634214,9.8464015571,0.0189720303,0.4696331105,1.2300805033,0.0922051553,-0.125343439,0.320281076,-0.078284203,-0.039609154,-0.101930569,-27.82128514,0.0940559981,0.1019305693,48,-0.008206154,-0.098360656,0.0676021755,-0.001690367,-0.066844952,0.141654946,0.1529454167,-0.079058299,-0.21622949,0.4218418923,0,1.4505164287,-0.100125045,0.8508967744,-0.088946168,33.874990332,9.3983048423,0.0892289003,0.0,0.0,0,0,1.0,0.6505515023,4.0,-0.046600727,0.1555781502,-0.199523221,-0.167015951,-0.571051247,5.9862113812,0.0596369012,-2687.429095,0.0495151733,13.651566834,0.0162122118,-0.016569748,-0.034341874,0.0181098355,0.0436880465,0.0,0.0044375416,0.7502758899,-0.07233223,4.0,13.47538062,1.0657120557,0,0.0526048243,0.0240475692,0.0308972192,0.4947033555,3.630308736,4.5921855e-09,1.6642907e-08,1.8196678332,3.311191023,0.0361544329,0.0489723371,-0.455254297,-0.122738716,0.0094064949608063,-0.0639667705088266,0.0912832929782083,0.0748867159551633,0.1935911016949152,0.0486272684969755,0.1361230148726997,0.1065553645961208,0.1857405945803736,0.2829490463990889,0.1024951076320939,0.2050802139037433,0.284045584045584,0.4226641414141414,0.7176067073170733,0.8865634156550857,1.1090313523631257,1.1533683707596754,1.0875405280222323,0.9561631944444444,1.1825665859564167,1.2049902152641878,1.164745437079731,0.4928784365684,0.4164047768698931,0.3867692307692307,0.1786087866108785,0.2005860415556739,0.1559374198512437,0.2204170051448686,0.1111932938856015,0.0375230202578269,0.2433103448275861,0.1183622828784121,0.2021872499333155,0.2628187167273748,0.3228646903434107,0.5098827470686766,0.2364883401920439,0.2484764542936288,0.0907550822846079,-0.0843153189760259,-0.1120961386918832,-0.064355407930247,0.0325315005727377,0.0963269277548042,0.039677047289504,0.0447380621233193
11581,0.2720445744,0.0265393244,6.4873070565,0.0015899043,0.2693062959,0.3489077694,0.0816537848,-0.004909656,0.3112857791,0.0071410653,-0.122603576,-0.016990759,-0.347433602,0.0357599774,0.0169907591,35,0.0075109103,-0.086956522,0.071697899,-0.166014552,0.0418139959,0.2157238543,0.1466888931,0.003768073,0.1474614866,0.3841381121,0,2.6523032857,-0.179565836,2.0931999644,-0.187829701,3.7666723666,4.7292993631,0.1416144686,0.0,0.0,1,0,1.0,0.6976805688,7.0,0.0605915954,0.105062545,-0.31129061,-0.078644215,-1.654993065,-1.022283435,0.1291272727,-9584.453988,0.0363924557,13.851526001,0.0016526556,0.0026105644,0.0051756197,0.0152668686,0.1624299115,0.0,0.0005797101,1.4123865972,0.0693428721,4.0,13.56447947,1.4447199217,0,0.0702798292,0.0241180041,0.0326282869,0.771370714,9.2574856579,2.2064227e-09,8.8877333e-09,0.9736729413,0.9480389966,0.0157534688,0.0394669014,-0.241430346,-0.107841023,-0.0336134453781513,-0.1494082840236686,-0.1828517290383704,-0.1742460507419818,-0.1678726483357453,-0.3143879173290937,-0.3280093494351384,-0.3519909842223891,-0.3704379562043796,-0.3515037593984963,-0.3395865237366003,-0.3016194331983806,-0.1489886531820424,-0.237063246351172,-0.2295667708798571,-0.032529444756029,-0.0829346092503986,-0.1706730769230769,-0.0873015873015872,-0.0198863636363637,-0.036312849162011,0.0111371629542791,0.0422960725075527,-0.1927936359382311,-0.25356988316746,-0.3373031117940838,-0.2976384364820846,-0.3035930561162696,-0.2137648131267092,-0.2233228275551553,-0.2467248908296943,-0.3047158403869406,-0.2208672086720867,-0.3256450351837372,-0.2921624948707427,-0.2944785276073619,-0.2463958060288336,-0.1781800857551214,-0.326171875,-0.2767295597484277,-0.3817204301075269,-0.4142614601018676,-0.3957968476357267,-0.4122657580919932,-0.2612419700214133,-0.267515923566879,-0.2580645161290322,-0.2400881057268722
15203,0.6443839518,0.0132561118,-82.66880877,0.0,0.6534703007,1.553703434,0.022349048,0.1090783386,0.3833962666,0.0234498309,0.1803057554,0.0604685175,5.6291079812,-0.061363973,0.0604685175,48,0.0791285271,0.094488189,0.1140613147,0.0131931873,1.1261499967,0.1022007336,-0.279347395,0.1208849652,0.0451196124,0.4915442601,0,1.5837127618,-0.052170743,0.3625601665,-0.099805305,498.06309751,9.3747653023,0.0851722005,0.0,0.0,1,0,0.0,0.6960734834,5.0,0.0981708848,0.0527103321,-0.129845899,0.2936951622,-1.757511296,-0.502729225,0.0320033223,-11083.57145,0.0363924557,9.0972164892,-0.001277819,-0.019468687,-0.039211899,0.0113023266,0.0001438711,0.0,-0.00485147,1.0304229419,-0.162645387,2.0,10.588665067,2.1390027322,0,0.0261748414,0.0291871693,0.0528054442,1.0440072464,5.6840625702,8.7449762e-07,1.731646e-08,0.5045150527,0.2545354384,0.1918536757,0.0887010545,-1.19756418,-0.107841023,0.2083333333333332,0.1468926553672316,0.1468926553672316,0.0943396226415094,0.1246537396121882,0.204747774480712,0.100271002710027,0.1941176470588235,0.2359208523592084,0.2991999999999999,0.3096774193548386,0.2888888888888887,0.2335926105979582,0.4097222222222221,0.6305220883534133,0.7350427350427349,0.7651406460588668,0.7239915074309977,0.8623853211009171,0.7276595744680849,1.0927835051546388,1.0820512820512818,0.924170616113744,0.961352657004831,1.2937853107344632,1.2937853107344632,1.2064018259877178,1.2307692307692304,0.8971962616822426,1.0049382716049382,0.9061032863849764,1.00990099009901,1.0264537060144745,0.8883720930232557,0.9708737864077668,0.8883720930232557,1.136842105263158,1.0299999999999998,0.6987447698744766,0.9016393442622952,0.6239999999999999,0.4763636363636363,0.4763636363636363,0.5615384615384613,0.4763099523653682,0.5615384615384613,0.6916666666666667,0.5615384615384613
16126,0.5490952437,0.0691317054,22.838896698,0.0138836066,0.3831386699,0.7426947908,0.1017016922,0.1370737083,0.2631743744,-0.016727736,0.2479244272,-0.001867131,-0.02366047,0.070767394,0.0018671313,47,0.0311701973,-0.014944222,0.075987255,-0.221902456,0.0870905961,0.1629312672,-0.109746449,0.0886293432,0.0707100364,0.3561223244,0,2.5677966665,-0.036733586,1.7300954621,-0.064624521,59.850417716,3.7354962859,0.3068312008,0.0,0.0,1,0,0.0,0.4104705339,5.0,0.0091498095,-0.039998936,-0.116106788,0.0205388238,-0.639725267,-0.325076052,0.0363482971,-2540.242925,0.0495151733,13.715741435,0.0042551398,0.0109119717,0.0174710359,-0.053883928,0.0133112333,0.0,0.003453179,-0.007798923,-0.015620329,5.0,13.917209762,1.1678733274,0,0.0346369185,0.0220291953,0.0295366436,0.1999726717,1.0628825093,4.0728634e-09,2.1515289e-08,1.1509227683,1.3246232185,0.0308037049,0.0365975562,-0.150222899,-0.122738716,0.0346784363177805,-0.1096039066739013,-0.0512622856041626,-0.0734048560135517,-0.074624060150376,-0.080672268907563,-0.0709567842989243,-0.0492468134414832,-0.0796410544026922,-0.0647796352583587,-0.0222442899702086,-0.0364063417498533,0.0344610212229459,0.0377318718381112,0.1040592061000222,0.4656147662994936,0.4428487690504104,0.4175064785488052,0.5588980367321088,0.4344405594405593,0.5549589387239418,0.5683338642879896,0.7507112375533427,0.3345079967470858,0.1931652932622394,0.0713819368879216,0.293144208037825,0.2691415313225058,0.1301652892561982,0.1928761812454567,0.0568913696865607,0.0697522816166882,0.1699144486692014,0.0366392924826277,0.2027852430979722,0.0697522816166882,0.1001117318435753,0.2197720515361743,0.0312107247591117,0.1100338218714767,-0.0251485148514851,-0.084093023255814,-0.0916974169741698,0.1330264672036822,0.138265895953757,0.105050505050505,0.1265446224256292,0.2051407588739289
17137,1.0938283913,0.1212721028,-3.095569506,0.0516828067,1.7404247333,3.270313783,0.0742374266,0.0474749658,0.5580115713,-0.018203761,0.0589279361,0.0084420335,0.1928278461,0.0978874644,0.0084420335,47,0.0560974219,0.0714630613,0.2608982981,0.1084691298,-0.257418258,0.0701009538,0.0808205523,0.0872465215,0.0297538442,0.5529796115,0,1.3432077426,-0.01046289,0.7620381615,-0.147353115,9.3404365605,12.875697991,0.1296581368,0.0,0.0,1,0,0.0,1.4193823957,5.0,0.0134528306,0.041227306,0.0066024546,0.5031868996,0.3226791718,-0.467463768,0.1592222907,-2105.54596,0.1515446569,11.874550715,-1.4671e-05,0.0101764455,0.0263685077,0.0949413799,0.1169536171,0.0,0.011965812,0.3830410285,-0.028740877,2.0,12.774360352,1.8243410514,0,0.0308274589,0.016795439,0.0341611332,0.3181419515,1.7243275572,1.7769031e-08,1.7787157e-08,1.5076252332,2.2729338437,-0.010835882,0.0755023092,-0.051408998,-0.204409253,-0.0544181034482758,0.0465116279069768,0.1515748031496062,0.0390763765541741,-0.0309221424627277,-0.183341088878548,-0.2295873573309921,-0.2792607802874743,-0.4206008583690986,-0.488338192419825,-0.276885043263288,-0.1694273544723141,-0.0944272445820432,-0.1259960159362548,0.1178343949044586,0.1890243902439026,0.2828947368421053,0.392857142857143,1.0011402508551883,1.3877551020408163,1.7421875,1.5657894736842106,2.220183486238532,0.778115501519757,0.4349959116925592,0.052158273381295,0.1530880420499343,0.1508196721311476,0.1470588235294117,0.4408866995073892,0.3732394366197185,0.1508196721311476,0.1946902654867257,-0.0118243243243243,0.0694698354661791,-0.111392405063291,-0.0797063450445726,-0.1242514970059879,-0.1654778887303851,-0.111392405063291,-0.1741176470588235,-0.2483940042826552,-0.2979999999999999,-0.3629764065335753,-0.3652802893309221,-0.3958691910499139,-0.4217462932454695,-0.4549689440993789
20670,0.2962434809,-0.122375957,0.8335052574,0.0,1.2422212611,1.1623083623,-0.035814445,-0.097334056,0.3210543908,0.0233614352,-0.066547591,-0.065254317,-0.864581996,-0.016571908,0.0652543174,39,-0.013070248,-0.097660224,-0.041310878,-0.013186125,0.0288947281,0.4560708786,0.1474114814,-0.078380839,-0.207004259,0.408519918,0,2.0052402326,0.0035652428,1.8032701705,0.0145138855,3.7343507403,4.8069511244,-0.025481792,0.0,0.0,0,1,1.0,1.3035915234,5.0,-0.977330723,0.0552597936,-0.822552629,0.1531583932,-2.370343671,0.2501659696,0.1018928845,-18588.00464,0.0740556467,11.865846791,0.0011986953,-0.022821788,-0.114503436,-0.053314554,0.202310633,1.0,0.0099150142,0.7676026933,-0.019510996,4.0,13.180113029,3.9124553688,0,0.0629539341,0.0575554388,0.083120653,0.6526021632,38.578175749,1.2894681e-08,3.1023068e-09,1.5006125939,2.2518381569,0.0393954456,0.0649245944,-0.209365573,-0.14231459,0.1885521885521883,0.0,-0.2309368191721132,-0.2661122661122661,-0.2904522613065327,-0.3774250440917107,-0.417971970321517,-0.4449685534591195,-0.4909877433309301,-0.4865454545454546,-0.3493087557603687,-0.3679498657117278,-0.2947052947052947,-0.2883064516129032,-0.2258771929824561,-0.0028248587570621,-0.0180806675938804,-0.1358629130966953,-0.1040609137055837,-0.118601747815231,-0.0831168831168831,0.0505952380952381,0.5688888888888888,-0.2661122661122661,-0.2661122661122661,-0.2630480167014614,-0.32697807435653,-0.3707664884135473,-0.3871527777777778,-0.2645833333333334,-0.3673835125448029,-0.3955479452054794,-0.3051181102362205,-0.5167693360711841,-0.43879173290938,-0.4920863309352519,-0.5100624566273422,-0.4573405073020753,-0.6011299435028248,-0.6459378134403211,-0.7053422370617697,-0.6995744680851064,-0.6898066783831283,-0.6986769099445156,-0.6672950047125353,-0.6425316455696203,-0.6914335664335665,-0.6982905982905983
64899,0.2899612743,-0.000998511,123.11900963,0.0141373391,0.3412733893,0.2180091385,0.1828456424,-0.046080399,0.1859891975,-0.029741776,0.0479898601,-0.103692179,-39.00866551,0.0668656596,0.1036921787,47,0.0106532026,0.0752688172,0.0238888437,-0.004315107,0.0106491111,0.0523667508,0.103292129,0.0272719223,-0.137290516,0.2072365156,1,1.2337705647,-0.485702669,0.6508448199,-0.528922573,44.236208626,7.8812544675,0.0223838836,0.0,0.0,1,0,0.0,0.3426380075,5.0,-0.162322483,-0.014551544,0.0027657037,0.2189994076,-0.558831121,-0.974969109,0.0611596952,24865.573124,0.0431411127,15.743015307,-8.8545e-05,0.0154892997,0.0351832573,0.0036949864,0.0077120027,0.0,0.0013449587,5.4538080227,-0.010713298,5.0,8.5219817081,0.001565687,0,0.0490113795,0.0228846749,0.0522987204,0.3191973163,0.0021440006,4.6947709e-07,2.6983282e-07,1.0090436888,1.0181691658,0.0425605682,0.0377312325,0.1842775493,0.0322207601,-0.0815366052713642,-0.12926,-0.0350842626292436,0.0030170916305656,0.0261383991703592,0.0003446532788013,-0.0397662108513453,-0.0744685374149659,-0.0840486409155937,-0.0853571428571428,-0.0516467304890968,-0.020552712698012,0.0262351499151423,-0.0075001139834952,0.0661948376353041,0.2804999999999999,0.1548275862068966,0.1935138987883109,0.2011532307013188,0.2903675163011263,0.2294419970631425,0.3894491606561563,0.4639256664565561,0.2964385682806265,0.1428833937102955,0.1531085674348282,0.1640946441539383,0.130772486144745,0.049185463659148,0.0653078202995007,0.0914264226623213,0.0877234183951352,0.2271783776226614,0.0438525483769325,0.2668175507464643,0.2709596535044674,0.2766572616424563,0.3218667307424538,0.0837140948297749,0.0938944723618091,-0.0136610783869505,0.0416547037994066,0.0342312808817939,-0.0170903508375852,-0.0236708192145672,-0.0637204301075269,-0.0520852969518021,-0.0061860393620361
23660,0.1002412197,0.0301977786,61.434466291,0.0144187538,0.1236479991,0.1934328082,0.1788702398,0.0739174055,0.4610482426,0.006246676,0.0257725299,-0.031404612,-0.224823757,0.0369869567,0.0314046124,38,0.0141565433,0.0,0.004406418,-0.057203083,0.0211243517,0.1639817885,0.0864915233,0.0235930526,0.1399124382,0.3225142846,0,1.4701055021,-0.436580247,0.8021405471,-0.371853253,14.416052184,7.7017333483,0.3016151882,0.0,0.0,0,0,0.0,1.0626776937,6.0,0.3286218387,0.1503730427,0.1710690899,-0.101758822,-0.200213884,-0.025746684,0.0115491202,30888.420397,0.2743317733,17.489752246,0.0031822713,0.0393453746,0.0885312255,0.0047734614,0.010299929,1.0,0.0007193861,0.427552944,0.0481651993,6.0,17.213351814,0.8808771152,0,0.0351505093,0.0181571643,0.023142511,0.2712980328,1.4448080242,6.485473e-11,2.0600944e-08,1.0260056275,1.0526875477,-0.009964484,0.0332222486,-0.205543182,-0.09019394,-0.0414016550455902,-0.1531015151499082,-0.1110163433525189,-0.1334102947723321,-0.0140282404245257,-0.0516713760939782,-0.0478461121276093,-0.0174868848167538,0.0616054742997829,0.087442774310634,0.0996455128768569,0.1571807670962572,0.1798063938136553,0.0618458117423701,0.0563468071023589,0.1931966998314005,0.1276628347102977,0.1262754209061165,0.2433166926160268,0.4090705214398005,0.5136312101294076,0.6919262949105172,1.1667244544509874,0.4070631478991959,0.3453776750188191,0.3948269063039582,0.460048276666926,0.3969553579872946,0.3999253860527645,0.4227445952518802,0.4410997158654586,0.5816933954946859,0.6919262949105172,0.7284701575020727,0.8570086091732225,0.8166504929017189,1.0016000747480178,1.2341805325209516,1.0029886327249442,1.063671908506076,0.8973763207117942,0.7590102169939543,0.8354851819248827,1.0279893538666802,1.0593690534979423,1.2038755725190842,1.2002580021104468,1.1992265908824566
82542,0.3182892153,0.0415235405,5.7342772693,0.0069856054,0.055310798,0.2711564842,0.2222456362,0.1652942364,0.3906236485,0.0009534908,0.3587129297,-0.043401435,-0.362800534,0.0565883032,0.0434014346,46,0.0057497513,0.0678513732,0.1231955644,-0.126703289,0.0534793821,0.5004318175,0.1039928397,-0.000790012,0.1371634653,0.4777143748,0,6.4687443047,-0.15810286,5.2167851285,-0.129934289,2.4561538655,6.3300820026,1.1884512819,0.0,0.0,1,0,0.0,0.4464549922,6.0,-10.43244002,-0.037778264,-0.250723057,-0.036831021,-1.332329845,0.3758500904,0.1991648563,-4743.736602,0.02204135,13.581463184,-0.001227582,0.0223386287,0.0265850994,0.0063320962,0.2852879209,0.0,-5.1752e-05,-0.163362966,-0.024271881,6.0,12.968564197,0.5277220403,0,0.0392728448,0.0228420737,0.0298587022,0.4812406001,1.4438575819,1.0136437e-08,4.2508944e-08,0.9630522096,0.9274695584,0.0643777451,0.0369220194,0.1021319809,-0.245855182,-0.0321458684654299,-0.0776416231418241,-0.0685667917638706,-0.0434375,-0.1010279001468429,-0.1979912663755458,-0.2119625847421264,-0.1050579865510183,-0.1336792452830189,-0.2246707193515704,-0.2110146919838474,-0.1471953937592868,-0.0838986432561851,-0.0908820908820909,-0.133270410571024,-0.0349936948297603,-0.0374213836477987,-0.0588295582658603,-0.0868138424821002,-0.1040975609756097,-0.0784746613146011,-0.0257797581158498,0.1159314619030258,0.0342380898749858,-0.0015222355115798,-0.2249324780553681,-0.2194645133871653,-0.2161331626120358,-0.1605265563579851,-0.0837158251845938,-0.1134388878161807,-0.1468784838350055,-0.096961353132068,-0.0196434290594641,-0.0076723578992868,-0.0488865872604867,-0.0891688157111684,-0.0821589205397301,-0.1849649418656253,-0.1484606824925816,-0.2357053682896379,-0.2591367486889875,-0.2564372469635627,-0.2168017057569297,-0.2279949558638083,-0.1800892857142857,-0.2114212108200944,-0.1170192307692308
