firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,age,chinv,hire,sgr,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
50906,0.2947092323,0.0472911539,6.2732464373,0.0,0.124479192,0.4446800151,0.2219280137,0.3890663599,0.7439835182,0.0104038709,1.0819209953,20.0,0.0066020233,0.3558406482,0.1848323243,0.0111008499,0.2533808632,0.0964112201,0.0897027992,0.2178743865,0.6020347974,0.0,2.2503155611,-0.252993705,1.7919357194,-0.142331211,4.7955439694,3.7697253196,0.7410467693,0.0,0.0,0.0,0.0,0.0,0.9269960509,4.0,0.4666354974,0.3167681524,3.0077585628,-0.641895906,1539.5427446,0.041769416,15.904293884,0.0082903894,0.0375733698,0.0548755455,0.0377077874,0.0953577445,-0.011421514,1.0,0.0,0.0942145924,0.1349172965,6.0,16.888561717,2.8483850168,0.0,0.0980392173,0.02993336,0.0478908362,0.4812522697,5.4776478531,2.604377e-10,8.7394443e-09,1.5403262685,2.3726050134,0.1559055926,0.0752133651,-0.545190431,0.6190310155
80071,-0.348315621,0.0571238083,-9.007406762,0.0,2.9752916861,5.0803920261,0.0725274725,0.0164587973,0.6031625835,0.0053285968,-0.01790493,24.0,0.0286064569,0.0307219662,0.0743280586,-0.057201941,0.1989742516,0.1077967321,-0.015167038,-0.147563025,0.5621061154,0.0,0.7371113458,-0.133540995,0.4276428488,-0.223902352,33.200069711,6.511108073,0.0527966034,0.0,1.0,0.0,0.0,0.0,-2.131008403,4.0,-0.14987516,-0.18026717,-1.4949003,-1.772756129,-306.5283463,0.1678673657,8.0721553082,-0.00182965,0.0100988898,-0.040899216,0.545153919,0.0323340026,-0.001485296,1.0,-0.018132164,3.992795389,-0.0625,0.0,6.8641951642,0.2065777154,0.0,0.0588235296,0.0371287625,0.1870276291,1.5486807071,2.2709827483,1.80879e-05,10.000000101,0.7501361337,0.5627042191,-2.080451245,0.0948110926,0.1454545588,-0.098071615
10568,2.0456183528,-0.059418124,-7.813397772,0.0515953239,9.0410477279,14.603338097,0.0263135722,0.0397662169,0.1689239875,0.0,0.0628997758,17.0,0.0210554393,0.1719298246,0.0601973203,-0.24430307,0.048283859,0.1355335024,-0.007592182,-0.051475383,0.5602789357,0.0,1.2371141439,-0.18611276,0.9629913894,-0.21051307,25.303262183,6.0257033248,0.024514985,0.0,0.0,1.0,0.0,0.0,0.6126100424,2.0,2.0728255882,-0.056782996,4.8939282767,-5.352976397,-351.1936452,0.0266788234,9.3866019374,0.0024812668,0.0026649381,0.0130875006,-0.123846357,0.05905671,0.0130013456,1.0,0.0346312736,0.4853088859,0.25,1.0,7.2316487334,0.1332879201,0.0,0.0461538471,0.0313736047,0.0497125129,1.7344251203,1.8344357363,1.40359e-05,12.00000011,0.0182393829,0.0003326751,0.0745936755,0.0690933634,0.455479369,-0.00143654
11157,0.2664166181,0.0073760836,17.758076251,0.0,0.160205193,0.4110129317,0.0458313279,0.1147693148,0.4542178542,0.0094629156,0.1728621692,22.0,0.0404316844,0.0395256917,0.0177998551,0.0119067917,0.1314839874,0.0777739978,0.0781326781,0.0825267448,0.5927869423,0.0,3.5634157509,-0.301079574,1.5286172161,-0.279248907,11.449359721,4.4633537554,0.1317938609,0.0,0.0,1.0,0.0,1.0,0.6849210392,3.0,2.9478332148,-0.080464766,0.3346247548,0.5116051575,-774.4833171,0.0535467671,10.721961466,-0.006690871,0.0023999608,0.0038431373,-0.00746227,0.0496507816,-0.010521938,1.0,-0.004023436,0.4505938843,0.0236306693,2.0,9.8295718696,0.4832747951,0.0,0.0303030312,0.0203358675,0.0251013139,1.2253310793,1.9156193744,4.5832438e-07,4.5904736e-08,0.9165661673,0.840093539,-0.115901231,0.0728076328,-0.28553921,0.211120117
50032,0.1875196539,0.0378416919,129.43088312,0.0111448748,0.2284243614,1.06789637,0.1559560836,0.1945694143,0.911833273,-0.000158707,0.223061847,25.0,0.0339812293,0.0638297872,0.0895607757,0.0405542976,0.0944624489,-0.027960586,0.2092210731,0.1616057494,0.503512237,0.0,1.3300433483,0.0421649823,0.239870586,-0.041717463,198.461362,104.12268889,0.3029411273,0.0,0.0,0.0,0.0,0.0,1.9187238784,5.0,0.1959406878,-0.027934212,1.0518812452,37.623128736,11521.450781,0.0545653003,16.422162753,0.0076314582,0.038256693,0.0848585318,0.0390452048,0.0119885269,-0.012191486,1.0,0.0,0.5292352803,0.0537342513,5.0,16.325365397,0.8920113873,0.0,0.0465949811,0.0313242044,0.0406171777,0.5870407026,4.7115994975,2.579394e-10,1.7864873e-08,0.2083611291,0.0434143601,1.7814709673,0.0423295152,-0.340171022,-0.089090281
68814,0.2657921878,0.0803228589,-11.00553882,0.0001852508,9.4699748189,5.4304380173,0.0641779435,1.680315431,0.3220039143,-0.115844065,2.0228189344,20.0,0.1398891465,0.4677259186,0.2439028636,0.0494647047,0.0569748054,-0.511369254,0.6676956511,-0.274128269,0.3285386236,0.0,1.5198687323,-0.090405324,0.8115905491,-0.209248892,23.838959902,4.3749186815,0.0347179454,0.0,0.0,1.0,1.0,0.0,2.4906729971,4.0,0.0871363089,0.3280651825,-0.301742455,-0.024108119,-461.0446354,0.0305242954,12.143452284,0.0031708309,0.0020674695,0.0769616788,0.7505380504,0.0227388571,-0.711457018,1.0,0.0093693694,0.6093808832,0.0662370156,1.0,12.07966404,0.6830612385,0.0,0.0744680837,0.0236621127,0.0280026502,0.8015844551,0.7653029902,1.2204999e-07,9.6333126e-08,1.1257049829,1.2672117085,0.0691292734,0.0587476398,-0.240863779,-0.038046416
47730,0.3927298339,0.0560985933,74.395336226,0.0177042068,0.425623483,2.4830646068,0.1236476388,0.0732331233,0.4773542658,0.0555609851,-0.020955431,24.0,0.0036509502,0.0576923077,0.1990902791,-0.040736514,0.7175083312,0.1834124256,0.0220677638,0.2008007563,0.429444604,0.0,2.054871249,0.093401977,1.9093610604,0.0947972466,814.43980477,5.7640866018,0.2057121114,0.0,0.0,0.0,0.0,0.0,1.1097956151,6.0,-0.072084534,-0.271504439,0.2938576011,-0.89376866,-559.298488,0.0458258411,13.08223177,0.0016135496,0.0162766763,0.0330907365,0.0436485891,0.0035952286,0.0035723786,1.0,0.0001646091,0.0404060914,0.056737008,4.0,12.581695194,0.5111528878,0.0,0.023323616,0.0132634156,0.0168417799,0.5745026339,1.2757023482,8.5448094e-09,4.3072136e-08,0.5815498831,0.3382002665,0.2009071684,0.0429909336,-0.031367068,0.4280290342
12627,0.985543624,0.1446639268,0.0018012816,0.0,0.0131512661,0.4037297273,0.6271049875,0.0298950029,0.3303033249,0.0146623621,0.7770700637,14.0,0.0,0.0,-0.05359116,-0.034695436,0.0231016853,-0.387965768,0.0725743729,0.0754590813,0.8754141691,0.0,41.667140825,-0.332615364,30.13308746,-0.332615364,0.5572181381,17.443991853,1.6752983197,0.0,0.0,0.0,0.0,0.0,0.3495190577,3.0,0.5971260539,-0.355337869,0.3518055051,-1.709612759,-1383.388115,0.3454349458,9.1715962952,0.0114379085,0.048715355,0.0531684699,0.0320919971,0.6359677358,0.1615116916,1.0,0.0328051525,-0.4817382,0.0,5.0,9.357590512,0.8728198831,0.0,0.25,0.079733227,0.0809192531,1.0931334248,3.2868669892,4.7464884e-06,3.8976717e-08,1.0319695782,1.0649612103,0.0468842832,0.0680207657,0.0181818148,0.2363999215
13777,1.1294847336,-0.551606478,-0.960103553,0.0,0.591812551,1.835108037,-0.315061074,-0.247434388,0.3350297218,-0.048594925,-0.005676363,17.0,0.0,-0.027104137,0.0158645973,-0.23262604,0.1542739693,-0.056964702,0.012715904,-0.331619205,0.6779295907,0.0,2.2141665403,-0.299512105,2.2141665403,-0.299512105,2.2343033726,5.1808949841,-0.857134765,0.0,0.0,0.0,0.0,0.0,0.4414195769,3.0,-0.446044633,-0.356300884,1.0306125008,-1.152590376,-1104.632988,0.0458258411,11.324325239,-0.028586249,0.0459258842,0.0805848743,-0.020002185,0.4551500587,-0.006362045,2.0,0.0109090909,2.8036745559,0.1319385488,3.0,10.352213678,1.2124771444,0.0,0.538461566,0.1349062788,0.1313077962,1.7743929524,25.127452874,5.9240904e-07,8.0145812e-09,1.7539562621,3.0763625693,0.1421889798,0.08625672,0.5618034653,0.4280290342
78120,0.4404667473,0.0459895745,-12.87146094,0.0,1.5761047252,3.4250446743,0.0233281686,1.43162438,1.2035990965,0.0629165556,1.6551206889,25.0,0.1888503823,0.7756097561,0.1232481208,0.0260206788,0.0416732817,-0.72114974,0.8306264159,0.8687522349,0.4018863497,0.0,0.9836398359,-0.339034539,0.2055450719,-0.554986372,70.486459266,83.304721598,0.0617990094,0.0,0.0,1.0,0.0,0.0,4.1578018479,4.0,-0.005143953,0.6625513918,-2.32814142,0.2743700622,-6919.047481,0.1438228717,13.559161603,-0.021511085,-0.019306414,-0.088389793,0.3795808216,0.0280060299,-0.090346072,0.0,0.0048658318,0.4447120157,0.0018183934,2.0,14.750293647,3.4037436214,0.0,0.1000000015,0.0532159842,0.0669224957,0.6884709319,16.761699783,2.1040517e-09,4.1828934e-09,1.1400991574,1.2998260887,0.2753858526,0.0779024771,-1.078449949,-0.07052359
