firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
39116,1.643159866,-0.009511137,-14.26768061,0.0,0.4709737828,2.4540705697,-0.063123722,-0.059993865,0.2596520443,0.0011841326,-0.211338505,0.0544549576,9.0,-0.027920215,0.0588235294,-0.057784001,0.2289640757,0.1054900181,0.0688246718,0.0020377755,-0.00528043,0.5878795105,0.0,3.6487480301,0.1717911428,2.0399229557,37.869201521,5.0235044891,0.1967243368,0.0,0.0,1.0,0.0,0.0,0.3381264916,5.0,0.0677651853,0.0117180701,0.5315357229,34.988198284,-0.895153208,-8.437707364,-91.5611741,0.0612077221,9.7109338252,0.0,-0.0304662,-0.039198632,0.019423679,0.0196640031,-0.008093256,0.0,0.0077950291,4.1785358069,-0.111681335,2.0,8.0551577318,0.238048332,0.0,0.0416666679,0.028131293,0.0382090556,0.8955920508,1.0818477961,1.9300973e-06,6.728526e-08,1.7121969821,2.9316185055,-0.260905424,0.0772839841,-0.037297298,-0.183418909,0.0,0.0571428571428571,0.15625,0.0882352941176469,-0.26,-0.3018867924528302,-0.1956521739130434,0.1212121212121211,0.3214285714285714,0.4230769230769231,0.3214285714285714,0.4230769230769231,0.6818181818181819,0.48,0.6086956521739131,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.6086956521739131,0.5416666666666667,0.5416666666666667,0.8500000000000001,0.6818181818181819,0.7619047619047619,0.8500000000000001,0.9473684210526316,1.0555555555555554,0.5416666666666667,0.4230769230769231,0.3214285714285714,0.2758620689655173,0.1935483870967742,0.2333333333333334,0.2758620689655173,0.1935483870967742,0.1212121212121211,-0.0749999999999999,-0.0749999999999999,0.0571428571428571,-0.0263157894736841,0.3214285714285714,0.5416666666666667,1.0555555555555554,1.176470588235294,1.176470588235294,0.6818181818181819,0.6086956521739131
50032,0.4655541084,0.0835009794,0.6701908077,0.0233545162,0.6461051797,5.0842723545,0.1459364339,0.1258376159,1.2001831354,1.0153393054,0.1081692414,0.0098493635,10.0,0.0282022415,0.0625,0.0860905907,0.0080427877,0.1154013138,-0.018464427,0.1161249412,0.151312774,0.5951835442,0.0,1.6520084525,-0.052070282,0.8245612319,27.136197035,58.680360914,0.2227106822,0.0,0.0,1.0,0.0,0.0,2.8672505788,4.0,0.0021335066,0.0206645099,-0.524847895,-0.275434499,0.1585264624,0.0768276316,546.50519038,0.0558961045,13.718306411,0.0033149677,0.0249082534,0.0612493004,0.0587682652,0.1685421719,-0.015889088,3.0,0.0049935917,-0.416109743,0.0103769405,4.0,11.666450949,0.262700684,0.0,0.0294117648,0.014871496,0.0226810436,1.0976614872,1.9937303866,1.548852e-08,4.6028293e-08,0.5375093141,0.2889162627,0.2963080935,0.0367795723,0.1031524771,-0.023430894,-0.0552995391705068,-0.0596330275229357,-0.0330188679245283,-0.0888888888888889,0.0301507537688441,-0.0238095238095238,-0.0375586854460093,-0.4489247311827957,-0.4716494845360824,-0.4661458333333333,-0.4459459459459459,-0.393491124260355,-0.4576719576719577,-0.4716494845360824,-0.4040697674418605,-0.3633540372670807,-0.2678571428571429,-0.2678571428571429,-0.2350746268656716,-0.0848214285714286,-0.1239316239316239,-0.0723981900452488,-0.0552995391705068,-0.0330188679245283,-0.0330188679245283,-0.1239316239316239,-0.0096618357487923,0.0846560846560846,0.0677083333333332,0.0677083333333332,-0.0330188679245283,0.0677083333333332,0.0621761658031088,0.0512820512820513,0.1581920903954803,0.1918604651162789,0.2654320987654321,0.2974683544303798,0.2654320987654321,0.2130177514792899,0.1021505376344085,0.1647727272727273,0.2654320987654321,0.2576687116564418,0.3945578231292517,0.4041095890410959,-0.297945205479452,-0.359375
17304,1.0336885695,0.137718302,-70.49857943,0.0414888297,1.676395061,4.0887148947,0.0427439765,0.1082329538,0.6129396199,0.0068200375,0.106726425,-0.091191168,10.0,0.0318184321,-0.015873016,0.1408872376,0.025306117,0.0790466414,0.0625290304,0.0644182352,0.1111213536,0.5881231561,0.0,2.0379441452,-0.096476206,1.3057487004,318.7241581,4.0554639969,0.136599868,0.0,0.0,0.0,1.0,0.0,1.5109293836,5.0,0.0050734633,-0.088554357,-0.089447588,-0.888897869,-0.006116705,0.0711363609,118.77025783,0.1114313131,13.808608921,0.0071279911,0.0330111593,0.0906063989,0.1597303328,0.0047293385,-0.008848808,3.0,0.0102577736,0.8886104149,0.0091923652,1.0,13.230360015,0.8793588704,0.0,0.030812325,0.0142592008,0.0174810588,0.8012523811,4.593374786,3.1704626e-09,1.6591192e-08,0.8858342657,0.7847023463,0.2004600164,0.0342750747,0.2211240577,-0.013789306,-0.0680628272251309,-0.1682242990654205,-0.1317073170731707,-0.1099999999999999,-0.0729166666666666,-0.1563981042654028,-0.174013921113689,-0.0704960835509138,-0.0531914893617021,0.0084985835694051,0.1483870967741936,0.2624113475177305,0.1672131147540982,0.2491228070175439,0.3185185185185184,0.5411255411255411,0.5752212389380531,0.6481481481481481,0.5478260869565217,0.5822222222222222,0.429718875502008,0.5682819383259912,0.5892857142857142,0.6872037914691944,0.7033492822966507,0.7115384615384615,0.5892857142857142,0.7115384615384615,0.6481481481481481,0.554585152838428,0.5478260869565217,0.5682819383259912,0.6872037914691944,0.934782608695652,1.0941176470588236,1.0697674418604652,1.1317365269461075,1.282051282051282,1.119047619047619,0.9453551912568304,0.8936170212765957,0.78,1.022727272727273,0.977777777777778,0.988826815642458,1.1975308641975309,1.1975308641975309,0.956043956043956
47730,0.7320146794,0.0965851838,-2.498600043,0.0319338185,0.418772159,4.0943335199,0.1684326736,0.0933998393,0.6941279372,0.5567928731,0.029008987,0.0071779561,9.0,0.0044492124,0.0454545455,0.0837965463,-0.026870174,0.2973662438,0.0156447787,0.0437213371,0.1339949894,0.5339352583,0.0,1.9766417768,-0.047368231,1.7290190823,70.885849666,7.1865624386,0.3638911069,0.0,0.0,0.0,0.0,0.0,1.1315282328,3.0,-0.414059294,-0.144858004,0.2787809354,-0.148129527,0.2313098897,4.4089526733,-315.846449,0.2164377677,11.350362417,0.0020476852,0.0184204268,0.0289584148,0.1181476539,0.0201766123,0.0055198723,0.0,0.0019265872,-0.123809524,-0.027263982,4.0,8.9743648418,0.1415121255,0.0,0.0380434766,0.0132196902,0.0128764451,0.9195333451,0.9076569546,1.7184463e-07,8.7840837e-08,0.7112415158,0.5058644939,-0.323246384,0.0360518437,0.0117109105,-0.272709862,-0.0558375634517765,0.0,0.0108695652173913,-0.0412371134020618,-0.0510204081632652,-0.1057692307692307,-0.1545454545454545,-0.2314049586776859,-0.2249999999999999,-0.088235294117647,-0.1184834123222748,-0.3519163763066202,-0.2530120481927711,-0.3007518796992481,-0.2677165354330708,-0.1696428571428571,-0.0106382978723403,-0.0510204081632652,-0.03125,0.087719298245614,0.0219780219780219,0.1625000000000001,0.0941176470588236,0.1481481481481481,0.1341463414634145,0.24,0.273972602739726,0.4307692307692308,0.3098591549295775,0.2077922077922078,0.1341463414634145,0.1481481481481481,0.0689655172413792,0.1005917159763314,0.2317880794701987,0.4761904761904763,0.488,0.3478260869565217,0.3984962406015038,0.4307692307692308,0.5630252100840336,0.5371900826446281,0.7547169811320755,0.6909090909090909,0.7222222222222223,0.6909090909090909,0.5245901639344261,0.4761904761904763
48581,0.462463843,0.0718181818,2.5179832714,0.0068904959,0.586606405,0.9046745868,0.1840841502,0.1763199873,0.4036910256,0.1588477366,0.0357038631,0.0082592975,9.0,0.0442648693,0.0,0.0852417776,0.0341367739,0.089777632,0.0109104568,0.1122124014,0.4170874155,0.4495282433,0.0,1.7879548306,0.1019624876,1.2670269922,8.1387081784,11.82692957,0.2030382718,0.0,0.0,1.0,1.0,0.0,0.9849954892,5.0,-0.016177774,-0.859256675,-0.667141541,-0.502320186,0.3871820429,0.0926580853,8.2566666171,0.2038681585,12.392121622,0.0024414787,0.0111773943,0.0241877788,0.040445269,0.0896100427,0.2015731452,0.0,0.0036944422,-0.80127186,0.0506671257,6.0,11.518755935,2.4376139792,0.0,0.111940302,0.028315756,0.0163479077,1.3348559708,14.978526117,1.5210025e-08,2.3648649e-09,1.5245396041,2.3242210046,-0.125712182,0.0426540303,0.4665332404,0.0263253755,-0.0149253731343284,-0.0364963503649634,0.123404255319149,0.056,0.0232558139534884,-0.04,-0.12,-0.053763440860215,-0.0149253731343284,0.1092436974789916,0.095435684647303,0.1629955947136563,0.2394366197183097,0.1999999999999999,0.4347826086956521,0.6296296296296295,0.7718120805369129,0.9555555555555556,0.7483443708609272,0.7483443708609272,0.8333333333333333,0.8723404255319149,0.9849624060150376,1.2184873949579833,1.2758620689655171,1.2000000000000002,1.2184873949579833,1.64,1.4220183486238531,1.0152671755725189,0.7837837837837838,0.5529411764705883,0.8591549295774648,1.1463414634146345,1.1818181818181817,1.1818181818181817,0.8857142857142857,0.0864197530864196,0.0819672131147541,0.2753623188405796,0.3894736842105264,0.5529411764705883,1.0787401574803148,0.9555555555555556,0.8461538461538463,1.3571428571428572,0.8857142857142857,1.2758620689655171
44652,0.4623440963,0.1206819077,-2.100076468,0.0249057029,1.081810505,8.1719119928,0.1559064494,0.126233845,1.337610178,2.0181466001,0.0909257,0.0150230561,9.0,0.0462628237,0.0568623997,0.0633884967,0.0163935349,0.1262698053,-0.015588012,0.1317047537,0.2636387797,0.5618789244,0.0,1.4633400033,0.0438091448,0.3549037286,59.271342346,161.14957006,0.2026200416,0.0,0.0,1.0,0.0,0.0,5.2462462462,5.0,0.0032565566,0.0150269096,-0.528057907,-0.076076652,0.2188671051,0.0820013242,681.79144038,0.0558961045,13.91335049,0.0037428161,0.0294178047,0.0866889693,0.1842420148,0.0828040905,0.0067384799,1.0,0.0081251631,0.016710642,0.0129127353,3.0,12.344941798,0.3457411473,0.0,0.0491228066,0.0224193373,0.0215226649,0.891040622,1.2363438984,1.9808636e-08,5.7084499e-08,0.6661205009,0.4437165217,0.2776461025,0.0418540536,0.2205286309,-0.023430894,-0.1671924290220819,-0.2166172106824926,-0.2119402985074626,-0.1538461538461538,-0.0294117647058823,-0.6699999999999999,-0.6764705882352942,-0.5887850467289719,-0.5672131147540984,-0.5862068965517242,-0.5517826825127334,-0.4863813229571985,-0.4923076923076923,-0.5217391304347826,-0.4853801169590643,-0.4107142857142857,-0.3383458646616541,-0.2786885245901639,-0.2666666666666667,-0.1671924290220819,-0.1511254019292605,-0.089655172413793,0.0393700787401574,0.233644859813084,0.11864406779661,0.1999999999999999,0.306930693069307,0.4666666666666665,0.4347826086956521,0.3333333333333332,0.263157894736842,0.3266331658291457,0.2279069767441861,0.2941176470588236,0.4585635359116022,0.411764705882353,0.5438596491228069,0.3004926108374384,0.1838565022421525,0.1733333333333333,0.2222222222222223,0.1428571428571428,0.1578947368421053,0.2941176470588236,0.4042553191489362,0.5808383233532934,0.2452830188679244,0.1578947368421053
44548,0.3846863469,0.0774051411,5.3020361307,0.0077265013,0.4430963613,2.4026344061,0.0803720304,0.3254470324,1.1692209889,0.5125581395,0.4042435083,-0.023335202,10.0,0.2043788578,0.4375,0.5364487656,0.0373599592,0.1045007836,0.077660143,0.38141567,0.2449799703,0.5618859045,0.0,2.7760592332,-0.245947031,0.5207456044,37.29418162,95.96641791,0.2772806567,0.0,0.0,1.0,0.0,0.0,2.3002443879,5.0,-0.000122721,0.3648186588,-0.738449811,-0.254135826,0.0199939134,0.138992327,-557.1752422,0.1114313131,12.760996013,0.0149519779,0.0303208982,0.0954258762,0.3579880736,0.0778269947,-0.011392368,3.0,0.0127243994,-0.653834676,0.014863499,6.0,12.668980849,0.485077475,0.0,0.0344827585,0.0212669383,0.026340679,0.8492659868,4.6197151687,1.7151767e-08,1.7872922e-08,0.8998129849,0.8096634079,-0.070364124,0.0490476939,0.2320611553,-0.013789306,-0.1684210526315789,-0.2511848341232228,-0.1173184357541899,-0.1834625322997416,-0.3290870488322718,-0.3779527559055118,-0.3497942386831275,-0.2668213457076566,-0.1222222222222222,-0.1123595505617978,-0.0453172205438066,0.0604026845637584,0.1791044776119403,0.0972222222222223,0.4170403587443947,0.5490196078431373,0.6989247311827957,0.7362637362637363,0.6040609137055837,0.6288659793814433,0.6288659793814433,0.7954545454545454,0.7173913043478262,0.8588235294117648,0.8922155688622755,0.7954545454545454,0.8922155688622755,1.2253521126760565,0.3620689655172413,0.2015209125475285,0.2153846153846152,0.22007722007722,0.462962962962963,0.4363636363636363,0.5800000000000001,0.8809523809523809,1.1643835616438358,1.1066666666666665,1.3407407407407406,1.1944444444444446,1.393939393939394,1.6115702479338845,1.821428571428572,1.5483870967741935,1.7241379310344829,2.0384615384615383,1.46875,1.323529411764706
60871,0.2260314304,0.0275736384,19.546453038,0.0,0.1068523368,0.3201919948,0.1630179887,0.3657017312,0.787078007,0.6435367025,-0.096638337,-0.007535179,9.0,0.0514522004,0.1967963387,0.2301966825,0.0491632984,0.1896844835,0.1589555535,0.1818628143,0.8015261715,0.5484222399,0.0,3.3453057395,-0.119686654,1.8700411823,8.8335534461,5.1493287783,0.4199209276,0.0,0.0,1.0,0.0,0.0,1.45953261,4.0,0.0450126067,0.0419892073,-0.220857372,-0.876774348,-0.165104507,-1.590099069,383.44870034,0.0426556075,13.476290951,0.0179808985,0.034560545,0.0508966978,0.0424839825,0.1075422085,0.0337836822,4.0,0.0090145137,-0.631903643,0.0355503839,7.0,11.751361488,0.2801811132,0.0,0.0959595963,0.0309859974,0.0328209712,0.7097997172,0.8269306368,2.8157446e-08,6.0978386e-08,1.5380712165,2.3656630669,0.1801599941,0.0425232382,0.3403257428,-0.222354355,-0.2193548387096774,-0.2732732732732732,-0.147887323943662,-0.24375,-0.1655172413793103,-0.1135531135531136,-0.156794425087108,-0.0434782608695651,0.1255813953488371,-0.0902255639097744,-0.12,-0.0833333333333333,0.0950226244343892,0.066079295154185,0.3010752688172042,0.4756097560975609,0.3828571428571428,0.6241610738255035,0.6462585034013606,0.7163120567375887,0.5220125786163523,0.375,0.4319526627218935,0.5031055900621118,0.7285714285714286,0.6026490066225165,0.6689655172413793,0.7163120567375887,0.890625,0.5512820512820513,0.4666666666666665,0.2670157068062826,0.1921182266009853,0.0386266094420599,0.0254237288135592,-0.12,-0.1418439716312056,-0.2142857142857143,0.0254237288135592,0.0386266094420599,0.0168067226890755,0.0852017937219731,0.375,0.5512820512820513,0.8333333333333333,0.5125,0.3152173913043479,0.3010752688172042
45583,0.4737467251,0.0765531869,4.1863396173,0.0225355528,0.2948919287,1.1129764446,0.1798960267,0.0786016005,0.5215979283,0.5024334848,0.0052695931,0.0346646409,10.0,0.0457629138,0.0526315789,0.0581833202,0.0205102898,0.1153884965,-0.233086681,0.152597058,0.130192704,0.6068633841,0.0,4.5629088438,-0.101267982,2.1128621188,12.586003999,7.0803097985,0.3388409879,0.0,0.0,1.0,0.0,0.0,0.854706726,4.0,0.0267938019,0.019229589,0.0571168523,-0.411570182,0.7545880678,1.2627745633,54.441432631,0.1472076794,12.196005264,0.001825476,0.0235978368,0.0377977293,0.0114925762,0.1148305585,0.1628370871,0.0,0.0007931141,0.9296282482,-0.018501423,4.0,10.73472136,0.235524848,0.0,0.132530123,0.0377880052,0.0325803358,1.0829042534,1.4814933399,1.7949012e-07,6.8399988e-08,1.1336416175,1.2851433168,0.0621455745,0.0496578921,0.3531122875,-0.09392896,-0.0552486187845303,-0.145,-0.0855614973262032,-0.1576354679802956,-0.2046511627906977,-0.2565217391304347,-0.3713235294117647,-0.2597402597402597,-0.1699029126213592,-0.4519230769230768,-0.4672897196261683,-0.3781818181818182,-0.3804347826086957,-0.3759124087591241,-0.2565217391304347,-0.123076923076923,-0.109375,0.0426829268292683,0.0301204819277107,0.1176470588235294,0.1399999999999999,0.125,-0.0552486187845303,-0.1363636363636363,-0.05,-0.1047120418848167,0.0363636363636363,0.3464566929133859,0.3255813953488371,0.2214285714285715,0.2573529411764705,0.2573529411764705,0.5688073394495412,0.71,0.943181818181818,0.78125,0.78125,0.6442307692307692,0.5267857142857142,1.011764705882353,0.8791208791208791,1.0853658536585369,1.7580645161290325,1.80327868852459,2.1666666666666665,2.3529411764705883,2.0,1.80327868852459
57920,0.4292893608,0.0241917748,1.9563924559,0.0071405509,0.3236012522,1.230476957,0.0671613618,0.389670287,0.4826895256,0.2967346357,0.0091493444,-0.010890978,9.0,0.0440108139,-0.078431373,-0.022004199,-0.065562433,0.1975228689,0.0650619317,0.071699091,0.9415275221,0.6773444231,0.0,3.5984361447,0.4312745044,2.0608704526,6.3058642974,6.7860801796,0.1105413768,0.0,0.0,1.0,1.0,0.0,1.1149768269,3.0,0.0351035578,-0.249995022,-0.321803314,-1.34082601,0.45578225,-0.232878702,342.85105161,0.5429178336,12.759568674,0.0025395469,0.008807668,0.0156464084,0.0391550727,0.20458704,-0.001656397,0.0,0.0025362437,-0.630926142,-0.017009202,4.0,11.514903507,0.3907123353,0.0,0.05108108,0.0258673971,0.0364630805,0.8936800731,2.0811225013,4.0117317e-08,3.7154898e-08,1.2731523548,1.6209169185,-0.139827115,0.0511453659,0.0394704043,-0.141087425,-0.1391752577319587,-0.1522842639593908,-0.0670391061452514,-0.165,-0.1522842639593908,-0.1117021276595744,-0.1391752577319587,-0.1117021276595744,-0.106951871657754,-0.2339449541284404,-0.1164021164021164,-0.0059523809523809,-0.092391304347826,0.0774193548387096,0.1928571428571428,0.4910714285714286,0.4778761061946903,0.6868686868686869,0.7216494845360826,0.5181818181818181,0.3801652892561984,0.4521739130434783,0.3916666666666666,0.6213592233009708,0.3360000000000001,0.3577235772357723,0.3688524590163935,0.3916666666666666,0.255639097744361,-0.4078014184397163,-0.4715189873417721,-0.4241379310344827,-0.3768656716417911,-0.4506578947368421,-0.34251968503937,-0.2610619469026548,-0.3814814814814815,-0.4560260586319218,-0.2983193277310925,-0.1210526315789474,-0.5116959064327485,-0.4078014184397163,-0.2577777777777778,-0.3266129032258065,-0.2675438596491228,-0.1971153846153845,-0.2983193277310925,-0.2232558139534883
