firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,invest,egr,tang,sin,currat,quick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
50906,0.6147347276,0.1112883532,0.8919122257,0.0,0.1709992516,1.1806425355,0.2709254689,0.1418895069,0.8709609716,0.0100978956,-0.099865234,-0.085900719,-0.568807881,0.1745900456,0.0859007193,10.0,-0.004748012,-0.064587973,0.0778423018,0.1874698168,-0.025644436,0.240203645,0.0979288501,0.2340871353,0.70254773,0.0,4.3853093471,3.3476218438,4.5103949843,9.3004447202,0.9392231032,0.0,0.0,1.0,0.0,0.0,1.1971877389,5.0,0.4012485681,-0.169189757,0.0339075142,2.0938523098,0.4581339398,0.1648331644,-259.8728799,0.0653410158,12.559503834,0.0063370461,0.0318214407,0.0400797825,0.0227784363,0.1156017043,0.113379184,2.0,-0.000132331,-0.082179001,-0.007564483,8.0,12.374939509,0.9042981529,0.0,0.0728476793,0.0288480945,0.0389631254,1.1909841936,9.5552745849,2.9989304e-08,1.9906668e-08,1.1904593299,1.4171934162,0.012538357,0.0471773099,0.0525793638,-0.091481862
10568,1.2914056195,0.1071322051,-1.446138948,0.0393912286,2.9495674507,3.6889736375,0.0445798319,0.1107290099,0.2897086696,0.2501398993,0.1368760064,0.0964036103,3.6260445682,-0.281333945,0.0964036103,7.0,-0.001203425,0.0144927536,-0.019939349,-0.391845047,0.0508091263,0.0671288608,0.0785283026,0.0552947632,0.5739175316,0.0,3.6059504577,2.2525578891,5.3479342418,7.0810539883,0.0821670793,0.0,0.0,1.0,0.0,0.0,0.7496189721,4.0,-0.420823618,-0.41127302,-79.37422059,0.6745123929,1.2135544762,-21.77520773,-43.19389165,0.1274421475,9.63849609,-0.001590022,0.0033775464,0.0110918544,-0.054889006,0.0933833144,-0.128229304,0.0,-0.009220772,-0.343342337,0.0263157897,3.0,6.0770686844,0.0152527277,0.0,0.024390243,0.0097190307,0.0521270853,1.2089861241,0.090375833,1.54859e-05,17.684214582,0.7424153783,0.551180594,-0.084147047,0.0321450666,-0.049570163,-0.025622023
10998,0.4155969191,-0.005188276,28.52173913,0.0,0.3515725289,1.2275353017,0.0350169779,-0.14456969,0.8096856921,0.0055938038,-0.266978923,-0.149212472,-23.92783505,0.1189559264,0.1492124719,6.0,-0.127354548,0.0597014925,0.0013089005,-0.153590011,-0.053793546,0.4413793103,-0.09244349,-0.003846154,0.4036841665,0.0,1.7756780791,1.0584704313,110.86956522,6.1809857258,0.1110682111,0.0,0.0,1.0,0.0,1.0,1.6783333333,4.0,-0.212837886,0.0186263004,-0.104150521,-0.199289942,5.45646466,0.1212752727,-256.5935186,0.0793382698,9.2041839601,0.0055045872,0.0206372446,0.0380952381,0.0304468677,0.0325104546,-0.00730511,1.0,0.0139405602,0.2321718217,0.055555556,3.0,8.2109906693,0.5546290357,0.0,0.1785714328,0.0575090697,0.0564503031,1.5939943031,2.9913517382,8.6758957e-06,4.6420062e-08,1.5783597548,2.4912195156,-0.130515576,0.080891891,0.3703703598,-0.057159683
11181,0.3635671778,0.0665138199,7.149907214,0.0,0.6305763752,0.6433056563,0.1094055285,0.3781357296,0.6084286527,0.0735709727,0.4074336149,-0.18945444,-2.443186654,0.2290194971,0.1894544399,6.0,0.0,0.35,0.1992285408,-0.429008204,0.0296014732,0.2839693195,0.4025741137,0.3301126714,0.5248538201,0.0,0.3189354308,0.3189354308,43.512732146,7.171115739,0.5591902396,0.0,0.0,1.0,0.0,0.0,1.517335653,4.0,-0.86892251,-1.74747286,-20.15965336,-1.226295356,0.0672128823,-5.967748734,-1655.839004,0.0600574642,12.734529423,-0.000712765,0.013352623,0.0360059504,0.0336920182,0.0104181366,0.0308176512,1.0,-0.001724007,-0.28956693,-0.097297793,7.0,12.218248221,1.0294912985,0.0,0.2307692319,0.0637111033,0.0563718968,1.0554228333,7.1166719387,2.3337295e-08,2.0789514e-08,1.432480021,2.0519990104,0.0449702279,0.0630491548,-0.348437408,0.1292340873
39116,1.1200470727,0.0407178582,-18.40696839,0.0,0.4830126508,2.907537511,0.0333643095,0.038927362,0.8043259404,0.0,0.0417258883,0.0575754855,2.2242774566,-0.049849956,0.0575754855,14.0,0.1484274471,0.0,0.1828679766,0.4313234046,0.1817800566,0.15951255,0.1507062449,0.0377251516,0.5586330935,0.0,2.227658123,0.4442062177,88.745689655,18.134762184,0.2604544776,0.0,0.0,0.0,0.0,0.0,1.1260412578,6.0,0.135705441,-0.031422757,0.0886849634,0.351291774,-1.878621758,-0.168709825,-128.3150265,0.0716358435,9.300523796,0.0,-0.039454399,-0.059780638,-0.026252427,0.0234044553,0.0160056174,0.0,-0.168621359,3.5687645688,-0.064153444,1.0,7.4867534379,0.1745631068,0.0,0.125,0.050836023,0.0334365325,0.8960174431,0.4339695383,8.7852462e-06,1.1052633596,1.1577513735,1.3403882427,0.4155435532,0.0656363576,-0.030476198,0.0378031205
50032,0.2847708553,0.0578242473,17.11295795,0.0132841554,0.2812112907,2.4094690962,0.1600820223,0.1347367295,1.1418533245,0.0085592441,0.0727716128,-0.050345783,-0.463527023,0.0846273485,0.0503457831,15.0,0.0472713386,0.1627906977,0.1539568711,0.0326472658,-0.000692433,0.0920718511,0.2662090116,0.2033769889,0.5447593404,0.0,1.2120436536,0.326845349,82.961514435,137.8122978,0.3285505615,0.0,0.0,0.0,0.0,0.0,2.3727360465,6.0,0.0048162371,0.0426484513,-10.59636208,0.4759382145,0.0232801619,27.104119653,1908.0273239,0.0604174244,15.054223717,0.0033956627,0.0273296546,0.0550274263,0.047198083,0.0538085234,-0.006878846,1.0,0.0001904762,0.3609313612,0.0291678328,6.0,13.976450247,0.3374758436,0.0,0.0254452918,0.0153196152,0.0193119113,0.5254896362,1.1456361571,2.3287438e-09,5.9987657e-08,1.0469216877,1.0960450202,0.1649536176,0.0287533653,-0.39921551,0.0391521322
49330,0.3467877814,0.0671286174,6.4474706546,0.0,0.3152057878,1.4891286174,-0.018731347,0.0824854158,0.6770034334,0.0,-0.031869716,0.1692307692,1.6175695742,-0.041456592,0.1692307692,15.0,-0.025362065,-0.157894737,-0.117606374,-1.59530896,0.0454299989,0.0879051094,0.1290034752,0.1931740237,0.5312494866,0.0,2.2191549167,1.1180557143,19.345795564,32.43357378,0.2914820483,0.0,0.0,1.0,0.0,0.0,1.3877641332,5.0,0.1520381521,-0.203751372,-0.652079031,-1.294867236,0.9858238239,-0.054299866,169.12932141,0.1239798601,12.404201933,0.0018698292,-0.007710945,-0.015428154,-0.055758842,0.1153942561,0.4868507845,1.0,0.001778135,6.9871175523,-0.066328081,4.0,11.080920649,0.240755627,0.0,0.0490463227,0.0177153352,0.0142142574,1.0825347947,1.0622415488,1.077315e-07,2.2105264669,0.7627986958,0.5818618503,0.145914978,0.0365434651,-0.202766967,0.009921601
68814,-0.352065821,-0.251235715,4.0328322785,0.0050792851,2.5121472573,0.8317434331,-0.062571757,-0.223965581,0.0940987703,0.0568877551,-0.097088111,0.0281741939,0.2944026734,-0.325200181,0.0281741939,10.0,-0.003677676,0.0660066007,-0.322968633,-0.216717299,-0.029673743,0.1747417431,-0.057365178,-3.343411295,0.223127111,0.0,1.2929235974,1.1042195282,4.4787522604,4.7300071616,-0.075861249,1.0,0.0,1.0,0.0,1.0,2.3325892857,1.0,-0.292825866,-0.183667104,-1.013333878,0.1693845311,0.0920276806,-0.457230023,-503.284018,0.0438873076,8.9790543858,-0.001524807,-0.022542221,0.2281059063,-0.097662272,0.0975363451,0.2883411252,1.0,-0.023861813,-0.323767179,-0.129140787,3.0,7.9482969732,0.2496551724,0.0,0.1000000015,0.0756351334,0.0429334205,1.1755861758,1.3728604889,2.4457e-05,1.1052633051,1.638163917,2.683581019,0.0410216467,0.0892164666,0.2581699236,-0.127085043
47730,0.5910229289,0.067771291,-15.40314761,0.0336279237,1.0509322729,5.5521582412,0.0824142902,0.1304033541,0.6240816434,-0.003644884,0.3603845156,0.0040531537,0.0925352113,0.0615000603,0.0040531537,14.0,-0.002658918,0.03125,0.1007206089,-0.007882044,0.0406514076,0.4429441196,-0.039474549,-0.130865653,0.4886206967,0.0,1.6856057165,1.5313379962,168.35513748,6.2873402944,0.1512618239,0.0,0.0,0.0,0.0,0.0,1.3160399208,5.0,0.0054920287,-0.31746903,-4.367358768,6.3592732496,3.3371545485,-0.864814336,-304.5054487,0.1508177501,11.87857068,0.0026686811,0.0135770206,0.0382598202,0.1170094835,0.0129831128,0.0047615582,2.0,0.0005304965,-0.533980583,0.0070052755,3.0,9.8412663444,0.2164600725,0.0,0.0625,0.0196168854,0.0125595951,1.1539741044,2.0428157415,8.3457823e-08,5.6432519e-08,1.0176429785,1.0355972317,0.0654225797,0.0356378681,-0.237329791,0.0295868399
13232,0.9552048626,-0.043632857,-2.0788,0.0,2.2157364121,2.1107351637,0.0873356204,0.5367424938,0.5102558539,0.0,1.0576289616,-0.101332947,-6.078137332,0.2215736412,0.1013329474,5.0,-0.278193146,0.2145748988,0.4069185566,-0.303924817,0.0673316122,0.0837138508,0.6282857954,-0.031799777,0.555471236,0.0,1.2752363268,1.0465057394,7.5435076923,39.238796415,0.1058059388,0.0,0.0,1.0,0.0,0.0,0.9042516057,3.0,0.027502106,-0.290697601,0.3974577207,13.056666861,-0.009812764,0.0942063157,-245.1396814,0.5616610279,10.202244014,0.0256477201,0.0306591223,0.1017774092,0.4883616354,0.0853416788,-1.359753168,1.0,0.1436750437,-0.705652574,0.0229432639,3.0,8.7403367427,0.2752968119,0.0,0.051282052,0.0257812588,0.0250549063,1.0075477569,0.4582727284,3.1803386e-06,3.3157897234,2.0188707033,4.0758389167,0.0971665368,0.0674094138,-0.370748309,-0.153236647
