firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
54594,0.6597575168,0.0313493155,2.1728612957,6.77091e-05,0.3827595692,1.118148156,0.0524501521,-0.259403559,0.137950938,0.0079209049,-0.519466168,-0.032553127,-1.272138229,0.0712299782,0.0325531268,47,-0.056208031,-0.12962963,-0.209591729,0.0049328275,0.0955011839,-0.044769623,-0.06974507,0.0795479725,0.4919331688,0,2.7820665083,-0.259185599,1.0273159145,-0.472433342,27.431893688,0.0948498593,0.0,0.0,0,0,0.0,0.3122091735,7.0,-0.022097501,-0.146263332,-0.109943885,1.6968730384,-0.58626263,-0.589647541,0.0837103881,-2207.141621,0.0624291911,14.202568954,0.0016174444,0.013544312,0.0210483708,0.0279691898,0.030334728,1.0,-0.000918555,1.4150077859,0.0638542632,3.0,14.699504362,2.0894489114,0,0.0503611229,0.0319074081,0.0393583205,0.4358587414,4.9463150621,1.4922735e-09,9.1200084e-09,2.1925452345,4.8072546054,0.0111063262,0.0535102756,0.064770167,0.094356988,-0.0766186033361606,0.0070921985815601,-0.0351550960118169,-0.08668903803132,-0.1571612903225807,-0.2177245508982036,-0.1883697813121273,-0.2158463385354142,-0.178984414278532,-0.0265275707898658,-0.0982882385422418,0.1512160733168839,0.6783144912641312,0.7372340425531911,0.618434093161546,0.8966318234610917,0.5800677310111269,0.6192364898363905,0.6680286006128702,0.8389639639639637,-0.0547033285094066,-0.2329732268670737,-0.2758314855875832,-0.2691877377489371,-0.2177245508982036,-0.2074739140985199,-0.23975791433892,-0.2197802197802199,-0.1122587659690134,0.0854104353605849,-0.0328694107195737,0.0046139649338665,-0.1059403230221737,-0.1332271762208069,-0.1253347616497055,-0.2524605172808423,-0.3135771332492644,-0.3180204635623304,-0.3001928433683309,-0.3111157983547775,-0.297483329748333,-0.2691877377489371,-0.2457274826789838,-0.2595783269099978,-0.2329732268670737,-0.1929824561403509,-0.1687452277933316,-0.2145262145262145
14526,0.5123668041,0.0160506834,3.282317757,0.0203815396,0.5431548764,1.2797851646,0.0744775578,-0.100879458,0.287753401,-0.027568733,-0.146777347,-0.117930684,-8.190399067,0.1475121857,0.1179306839,47,-0.032204805,-0.152777778,-0.112916676,0.0278941868,0.1228635319,0.2840362215,-0.021427983,-0.046505463,0.407320748,0,1.611908877,0.1685168127,0.9339698095,0.2935401032,25.561246106,0.1045967316,0.0,0.0,0,0,0.0,0.6178397687,6.0,-0.136378138,-0.063158954,-0.459303987,-0.110652884,-13.92697595,1.6165440814,0.0508887502,-2117.192475,0.0553124103,13.675095605,-0.007715597,0.0113246618,0.0232037452,0.0198037174,0.0807420086,1.0,0.0024213075,0.9739361888,0.1222796598,4.0,14.171467127,2.0697898332,0,0.0551888086,0.0367763364,0.0432742405,0.5911915931,12.198864121,2.7848877e-09,7.5431175e-09,1.8557964146,3.4439803325,0.0322851567,0.048323386,-0.370922452,-0.098849863,-0.015025041736227,0.09375,-0.0390879478827361,0.0410889841189814,0.0139945985759881,0.0865561694290975,0.175633361799032,0.0102739726027396,0.1042780748663101,0.1766381766381766,0.3036616161616161,0.5739329268292683,0.7287568020092088,0.9326158165652784,0.9732441471571904,0.9129226493747103,0.7925347222222221,1.0,1.020547945205479,0.9836695485110468,0.3680026498840674,0.2979258328095535,0.2707692307692306,0.0800209205020918,0.1001598295151837,0.0592459605026929,0.1183319794205253,0.0182445759368834,-0.0492633517495396,0.139310344827586,0.0248138957816377,0.1016271005601492,0.1571868870832165,0.2122101555620779,0.3835845896147403,0.1330589849108365,0.1440443213296398,-0.0004840271055179,-0.1609101991060545,-0.1863672182821119,-0.1426198878970314,-0.0538373424971363,0.0046217465336899,-0.047289504036909,-0.0426518312471025,-0.0925071412876291,-0.0968729499234638,-0.174495302818309
11581,0.2720445744,0.0265393244,6.4873070565,0.0015899043,0.2693062959,0.3489077694,0.0816537848,-0.004909656,0.3112857791,0.0071410653,-0.122603576,-0.016990759,-0.347433602,0.0357599774,0.0169907591,35,0.0075109103,-0.086956522,0.071697899,0.0418139959,0.2157238543,0.1466888931,0.003768073,0.1474614866,0.3841381121,0,2.6523032857,-0.179565836,2.0931999644,-0.187829701,3.7666723666,0.1416144686,0.0,0.0,1,0,1.0,0.6976805688,7.0,0.0605915954,0.105062545,-0.31129061,-0.078644215,-1.654993065,-1.022283435,0.1291272727,-9584.453988,0.0363924557,13.956732345,-0.000568822,0.0038829767,0.0077268691,0.0090140895,0.1557390568,0.0,-0.002368546,1.5065551377,-0.113074627,4.0,14.095078382,1.167257175,0,0.051995784,0.0297662436,0.0344618449,0.4834056183,3.1603618938,3.5065732e-09,1.7069929e-08,0.9689533955,0.9388706827,0.005390895,0.0410439084,0.1745665972,-0.13380379,0.0105313547151746,0.0183309213699951,-0.1609697933227345,-0.1776392676275808,-0.2069872276483847,-0.2295620437956204,-0.2063909774436091,-0.1918070444104135,-0.1453441295546559,0.0414405525407004,-0.0663423264042458,-0.0571683787405091,0.1839596186203029,0.1222753854332803,0.0149038461538459,0.1169312169312168,0.199431818181818,0.1793296089385476,0.2373974208675264,0.2755287009063443,-0.0121665886757137,-0.0865426222414539,-0.1890126776796005,-0.140472312703583,-0.147759386354461,-0.0378304466727439,-0.0495272399819901,-0.0781659388646287,-0.1491334139459894,-0.0465221318879855,-0.1747458952306488,-0.1337710299548625,-0.1366053169734151,-0.0777632153778943,0.0057170080990949,-0.175390625,-0.1148846960167715,-0.2433691756272401,-0.2831918505942274,-0.2605954465849387,-0.2807495741056218,-0.09593147751606,-0.1036093418259024,-0.0920430107526881,-0.070044052863436,-0.1470707070707071,-0.1656126482213439,-0.2003787878787878
15203,0.6443839518,0.0132561118,-83.34516603,0.0,0.6534703007,1.553703434,0.022349048,0.1090783386,0.3833962666,0.0234498309,0.1803057554,0.0604685175,5.6291079812,-0.061363973,0.0604685175,47,0.0791285271,0.094488189,0.1140613147,1.1261499967,0.1022007336,-0.279347395,0.1208849652,0.0451196124,0.4915442601,0,1.5837127618,-0.052170743,0.3625601665,-0.099805305,498.06309751,0.0851722005,0.0,0.0,1,0,0.0,0.6960734834,5.0,0.0981708848,0.0527103321,-0.129845899,0.2936951622,-1.757511296,-0.502729225,0.0320033223,-11083.57145,0.0363924557,9.5317720366,0.0296229325,0.0191954834,0.0412746586,0.1114011275,0.0001438573,1.0,0.0527755062,7.9174969228,0.2400578111,2.0,10.581563447,3.375862069,0,0.1347656399,0.0484897259,0.0864056326,0.8122762041,5.8311630845,4.2401505e-07,1.190639e-08,0.6299339454,0.3968167756,0.2442326021,0.0841666912,-0.201571903,-0.13380379,-0.045822102425876,-0.0193905817174514,0.0504451038575668,-0.040650406504065,0.0411764705882353,0.0776255707762556,0.1328,0.1419354838709676,0.1238095238095238,0.0755955274671853,0.2291666666666667,0.4216867469879517,0.512820512820513,0.5390635189774358,0.5031847133757963,0.6238532110091741,0.5063829787234042,0.8247422680412373,0.8153846153846154,0.6777251184834125,0.7101449275362319,1.0,1.0,0.923808488669094,0.945054945054945,0.6542056074766354,0.7481481481481482,0.6619718309859155,0.7524752475247525,0.7669079111554782,0.6465116279069769,0.7184466019417475,0.6465116279069769,0.8631578947368421,0.77,0.4811715481171548,0.6580796252927403,0.4159999999999999,0.2872727272727273,0.2872727272727273,0.3615384615384616,0.2872259190574888,0.3615384615384616,0.4750000000000001,0.3615384615384616,0.1999999999999999,0.1864463585481115,0.3109169011998223
16126,0.4858962307,0.0308816627,33.522526117,0.0137530745,0.2908944419,0.6539897964,0.0841295633,-0.072068137,0.2099669315,-0.039773596,-0.150899389,-0.05064163,-1.323294795,0.0717472061,0.0506416304,46,-0.006693803,0.0939442781,-0.209923179,0.0244140791,0.1830167002,-0.065438569,-0.011932045,-0.017456799,0.330340912,0,2.6657180501,1.1097442455,1.8496267018,1.0376384266,56.542225517,0.2072740474,0.0,0.0,1,0,0.0,0.34021527,5.0,-0.102500677,-0.119913041,-0.212581931,-0.137123458,-13.37767564,0.0642798783,-0.024876229,-1796.128355,0.0553124103,13.825065813,2.67361e-05,0.0123275328,0.0197579673,-0.071656586,0.01961784,0.0,0.0005781461,-0.101068826,-0.072369024,5.0,13.832711767,1.0619360738,0,0.0255402029,0.0198080055,0.0279598313,0.4013224479,2.211313492,3.4945119e-09,1.9870497e-08,1.1807732631,1.3942254987,0.0237676943,0.0364811137,-0.330953346,-0.098849863,-0.0233389798607189,-0.0246240601503759,-0.0309990662931838,-0.0207586337044726,0.0021243723445345,-0.0299121331089923,-0.0142477203647416,0.0305858987090368,0.0156586416128399,0.0903551166211389,0.0938026981450252,0.1637138371832249,0.5448050014885382,0.5208089097303636,0.4940973221998275,0.6431285623812542,0.5119463869463869,0.638976626658244,0.6530742274609749,0.8453058321479374,0.4066142586066685,0.257634512845371,0.1292709466811752,0.3630154977672708,0.3377159061613819,0.191230486685032,0.257329779500848,0.1139974237870331,0.127553237722729,0.2331273764258556,0.0926510844388293,0.2677742487173222,0.127553237722729,0.1595530726256984,0.2856788899900893,0.0869291998324255,0.1700112739571588,0.0275247524752475,-0.0346046511627906,-0.042619926199262,0.1942462600690448,0.1997687861271677,0.1647586980920314,0.1874141876430204,0.2702570379436964,0.1404395604395605,0.0154598825831702,0.0787941787941788
17137,1.0938283913,0.1212721028,-3.095569506,0.0516828067,1.7404247333,3.270313783,0.0742374266,0.0474749658,0.5580115713,-0.018203761,0.0589279361,0.0084420335,0.1928278461,0.0978874644,0.0084420335,47,0.0560974219,0.0714630613,0.2608982981,-0.257418258,0.0701009538,0.0808205523,0.0872465215,0.0297538442,0.5529796115,0,1.3432077426,-0.01046289,0.7620381615,-0.147353115,9.3404365605,0.1296581368,0.0,0.0,1,0,0.0,1.4193823957,5.0,0.0134528306,0.041227306,0.0066024546,0.5031868996,0.3226791718,-0.467463768,0.1592222907,-2105.54596,0.1515446569,12.029070801,-0.005256503,0.011309199,0.0295082378,-0.027014332,0.1235331784,1.0,0.0032808399,7.9174969228,0.2681977917,2.0,12.343016053,2.2714754335,0,0.1123388484,0.0362810062,0.0513253642,0.7052291032,26.324396585,1.3996557e-08,5.9371494e-09,1.5819723097,2.5026363888,0.0365619583,0.0728716907,0.4984257798,-0.312544723,-0.0976909413854352,-0.1584759801214798,-0.2908329455560725,-0.33099209833187,-0.3741273100616017,-0.4968636513700891,-0.5556851311953352,-0.3720642768850433,-0.2787505915759583,-0.2136222910216717,-0.241035856573705,-0.0292993630573248,0.0325203252032519,0.1140350877192983,0.2095238095238096,0.7377423033067276,1.073469387755102,1.38125,1.2280701754385968,1.7963302752293575,0.5440729483282676,0.2461161079313163,-0.0863309352517985,0.0013140604467805,-0.000655737704918,-0.0039215686274509,0.2512315270935961,0.1924882629107982,-0.000655737704918,0.0374404356705242,-0.141891891891892,-0.0712979890310786,-0.2283544303797468,-0.2008390141583639,-0.2395209580838323,-0.275320970042796,-0.2283544303797468,-0.2828235294117647,-0.3473233404710921,-0.3903999999999999,-0.4468239564428312,-0.4488245931283905,-0.4753872633390705,-0.4978583196046129,-0.5267080745341615,-0.5511045655375553,-0.5946808510638297,-0.6031249999999999
20670,0.2416342664,-0.053765117,1.6794674713,0.0,0.8607704551,0.7841951241,-0.004481383,-0.125049162,0.2844384385,0.0264261989,-0.053553366,-0.107016921,-2.351089474,0.072641484,0.1070169211,38,-0.028216134,-0.089814815,-0.157112538,0.0224672989,0.3974780504,-0.049343147,-0.053395992,-0.310573598,0.4206024043,0,1.9981164623,0.0204114807,1.7774721432,0.0737509379,3.2611916638,0.0024260486,0.0,0.0,0,1,1.0,0.9102371682,5.0,0.3157276581,0.0621391984,-0.127396492,-0.161828031,-0.539125089,0.2331027149,0.0549275058,-15973.39646,0.0642905452,11.923541901,-0.000258022,-0.025148561,-0.116728674,-0.029536738,0.2264877912,0.0,-0.018518519,4.1604687884,-0.242497914,3.0,13.049143215,2.551179578,0,0.0890301988,0.0832892354,0.0757906747,0.7977631182,38.702266758,1.8862774e-08,4.6639827e-09,1.5678982134,2.4583048075,0.0078875395,0.0623044967,0.0356201605,-0.206298515,-0.0457380457380457,-0.0773869346733667,-0.1904761904761904,-0.2431986809563067,-0.2783018867924529,-0.338139870223504,-0.3323636363636364,-0.1539170506912442,-0.1781557743957028,-0.0829170829170828,-0.0745967741935483,0.006578947368421,0.2966101694915253,0.2767732962447844,0.1236230110159117,0.1649746192893399,0.146067415730337,0.192207792207792,0.3660714285714286,1.04,-0.0457380457380457,-0.0457380457380457,-0.0417536534446764,-0.124880838894185,-0.1818181818181818,-0.203125,-0.0437499999999999,-0.1774193548387097,-0.2140410958904109,-0.0964566929133858,-0.3716632443531827,-0.2702702702702703,-0.339568345323741,-0.36294240111034,-0.2943889315910838,-0.4813559322033898,-0.5396188565697091,-0.6168614357262103,-0.6093617021276596,-0.5966608084358525,-0.6081946222791293,-0.5673892554194157,-0.5351898734177215,-0.5987762237762237,-0.6076923076923078,-0.625,-0.5716285580961269,-0.5982494529540482
64899,0.3283628401,0.0482442664,54.697454885,0.0138961838,0.3181441346,0.2080177831,0.1055483773,-0.007993207,0.1783429467,0.0118768574,-0.112681747,-0.029708973,-0.404654655,0.0677665334,0.0297089733,46,-0.003031528,0.0333333333,0.0325283155,0.0267977715,0.0474640845,-0.149799222,0.0248360368,0.1209301175,0.1961033359,1,2.3989441336,0.5917680457,1.3816090143,0.5133872159,18.703647416,0.1639274066,0.0,0.0,1,0,0.0,0.3672744358,8.0,0.1271470597,0.0964776996,-11.04676863,0.1756294702,-1.421529951,-1.545477392,0.0263629473,25057.345625,0.0426379215,15.734248184,-0.002797623,0.0185791013,0.0420631304,-0.00278078,0.0141534749,2.0,0.0011982426,1.8579081291,-0.028324028,6.0,9.568741869,0.0026286305,0,0.0712849349,0.0324852775,0.0733402502,0.7918182969,0.0199869107,3.3235535e-07,7.6609952e-07,1.059680702,1.1229231901,0.0538257812,0.0352991392,0.0979719094,-0.038553197,0.0394867165952019,0.0634487131139813,0.0367171085887596,-0.0048521835024261,-0.0408162840136053,-0.0507447193469662,-0.0521007983193277,-0.0171646779282337,0.0150599159785991,0.0635489817084669,0.0285871061870239,0.1049616006269285,0.3270588823529412,0.1968170291777189,0.2369099731344921,0.2448270705733046,0.3372851807943096,0.2741444143228284,0.4399694261824218,0.5171538920543708,0.3435769757608242,0.1844385467527693,0.1950355070141853,0.2064210366450372,0.1718872875116768,0.0873337671100829,0.1040423314084368,0.131110604161444,0.1272729589414827,0.2717984898521084,0.0818069474348781,0.312878940287929,0.317171649586349,0.3230764223217528,0.3699297042706888,0.1231178566770248,0.1336683919597989,0.0222021295876755,0.0795291893961145,0.0718358513873052,0.0186481690522417,0.0118284353468793,-0.029677376344086,-0.0176191906340792,0.0299489604615121,0.0308204800625802,-0.0083516043956044,0.0346726304656315
23660,0.1002412197,0.0301977786,61.434466291,0.0144187538,0.1236479991,0.1934328082,0.1788702398,0.0739174055,0.4610482426,0.006246676,0.0257725299,-0.031404612,-0.224823757,0.0369869567,0.0314046124,38,0.0141565433,0.0,0.004406418,0.0211243517,0.1639817885,0.0864915233,0.0235930526,0.1399124382,0.3225142846,0,1.4701055021,-0.436580247,0.8021405471,-0.371853253,14.416052184,0.3016151882,0.0,0.0,0,0,0.0,1.0626776937,6.0,0.3286218387,0.1503730427,0.1710690899,-0.101758822,-0.200213884,-0.025746684,0.0115491202,30888.420397,0.2743317733,17.447733771,0.0024881862,0.0375004295,0.0890453079,0.0037754047,0.0141155311,0.0,0.0003079182,0.7423063556,0.0120920334,6.0,17.621228467,1.0164314609,0,0.0345128477,0.0210288307,0.0246963878,0.3521005466,1.9873934561,8.572572e-11,1.9260285e-08,0.975644565,0.9518823171,0.0175582892,0.0341193565,-0.318524377,-0.115891899,-0.0251905096931307,0.1090999842379025,0.0667559710628893,0.0710589342701033,0.1052094240837695,0.1941788427284367,0.2232427066337512,0.236969324074888,0.3016895850033916,0.3271407016220293,0.1944491935282406,0.1882634727909786,0.342203190023945,0.2684854510857029,0.266924776945288,0.3985821711332693,0.5850353500914309,0.7026535851486697,0.903214173015372,1.4373051610668512,0.5827772955978594,0.5133885364017634,0.5690129912670205,0.6423792110791255,0.5714072441505473,0.5747481695356893,0.6004170432303657,0.6210643526340041,0.7792153811460822,0.903214173015372,0.9443216358109976,1.0889119786255006,1.0435139378744465,1.251560036881235,1.5131851590460643,1.2531219980787704,1.321383405729367,1.1343208129012687,0.978675540141538,1.064700704225352,1.2812448110852754,1.316543209876543,1.479095713446858,1.47502638058389,1.4738661666471349,1.506322350845949,1.709298594622345,1.681592987804878
82542,0.3182892153,0.0415235405,5.7342772693,0.0069856054,0.055310798,0.2711564842,0.2222456362,0.1652942364,0.3906236485,0.0009534908,0.3587129297,-0.043401435,-0.362800534,0.0565883032,0.0434014346,46,0.0057497513,0.0678513732,0.1231955644,0.0534793821,0.5004318175,0.1039928397,-0.000790012,0.1371634653,0.4777143748,0,6.4687443047,-0.15810286,5.2167851285,-0.129934289,2.4561538655,1.1884512819,0.0,0.0,1,0,0.0,0.4464549922,6.0,-10.43244002,-0.037778264,-0.250723057,-0.036831021,-1.332329845,0.3758500904,0.1991648563,-4743.736602,0.02204135,13.51004851,0.0006919209,0.0240672607,0.0282495557,0.0083996186,0.3041000661,0.0,-0.001190143,-0.250581224,-0.015726084,6.0,12.747938238,0.4839652198,0,0.0384616032,0.0161450884,0.0239885176,0.4135363983,1.3025663782,7.1221555e-09,3.4307494e-08,1.0076748324,1.0154085679,0.0835869854,0.0353868356,-0.198578528,-0.351147931,0.0269791666666667,-0.0348507097405775,-0.1389519650655021,-0.1539517720758603,-0.0391774680830327,-0.0699056603773584,-0.167595406957109,-0.1529341008677721,-0.0844167904903417,-0.01646049481245,-0.0239580239580239,-0.069466729589429,0.0360445565363598,0.0334381551362683,0.0104540330019473,-0.0195902943516308,-0.0381463414634145,-0.0106372303060712,0.0459367706344153,0.1980799611131365,0.1103727897285729,0.0719799934761336,-0.1678764348413234,-0.1620059498512537,-0.1584293640631668,-0.0987293171222232,-0.0162642187188185,-0.0481753234215098,-0.0840765514678557,-0.0304848067656602,0.0525248211807409,0.0653771342122324,0.0211289487312273,-0.0221186272564966,-0.0145927036481758,-0.1249667169610366,-0.0857752225519288,-0.1794423637120266,-0.2045986284792255,-0.2017004048582995,-0.1591471215351811,-0.1711643547709121,-0.1197321428571428,-0.1533705452984113,-0.0520192307692307,-0.1224744103248774,-0.1818257261410788,-0.2193982581155977
