firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
21020,0.2130213973,0.2673666021,-0.522702302,0.0105093076,1.6172236695,1.5495558254,0.177157189,0.1060976446,0.3558063558,-0.104452489,0.0246706587,0.0295272601,0.1788436268,0.2362326019,0.0295272601,41.0,-0.003059033,0.0458958517,-0.038921454,0.1564483939,0.224247582,0.0584151218,-0.1081649,0.1181147335,1.7882236517,0.4783184137,0.0,0.7339213524,-0.18591204,0.6704887909,-0.189051413,5.8986904591,28.764912281,0.2180764226,0.0,0.0,1.0,0.0,0.0,7.2449282533,4.0,0.1216875788,-0.008439529,0.0011873865,9.9445794107,-0.01539403,1.1129692808,20461.355118,0.0730462427,16.750000818,-0.068675607,0.0673509186,0.8721424774,-0.02003573,0.1435298978,0.0243636275,1.0,0.0021251476,0.696553267,-0.006763716,3.0,18.167932049,4.5735614462,0.0,0.1123234928,0.0327169223,0.031838571,0.3398376937,8.6414810541,5.115123e-11,4.7044505e-09,1.2842917411,1.6494052762,0.0137111672,0.050601531,-0.0616055,-0.071069723
11499,0.9180881403,-0.021505604,-4.567984208,0.0306230283,1.358200599,1.4105019827,0.0555292553,0.4451486009,0.2714997647,0.2912780295,0.5175280195,-0.036003332,-3.255801499,0.0485123742,0.0360033321,36.0,0.0550679837,0.3763188746,0.3958900831,-0.278562772,-0.103380892,0.3672661791,-0.381990236,0.1359212289,0.3196541297,0.2920552838,0.0,1.5418193598,-0.18738149,1.0310380434,-0.183759744,9.2987624326,3.7577164597,0.0372031847,0.0,0.0,1.0,0.0,0.0,0.5878691564,2.0,-5.631900625,0.0295167251,0.3739180011,0.4466382164,-0.365665131,0.0371439745,-3779.876654,0.0400118084,12.657621083,-0.000547826,-0.004760211,-0.012586664,0.0965103337,0.0659848802,-0.120442745,1.0,-0.002604167,0.7217288022,-0.085215683,3.0,12.564782122,0.8610060865,0.0,0.0313225575,0.0160984869,0.0286266571,0.2824174613,0.760882879,1.6588057e-08,4.0073702e-08,1.7720373519,3.1401163766,0.0399172309,0.0515632686,0.32639286,-0.056035887
81912,0.888291527,0.0941101208,-0.069879408,0.0280204176,0.1362676184,0.5638282496,0.1274650899,0.0310387306,0.1554653524,-0.000184281,-0.030391073,0.0116771191,0.1252130641,0.0823263042,0.0116771191,35.0,-0.00603055,-0.04587156,-0.061954632,0.0213039431,0.1888073534,0.2112368771,-0.008269178,-0.076924915,0.0411576976,0.5802973849,0.0,6.5508563361,-0.40024166,4.538487246,-0.396706307,1.6042897146,5.2758249641,0.8070534579,0.0,0.0,0.0,0.0,1.0,0.180596625,4.0,3.1810640507,-0.039064078,-0.21311209,1.7034459853,-0.741719967,0.173975111,-2719.100907,0.0446872923,14.642774557,-0.008210977,0.0022714544,0.0024811547,-0.017028074,0.3889386479,0.022105623,0.0,0.0,0.4233620221,0.0145750311,4.0,13.166336084,0.1998112903,0.0,0.0225393865,0.0094960558,0.0157403152,0.300788434,0.2604456081,3.6168856e-09,1.2012259e-07,1.1762630958,1.3835948705,0.0456006555,0.022242947,0.3440169286,-0.053148005
27991,0.640570591,0.0611036314,-111.6763726,0.037803153,1.4405834027,0.4884639029,0.0552290647,0.0499335873,0.0942481562,0.0036989807,0.0525166855,-0.044787315,-1.502708933,0.1529246043,0.0447873153,41.0,0.0016321431,0.006440465,0.0010914667,0.0703588114,0.0969257887,0.0418684346,0.1229905115,0.0587867481,0.0495533708,0.4507093628,0.0,0.6174204422,-0.01108265,0.4233362014,-0.080015897,88.519119733,9.5034964084,0.0926894786,0.0,0.0,0.0,0.0,0.0,0.264238546,5.0,0.143614738,0.0574893304,-2.823635891,-211.6575512,-0.182617614,-50.61508721,737.07237144,0.0244389518,15.986346909,0.001246373,0.0027641647,0.0088354284,0.0011151496,0.0026275833,0.1247041743,0.0,0.002016129,0.4751854334,0.0401848685,5.0,16.418876678,1.4593958474,0.0,0.0182535239,0.0096888895,0.0147804457,0.3329769845,2.5217681777,1.240517e-10,1.5864311e-08,0.2404193381,0.0578014581,-0.110034219,0.0216465693,0.1138079445,0.2024661716
10517,0.840729763,0.0834868232,-15.60721588,0.0041968264,0.7949836175,1.9561541765,0.0920861866,0.0822319203,1.142497855,0.0015450833,0.0477847247,-0.012139838,-0.228813122,0.1025897039,0.012139838,34.0,0.0024239017,0.0241935484,0.1667806016,-0.467966545,0.0172616047,0.9609573249,0.2205024576,0.0414544025,0.1169550829,0.3904345296,0.0,1.4559573699,0.4607270512,1.3910214356,0.4674430152,85.550904003,8.4029830236,1.131269649,0.0,0.0,1.0,0.0,0.0,2.2750733334,8.0,29.857621322,0.0080610871,-0.079778838,-0.105994145,-0.579239694,-2.400454149,-1475.402889,0.138519725,14.370752541,0.0002096185,0.0093018118,0.0161728559,0.0445994313,0.0139788444,0.1395674346,0.0,0.0013398839,0.8437670334,-0.018174502,5.0,15.408417822,2.3672103665,0.0,0.0911161676,0.0263559453,0.0296765683,0.5456061768,8.7138917484,8.155971e-10,9.0452216e-09,0.9791331757,0.9587017757,-0.143676639,0.0449041924,0.4292604534,-0.316137084
20482,0.3207111976,0.0394028278,5.0222669633,0.0221357406,0.3012063443,0.3085244443,0.0897534779,-0.000678377,0.3072804361,-0.023454363,0.0145141577,-0.008724946,-0.138142748,0.0448460427,0.0087249461,41.0,-0.001066382,-0.038961039,0.0078036252,0.0546524819,0.0414187441,0.2568935428,-0.015075468,-0.007098728,-0.014633467,0.3165338813,0.0,1.5409318528,0.0634358347,1.2580013063,0.050029304,3.3314285714,5.9698654184,0.2061834821,0.0,0.0,0.0,0.0,1.0,0.5809253925,6.0,-0.739361224,0.0310538742,-0.147487975,0.6214293186,-0.785604066,0.9788647134,63025.469174,0.0352290716,18.001287366,-0.000847971,0.0166566806,0.0329212259,-0.002540167,0.1484956482,-0.003183438,1.0,0.0002226676,1.6571740966,-0.054135024,4.0,18.297725952,1.5785740768,0.0,0.0352434888,0.0098663919,0.0147895592,0.3017342112,2.2669502367,1.825476e-11,1.4660589e-08,0.8575978873,0.7354741363,0.0295065613,0.0232096031,0.4412635438,-0.066343655
10656,0.3541082673,0.0466408106,8.7636662571,0.0098106869,0.3281321649,0.7618862712,0.1157121445,0.0465614209,0.3147180245,0.0130335048,0.0049616041,0.0524976038,0.7508287788,0.0116215477,0.0524976038,41.0,-0.010622725,0.0,0.0720766633,-0.272893723,0.1273451373,1.1332249426,0.6207133293,-0.012355123,0.0883065621,0.4459104648,0.0,2.48248,0.0646886857,1.717712,0.158918543,14.610294903,3.1775091209,0.1929173148,0.0,0.0,1.0,0.0,0.0,0.6136079526,7.0,-94.83255299,0.2477055562,-0.028469549,0.763145576,-5.900494515,-0.154076999,-1694.349196,0.1242964792,13.542240693,0.0019716549,0.0168553295,0.031186952,0.0099199035,0.1082106203,0.0019422349,0.0,0.0014825797,0.2215511844,-0.083669581,4.0,13.677526439,1.2399069109,0.0,0.0303030424,0.0127205952,0.0245534113,0.4530523718,2.4870423819,3.5179241e-09,2.2011696e-08,1.4939522227,2.2318932436,-0.010969903,0.0538824057,0.151570743,0.0470209551
60038,0.7412900479,0.0822930828,1.1323990107,0.0212341559,0.6563705901,1.8850162732,0.1001329198,0.0266429616,0.5297447925,0.0173199635,-0.041198596,0.0462144355,0.774718398,0.0185391175,0.0462144355,41.0,0.0228583516,0.1287128713,0.0241554905,0.0196373409,0.0239423017,0.2772598298,0.1304046353,0.0289630302,0.0952622502,0.4887852765,0.0,4.9961461126,0.3346280316,2.0212801609,0.3025556674,45.264633141,5.6126756964,0.1752755482,0.0,0.0,0.0,0.0,0.0,1.0511058131,4.0,0.0529909963,-0.01481884,0.1425701375,12.735950365,-0.392890245,6.4180219572,-1869.127007,0.0502102314,11.183187296,-0.002471377,0.005093261,0.0100899169,-0.026589901,0.0297957529,-0.002824382,0.0,-0.003448276,-0.508222708,0.0135021782,2.0,9.3542068807,0.2391413381,0.0,0.0557622164,0.0293121911,0.0319793236,0.9198705721,1.854018975,3.1454187e-07,1.0500000554,0.3944059923,0.1555560867,0.4666458205,0.0296192759,0.8143070287,0.0094014391
10779,0.643621255,0.0192420944,3.1379610195,0.0,0.0855635494,0.5493885968,0.0423806786,0.0665927648,0.3567836479,0.0048298573,0.2334132694,0.1040622751,3.8203650336,-0.05426973,0.1040622751,38.0,0.1091123177,0.0594059406,-0.040328049,-0.302422354,-0.041497724,0.4967391304,-0.462599523,0.1389444655,0.0477537388,0.4437852417,0.0,6.6042692939,-0.278329962,2.7848932677,-0.514053759,6.3658170915,7.2105773896,0.4664757814,0.0,0.0,0.0,0.0,0.0,0.3970751963,1.0,45.073404142,-0.073118669,-0.06055299,8.9373108996,-0.448389437,0.2216577057,-5154.950476,0.0587429544,11.170284033,-0.001324826,0.0052914015,0.0060795503,0.028280888,0.1183553449,-0.012354669,0.0,0.007227338,-0.504694291,-0.010671775,5.0,9.0100243103,0.1369524087,0.0,0.114805378,0.0424067959,0.0360455127,0.978249925,0.5090387925,7.8278694e-07,1.0500002436,1.4177737355,2.0100823651,-0.136348007,0.0649561732,0.1818050409,-0.053148005
61487,0.9415871464,-0.00787177,-0.884267009,0.0229176545,0.5600069642,11.874661842,-0.017748351,-0.286370278,0.0918301478,0.0,-0.505201372,-0.091611889,-20.98196078,0.1572933954,0.0916118891,41.0,-0.019896272,-0.070114943,-0.529552176,-0.041229984,0.308452651,0.3971698903,0.3694172562,-0.030881947,-0.031664095,0.7450879345,0.0,2.2012918189,0.4789870471,2.1056398618,0.4950358691,21.161759744,26.132782258,0.1637970674,0.0,0.0,0.0,0.0,0.0,0.1986323549,4.0,-94.83787537,-0.82102481,-0.098584492,1.3506244551,-6.07655077,-0.008405152,-2250.268606,0.1242964792,11.757273499,-0.004885363,-0.029099622,-0.051927188,-0.823372046,0.3777604177,-0.019463128,0.0,-0.00882873,-0.124982032,0.0624956239,3.0,10.148940391,0.1618460566,0.0,0.0318746716,0.0279032956,0.0260655408,0.866670353,0.5294286695,4.0057221e-07,1.84228e-07,1.4106300286,1.9898770775,0.1787948697,0.0588841758,0.1968826556,0.0470209551
