firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,invest,egr,tang,sin,currat,quick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
65832,0.5291194261,0.0566044965,-3.014937666,0.0078664077,1.1956551625,1.5298222336,0.1047590909,0.0636342239,0.3893811311,0.2292839016,-0.050752922,0.091220572,5.0,0.000363436,0.0,0.4879726167,0.2565355868,-0.049580115,0.0762144957,0.0606422066,0.4749788109,0.4298002798,0.0,1.4905736531,0.8977423639,39.407098817,3.8413631786,0.0758877992,0.0,0.0,1.0,0.0,0.0,1.5485726651,6.0,-0.963931995,-0.093910299,0.0829439975,0.0169027877,0.1310430781,-774.4774335,0.0319011585,11.690460585,0.0013380296,0.0103619268,0.0334841196,0.0470179871,0.0115224127,0.0424581517,1.0,-0.000201527,-0.377176015,0.039547259,3.0,11.895667686,0.7940917883,0.0,0.0238095243,0.0137921472,0.019068513,0.7554019101,2.1651557283,3.3481727e-08,3.4885902e-08,1.3872312001,1.9244104026,0.0837884276,0.0402644884,0.2562088464,0.0698936558,0.048,-0.0575539568345323,-0.0296296296296296,0.0,0.0826446280991735,0.201834862385321,0.2596153846153846,0.1801801801801801,0.1801801801801801,0.2718446601941748,0.2718446601941748,0.297029702970297,0.4719101123595506,0.297029702970297,0.336734693877551,0.2476190476190476,0.1696428571428572,0.2596153846153846,0.7945205479452055,0.8714285714285714,0.955223880597015,0.9848484848484848,1.1129032258064515,0.4555555555555555,0.4886363636363635,0.5057471264367817,0.4886363636363635,0.617283950617284,0.9264705882352942,0.5975609756097562,0.3232323232323233,0.3789473684210527,0.423913043478261,0.4719101123595506,0.2476190476190476,0.31,0.0916666666666665,0.336734693877551,-0.2880434782608695,-0.191358024691358,-0.1963190184049079,-0.1761006289308175,-0.0150375939849624,-0.0367647058823529,0.0234375,0.0,0.0,0.2358490566037736
21020,0.9983667127,0.1512138655,-2.968871444,0.0029811458,2.0374546089,2.7985665129,0.077107823,0.1542202514,0.1565054469,-0.000272035,0.1487949044,0.5070167927,14.0,0.008341017,0.1843317972,0.2259421887,0.0828405657,0.223993085,0.0815968624,0.146532454,0.1741650858,0.559890994,0.0,0.9353984833,0.801223351,6.8586196176,10.585772553,0.1645377535,0.0,0.0,0.0,0.0,0.0,0.4046542889,7.0,0.0141378149,0.0929246089,-118.392887,5.3886887016,27.109394441,2670.1595261,0.0755637318,15.171869511,-0.000801971,0.0130826332,0.0384324067,0.0781984912,0.098189282,-0.031718219,0.0,-0.003815029,0.8592952672,-0.040690699,6.0,15.641486654,1.5512208708,0.0,0.0315581858,0.0130753278,0.0174880301,0.398557461,2.3575831276,4.729481e-10,1.8225848e-08,1.7313105448,2.9974362027,0.0034200892,0.0495066197,-0.243511407,0.0208686186,-0.0170454545454545,0.2581818181818183,0.4151329243353783,0.4036511156186613,0.3542074363992171,0.4537815126050419,0.5010845986984815,0.4476987447698743,0.6130536130536131,0.6476190476190475,0.7608142493638677,0.8210526315789475,1.047337278106509,0.8855585831062671,0.7002457002457003,1.059523809523809,1.0057971014492757,1.0,1.1625,1.3537414965986394,1.4539007092198584,1.8833333333333333,1.4539007092198584,0.5515695067264574,0.4568421052631579,0.3595284872298625,0.4599156118143459,0.4881720430107528,0.6398104265402844,0.6555023923444976,0.4661016949152543,0.5309734513274336,0.6130536130536131,0.4817987152034262,0.4881720430107528,0.5242290748898679,0.5412026726057906,0.6796116504854368,0.5691609977324263,0.4817987152034262,0.4913793103448276,0.5109170305676856,0.6320754716981132,0.8552278820375334,1.0906344410876132,1.0412979351032448,1.2394822006472492,1.189873417721519
10429,0.6444989713,0.0822372933,0.3268321387,0.0,0.2753760573,1.1356732454,0.1549362033,0.0525970674,0.6788858351,0.0151620639,-0.130956733,0.0827981407,8.0,-0.009379843,0.1625544267,0.3081087534,0.2368989524,-0.09517441,0.5800468384,0.0052387795,0.1570123119,0.6150250176,0.0,2.438744453,2.3390720476,3.9861559859,3.5042511568,0.4051836831,0.0,0.0,0.0,0.0,0.0,1.0616689466,7.0,-1.94826766,-0.013459703,-5.824737874,-0.792730392,-3.769766994,-227.5238602,0.1475440845,11.549921349,-0.007403809,0.0036581971,0.0052212406,-0.010929663,0.163956221,0.0047017498,0.0,-0.015789474,-0.358134056,-0.061538462,6.0,12.216448628,1.2829425008,0.0,0.0333333351,0.0194769121,0.0346318569,0.8673833554,2.6108614378,9.3218791e-08,3.7727463e-08,1.8052825307,3.2590450156,0.153611297,0.061837112,0.5286546586,0.0471756847,-0.0843373493975904,-0.3333333333333333,-0.24,-0.392,-0.371900826446281,-0.3027522935779816,-0.3666666666666667,-0.4411764705882353,-0.3504273504273504,-0.327433628318584,-0.2761904761904762,-0.2897196261682243,-0.2549019607843137,-0.327433628318584,-0.3770491803278688,-0.2962962962962963,-0.3391304347826087,-0.2244897959183673,-0.2083333333333333,-0.0129870129870129,0.2063492063492062,0.2881355932203389,0.1014492753623188,-0.2962962962962963,-0.3559322033898305,-0.2761904761904762,-0.2323232323232323,-0.2692307692307693,-0.2692307692307693,-0.3391304347826087,-0.4285714285714286,-0.2549019607843137,-0.0952380952380952,-0.1914893617021277,-0.2549019607843137,-0.0952380952380952,-0.2164948453608247,-0.1363636363636363,-0.1363636363636363,-0.2692307692307693,-0.2962962962962963,-0.24,-0.3090909090909091,-0.1999999999999999,-0.2761904761904762,-0.1648351648351648,-0.1460674157303371,-0.1555555555555555
85041,1.0693301882,-0.073409013,-4.23812358,0.0,1.4970760234,4.4869035333,-0.004920931,-0.039095763,0.4546023265,0.0137750654,-0.028720094,0.1707700624,5.0,-0.125938798,0.0173951829,0.106122538,0.1410561566,-0.104216617,0.1976144872,-0.007945007,-0.053254901,0.5904059758,0.0,3.4354772212,1.8612485398,24.700789958,5.9528745974,0.0251015708,0.0,0.0,1.0,1.0,0.0,1.0090846596,4.0,1.937157668,-0.06811762,0.7877095694,-0.741358254,0.1362171239,-256.5003439,0.0377621784,12.424521193,0.0036373995,0.0109298825,0.0262318587,0.0638319425,0.1013116909,-0.056877565,3.0,0.0078787879,7.987876362,0.194760873,3.0,14.089099284,3.39328125,0.0,0.0941176489,0.0377648426,0.0468302469,0.8672438664,21.602309329,4.9344313e-09,3.419547e-09,2.3313041138,5.434978871,0.0650803906,0.0799742621,0.9296126021,-0.052393679,0.0153846153846153,-0.0149253731343284,-0.0571428571428571,0.0153846153846153,0.0,0.2222222222222223,0.1379310344827586,0.064516129032258,0.0476190476190476,0.0476190476190476,0.0153846153846153,-0.0704225352112676,-0.2235294117647058,-0.4923076923076923,-0.484375,-0.3592233009708737,-0.4406779661016949,-0.1645569620253164,-0.131578947368421,-0.1081081081081081,0.11864406779661,0.1999999999999999,-0.0294117647058823,-0.472,-0.4961832061068703,-0.4803149606299213,-0.4210526315789473,-0.5769230769230769,-0.5319148936170213,-0.4923076923076923,-0.5657894736842105,-0.4761904761904761,-0.3592233009708737,-0.3592233009708737,-0.3052631578947368,-0.3465346534653465,-0.3592233009708737,-0.3195876288659793,-0.4,-0.484375,-0.5875,-0.5352112676056338,-0.6842105263157895,-0.65625,-0.7317073170731707,-0.6857142857142857,-0.5384615384615384,-0.4406779661016949
62500,1.6575824873,-0.161738579,-23.69652651,0.0,1.6388007614,3.1414974619,-0.009632216,-0.093866506,0.2544111331,-0.059441394,-0.058798878,0.1035850254,13.0,0.0055702523,-0.230769231,0.1421650614,0.2113580257,-0.135879172,0.1755171162,-0.016132635,-0.129332756,0.4725419357,0.0,3.6724257519,2.0179708683,60.341255332,3.4396276226,-0.013985751,0.0,0.0,0.0,0.0,1.0,0.4198273564,3.0,0.4592471876,-0.318912123,1.1466594148,-2.410272277,0.1294585679,-282.9268395,0.0853083451,10.070695472,0.0001799779,0.0021994065,0.0044404463,-0.014966432,0.0257170456,0.030207275,0.0,-0.008220075,0.4024604569,-0.03125,3.0,8.5579511839,0.1930203046,0.0,0.0740740746,0.042488875,0.0390205817,0.8547789959,1.0525747984,2.5115991e-06,9.900919e-08,1.1453785291,1.3118919749,-0.073030705,0.0488545918,-0.086917568,-0.061572877,-0.088235294117647,-0.088235294117647,-0.03125,-0.1142857142857143,-0.1388888888888888,-0.2051282051282051,-0.2439024390243902,-0.2619047619047618,-0.3921568627450981,-0.3404255319148936,-0.3673469387755101,-0.4561403508771929,-0.4833333333333333,-0.5441176470588236,-0.5441176470588236,-0.4918032786885246,-0.5571428571428572,-0.523076923076923,-0.5079365079365079,-0.4918032786885246,-0.4363636363636364,-0.4464285714285714,-0.4655172413793104,-0.6309523809523809,-0.6593406593406593,-0.6219512195121951,-0.6265060240963856,-0.6309523809523809,-0.6219512195121951,-0.6309523809523809,-0.7047619047619047,-0.6630434782608696,-0.6702127659574468,-0.6477272727272727,-0.6477272727272727,-0.6395348837209303,-0.6555555555555556,-0.6395348837209303,-0.6804123711340206,-0.7256637168141593,-0.752,-0.7350427350427351,-0.7416666666666667,-0.712962962962963,-0.75,-0.743801652892562,-0.743801652892562,-0.6990291262135923
71239,0.292328522,-0.17260221,2.6024586376,0.0,0.0371847876,0.0202727207,-3.154422789,-0.312690688,0.0325272952,0.0140668959,0.6466809422,-0.156379198,6.0,0.0029290016,0.1654676259,-0.146130346,-0.143975174,0.6478765628,0.2941176471,0.0459164376,-0.360112196,0.8591187174,0.0,10.287253142,10.105924596,0.0775025418,3.6220302376,-5.502831715,0.0,0.0,1.0,0.0,0.0,0.0299806832,3.0,-2.661379986,0.0608658421,-0.288498691,1.8729291239,-0.166136079,-329.4848799,0.0653410158,11.848397201,0.0,-0.145876513,-0.159397193,-0.001599988,0.7094694178,1.2288642604,0.0,-0.010613659,-0.806290031,-0.008547009,3.0,12.076829901,0.8474206349,0.0,0.0327868834,0.0169737949,0.023094086,0.5920289536,1.7431498916,3.9885922e-08,3.460452e-08,2.5322840544,6.5455853055,0.0391103129,0.0833825093,-0.519047604,-0.076920957,0.3131313131313131,0.4130434782608696,0.2264150943396226,0.368421052631579,0.4444444444444444,0.7333333333333334,0.8571428571428572,0.7333333333333334,0.911764705882353,0.625,0.5853658536585367,0.625,1.2413793103448274,1.0634920634920637,0.8055555555555556,0.7567567567567568,0.5853658536585367,0.7333333333333334,0.5476190476190477,1.0,1.3636363636363638,1.1311475409836067,0.8055555555555556,-0.1925465838509317,-0.0647482014388489,-0.0714285714285714,0.015625,-0.2485549132947977,-0.4144144144144144,-0.1925465838509317,-0.1666666666666666,0.4942528735632183,0.4130434782608696,0.1016949152542372,-0.1333333333333333,-0.1447368421052631,0.0743801652892561,0.2149532710280373,0.1111111111111111,0.1607142857142858,0.2264150943396226,0.0924369747899158,0.0,0.0236220472440944,0.1818181818181818,0.4942528735632183,1.03125,1.4074074074074074
27991,1.4897082736,0.0274616865,-24.71234459,0.1985014031,9.2523378307,1.0557287011,0.0528004277,1.2463856848,0.112626515,0.0074931168,2.1441284481,0.3741136816,14.0,0.010341807,-0.072699799,0.0978995583,-7.267878769,0.0468426122,0.0380104623,0.0444234905,-0.112003851,0.4595213919,0.0,1.1269465294,1.0864772518,3.6440488224,0.2806377264,0.0278369461,0.0,0.0,0.0,1.0,0.0,0.2075875167,5.0,-0.269876381,-0.183546193,-39.09356947,-1.139945947,-5.495435253,420.16601714,0.0117898724,13.865743847,0.0017043634,0.0050009636,0.0315650311,-0.005456736,0.0276808541,-0.013932403,1.0,0.0326530612,7.6224511395,-0.224100218,3.0,13.65508341,0.539303299,0.0,0.0183486231,0.0136634642,0.0265631899,0.6311495759,1.5190651763,7.0092926e-09,4.4119857e-08,0.4785618201,0.2290214156,1.1353457507,0.100017332,0.5886764937,0.1019248754,-0.0392156862745097,0.053763440860215,0.0315789473684211,-0.0485436893203883,-0.0754716981132075,-0.1403508771929824,-0.1833333333333333,-0.2032520325203252,-0.2222222222222222,-0.2283464566929134,-0.3,-0.449438202247191,-0.4615384615384615,-0.4814814814814815,-0.505050505050505,-0.4787234042553191,-0.5148514851485149,-0.5504587155963303,-0.5545454545454546,-0.5720524017467249,-0.5585585585585586,-0.5504587155963303,-0.5585585585585586,-0.6048387096774194,-0.5899581589958158,-0.5916666666666667,-0.6141732283464567,-0.6048387096774194,-0.5950413223140496,-0.6032388663967612,-0.6141732283464567,-0.5983606557377049,-0.5682819383259912,-0.5793991416309012,-0.5682819383259912,-0.5793991416309012,-0.615686274509804,-0.5701754385964912,-0.5829787234042554,-0.5565610859728507,-0.5663716814159292,-0.5916666666666667,-0.5739130434782609,-0.5483870967741935,-0.5504587155963303,-0.5355450236966824,-0.5,-0.467391304347826
20482,0.2277713889,0.069498835,10.889752904,0.0250343929,0.2181430962,0.4562537291,0.2506934058,0.1001829339,0.6509134041,-0.008313817,0.0297432604,0.0892141704,14.0,-0.000198896,0.0243999154,0.1251436914,0.0512433635,0.0033510139,0.138738066,0.0978775061,0.1773127937,0.5223964282,0.0,1.6343368954,1.2097631112,8.4733681399,6.3151935878,0.439710038,0.0,0.0,0.0,0.0,0.0,1.3230461826,7.0,-0.179155527,-0.016675277,-0.291976052,0.4314680004,0.0915335167,7652.1546605,0.0793382698,16.092443787,0.002255543,0.0408019997,0.0758549259,0.0069060844,0.0978239773,-0.000866651,0.0,0.0,-0.284339226,0.0075477618,8.0,15.452462514,0.3134320521,0.0,0.0248565972,0.0100738146,0.0126711223,0.2387297284,0.3838318566,3.556541e-10,7.1244943e-08,0.8416529879,0.7083797521,0.2072550851,0.0277459824,-0.158682367,-0.061572877,0.0079051383399209,-0.0304182509505703,0.0991379310344826,0.0759493670886075,0.1538461538461537,0.1643835616438356,0.2469437652811736,0.3010204081632652,0.3246753246753247,0.3858695652173913,0.328125,0.3212435233160622,0.3672922252010724,0.4127423822714682,0.4166666666666667,0.3746630727762803,0.3972602739726028,0.3600000000000001,0.2259615384615385,0.3076923076923077,0.3212435233160622,0.4782608695652173,0.2814070351758795,0.0805084745762712,0.0159362549800796,0.0119047619047618,0.0220440881763526,0.0602910602910602,0.0669456066945606,0.0580912863070539,0.0580912863070539,0.1724137931034481,0.3972602739726028,0.3527851458885942,0.4825581395348837,0.5223880597014925,0.2846347607052897,0.2686567164179105,0.186046511627907,-0.3108108108108108,-0.2608695652173913,-0.2608695652173913,-0.0973451327433628,-0.0727272727272727,-0.0676416819012797,0.0240963855421687,0.094420600858369,0.1233480176211454
10656,0.8034161771,0.0909310573,-0.355934355,0.0423280544,0.4250813431,2.0883696681,0.1021894435,0.0628449096,0.2654297494,0.0928180158,0.0417671414,0.0675392377,15.0,0.0520898196,0.1428571429,0.0797139703,0.0650974912,-0.05735873,0.124852071,0.0732001269,0.0730207533,0.7300622025,0.0,3.5482998677,2.2775444451,4.9079406632,7.1704487506,0.2465014707,0.0,0.0,0.0,0.0,0.0,0.3928739679,4.0,-0.092359088,-0.001947384,0.2986912577,0.5873453302,-0.055386962,-160.8795112,0.0692769039,10.906322886,0.0009930163,0.0100562493,0.0152744414,0.0901146751,0.3840938409,0.0048195926,0.0,0.0013883469,-0.839892431,0.0181818176,3.0,9.0038080865,0.097606383,0.0,0.0535714291,0.0331798473,0.0264904785,1.6324241601,0.796989979,1.02723e-05,7.3500002856,0.4694930349,0.2204237098,0.4765840408,0.0311035297,0.1777245133,0.0704813334,-0.025,-0.0084745762711864,-0.025,-0.040983606557377,-0.040983606557377,-0.0564516129032257,-0.0330578512396694,-0.025,-0.0564516129032257,-0.0564516129032257,-0.0084745762711864,0.0446428571428572,-0.0084745762711864,-0.0084745762711864,-0.040983606557377,-0.040983606557377,-0.025,-0.0859375,0.0086206896551723,0.0263157894736842,0.2717391304347827,0.2446808510638298,0.3,0.0446428571428572,0.0086206896551723,-0.0639999999999999,-0.0714285714285714,-0.1136363636363636,-0.176056338028169,-0.2302631578947368,-0.2040816326530612,-0.1642857142857142,-0.126865671641791,-0.1397058823529411,-0.1702127659574468,-0.2094594594594594,-0.2199999999999999,-0.2094594594594594,-0.2777777777777778,-0.2777777777777778,-0.2402597402597402,-0.25,-0.2094594594594594,-0.176056338028169,-0.1818181818181817,-0.1203007518796992,-0.040983606557377,-0.025
10664,0.624450891,0.034053638,0.0239877509,0.0,0.4030785625,0.4756379137,0.0187429497,0.1259865972,0.0593447506,0.0978161965,0.4903248402,-0.053448582,14.0,0.0127019707,1.5,0.262254902,-0.348193707,-0.697540684,0.1593352884,0.1107470836,-0.086598081,0.4602721862,0.0,4.2479564033,3.6623069936,2.2779857094,1.7705394922,0.1469657549,0.0,0.0,1.0,0.0,0.0,0.0553188541,3.0,-0.346168012,1.4019732241,-0.342961432,18.961048721,-0.456698114,-709.6305893,0.0428202856,9.2147307203,0.0280785602,0.0111586982,0.0437397693,0.150233871,0.0598594323,-0.202158179,3.0,-0.001081081,6.2215189873,0.2360066958,3.0,5.6711731911,0.0394265233,0.0,0.0520833321,0.0369770683,0.0505358783,1.0603581487,0.4914122884,1.47562e-05,10.500000385,1.3150773269,1.7294283757,0.1548616348,0.064320108,0.1144002927,0.1071223147,0.0,-0.0263157894736841,0.0277777777777776,0.0882352941176469,0.0571428571428571,0.0571428571428571,0.2758620689655173,0.2758620689655173,0.0571428571428571,0.0882352941176469,-0.0263157894736841,-0.0749999999999999,-0.1395348837209302,-0.097560975609756,-0.1777777777777778,-0.0512820512820513,-0.159090909090909,-0.26,-0.1395348837209302,0.0882352941176469,-0.1395348837209302,-0.097560975609756,-0.0512820512820513,-0.4393939393939394,-0.3620689655172413,-0.704,-0.6711111111111111,-0.63,-0.63,-0.6021505376344086,-0.4477611940298507,-0.421875,-0.26,-0.3620689655172413,-0.3728813559322034,-0.3833333333333333,-0.3148148148148147,-0.3728813559322034,-0.4861111111111111,-0.4558823529411765,-0.5795454545454546,-0.5978260869565217,-0.5375,-0.6145833333333333,-0.5256410256410257,-0.5697674418604651,-0.4861111111111111,0.1212121212121211
