firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
15203,0.8871836295,0.0107700592,-238.6046512,0.0,1.1610123856,2.2132471729,0.0451642636,0.2799932694,0.4164563352,0.1389144434,0.3968253968,-0.037425956,23.0,0.1650922509,0.1046511628,0.1887201735,-0.005679177,0.0147809206,0.1951381951,-0.212965356,0.2932862191,0.1537114846,0.5489309846,0.0,1.7899442979,-0.141559233,0.5530636177,-0.247846578,657.6,5.5861365953,0.0900121638,0.0,0.0,1.0,0.0,1.0,0.8093487395,4.0,-0.143139742,-0.518970227,0.40653573,54.738231544,-0.869376202,-0.099810182,-916.8193623,0.0262473934,9.378985498,0.0142184082,0.0171630878,0.0350408548,-0.015078083,0.0016432233,-0.050006162,2.0,0.053446419,-0.8889359,0.0180069692,2.0,7.7052624749,0.4668271803,0.0,0.0448717959,0.0269114056,0.0411630469,1.5250865981,8.2710862378,1.030181e-06,7.6363636605,0.585608657,0.3429374992,1.7973578411,0.0606259701,-0.405772486,0.2743101811
15748,0.5717822903,0.0714123953,1.6492487848,0.0,0.2161395033,1.2081829848,0.1112295994,0.3931660438,0.5881473572,0.9226415094,-0.456037693,0.0047708915,14.0,-0.000490808,0.3297101449,0.1846982886,-0.027951657,0.0704002644,0.1381726457,-0.23114479,0.0247730913,2.3990306947,0.6425934698,0.0,3.4424310455,1.607673204,2.2779025016,2.2545032452,8.8404772426,4.4977517986,0.2813407491,0.0,0.0,1.0,0.0,0.0,1.8894273919,6.0,-0.052236654,0.1757319781,0.3790198393,1.0439330846,-0.647574669,0.0136381129,-987.6631662,0.0460850088,10.101810608,-0.023224773,0.0526315789,0.070291929,0.0391937797,0.1734498352,0.0100952495,3.0,-0.001230769,3.257663032,-0.084087487,1.0,9.9312547022,1.5252549586,0.0,0.0454545468,0.0372765504,0.0707420159,0.6956824316,7.3290879683,1.6282529e-07,9.1529642e-09,2.8804288144,8.2968701547,-0.07685255,0.0901035653,-0.596618364,0.2554497939
15828,1.0377438236,-0.104793615,-0.802804638,0.0,0.2019733941,1.0525822881,-0.194628622,-0.034406972,0.243160288,0.0721271394,-0.131121808,0.0323040669,16.0,-0.019451727,-0.100446429,-0.340059175,-0.180515016,-0.203052252,0.3098827471,0.5659571544,0.0268472906,-0.013025171,0.5593838788,0.0,4.1948227046,0.0540824486,3.021841715,0.0430610507,3.5459313284,5.0579777908,-0.130242455,0.0,1.0,1.0,0.0,1.0,0.293494355,3.0,-3.049699472,-0.422333613,0.5884755762,0.8061927391,0.7083254029,-0.035923519,-558.7953199,0.061725725,10.659186908,-0.028419856,-0.016367933,-0.019588458,-0.131600152,0.2394435288,-0.006824389,2.0,-0.014933333,11.656346496,0.2978597824,2.0,10.328314014,1.1699911348,0.0,0.0694444478,0.0318908067,0.05048245,1.7209000789,11.920733152,9.9310431e-07,1.038116e-08,1.5433537209,2.3819407079,-0.117357145,0.0607916784,-0.108881562,0.1774272558
17137,0.9798372322,0.0621926254,-0.657868552,0.0357201685,0.1468473405,1.5151220758,-0.041028502,-0.033326604,0.2320171897,-0.04268248,-0.086433695,0.0858110993,22.0,-0.041485001,-0.067567568,-0.081700512,-0.035412315,-0.040787871,0.1119585654,-0.308970974,-0.021360175,-0.024830798,0.5099405934,0.0,6.4166282212,0.1082512554,4.2060568114,0.2035084985,7.8679759099,6.8899062935,0.5423547284,0.0,0.0,0.0,0.0,0.0,0.2477225053,4.0,-0.016077013,-0.117000866,0.4323069851,0.2343428616,-0.81806221,0.0095625135,-128.005456,0.1083351095,12.875285676,-0.034160909,-0.041281325,-0.048229355,0.0059260309,0.1630438216,-0.147668515,0.0,-0.003206029,0.0071661392,0.0211688662,2.0,11.626315532,0.3014031853,0.0,0.0510638282,0.017224651,0.0245163817,0.788384559,0.9936868368,3.9662005e-08,6.6185179e-08,0.6520312815,0.4251447921,-0.240528062,0.0341166189,-0.099712008,0.3681169546
85885,1.0618362957,0.1291520435,-3.248862085,0.1095890411,0.5846258349,4.9252575569,0.0700162683,-0.412936769,0.4651876251,-0.296868979,-0.322594186,0.1552360466,11.0,0.0148540035,-0.548611111,-0.351418076,0.0435814575,0.0334407075,1.3375796178,-0.008388152,-0.033488342,-0.453095116,0.5971083668,0.0,3.2782235492,-0.077599707,1.9637992163,-0.288995415,24.752389622,8.3856592136,0.230980981,1.0,0.0,0.0,0.0,0.0,0.669543313,6.0,-0.039307074,-0.623880224,3.6540998115,-1.158849548,-1.564570558,0.0837538289,-634.3394947,0.0625182316,8.9006171686,-0.002878005,0.0104991394,0.0154274153,-0.299323817,0.0934602856,0.0015514987,3.0,-0.050488355,-0.244882104,-0.078100471,4.0,8.2166284931,0.9511986301,0.0,0.0833333358,0.0277887629,0.025238496,1.8181237931,14.051309053,1.6685509e-06,4.7727272828,0.1042857844,0.0108755248,-0.072702146,0.0868703455,-0.081854824,0.2466546264
85914,1.0946798209,0.0043655826,-12.44073189,0.0,2.6622860993,13.877762753,0.0376147314,-0.082781019,0.5953596089,0.0103870034,-0.132788488,-0.050823573,12.0,-0.038113297,0.0835820896,0.07665244,0.4213303827,0.0587999809,0.2015601584,0.1427412435,0.0037174112,0.0155254463,0.5439454162,0.0,1.6940687077,0.0580858333,0.3094208633,-0.160857086,86.525509977,97.644952941,0.0597696943,0.0,0.0,1.0,0.0,0.0,2.4915480035,4.0,-0.00443634,0.0150761932,-0.175248049,-0.248307601,-9.148564587,0.8090558342,-108.4614714,0.0879352129,14.295059888,-0.000984045,-0.001521645,-0.006020784,-0.051323873,0.0551578125,-0.009887798,0.0,0.0002422018,1.5728443627,0.1417586841,2.0,14.48729326,2.6898829317,0.0,0.123046875,0.0491633075,0.052840717,0.5712602909,11.252364844,1.4400666e-09,5.1926638e-09,1.527072774,2.3319512569,0.1362335579,0.0705698358,1.0953338532,0.3792275106
38471,-0.168059137,0.1961148358,-200.8993056,0.0,4.2441120853,4.9279009799,0.078942028,0.0363661795,0.3868802014,0.0,-0.012353581,0.0266804195,22.0,0.0648396181,-0.210884354,-0.008961168,-0.096858085,0.0620736754,0.1717208623,0.0418918638,0.1230155955,-0.538519637,0.4782652676,0.0,1.0061541904,-0.013977993,0.554772295,-0.164468203,497.66666667,3.7893401015,0.0761923164,0.0,0.0,1.0,0.0,0.0,-2.554640481,5.0,-0.189751644,-0.834505744,-0.648707037,-1.013895076,-1.190804774,-0.035703807,-920.6117373,0.0262473934,8.5350085513,-0.009511155,0.0158815976,-0.277777778,-0.166958914,0.0024293137,0.044975551,2.0,-0.003575726,2.8257425743,0.1827094536,0.0,7.9538234914,0.7784081141,0.0,0.0434782617,0.0262697045,0.0588479996,1.0171435056,1.4674474215,8.574769e-06,4.7727273458,-0.156505774,0.0244940571,0.3529310989,0.1041991338,0.2908496692,0.2743101811
55044,0.9486079637,-0.128428063,-6.117469136,0.014290339,1.7132451556,3.4302131989,0.0359343827,-0.003773242,0.3988991826,0.0,0.0856142305,0.1136983767,22.0,-0.006372878,-0.028856826,0.1153483231,0.2398123628,-0.102371014,0.1584310641,0.230915322,-0.005218498,-0.132741398,0.5833696624,0.0,2.0309537297,-0.104469986,1.1252471702,-0.09441912,18.313950617,3.7350471467,-0.046909139,0.0,0.0,1.0,0.0,0.0,0.9278685059,3.0,-0.257454646,-0.652478216,0.4679600642,-1.108899685,-0.190804774,0.0513141504,-837.7553623,0.0262473934,11.779207047,-0.001298208,0.0021717507,0.006094068,-0.108458914,0.0371259091,-0.025809212,1.0,-0.00473526,-0.071910112,-0.037038513,2.0,9.4241605958,0.1760008633,0.0,0.013592233,0.003930353,0.005694117,1.3042129923,0.7239137632,1.3395142e-07,2.8636365283,-0.079867669,0.0063788445,0.6016839604,0.0386623783,-0.237680111,0.2743101811
18092,0.266005776,0.0512227653,11.761887421,0.0055209763,0.0363420164,0.2792471692,0.2966609581,0.0499390946,0.6802858628,-0.039818348,0.1728132424,0.0591832874,15.0,9.4553e-05,0.0039370079,0.0844384566,0.0319896559,0.0049512786,0.1383535727,-0.14209655,0.0337527925,0.0351227367,0.589981676,0.0,6.3669528486,-0.145889524,4.288847135,-0.144863499,4.7078956121,3.5794060505,1.7013442724,1.0,0.0,0.0,0.0,0.0,0.76109686,6.0,-2.869685132,-0.317950177,-0.183262471,2.0626732715,0.7459621702,-0.009044298,1478.3509294,0.061725725,14.867614795,0.0011228652,0.0485513381,0.0545135968,0.0055714994,0.1961801908,0.026384978,3.0,0.0008536005,0.0027971206,0.0211822381,5.0,14.490447815,0.9122081734,0.0,0.0721649453,0.0207707728,0.0296591743,0.527007296,1.9698717523,1.1149711e-09,2.3056755e-08,0.4368979705,0.1908798366,0.7279674552,0.0492422977,0.1520248158,0.1774272558
18244,0.9467410601,0.0578239919,-0.631752577,0.0,0.2303660495,1.2559810635,0.0511348813,-0.031710709,0.0708623088,-0.067628281,-0.086490111,0.02324795,14.0,0.0118711136,0.0722891566,0.0174633612,-0.103587624,-0.319039783,0.113238512,-0.172248681,0.0235048679,-0.017372993,0.5484898018,0.0,5.1913377193,-0.097257523,3.5158991228,-0.181533979,6.1265979381,4.1453683036,0.3121934128,0.0,0.0,1.0,0.0,1.0,0.0847591471,4.0,-2.892318582,-0.249598028,0.4974728127,2.1407187944,0.326940185,-0.044979636,-588.0756949,0.061725725,9.6471103299,0.0150455127,0.0161591497,0.0200910796,0.1057739454,0.3049805722,0.0015225645,0.0,0.0342886127,0.0094500593,-0.114074074,3.0,9.0212962694,2.0458152958,0.0,0.0967741907,0.0530164841,0.0676108464,1.2359965672,3.9174988539,8.1268202e-07,1.9751321e-08,1.0881295541,1.1840259266,0.330054276,0.1041974316,0.1495238163,0.1774272558
