firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13
50906.0,0.0099133582,0.0208336476,0.0342102656,0.1492008277,0.0234354312,-0.019619011,1.0,0.0120923693,0.1899706154,-0.032513661,0.1777777777777778,0.1777777777777778,0.1041666666666667,0.0,0.0,0.1041666666666667,0.1041666666666667,0.3249999999999999,0.3249999999999999,0.1777777777777778,-0.0093457943925233,-0.0363636363636363,-0.0535714285714286
18980.0,0.0015950411,0.0042843374,0.0159655597,0.0316595339,0.0794982691,-0.008296148,1.0,-0.001702384,-0.031595196,-0.138823653,0.2692307692307691,0.4347826086956521,0.4347826086956521,0.4347826086956521,0.2692307692307691,0.5714285714285714,0.2692307692307691,0.2222222222222223,2.6666666666666665,1.5384615384615383,0.9411764705882352,0.03125,0.0
65840.0,-0.00112638,0.0122377622,0.0372001958,0.0093949353,0.0722018171,-0.033909893,1.0,-0.000339167,-0.53118976,-0.044949496,0.2839506172839505,0.0947368421052632,-0.1111111111111111,-0.2121212121212121,-0.2827586206896552,-0.140495867768595,-0.1746031746031746,-0.1612903225806451,-0.1475409836065574,-0.2408759124087591,-0.1612903225806451,-0.2463768115942028,-0.388235294117647
11181.0,-0.003113676,0.0284076751,0.0906402962,0.0399538799,0.0255114266,-0.268198971,3.0,0.0039744697,0.1280873107,-0.023376938,0.1456310679611649,0.1799999999999999,0.1683168316831682,0.2967032967032967,0.3563218390804596,0.7226277372262773,0.6388888888888888,0.84375,0.6164383561643836,0.6503496503496504,0.2826086956521738,0.2486772486772486,0.2291666666666667
39116.0,0.0,-0.026117507,-0.037644511,-0.065851235,0.0158103742,-0.678607372,0.0,-0.03826087,0.4518002323,-0.085588191,0.0454545454545454,-0.0799999999999999,0.0454545454545454,0.0,-0.1153846153846154,-0.0799999999999999,0.0454545454545454,-0.1481481481481481,-0.2580645161290322,-0.303030303030303,-0.3783783783783784,-0.3783783783783784,-0.3783783783783784
50032.0,0.0030545316,0.0242051984,0.0568873769,0.1032814665,0.1947358637,-0.004896231,1.0,-0.000217544,-0.237952131,-0.003589829,-0.0172413793103448,0.0,0.0044052863436123,0.0133333333333334,0.0316742081447964,0.1121951219512196,0.1287128712871286,0.1999999999999999,0.1231527093596058,0.1287128712871286,0.1399999999999999,0.1121951219512196,0.0506912442396312
49330.0,0.0054427708,0.024350699,0.070043704,-0.026766214,0.0758148758,0.0158737744,1.0,0.0113043478,-0.614740369,0.0001207627,0.1219512195121952,0.03954802259887,0.0,-0.0264550264550265,-0.031578947368421,-0.0799999999999999,-0.1153846153846154,-0.0416666666666666,-0.0935960591133004,-0.1153846153846154,0.0514285714285713,0.0,0.4045801526717556
17304.0,0.0034876254,0.0354232205,0.0943322826,0.0936686108,0.0043899777,0.0089307372,3.0,0.0105883863,0.6165575731,0.0485422676,0.0505050505050506,0.0558375634517767,-0.0234741784037558,0.0721649484536082,0.0976253298153033,0.2093023255813952,0.2380952380952381,0.3164556962025315,0.2839506172839505,0.2760736196319018,0.2128279883381925,0.1685393258426966,0.0890052356020942
47730.0,-0.002087236,0.0137569453,0.0243389521,0.0941613529,0.0337954081,-0.006932004,0.0,-0.0002,-0.088795909,0.0294136498,0.0362694300518133,0.1111111111111111,0.1494252873563217,0.1904761904761904,0.0309278350515462,0.1363636363636364,0.0526315789473683,0.0869565217391303,0.0810810810810811,0.1235955056179776,0.0309278350515462,0.075268817204301,0.015228426395939
13777.0,0.0054712472,0.0469458447,0.0591974432,0.0244296787,0.6548364097,0.1415468344,3.0,0.0011014498,-0.651564735,-0.046009063,0.1129032258064515,0.3018867924528301,0.2105263157894736,0.0952380952380953,0.0615384615384615,0.4081632653061224,0.2545454545454546,0.3269230769230768,0.3269230769230768,0.0072992700729928,0.0952380952380953,0.1694915254237288,-0.0416666666666666
44652.0,0.024047532,0.0235146816,0.1392620292,1.1479805072,0.0214687974,-0.169485126,3.0,0.0030922693,-0.187250292,0.0114493154,0.253125,0.3278145695364238,0.3234323432343233,0.249221183800623,0.3456375838926173,0.4219858156028369,0.5482625482625483,0.7063829787234042,0.6040000000000001,0.5849802371541502,0.5603112840466926,0.518939393939394,0.2649842271293374
44548.0,0.0172243539,0.0317749548,0.0830464808,0.0856268086,0.1504854369,-0.059533461,3.0,0.007911327,-0.465561396,0.0039199782,0.0976744186046512,0.0776255707762556,0.0216450216450216,0.0260869565217392,0.107981220657277,-0.4847161572052402,-0.4187192118226601,-0.2934131736526946,-0.2080536912751678,-0.2716049382716049,-0.2891566265060241,-0.2531645569620253,-0.3789473684210526
14190.0,0.0045034902,-0.007447686,-0.014848562,0.0985766234,2.11055e-05,-0.018960011,0.0,0.0168727273,0.8506413028,0.015625,0.25,0.1956521739130434,0.0185185185185186,0.0784313725490195,-0.0983606557377049,0.1,-0.0517241379310344,-0.0833333333333333,-0.2361111111111111,-0.2567567567567568,-0.3604651162790697,-0.4270833333333333,-0.4021739130434782
60871.0,-0.003718769,0.0315245181,0.0478029294,0.0183516897,0.0159929736,-0.084863474,0.0,-0.000223256,-0.346369651,-0.013433076,0.1375661375661376,0.1559139784946237,0.1684782608695652,0.174863387978142,-0.0528634361233479,0.1878453038674032,0.096938775510204,0.2146892655367231,0.2011173184357542,-0.100418410041841,-0.1434262948207171,-0.1115702479338842,-0.3064516129032257
14198.0,-0.005179571,0.0159646907,0.0196864218,-0.010192677,0.2268729581,0.0398074491,1.0,-0.003669725,-0.493034571,-0.053977964,0.211111111111111,0.1354166666666667,0.1122448979591836,0.3292682926829269,0.0686274509803921,0.2674418604651163,0.0686274509803921,-0.0916666666666666,-0.0916666666666666,-0.2875816993464052,-0.2922077922077922,-0.3433734939759036,-0.4139784946236559
45583.0,0.0028929035,0.024756775,0.0385810133,0.0265158074,0.073964771,-0.001500648,0.0,-0.00239521,0.0067150148,0.0729166702,0.176056338028169,0.1597222222222223,0.1133333333333332,0.0182926829268292,-0.023391812865497,0.0986842105263157,0.0569620253164557,0.2462686567164178,0.0986842105263157,0.0437499999999999,0.0569620253164557,-0.023391812865497,-0.0773480662983425
57920.0,3.00947e-05,0.0088715259,0.0160106531,0.0439413009,0.1576781116,0.0068748075,0.0,0.0005608523,-0.241311796,-0.077392838,0.0719424460431654,0.1825396825396825,0.1203007518796992,0.0205479452054795,-0.0261437908496732,0.0955882352941177,0.1203007518796992,0.0797101449275361,0.0275862068965517,-0.0802469135802469,-0.1235294117647058,-0.1077844311377245,-0.2319587628865979
14702.0,0.0045804294,0.0262648425,0.0493007981,0.0524115896,0.250832821,-0.040211152,0.0,0.0001228571,0.1028102157,-0.039370079,0.2962962962962963,0.4583333333333332,0.4583333333333332,0.1965811965811965,-0.0070921985815602,0.320754716981132,0.1290322580645162,0.25,0.1570247933884296,0.1290322580645162,0.1666666666666667,0.1382113821138211,-0.0909090909090909
10559.0,-3.2936e-05,0.0400835182,0.088555067,0.1343104592,0.0020773035,-0.000109858,1.0,0.0009313009,0.4960123489,-0.010489786,0.1439024390243901,0.0492170022371365,0.0151515151515151,-0.0126315789473684,0.0,0.0683371298405466,0.0906976744186045,0.2473404255319149,0.2342105263157894,0.2025641025641025,0.0957943925233644,0.1035294117647058,0.0
16003.0,-0.003529115,0.0105380877,0.0122048421,0.0193182874,0.3058615179,-0.058240402,0.0,-0.002592283,-0.761645229,0.0004251711,0.4361702127659574,0.0465116279069768,-0.1455696202531645,-0.1666666666666666,-0.2780748663101604,-0.0753424657534246,-0.1346153846153845,-0.1118421052631578,-0.0217391304347825,-0.0073529411764705,-0.0357142857142857,-0.1964285714285714,-0.2582417582417582
63095.0,0.0116909996,0.0066521558,0.0286345931,0.2659674389,0.0434103449,-0.009318203,0.0,0.0191765811,-0.386255924,0.0002194904,0.1428571428571428,0.1034482758620689,-0.0303030303030302,0.0491803278688525,-0.072463768115942,0.2075471698113207,0.28,0.1428571428571428,0.0,-0.1232876712328767,-0.0303030303030302,-0.1794871794871795,-0.0857142857142857
61938.0,0.0,0.0208445353,0.0330357356,0.0016271734,0.0938936078,0.0,0.0,-0.001098039,-0.771016532,0.0164600834,0.094420600858369,0.1590909090909091,0.1184210526315789,0.1486486486486486,0.191588785046729,0.2814070351758795,0.2814070351758795,0.2623762376237624,0.2318840579710144,0.3076923076923077,0.3492063492063493,0.2944162436548223,0.2561576354679802
