firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9
54594.0,0.0106189578,0.0151332856,0.0263141983,0.1194737374,0.0182847987,-0.003794549,0.0,0.01189684,2.4599967933,0.0553418845,-0.1193181818181817,-0.1530054644808742,-0.1436464088397789,-0.0662650602409639,-0.049079754601227,-0.0064102564102563,-0.0127388535031847,-0.03125,0.0264900662251654
47351.0,0.0097951915,-0.020013909,-0.06426799,-0.820895522,0.1077067375,-0.002560468,0.0,0.1478322672,0.1949685535,-0.0625,-0.1999999999999999,-0.2727272727272727,-0.3333333333333333,-0.1999999999999999,-0.5,-0.5789473684210527,-0.5789473684210527,-0.6,-0.6363636363636364
26649.0,0.0,0.0043828639,0.0043952696,-0.004603175,0.0284875483,0.0,0.0,-0.005404384,0.008172687,-0.024682668,0.0022727272727272,-0.0067567567567567,0.0232018561484919,0.1605263157894736,-0.0413043478260869,-0.1090909090909091,-0.138671875,-0.1502890173410405,-0.1787709497206704
10867.0,0.0176911544,0.027667674,0.078376876,0.2121050037,0.0221347094,0.2554051866,0.0,0.0233236204,-0.106385904,0.0425531901,-0.1833333333333333,-0.1833333333333333,-0.234375,-0.2575757575757575,-0.3,-0.1833333333333333,-0.2222222222222222,-0.3,-0.1090909090909091
12320.0,-0.004815735,0.0109185701,0.0185890285,-0.121237033,0.0055571449,0.068271758,0.0,-0.013373108,-0.753933471,-0.027027028,-0.1777777777777778,-0.2815533980582524,-0.2884615384615384,-0.2127659574468084,-0.2127659574468084,-0.2043010752688172,-0.1956521739130434,-0.2043010752688172,-0.159090909090909
13056.0,0.0083150978,0.0484588116,0.0842592715,0.030255211,0.0079338766,-0.020390555,1.0,0.0004819277,0.5793374763,0.0637278385,-0.0459770114942529,0.0121951219512195,-0.0079681274900398,0.1318181818181818,0.0873362445414847,0.2450000000000001,0.2087378640776698,0.324468085106383,0.3036649214659686
41734.0,0.0001272321,-0.023489864,-0.05894708,0.0599295039,0.0175167776,-0.018279744,0.0,0.2673763324,-0.449672851,-0.014925373,-0.0555555555555555,-0.0933333333333333,-0.1707317073170732,-0.0684931506849315,-0.15,-0.2608695652173913,-0.3461538461538461,-0.3398058252427184,-0.2916666666666666
50091.0,-0.00346911,0.0216218858,0.0443241979,-0.004118693,0.0198559391,0.1532864458,1.0,0.0099074074,2.9151515152,0.0210070498,-0.0091743119266054,-0.0226244343891403,-0.0769230769230768,-0.0270270270270269,-0.0313901345291479,-0.0608695652173912,-0.0847457627118644,-0.0689655172413793,-0.1111111111111111
14526.0,0.0084850438,0.0210822681,0.040737275,0.1517128706,0.0314411739,0.0189398251,0.0,0.0001625,0.106942706,0.0283487709,-0.0985915492957746,-0.0857142857142857,-0.1688311688311687,-0.0857142857142857,-0.0303030303030302,-0.0857142857142857,-0.0985915492957746,-0.2195121951219512,-0.2289156626506023
27502.0,0.0179777393,0.0301399633,0.0410579922,0.0812308869,0.1385236346,0.018909152,0.0,0.0304767862,3.1845238095,0.0339743597,-0.0588235294117647,0.0378378378378378,0.1428571428571428,0.2467532467532467,0.2307692307692308,0.2467532467532467,0.2151898734177215,0.1566265060240963,0.2972972972972973
15465.0,-0.005539825,0.0157659994,0.0192048518,-0.011909015,0.5950872172,-0.009157423,0.0,-0.006549958,0.2833981317,-0.036363635,-0.0357142857142857,0.0188679245283018,-0.0689655172413793,-0.0181818181818181,-0.0999999999999999,-0.0689655172413793,0.0188679245283018,-0.1290322580645161,-0.1428571428571429
18606.0,0.0018288198,0.0052503714,0.0302202757,-0.298157177,0.0087628947,0.0093429516,3.0,0.0082212657,-0.968906014,0.0,0.2168284789644012,0.3722627737226278,0.4803149606299213,0.49800796812749,0.5798319327731092,0.8076923076923077,0.7327188940092166,0.8894472361809045,0.8613861386138615
44601.0,-0.000125669,0.0257186377,0.0502419324,0.0099295748,0.0060073693,0.0497642092,1.0,0.0002479339,1.1802457417,0.0524730869,0.021097046413502,-0.0041152263374485,0.0083333333333333,0.1523809523809522,0.1862745098039215,0.2474226804123711,0.1469194312796209,0.1152073732718894,0.1804878048780487
46156.0,-0.025783507,-0.007000015,-0.013245616,-0.437625031,0.0250137795,-0.043226324,0.0,-0.072471243,-0.69348659,-0.014925373,0.0940170940170941,-0.0303030303030302,-0.1048951048951049,-0.1794871794871795,-0.0857142857142857,-0.1741935483870967,-0.2335329341317364,-0.2768361581920904,-0.6483516483516483
16126.0,-0.000142146,0.0022073181,0.0028243473,0.0503162172,0.0223477965,0.1448585743,1.0,-0.000158103,-0.013685252,-0.056349207,0.0,-0.2857142857142857,-0.3333333333333333,-0.2592592592592593,-0.4117647058823529,-0.3939393939393939,-0.4285714285714286,-0.5,-0.4444444444444444
