firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,mve_ia,herf,mve,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
10006,1.3947290434,0.1229103321,-37.51153875,0.0909899139,3.0650178786,2.9178866751,0.0780748753,-0.032574831,0.2155044621,-0.102555701,-0.013937057,8.0,-0.048086067,-0.358589157,-0.163851368,0.1718306035,0.1412075129,0.0719850316,0.1056055412,0.0293222652,-0.071155997,0.532674686,0.0,2.4475919603,0.2563525079,0.8234712579,0.1515204442,59.904104364,9.03281951,0.1122596148,0.0,0.0,1.0,0.0,0.0,0.5304441651,3.0,0.0179039943,-0.003176224,-0.314644087,0.2965603884,17.945713697,-1.271122572,-321.9131033,0.0858898163,12.913002532,-0.001897266,-0.006066645,-0.501710562,0.0052404912,-0.093706706,0.0,-0.059928203,1.1774943537,-0.003557598,2.0,14.633416388,1.9103630186,0.0,0.0125000002,0.0050996581,0.0069324236,0.5407720443,2.284755344,2.104907e-09,2.1607343e-08,1.0077581565,1.015576502,-0.023236274,0.0363904969,0.3197723156,0.6882638898
68806,0.3593791355,0.0611443443,0.6542300574,0.0,0.9835704208,1.1808125374,0.1049150006,0.1619394211,0.2626952578,0.1295087599,0.0386778463,8.0,0.0059874037,0.1176133104,0.1874975596,-0.259658763,-0.002678994,0.1330740813,0.2161501889,0.0569956889,0.7208502463,0.6376897858,0.0,2.5761779234,0.1271726182,1.7891638728,0.4147864568,4.831550519,5.7417324817,0.1551080333,0.0,0.0,1.0,0.0,0.0,1.2568710687,4.0,0.0547202957,0.0635930241,0.212616691,-1.277503536,-1.003244826,0.4453917356,16.323906951,0.0666725774,12.264935717,0.0130388274,0.0487242739,0.022678253,0.1748942506,0.0403453566,0.0,0.0054400263,-0.154570206,0.0413664673,2.0,10.549071316,0.1663461025,0.0,0.0454545468,0.0302780657,0.034828988,0.9302385651,0.3765411978,3.385442e-07,1.806797e-07,1.5095045129,2.2786038744,-0.004551392,0.0695228139,-0.766883125,0.5996854112
10314,0.6478974139,0.0438836184,0.9482081107,0.0,0.3073490733,1.3412340221,0.057209487,0.3849486616,0.5228203454,0.0414388489,1.7183200579,3.0,-0.005624129,0.1768953069,0.8261063427,-0.171068799,0.4726932398,0.1556709714,-0.142577433,0.2283815063,0.1235181373,0.628971502,0.0,3.0125747269,-0.409015267,2.5930735931,-0.38346681,10.29990569,3.564791644,0.4247322298,0.0,0.0,1.0,0.0,1.0,0.608220345,4.0,-1.117535049,0.2777755047,0.0496801613,-0.021671611,0.9394099136,-0.437417564,-195.0553324,0.0419981991,10.084803395,0.0121896366,0.0174209308,0.1432358028,0.1363188344,-0.028949033,2.0,-0.005526389,1.7987177999,0.0308315717,6.0,9.5858959497,0.6066132449,0.0,0.1489361674,0.0582491664,0.0324463595,1.2572702113,2.1235239025,1.103731e-06,4.0096062e-08,1.5640416526,2.446226291,0.3979692737,0.0836610322,-0.111204026,0.7195953423
15763,1.1044584389,0.0836217586,-11.17859424,0.0826102471,1.2137564258,2.748334053,0.0374174095,-0.064156066,0.4089320956,0.0156080642,-0.061826462,8.0,-0.049779595,-0.189821764,-0.170922869,0.0431264798,0.0348489093,0.1263699486,-0.08892134,-0.005594651,-0.066821002,0.5446287962,0.0,1.7018111027,-0.045295495,1.2288486422,-0.01233432,36.398784656,4.2393575525,0.1707293744,0.0,0.0,1.0,1.0,1.0,0.7874794323,2.0,-0.261844073,-0.136215504,-0.162140327,-0.21381659,-0.372738996,0.7712568021,327.68216787,0.0981979719,12.948669297,-0.003413219,-0.007156807,-0.147951942,0.0518909469,-0.089057904,0.0,-0.035790129,7.9125311735,-0.107313825,5.0,12.592858545,0.5550357264,0.0,0.0437956192,0.0177575516,0.028825107,0.6124671882,1.7755724235,8.2579379e-09,3.5191704e-08,1.4797435919,2.1896410979,0.1013225717,0.0420691231,0.1566211517,0.724327322
21020,0.9071732876,-0.021278818,-3.130732384,0.0130550151,3.2006192805,4.5317415176,-0.018416125,0.0424244581,0.0727979967,0.294618647,0.0181331119,8.0,0.0019827024,-0.002403846,0.0166179286,0.0502514967,-0.173206908,0.1057320897,-0.012730633,0.1015279728,0.1435395836,0.5825644207,0.0,0.9768675745,-0.01528131,0.8211118172,-0.022103335,8.9661165753,8.1242886096,0.0832430537,0.0,0.0,1.0,1.0,0.0,0.1690976054,1.0,0.0381683485,0.0201301468,-0.015273231,-94.51264825,-0.716893794,0.9351829276,709.72822736,0.0678537183,14.266483306,-0.007209994,-0.029676104,0.0829961883,0.1153887281,-0.035333716,0.0,0.0138788823,-0.068282117,0.0187946931,2.0,14.757954299,1.9103630186,0.0,0.0488888882,0.0274906727,0.039661243,0.6292798313,6.6741261131,1.8672214e-09,9.0859256e-09,1.1957581941,1.4298376588,0.1465701173,0.069025173,-0.366510447,0.2757570465
62500,0.5440708536,0.1186921034,1.4107938731,0.0,0.3928383593,1.0722637898,0.2060010699,0.3090092912,0.5799143961,0.1128584644,0.1049810845,6.0,-0.013654037,0.1325301205,0.363727074,-0.038984671,0.0477835345,0.1187648456,-0.209138205,0.0903017016,0.5103712923,0.6592262142,0.0,3.4245979186,-0.122923922,2.4066225166,0.0398914321,6.3568106312,3.6029374843,0.392092257,0.0,0.0,1.0,1.0,0.0,1.0838000415,5.0,0.0600387493,-0.141633982,0.1085280335,-0.051681793,3.8552557741,-0.334404614,-190.1984188,0.081761087,10.969318352,0.0367449801,0.0494935669,0.031445238,0.2209281296,-0.029676528,2.0,0.00328335,-0.033367733,4.18937e-05,5.0,10.195559973,0.4276242142,0.0,0.0603448264,0.0252736665,0.0351805779,0.8614998034,1.9548503482,1.9311741e-07,4.133564e-08,1.8515012729,3.4280569635,-0.026973068,0.0741367108,0.0902238903,0.6340593814
28636,2.6788732089,-0.64266577,-13.1916806,0.0148387587,6.6847306136,13.361738131,0.0253347948,-0.074058822,0.2518102886,0.0,-0.011953929,8.0,-0.017444761,0.01735107,0.1422350803,0.2795089454,-0.084653645,0.1040139551,0.0141458053,0.0329026391,-0.199631848,0.5235670379,0.0,2.9274046042,-0.018527463,1.331251971,-0.074342562,51.497993311,10.153577316,-0.02323871,0.0,0.0,1.0,1.0,0.0,0.5785175391,1.0,0.021495108,0.4076012035,0.1082574635,1.3670917453,-0.377000856,-0.310404963,-87.0371532,0.1150017859,10.600000936,0.0055257212,0.0212544871,-0.441228898,0.1604320928,-0.0112971,3.0,0.0227534864,5.5475763016,0.1271794923,1.0,10.699696045,1.0261088393,0.0,0.0294117648,0.0176633836,0.0205092967,1.0613302393,1.9158380615,2.0066541e-07,3.4875812e-08,1.5095480824,2.2787354129,0.1208727057,0.0989821861,-0.318561887,0.7356070955
56899,0.6542401036,0.0300473375,0.9668990317,0.0111525995,0.817491424,1.1790492918,0.0336996171,0.0031529305,0.2346461637,0.0035948403,-0.027298063,8.0,0.0001600662,-0.179265659,-0.019222774,0.3889672663,0.6596748357,0.0902472296,-0.01703787,0.0893308039,0.0439909297,0.5968313157,0.0,7.4150179442,0.8074202642,3.7932272016,0.6239286687,6.6704923486,5.6746851564,0.1058561354,0.0,0.0,0.0,0.0,1.0,0.4347642505,4.0,-1.101684291,0.1316193722,-0.306480804,-0.015328922,-0.339495676,-1.248752439,-117.4445914,0.0419981991,12.117436768,0.0037689613,0.0084783846,0.0050498432,0.2675502361,-0.132422049,0.0,-0.000190436,0.3028495693,0.0663900496,2.0,11.194980042,0.3300835128,0.0,0.0325581394,0.0273787853,0.031978979,0.792038136,1.5712403762,8.4677327e-08,5.6930246e-08,2.2202552753,4.9295334873,0.1475868907,0.0668005178,-0.648416211,0.7195953423
20482,0.2770532999,0.0611056043,20.389145676,0.0216636056,0.2654581076,0.5500218745,0.1725192229,0.0896989446,0.537446516,-0.003232653,0.0435872489,8.0,0.0053188183,0.0204114025,0.1109590907,-0.025050281,0.0328149184,0.093270252,0.0669935438,0.1050257406,0.1378724882,0.4437960165,0.0,1.2583927324,0.0287954446,0.7758419596,0.0497713012,22.526140396,6.0854127061,0.3034372451,0.0,0.0,0.0,0.0,0.0,1.0264797535,6.0,0.0537583015,0.0642742627,-0.003590685,-0.318699347,-0.263905937,0.6303090442,3822.0163967,0.081761087,15.432261291,0.0293006102,0.0573749357,0.0180385087,0.1117426891,-0.071330863,0.0,0.0021850677,-0.138794567,-0.008660204,6.0,13.809939946,0.2078290505,0.0,0.0350000001,0.0130982688,0.0169710655,0.4512294216,0.4844231488,1.5390366e-09,8.6668693e-08,1.0346286167,1.0704563746,0.1559501626,0.0319584036,-0.161850151,0.6340593814
10640,0.5197937471,0.0776207508,-2.300839354,0.0100848249,1.1896245782,2.2015294305,0.1184255423,-0.12679218,0.4659356574,0.0047995483,-0.210586433,8.0,-0.017384293,-0.029810298,0.0016676955,0.2578399902,-0.010797203,0.1147730558,0.0595345601,-0.004106755,0.1534106228,0.5708726381,0.0,2.8544628397,0.202250639,1.5801241677,0.1126914813,46.202294943,3.6858450585,0.0873829425,0.0,0.0,1.0,1.0,1.0,1.8354453132,5.0,0.054274331,0.1667934055,-0.053812385,-0.0759589,-0.978673304,-0.020025363,-167.5840281,0.081761087,11.257226438,0.0111120325,0.0365435562,0.0029207415,0.034290244,-0.018709173,0.0,0.0028910893,-0.299627459,0.013616665,3.0,10.599932415,0.6840193705,0.0,0.0503597111,0.0173884371,0.0229426028,1.0176964642,3.4216003183,4.9279065e-08,2.5396905e-08,2.0109291113,4.0438358908,0.0634152608,0.0610708849,-0.494933531,0.6340593814
