firms,bm,ep,cashpr,dy,lev,sp,agr,gma,chcsho,lgr,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
10006,1.0797124394,0.126986799,-22.24663134,0.0654720155,2.2350611821,2.5092618199,0.1181364738,0.2465461546,0.0163170163,0.1416181027,7.0,0.0301108871,-0.05259901,-0.101035667,-0.221483654,0.1392602777,0.0651091451,0.0501638969,0.1197930938,0.0724723843,0.5451709133,0.0,1.948172941,-0.157476564,0.7151164897,-0.15315774,42.894760882,7.176552852,0.1244697088,0.0,0.0,1.0,0.0,0.0,0.5914278435,3.0,0.0055504333,-0.20141101,-0.031319654,-0.267060714,-0.324987015,-34.96013921,0.0978663225,12.529230296,0.0032469921,0.01139828,0.0342307776,0.1326264476,0.0113054226,-0.062700353,1.0,0.0240559472,0.008262286,3.0,12.328179653,0.6843130096,0.0,0.0416666679,0.0171781024,0.0240206061,0.9483896314,3.1448990921,3.2423524e-08,3.1079793e-08,1.063162396,1.1303142802,-0.018381551,0.0292785609,0.4301936104,0.3879701168
68806,0.5543285614,0.1364308172,-2.53067111,0.0,2.5135183802,2.6394029905,0.2670161525,0.2809199186,0.0027557699,0.247002582,7.0,0.0773955736,0.1216216216,0.5184987549,0.2109072098,0.1753718127,0.1094224073,0.1084948419,0.3060601976,0.3664577864,0.57662043,0.0,2.2855220946,-0.13524995,1.2646176136,-0.289966942,11.141676334,6.9972223487,0.1491459604,0.0,0.0,1.0,0.0,0.0,1.4253112033,4.0,0.0354518642,0.310726686,0.1573438091,-65.01457562,2.2396097157,-55.66009639,0.0711665001,12.274996265,-0.000967747,0.0127184876,0.0681297374,0.0811012388,0.0952857761,0.0033187484,1.0,0.0026900199,0.012820513,3.0,11.102239251,0.4807994204,0.0,0.0561224483,0.0268817109,0.0162509018,0.8370842094,2.2922257944,5.499507e-08,3.7818422e-08,1.7007786161,2.892647901,-0.045142611,0.0786338974,1.5893559099,0.370664471
15763,0.7092982425,0.1050630513,-3.698693851,0.04530557,0.7753411335,1.9866394033,-0.028830179,0.4596950336,0.1226575809,-0.066652373,7.0,-0.03497499,-0.181259601,-0.171100956,-0.074481219,0.1160225607,0.1387036644,-0.008748459,-0.050062237,0.0172374388,0.5711478393,0.0,1.7825527095,-0.067928164,1.2441949403,-0.029047239,30.446221626,4.0188369748,0.2236334329,0.0,0.0,1.0,1.0,0.0,0.9503782243,3.0,-0.045590302,-0.274005231,-0.247880195,-0.64500963,-0.27942504,590.01155879,0.0966186901,12.887392344,-0.007225677,0.0087369565,0.0198586342,-0.023899503,0.0727820554,0.0073448681,0.0,-0.038009353,-0.101692397,5.0,12.611122251,0.7812166489,0.0,0.0434782617,0.0185719117,0.0314951901,0.4860545554,1.8130388754,1.1816665e-08,3.0817178e-08,1.503645383,2.2609494378,0.072744918,0.045210574,0.5477153062,0.2533037696
21020,2.310805686,0.0532193941,-4.143151316,0.0380278485,9.1570130141,12.984694684,0.1404379413,0.0984355142,0.0023695031,0.1709935585,7.0,0.0002804976,-0.03255814,0.0752993082,0.0725116298,0.9336790181,0.1070954831,-0.117257687,0.1548579235,0.0519880184,0.5866895309,0.0,0.9920270476,0.0003919842,0.8396713542,0.0280139733,8.934198624,7.7227044441,0.0995121675,0.0,0.0,1.0,1.0,0.0,0.2683853573,4.0,0.0389873474,0.0640106405,-0.164228809,1.3253643596,-0.676936578,161.91545433,0.0705343959,13.604779341,-0.002685075,0.0001275487,0.0005851316,-0.02087478,0.1101990354,-0.013773121,1.0,-0.03734601,-0.022840202,2.0,14.89520834,2.7606222533,0.0,0.0696202517,0.0432473731,0.0563927537,0.4648304946,7.2289131554,3.5896339e-09,7.1467775e-09,1.2915223797,1.6680300572,0.0780420835,0.0663837856,0.1107088789,0.4528724039
62500,0.5440708536,0.1186921034,1.4107938731,0.0,0.3928383593,1.0722637898,0.3090092912,0.5799143961,0.1128584644,0.1049810845,6.0,-0.013654037,0.1325301205,0.363727074,-0.038984671,0.0477835345,0.1187648456,-0.209138205,0.0903017016,0.5103712923,0.6592262142,0.0,3.4245979186,-0.122923922,2.4066225166,0.0398914321,6.3568106312,3.6029374843,0.392092257,0.0,0.0,1.0,1.0,0.0,1.0838000415,5.0,0.0600387493,-0.141633982,0.1085280335,-0.051681793,3.8552557741,-190.1984188,0.081761087,10.874574187,0.0211399937,0.0510000425,0.0909917418,0.0799499847,0.1800382806,-0.054533276,3.0,0.0129264928,0.0768351089,5.0,10.806153386,1.2101980924,0.0,0.0945945978,0.0305720691,0.0370248767,0.8970502139,10.565831284,9.3722211e-08,1.319509e-08,2.0538836489,4.2184380434,-0.079425759,0.0847661747,0.4297674923,0.4116809181
28636,2.6788732089,-0.64266577,-13.1916806,0.0148387587,6.6847306136,13.361738131,-0.074058822,0.2518102886,0.0,-0.011953929,8.0,-0.017444761,0.01735107,0.1422350803,0.2795089454,-0.084653645,0.1040139551,0.0141458053,0.0329026391,-0.199631848,0.5235670379,0.0,2.9274046042,-0.018527463,1.331251971,-0.074342562,51.497993311,10.153577316,-0.02323871,0.0,0.0,1.0,1.0,0.0,0.5785175391,1.0,0.021495108,0.4076012035,0.1082574635,1.3670917453,-0.377000856,-87.0371532,0.1150017859,9.3521762492,0.0311695666,-0.06216521,-0.197768134,0.3643739628,0.0277046811,-0.008588391,0.0,-0.387460643,0.0,2.0,8.4198008454,0.4314774038,0.0,0.0535714291,0.0264079037,0.0352308039,0.7442066798,0.5570204234,2.9497423e-06,2.0000001537,1.0821041478,1.1709493866,0.2540856523,0.0755287713,0.3240740627,0.3502546279
56899,0.9745504596,-0.044303983,-1.791827705,0.0230283172,1.3069751156,1.8695000584,-0.068849482,0.1331894434,0.0119837364,-0.079564237,7.0,-0.088851527,0.1047482701,-0.130871913,-0.338205426,-0.350917008,0.091811502,0.1326616736,0.0117434114,-0.05408204,0.6159531469,0.0,4.1025422206,-0.137250234,2.3358336328,-0.033524428,8.2939148073,3.4241569897,0.0256082089,0.0,0.0,1.0,0.0,0.0,0.2010473218,1.0,-0.052205061,-0.22788128,-0.01474933,-54.53115241,3.1043091957,-132.112678,0.0459337256,11.653474054,0.027529362,0.0055975866,0.0125967359,0.030029526,0.0724831045,0.0448451267,4.0,0.0640329967,0.0615667654,2.0,10.796908759,0.8404972609,0.0,0.0760233924,0.0390607235,0.0340749048,1.1587208682,5.4857257663,1.5093447e-07,2.4700225e-08,2.0166640885,4.0669340458,0.1384585402,0.064942186,0.3695484026,0.3892210248
49648,0.196547191,0.0144694114,41.532021243,0.0011535481,0.3594934835,0.481273343,0.078653879,0.0821924494,0.0743117957,0.0328547487,7.0,0.0046647961,-0.133333333,-0.162873281,-0.192094289,-0.204440432,0.0829419431,-0.064177599,0.067964956,0.2019059281,0.4567683333,0.0,1.993573999,-0.173628858,1.2243673959,-0.219037796,34.5395189,3.7864652899,0.0824028103,0.0,0.0,1.0,1.0,1.0,0.1249234701,3.0,0.1206143737,-0.046450466,-0.173244128,-0.31203927,0.1420182836,19.023907559,0.0385211925,11.238761608,-0.00352563,-0.006115291,-0.016397066,-0.023287345,0.0089722734,0.1798170367,0.0,-0.000916103,0.0061250795,1.0,11.644857924,1.0689581463,0.0,0.0270270277,0.0106150072,0.0120371151,0.885722815,3.9440765303,4.57384e-08,2.2058324e-08,1.7852699208,3.1871886903,0.0982978022,0.0922235885,0.6100000016,0.0415698425
27991,1.1420598181,0.1767618161,-80.40635213,0.1263468185,1.6145100578,0.7897887046,0.1599141945,0.1193372132,0.2056928933,0.1457021383,7.0,-0.000522349,0.0644637053,0.151998015,-0.072650349,0.2392486957,0.0244805775,0.0240430942,0.1661921889,0.2141262893,0.524043416,0.0,0.6140691997,0.0262384395,0.3752553056,0.1269576896,82.375011672,9.5673119679,0.1620291604,0.0,0.0,0.0,0.0,0.0,0.1726253532,5.0,0.0479988007,-0.034763218,0.0262847755,-0.190950972,-0.184590574,680.26975048,0.0093706647,14.252968236,0.004288828,0.0118238721,0.0262258458,0.0312353351,0.0029389647,-0.002277082,0.0,-0.003527685,0.0182187725,4.0,13.451673419,0.4996131056,0.0,0.0102040814,0.0085394023,0.0141865496,0.5230214592,1.0636940117,2.5770681e-09,4.7911791e-08,0.330967108,0.1095392266,0.5697683567,0.0282178805,0.2124551127,0.2581736044
20482,0.3483144369,0.0747643235,8.9179255832,0.0267761149,0.3638890401,0.7082452003,0.1419315776,0.5365807783,0.9833881126,0.1621744802,7.0,0.0137849402,0.0148186328,0.149334643,0.0500634958,0.0255782105,0.0874140734,0.0771415895,0.1117517083,0.121519983,0.4320416817,0.0,1.2231709803,-0.076488704,0.7390580774,-0.06660076,18.064553692,6.2226286485,0.277819162,0.0,0.0,0.0,0.0,0.0,0.9918917235,5.0,0.0083208603,0.0479342744,-0.046227898,-0.314476179,-0.42691433,3130.463489,0.0851159683,15.313109347,0.0034209006,0.0289153131,0.0603878018,0.0201193998,0.0682576304,-0.01549761,1.0,0.0029912596,0.0679391529,6.0,14.055192592,0.2653120837,0.0,0.0342307687,0.0203539157,0.0269741038,0.3223010921,0.4277420695,3.2115981e-09,8.0123258e-08,0.9917136496,0.9834959628,0.0962673939,0.0314161976,0.3015783031,0.4116809181
