firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10
54594.0,0.0046771626,0.013393861,0.0226529909,0.049213996,0.0172369401,-0.020199531,0.0,0.0048637609,-0.69275634,0.0138837462,-0.0232558139534884,0.1351351351351351,0.0838709677419355,-0.0454545454545454,-0.081967213114754,-0.0718232044198895,0.0120481927710842,0.0306748466257669,0.0769230769230768,0.0700636942675159
26649.0,0.0,0.0182194815,0.018260913,-0.006163102,0.0350967531,0.0,1.0,-0.008723262,1.6733236982,0.0137475412,-0.0944309927360774,-0.0285714285714285,-0.1519274376417233,-0.15,-0.1576576576576577,-0.1322505800464036,-0.0157894736842105,-0.1869565217391304,-0.2444444444444444,-0.26953125
10867.0,0.0217488013,0.0368685497,0.1118895529,0.2014268887,0.0416538632,-0.267765844,1.0,0.0266151821,2.1354371049,0.1361017078,0.0,0.1052631578947369,0.2857142857142858,0.05,0.05,-0.015625,-0.0454545454545454,-0.0999999999999999,0.05,0.0
12320.0,0.0068606657,0.0141896724,0.0237419972,-0.105868855,0.0178604171,0.072501682,1.0,0.0268571429,1.7914127845,0.0483870953,-0.0789473684210526,-0.0410958904109589,-0.054054054054054,-0.2222222222222222,-0.3203883495145631,-0.3269230769230768,-0.2553191489361702,-0.2553191489361702,-0.2473118279569892,-0.2391304347826086
13056.0,0.0025087495,0.0271779955,0.0514861931,0.0159553262,0.0887328068,0.0215713303,0.0,0.0003053435,1.1438051976,-0.003744889,-0.0774647887323943,0.0564516129032257,0.0522088353413654,0.0038314176245211,0.0650406504065039,0.043824701195219,0.1909090909090909,0.1441048034934497,0.31,0.2718446601941748
50091.0,-0.00079624,0.0044501475,0.0096320757,0.0659778227,0.0124433973,-0.053437863,0.0,-0.000465116,-0.485338121,0.0119042741,0.0403225806451612,0.131578947368421,0.1944444444444444,0.1834862385321101,0.167420814479638,0.1025641025641026,0.162162162162162,0.1569506726457399,0.1217391304347825,0.0932203389830508
14526.0,0.0127886733,0.012046724,0.0228707288,0.0514575067,0.0192026556,-0.00402421,0.0,-0.001824391,-0.518475617,-0.052920636,-0.0120481927710843,0.1549295774647887,0.28125,0.1549295774647887,0.1714285714285714,0.0649350649350648,0.1714285714285714,0.2424242424242424,0.1714285714285714,0.1549295774647887
27502.0,0.0078327944,0.0196422528,0.0270144468,0.0106704697,0.1320491589,-0.002342214,0.0,0.005195169,-0.623976996,0.0079144977,0.0826446280991735,0.1696428571428572,0.3645833333333332,0.2843137254901962,0.4162162162162162,0.5595238095238095,0.7012987012987013,0.6794871794871795,0.7012987012987013,0.6582278481012658
15465.0,-0.001315632,0.0199304988,0.0241735537,-0.001435517,0.6085069444,-0.014815566,1.0,-0.003774022,0.0451803546,-0.031437943,0.2962962962962963,0.5555555555555556,0.2962962962962963,0.25,0.320754716981132,0.2068965517241379,0.2727272727272727,0.1666666666666667,0.2068965517241379,0.320754716981132
44601.0,0.0016131591,0.0221588854,0.0434822788,0.0147598296,0.0055011435,-0.055775611,0.0,-0.000273038,0.7876721487,-0.034570426,-0.020066889632107,0.14453125,0.2107438016528926,0.2362869198312236,0.2057613168724279,0.2208333333333334,0.3952380952380951,0.4362745098039216,0.5103092783505154,0.3886255924170616
46156.0,-0.040145397,-0.006706006,-0.01212589,-0.423450288,0.0249492167,-0.062478754,1.0,-0.078046243,-0.748792271,0.0079355314,0.1065573770491803,0.0546875,0.0546875,0.1538461538461537,0.0227272727272727,-0.0559440559440559,-0.1346153846153845,-0.0357142857142857,-0.1290322580645161,-0.1916167664670658
