firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
54594,1.2750271579,0.0350328756,-1.648677914,0.0151149907,1.6618014054,2.9513785076,0.0664329324,0.3702873715,0.2376746639,0.0088823732,0.9244233601,0.033869084,2.4556451613,-0.050995436,0.033869084,46,0.0576719871,-0.044247788,0.0182766351,-0.049702904,0.0999771219,-0.185233174,0.1362378065,-0.003642786,0.5778075517,0,3.7554163404,0.4095132196,1.9472722527,0.9151302072,4.9194725689,0.0766347821,0.0,0.0,0,0,0.0,0.3877911469,2.0,-0.510790392,-0.005212385,-0.103156336,2.5569094868,0.1349886373,0.7260343104,-2293.438446,0.0499936053,14.129307098,-0.000455866,0.0084023807,0.0161688749,-0.159003783,0.067693045,2.0,0.0042298202,1.2449053138,-0.003913761,2.0,14.636829403,1.9027152524,0,0.033987876,0.0191324416,0.0312431791,0.3602553559,5.0000532576,1.1371538e-09,8.3428564e-09,2.2555373122,5.0874485665,0.0071701846,0.0521709699,-0.68244722,1.0472274117,0.4578622816032887,0.5090425531914893,0.4058473736372647,0.6475029036004647,0.3725205611998063,0.406544372830937,0.4489274770173648,0.5974099099099097,-0.1788712011577423,-0.3337247534053545,-0.3709534368070953,-0.3651823674200044,-0.3204790419161676,-0.3115748604707595,-0.3396182495344506,-0.3222646918299091,-0.2288665398206033,-0.0571618477899633,-0.1599052413384661,-0.1273454321747154,-0.2233780454421023,-0.2470806794055201,-0.240224959828602,-0.3506523231860837,-0.4037410676754939,-0.4076007517226978,-0.3921148489393614,-0.4016030373338957,-0.3897612389761239,-0.3651823674200044,-0.3448036951501154,-0.3568351847653592,-0.3337247534053545,-0.2989869038794168,-0.2779333163654873,-0.3177008177008176,-0.2705065569555155,-0.249073583906829,-0.2132556849694953,-0.2414438502673795,-0.183831990794016,-0.1880366342301086,-0.2117254792998055,-0.1564079690752304,-0.1757699012202208,-0.1131603626133166,-0.1416036308623297,-0.2309568988885877
14526,0.6473366244,0.0775559326,-4.759458791,0.0234418988,0.7668822915,1.7379611338,0.0779075303,0.0569414175,0.3323999596,-0.021173422,0.0705813228,-0.04127876,-0.732435313,0.1343606365,0.0412787604,46,0.0147253795,0.0285714286,-0.010835305,0.0846078545,0.0956854097,-0.185454093,0.0980145445,0.0412256683,0.3819186947,0,1.3794485962,-0.156109716,0.7220261724,-0.202818466,88.029883891,0.1655552403,0.0,0.0,0,0,0.0,0.6968167522,6.0,0.0193469764,-0.019152298,-0.013776065,-0.045688493,-0.179906326,0.067289505,-1761.163184,0.0529773358,13.854456905,0.0059584742,0.0353466768,0.0708385915,-0.035717071,0.0517430307,2.0,0.0076219512,2.87423117,0.0216226934,6.0,14.086534856,1.6000574555,0,0.1220523193,0.0342875558,0.0336690806,0.5706758011,7.6501066379,2.7888357e-09,1.2464472e-08,1.913740175,3.6624014575,0.0269783507,0.0476492376,-0.098028265,0.6880914898,0.0983675177898701,0.2278895648104819,0.2537028189202102,0.2153774895785085,0.1388888888888888,0.2707021791767554,0.283757338551859,0.2603266090297789,-0.1308380258363697,-0.1753614079195474,-0.1926153846153846,-0.3138075313807532,-0.3010122535961641,-0.3270069248525263,-0.2894665583536421,-0.3530571992110454,-0.3959484346224677,-0.2761379310344828,-0.3488833746898263,-0.3000800213390238,-0.2647800504342953,-0.2298209568535368,-0.1209380234505863,-0.2801097393689987,-0.2731301939058173,-0.3649564375605034,-0.4668833807395368,-0.4830575256107171,-0.4552626115839735,-0.3988545246277205,-0.3617124787156409,-0.3946943483275663,-0.3917477978674084,-0.4234234234234234,-0.4261972446971354,-0.4755146911852889,-0.4502409386130316,-0.4562784915043514,-0.3995423340961099,-0.4962564791706662,-0.5383532723434201,-0.5075075075075075,-0.5185321100917432,-0.5598054017782251,-0.5410982861140259,-0.5402943237561317,-0.51008215085885,-0.449895178197065
11581,0.2888281758,0.00446799,4.6824012617,0.0019224337,0.3739282291,0.3966211479,0.0393870774,-0.266821077,0.2049624913,-0.011080791,-0.434976522,0.0089460568,1.5684721972,-0.002539928,0.0089460568,34,-0.00822758,-0.510638298,-0.246604089,0.0002376101,0.1881276217,-0.472112982,0.0347397521,0.192732561,0.3803322504,0,3.2328045337,0.3297336319,2.5772919391,0.1853866653,3.2417165013,0.040797632,0.0,0.0,1,0,1.0,0.7041726017,6.0,0.1065864485,0.1165302298,-0.511541436,-0.167662515,-0.261500106,-0.054764354,-7385.904365,0.0376507894,14.287140308,0.0014397168,0.0058498545,0.0134233045,-0.02033887,0.18909221,2.0,-0.000446628,0.4576688471,-0.030487916,0.0,13.783342041,0.7183750533,0,0.076585561,0.0244329333,0.0249300547,0.6061523549,5.8970639912,3.1423709e-09,2.0651744e-08,1.1075873945,1.2267498365,-0.014236549,0.0385547401,-0.110185961,0.8507321643,0.2557487380818846,0.1903242955874535,0.0764423076923077,0.1846560846560847,0.2721590909090907,0.2508379888268157,0.3124267291910905,0.3528700906344411,0.0477304632662611,-0.0311553440069233,-0.1398386477141759,-0.0883550488599348,-0.0960839725474363,0.0205104831358249,0.0081044574515982,-0.0222707423580784,-0.0975413139862957,0.0112917795844624,-0.1247068021892102,-0.0812474353713582,-0.0842535787321062,-0.0218435998252511,0.0666984278227729,-0.1253906249999999,-0.0612159329140461,-0.1974910394265232,-0.2397283531409167,-0.2157618213660245,-0.2371379897785349,-0.0411134903640257,-0.0492569002123142,-0.0369892473118279,-0.0136563876651981,-0.0953535353535353,-0.1150197628458498,-0.1518939393939393,-0.1219607843137254,-0.1253906249999999,-0.069022869022869,-0.074793388429752,-0.0898373983739837,-0.1371868978805395,-0.1798534798534798,-0.1502846299810246,-0.1566854990583803,-0.1437858508604206,-0.1371868978805395,-0.1371868978805395
15203,0.8971172175,-0.190434794,-123.5934758,0.0,0.8055672521,2.0292217347,-0.263138298,-0.028118054,0.1663306973,0.0309158531,0.1778101417,-0.065373526,-0.592962435,-0.077514115,0.0653735256,46,-0.088440367,0.016,-0.020970772,-0.326555586,0.1418169209,-0.141612123,-0.082338347,-0.159996608,0.4836946764,0,1.6708840227,-0.237870643,0.402757502,0.1017598754,526.05400593,-0.156240501,0.0,0.0,1,0,1.0,0.2469899949,2.0,0.0758342094,0.1620359484,0.0150968614,0.4406265269,0.4811560433,-0.129738541,-8618.597215,0.0376507894,9.6420319032,-0.023827984,-0.022774327,-0.042718447,-0.184820454,0.000159549,0.0,-0.0245401,-0.056072442,-0.030701835,4.0,9.493366649,1.5572974166,0,0.0716510937,0.0248337159,0.0420687229,0.866945009,9.4485691881,1.8830876e-07,9.8953873e-09,0.4865669588,0.2367474054,0.1169157055,0.0784819001,-0.044976469,0.8507321643,0.0641025641025643,0.0825616277553151,0.0573248407643314,0.1422018348623852,0.0595744680851064,0.2835051546391753,0.276923076923077,0.1800947867298579,0.2028985507246379,0.4067796610169492,0.4067796610169492,0.3531873267757188,0.3681318681318681,0.1635514018691588,0.2296296296296298,0.1690140845070424,0.2326732673267326,0.2428250561517346,0.1581395348837211,0.20873786407767,0.1581395348837211,0.3105263157894737,0.2450000000000001,0.0418410041841004,0.1662763466042156,-0.0039999999999998,-0.0945454545454544,-0.0945454545454544,-0.0423076923076922,-0.0945783789680375,-0.0423076923076922,0.0375,-0.0423076923076922,-0.1559322033898305,-0.1654656969534469,-0.0779143830543622,-0.0777777777777777,0.0821382007822686,0.1857142857142857,-0.1107142857142855,-0.1559322033898305,-0.1804897314375987,-0.2567164179104477,-0.2834532374100719,-0.3774999999999999,-0.2095238095238094,-0.2676470588235293,-0.2338461538461538
16126,0.6576468838,0.0500041613,0.1842810805,0.0184760576,0.4555931242,1.1007851008,0.1042497474,-0.013539782,0.2542987589,0.0012636416,-0.093591314,-0.089275763,-2.001181739,0.1500715758,0.0892757634,45,-0.023127995,0.118177137,0.1453261668,-0.038777341,0.1958316427,-0.001852996,-0.007427175,0.050748019,0.3520865499,0,1.2635266363,-0.450019027,0.9077305756,-0.410449926,28.94259547,0.2129768573,0.0,0.0,0,0,0.0,0.4362212785,5.0,-0.002509949,0.1659626545,0.0758296433,-0.035378234,0.3411333469,0.0830004443,-1594.877634,0.0529773358,14.074234875,-0.001889016,0.0197039458,0.0311982912,-0.056896244,0.0190074158,1.0,0.0031397174,-0.10654493,-0.014414242,5.0,14.243275694,1.1226733674,0,0.0228264723,0.0140789283,0.0193483631,0.3849641108,2.7924444398,1.8668042e-09,1.7019342e-08,1.2647297961,1.599541457,0.0892045959,0.0350314969,-0.297838357,0.6880914898,0.3274784161952961,0.3068581477139509,0.2839044054131876,0.4119696010132998,0.2992424242424243,0.4084017687934302,0.4205160879260912,0.5857041251778095,0.2087286527514231,0.0807077072224915,-0.0295973884657235,0.171263462043604,0.1495230729569479,0.0236455463728191,0.0804458444390598,-0.0427221983683983,-0.0310734463276836,0.0596482889733842,-0.0610654874710464,0.0894209626191058,-0.0310734463276836,-0.0035754189944133,0.1048067393458871,-0.065982404692082,0.0054114994363021,-0.1170297029702969,-0.1704186046511627,-0.1773062730627306,0.0262370540851553,0.0309826589595376,0.0008978675645343,0.0203661327231121,0.0915544675642594,-0.0199999999999999,-0.1273972602739725,-0.0729729729729729,-0.0671548117154811,-0.084394250513347,-0.0881390593047033,-0.1205128205128205,-0.2008960573476701,-0.1780645161290321,-0.2448772226926332,-0.2505882352941175,-0.2397271952259163,-0.251217464315701,-0.3021909233176838,-0.3150537634408601
17137,1.0123307951,-0.066756307,-2.087884561,0.0291150001,1.5663741928,2.4718154628,-0.037423865,0.4597484824,0.8117316856,-0.017101621,1.518322073,-0.138861738,-4.519335956,0.234937872,0.1388617383,46,-0.033659878,-0.189432485,-0.146485079,-0.037281261,0.0648590126,-0.551876778,0.3529949305,-0.115520233,0.5667992642,0,1.3574101765,-0.282811173,0.8937324176,-0.083608542,6.0752432535,0.0179031951,0.0,0.0,1,0,0.0,1.2525829742,2.0,0.074676772,-0.126405622,-0.161573207,0.3128441506,-1.212431516,0.1602693188,-1612.993242,0.1460543126,12.382465427,0.016169506,0.0165932907,0.0426354063,0.0304025941,0.1577795498,2.0,0.0203821656,0.339133961,0.0818740611,3.0,13.067701097,2.2268149963,0,0.0609207414,0.0351798671,0.0490988142,0.6509541801,24.014251675,1.0631028e-08,6.085951e-09,1.4503730364,2.1035819447,0.0388344058,0.0704893038,-1.608511926,1.0119091767,0.0636856368563685,0.1476608187134502,0.246031746031746,0.7901938426453821,1.1360544217687076,1.4531249999999996,1.2953216374269003,1.880733944954128,0.5906788247213779,0.2837285363859361,-0.0587529976019185,0.031537450722733,0.0295081967213113,0.0261437908496731,0.2889983579638751,0.2284820031298904,0.0295081967213113,0.0687542545949626,-0.115990990990991,-0.0432663010359537,-0.2050632911392405,-0.1767173571054011,-0.216566866267465,-0.2534474560152164,-0.2050632911392405,-0.2611764705882353,-0.3276231263383298,-0.372,-0.4301270417422868,-0.4321880650994575,-0.459552495697074,-0.4827018121911038,-0.5124223602484472,-0.5375552282768779,-0.5824468085106383,-0.5911458333333333,-0.595360824742268,-0.5835543766578251,-0.5620641562064157,-0.5779569892473119,-0.5862977602108037,-0.4713804713804713,-0.4775374376039933,-0.4163568773234201,-0.4259597806215722,-0.4432624113475177,-0.4835526315789473,-0.459552495697074
20670,0.4177115083,-0.240185859,0.3327589289,0.0,1.0839195531,1.1088182713,-0.030296009,-0.178622193,0.2699834003,0.0228579943,-0.100727939,-0.165263668,-1.145566428,0.0349629975,0.1652636682,37,0.0086317377,0.2244897959,0.0063413964,0.0360331111,0.4181088571,-0.435523799,0.127005795,-0.329360622,0.4439777755,0,1.958147767,-0.594332825,1.6553858819,-0.627482026,3.4086905516,-0.1252006,0.0,0.0,0,1,0.0,0.694728499,5.0,-1.655539787,0.0240752649,0.2115843214,0.1745119811,-1.495075407,0.0873400567,-9673.487032,0.0623260356,13.014417143,0.0052559427,-0.007762724,-0.031417573,-0.056600668,0.2075310701,1.0,0.0065789474,2.4594340831,-0.118381679,3.0,13.418923584,1.3814732944,0,0.0406976342,0.0315602348,0.0282061274,0.7529937156,9.1893154758,6.8167406e-09,1.2495707e-08,1.6877982895,2.8486630662,0.0122204828,0.0585836412,0.0438061608,1.018785499,0.2881355932203389,0.2684283727399164,0.1162790697674418,0.1573604060913704,0.1385767790262171,0.1844155844155843,0.357142857142857,1.0266666666666664,-0.051975051975052,-0.051975051975052,-0.0480167014613779,-0.130600571973308,-0.1871657754010696,-0.2083333333333333,-0.05,-0.1827956989247312,-0.2191780821917809,-0.1023622047244094,-0.375770020533881,-0.2750397456279809,-0.343884892086331,-0.3671061762664817,-0.2990007686395081,-0.4847457627118644,-0.5426278836509529,-0.6193656093489148,-0.6119148936170213,-0.5992970123022847,-0.6107554417413572,-0.5702167766258247,-0.5382278481012659,-0.6013986013986015,-0.6102564102564103,-0.6274509803921569,-0.5744283714419038,-0.600875273522976,-0.5987681478222613,-0.607741935483871,-0.5080906148867315,-0.5225130890052356,-0.5514018691588785,-0.5174603174603174,-0.4916387959866222,-0.4568195354377605,-0.4373843306600864,-0.3928095872170439,-0.3710344827586207,-0.3727647867950482
64899,0.368225661,-0.000358155,147.93292308,0.0172733827,0.450695364,0.2532427836,0.1981761607,-0.065282315,0.1573644869,0.0052543273,-0.09426447,-0.090634377,-54.23299161,0.0774312537,0.090634377,45,-0.02676347,-0.081632653,0.0280310498,0.0125281377,0.0558269125,-0.109457613,-0.015623557,-0.033399729,0.1761261931,1,1.5070940393,0.2942845064,0.9129249935,0.8591092266,102.5,0.0200235571,0.0,0.0,1,0,0.0,0.3293841128,5.0,-0.29043247,0.0118964998,-0.734450302,0.3221597815,-0.24930213,0.1419997548,16578.430562,0.0419666983,15.513291587,0.0308374272,0.0484043458,0.1095910335,0.0110269508,0.0055337199,2.0,0.0034978624,5.6122202057,0.0549304597,4.0,7.7856377752,0.0006028766,0,0.0163559131,0.0116771801,0.0061840909,0.1549316958,0.0053883782,2.1912742e-07,1.8130137e-07,1.1493448736,1.3209936384,0.0565415907,0.0340299657,-0.187744363,0.424629201,0.2009999999999998,0.083129973474801,0.119414441581227,0.126579484632787,0.2102548903378778,0.1531119394555518,0.3031850386161996,0.3730376613934587,0.2159490203084986,0.0719273376384732,0.0815176801946337,0.0918216849893633,0.0605683372587573,-0.0159533449007133,-0.0008319467554077,0.0236650789671597,0.0201919761753668,0.1509888571064557,-0.02095516548169,0.1881670272912952,0.1920519670900939,0.1973958385260366,0.2397984721762491,0.016431571956704,0.0259798994974873,-0.0748980516538287,-0.0230165566082879,-0.0299790954009881,-0.0781144173025693,-0.0842863364909765,-0.1218494623655914,-0.1109366978829476,-0.0678871013461971,-0.0670983684159544,-0.1025494505494506,-0.0636121383054548,-0.0659682510636352,0.0304330271525183,0.0375546295355218,0.0329353435191743,0.0491777467020684,0.124346054298144,0.1891532357641752,0.256276150627615,0.2924115055451459,0.3496166049709148,0.3327023498694517,0.3141735324407826
23660,0.1261642291,0.0341756972,141.91894472,0.0104495677,0.1729407815,0.2763007389,0.158871779,0.0313612478,0.4636694528,0.0012683475,0.0001673455,-0.05495935,-0.473690036,0.0503643844,0.0549593497,37,0.0080212904,-0.111111111,0.0279756998,0.0073132359,0.1509278121,-0.03443549,0.0459950983,0.0774234436,0.2932273402,0,2.6092544581,0.3158201825,1.2769954643,0.2886220902,48.727802919,0.2508314706,0.0,0.0,0,0,0.0,1.1132436214,5.0,0.035300121,0.0497058918,-11.0541702,-0.147097363,-0.048869331,0.0009269327,20354.311744,0.260679618,17.487584436,-0.002339319,0.0354150823,0.0790214946,-0.002324355,0.0831691949,0.0,0.0013228258,0.7337997011,-0.04244996,6.0,17.181153242,0.7680260019,0,0.0322776027,0.0108604386,0.0149681259,0.3098255813,1.2724601083,5.193082e-11,2.3830707e-08,1.0030386137,1.0060864606,0.0139422868,0.0328381833,-0.254568742,0.5590983703,0.1295501551279654,0.0675119450624024,0.0661985375764775,0.1769966873157318,0.3339090078806506,0.4328923038840011,0.6016769147545415,1.051148770349844,0.3320087100550615,0.2736136143671361,0.3204251642792166,0.3821675484322726,0.3224400817940194,0.325251684996207,0.3468536901764099,0.3642297266164951,0.4973239705560273,0.6016769147545415,0.6362714838353136,0.7579535401514024,0.7197481742619469,0.8948323233338127,1.1150066602174733,0.896146813960935,0.9535931709462802,0.796167989484859,0.6651824998828324,0.7375781983568075,0.9198139666172818,0.9495198353909464,1.086318203170875,1.0828935983116423,1.081917203797023,1.1092311665182546,1.280048706924212,1.2567326600609756,1.383923871707184,1.4625727058497366,1.6316570351571764,1.6347791149589086,1.8189462868930495,1.8225293136320304,1.9011185596472604,1.8078077287814125,2.010761715108889,2.0600291964516404,2.0745931983385253,2.1003489528795813
82542,0.3287775126,0.0370883428,5.8598965357,0.0081859946,0.0478173271,0.2835748394,0.193132926,0.1261884352,0.3738635183,0.0040421232,0.1986064614,-0.065904294,-0.631700676,0.0605170741,0.0659042941,45,-0.010067227,-0.14738292,-0.071757342,0.0442477346,0.4532926297,-0.227450476,0.014046914,0.1163785316,0.4767254159,0,7.6835328177,0.2830474054,5.9958518775,0.4620215166,2.6361892841,1.2317062603,0.0,0.0,1,0,0.0,0.4236008952,5.0,1.431440042,-0.086784845,-0.325387479,0.0849255739,5.4946932925,0.147264437,-4825.487391,0.0232852488,13.784493758,0.0013219196,0.0312458553,0.0357902454,0.0003736997,0.2492631043,1.0,0.0034722094,0.5132650239,0.0674034811,5.0,13.198275721,0.5992168483,0,0.0246076435,0.0163713337,0.0231406062,0.6670854902,5.2846195012,3.8477484e-09,2.1977609e-08,1.0505350652,1.1036239233,0.1033482448,0.0373924046,0.0229355979,0.5028100706,0.1133879781420765,0.1105870020964361,0.0858870554473711,0.0535998408910103,0.0336585365853658,0.0632212744606122,0.1240186717589646,0.287519747235387,0.1932650073206441,0.1520060889420462,-0.1057562457798785,-0.0994475138121546,-0.095603926589842,-0.0314471158241155,0.0571742167232089,0.0228808650318594,-0.0157004830917874,0.0418920247811978,0.1310985374185971,0.1449103090555434,0.0973588814085966,0.0508827613568736,0.0589705147426287,-0.0596432058223129,-0.0175259643916914,-0.1181856013316687,-0.1452198467123839,-0.1421052631578947,-0.0963752665245202,-0.1092896174863388,-0.0540178571428571,-0.0901674538428509,0.01875,-0.0569648420115709,-0.120746887966805,-0.1611243072050672,-0.1077894736842105,-0.0489228007181329,0.1331550802139038,-0.0194354465525219,-0.0070290534208059,0.0042654028436019,0.0336585365853658,0.1105870020964361,0.1585565882996171,0.2039772727272728,0.2681029323758228,0.3145161290322582
