firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchgm_pchsale,depr,pchdepr,egr,tang,sin,currat,pchcurrat,quick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
50906,0.2947092323,0.0472911539,6.2732464373,0.0,0.124479192,0.4446800151,0.2219280137,0.3890663599,0.7439835182,0.0104038709,1.0819209953,0.0264543222,20.0,0.0066020233,0.3558406482,0.1848323243,0.0111008499,0.2533808632,0.0964112201,0.2178743865,0.6020347974,0.0,2.2503155611,-0.252993705,1.7919357194,4.7955439694,3.7697253196,0.7410467693,0.0,0.0,0.0,0.0,0.0,0.9269960509,4.0,0.4666354974,0.3167681524,3.0077585628,-0.641895906,0.2549762043,1539.5427446,0.041769416,15.703576737,0.0045455371,0.0449231502,0.0536652486,0.0196571877,0.2212078085,-0.005301704,3.0,0.0002173913,0.3407224855,-0.040728787,6.0,16.808481068,2.8238997433,0.0,0.1092307717,0.0451586345,0.0578953229,0.3586138246,4.5967152475,4.082174e-10,7.8797465e-09,1.4656738519,2.1481998402,0.1113239602,0.0707579293,0.57376105,-0.006363412
80071,-0.221172572,0.0571238083,-9.007406762,0.0,2.9752916861,5.0803920261,0.0725274725,0.0164587973,0.6031625835,0.0053285968,-0.01790493,-0.147423162,24.0,0.0286064569,0.0307219662,0.0743280586,-0.057201941,0.1989742516,0.1077967321,-0.147563025,0.5621061154,0.0,0.7371113458,-0.133540995,0.4276428488,33.200069711,6.511108073,0.0527966034,0.0,1.0,0.0,0.0,0.0,-2.131008403,4.0,-0.14987516,-0.18026717,-1.4949003,-1.772756129,-0.327198777,-306.5283463,0.1678673657,8.5777001593,7.48204e-05,0.0035495957,-0.015970032,0.4013326603,0.0647602465,-0.006396068,0.0,0.0003230692,3.1176470588,-0.12691886,0.0,6.8388070494,0.2030827156,0.0,0.0625,0.0426600278,0.1276148633,0.9935444876,2.3981066769,4.5207168e-06,7.3500000711,0.5200748931,0.2704778945,1.1134960108,0.1173540528,-0.232954545,-0.22287765
10568,1.193849747,0.145922538,-2.856344411,0.0271506423,4.7086901518,8.6503503309,0.0718985093,0.3257959103,0.2744948032,-0.000680735,0.3949462335,0.289704165,16.0,-0.019707906,0.0674157303,0.3108446883,-0.35814583,0.0425208582,-0.437051843,0.1089717514,0.5695811358,0.0,1.520006805,0.0050679745,1.2197686288,13.427643505,8.4073583656,0.0704556808,0.0,0.0,1.0,0.0,0.0,0.9192316384,4.0,-0.471594905,-0.49808745,-11.40883027,2.4547423335,2.2210330447,-304.5314077,0.0328388742,9.3553493939,-0.015165225,0.0020935736,0.0105057719,-0.276869513,0.0443028007,-0.047764421,1.0,-0.136290241,1.8806584362,-0.175736751,5.0,8.0202293806,0.133969119,0.0,0.0806451589,0.0485103529,0.0508487107,1.1795139782,0.2813392402,3.84504e-05,9.450000556,-0.054969523,0.0127240324,1.3010714506,0.0647334878,-0.349852185,-0.196956742
11157,0.202505964,0.0206494874,20.938433735,0.0,0.1123944207,0.3322830923,0.1197660099,0.0638977636,0.469300029,0.0267857143,-0.07773702,0.0256184315,21.0,0.0428370391,-0.076642336,-0.044780546,0.0965967154,0.1219958801,-0.187116473,0.163029525,0.6136865957,0.0,5.0984570169,0.6500623379,2.1208670096,9.3137349398,5.7724014337,0.2545321101,0.0,0.0,1.0,0.0,0.0,0.7748592871,6.0,-1.763635214,-0.325958094,-0.150351137,1.2577824446,0.0557876973,-653.6717324,0.0553474399,10.92960083,-0.006233707,0.0025738077,0.0039890497,0.011297676,0.0895411939,0.0793254071,0.0,-0.003936395,1.9214340198,-0.06356197,4.0,10.052618512,0.3692088978,0.0,0.0357142873,0.0224876387,0.0201101046,1.3236180154,1.5389897848,6.7730028e-07,6.6105951e-08,0.8815258149,0.7770877624,-0.382648142,0.0736294423,0.4483576809,-0.118909048
50032,0.2061937836,0.0440445431,70.741106372,0.0134632203,0.2385511579,1.2518871399,0.1692894658,0.1068920953,0.8930958147,-0.019761458,0.1343479433,0.0736901151,24.0,0.0216467505,0.0681818182,0.0662592971,0.0246676239,0.0971796488,0.0085201943,0.0767408183,0.5213115355,0.0,1.2762310871,-0.087660748,0.2503130098,135.90954174,121.37784553,0.3211123219,0.0,0.0,1.0,0.0,0.0,1.8332621279,5.0,0.1515084783,-0.55291829,1.7643050834,0.25656135,0.1388930634,9470.446294,0.0513155969,16.392040562,0.0135182795,0.0393463619,0.0853117468,0.3817589178,0.0091317592,0.0081988381,6.0,0.0001793722,0.5189967995,0.0110719681,5.0,16.245298272,0.5229929079,0.0,0.0386473425,0.0182515102,0.0281738544,0.3087878657,1.368310062,2.583123e-10,2.4602007e-08,0.1742341806,0.0303575497,1.0823663487,0.0404491544,-0.296785523,-0.128360932
68814,0.2158340381,0.0468889144,-1.457007355,0.0001931889,1.8466062356,2.5732738157,0.1254133392,0.3376876836,0.3330380943,-0.003541981,0.2889092131,0.1855761711,19.0,0.0223055464,0.321869257,0.5851819784,0.1424771832,0.1166009421,0.2553372723,0.4683708261,0.4053917406,0.0,1.67092967,-0.097521248,1.0263539826,27.424551667,6.1263764831,0.0675247856,0.0,0.0,1.0,0.0,0.0,3.1312024991,6.0,-0.071495467,0.2658406308,0.0314309913,0.2580415538,0.0822192694,-574.1700976,0.0281087033,12.432315389,0.0023826706,0.0068409369,0.0760481197,-0.266098394,0.0391217131,-0.135465911,1.0,-0.004776119,0.0525562079,-0.007888698,3.0,11.904436162,0.9041495199,0.0,0.1909090877,0.0473603639,0.0350037859,0.7452670495,6.8267784033,2.2104864e-08,2.1243912e-08,1.1344382988,1.2869502537,0.1642337354,0.0551540771,0.2313566791,-0.298645812
47730,0.3927298339,0.0560985933,74.395336226,0.0177042068,0.425623483,2.4830646068,0.1236476388,0.0732331233,0.4773542658,0.0555609851,-0.020955431,0.0530084586,24.0,0.0036509502,0.0576923077,0.1990902791,-0.040736514,0.7175083312,0.1834124256,0.2008007563,0.429444604,0.0,2.054871249,0.093401977,1.9093610604,814.43980477,5.7640866018,0.2057121114,0.0,0.0,0.0,0.0,0.0,1.1097956151,6.0,-0.072084534,-0.271504439,0.2938576011,-0.89376866,0.0466499921,-559.298488,0.0458258411,13.30272729,0.0024574443,0.0233180891,0.0502230156,0.0577949434,0.0036779738,0.0015587476,3.0,0.0005357143,-0.27127811,-0.027463606,4.0,12.169357441,0.3405646449,0.0,0.050113894,0.0218716391,0.0294863984,0.6378548497,1.427197967,1.2041401e-08,5.3136425e-08,0.6838429705,0.4676412083,0.1793266462,0.040852517,-0.386077803,0.1833180197
12627,0.985543624,0.1446639268,0.0018012816,0.0,0.0131512661,0.4037297273,0.7161542808,0.0298950029,0.3303033249,0.0146623621,0.7770700637,0.1975989512,14.0,0.0,0.0,-0.05359116,-0.034695436,0.0231016853,-0.387965768,0.0754590813,0.8754141691,0.0,40.369813978,-0.332615364,34.995744681,0.5572181381,17.443991853,1.9644596789,0.0,0.0,0.0,0.0,0.0,0.3495190577,3.0,0.5971260539,-0.355337869,0.3518055051,-1.709612759,0.2027584489,-1383.388115,0.3454349458,9.5578452743,-0.005406388,0.0412989097,0.0418500096,-0.011921319,0.7334486276,-0.237773608,1.0,-0.019339029,2.697979653,-0.05882353,5.0,9.3045562032,0.7698964611,0.0,0.0909090936,0.0622218914,0.0709566731,0.7782894717,4.4993958144,6.0276972e-07,2.2921154e-08,1.2009593648,1.4423033959,-0.317846739,0.0810760551,-0.365800867,0.2772310266
13777,0.5400117967,0.0418690826,0.7226402288,0.0,0.1901968203,0.5772615834,0.0577491944,0.4689842656,0.6283569487,0.0125122451,0.1819092123,0.0473638961,16.0,0.0,0.1491803279,0.2686900166,0.2488300649,0.1635929955,0.0627132889,0.4971557065,0.6295477933,0.0,3.1608919383,0.7549171558,3.1608919383,1.784567358,3.7686993723,0.324521952,0.0,0.0,0.0,0.0,1.0,0.9086996664,6.0,-10.12156326,-0.684693171,0.3140080895,55.20671826,0.1130043744,-725.2809348,0.0519717294,10.805024988,-0.007695118,-0.237921136,-0.354744945,-0.013188358,0.452087433,-0.01182056,0.0,-0.110222222,0.9123900365,-0.277931452,4.0,10.36326722,0.9263057477,0.0,0.0454545468,0.0220401301,0.0487772285,0.845766736,1.8300988085,3.4646169e-07,4.6178065e-08,1.8130641526,3.2872016214,0.2233378827,0.0852373981,0.7747853341,0.1833180197
44652,0.3880189091,0.0471554784,12.907629619,0.01630697,1.0463758972,3.2161037757,0.0895530406,0.0830575259,0.7044362014,0.8751122229,0.1647883699,0.1436796943,23.0,-0.00137817,-0.047244094,0.0246679418,0.0142291326,0.1061578002,0.0508537916,-0.089272931,0.4159532385,0.0,1.0662064531,-0.113331431,0.2581163551,400.44524417,47.92879878,0.1266664887,0.0,0.0,1.0,0.0,0.0,2.0978671443,4.0,0.1514525219,-0.668344203,1.9461302089,0.3118772382,0.2088826426,3687.504544,0.0513155969,16.036939851,0.0015171225,0.0095903474,0.0331966192,0.0223736767,0.0049514915,-0.001893,0.0,0.0003071017,0.3713921006,0.009405706,5.0,15.764048947,0.7581844916,0.0,0.0396039598,0.018809922,0.0314392948,0.5283552276,1.8015910088,6.764904e-10,3.4917547e-08,0.2865989308,0.0821389471,3.9052158664,0.0434362774,-0.3568317,-0.128360932
