firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue
77462.0,-0.006310404,0.0279210093,0.1464748201,-0.063006857,0.0511087395,0.0041947278,1.0,0.0063478629
62228.0,3.69385e-05,-0.003803746,-0.007718801,-0.028974661,0.1708331672,0.0015731696,3.0,0.0074664101
59010.0,0.0173967557,-0.02275,-0.106184364,-0.056779057,0.1095204637,-0.010449187,0.0,-0.017686072
21055.0,-0.007254342,0.0255030439,0.0700786458,-0.004338865,0.0329505241,0.0347271773,3.0,-0.002277904
83264.0,0.0003641661,0.016435401,0.0510418441,-0.086368219,0.0282922715,0.0630210273,0.0,-0.003359933
85945.0,0.0048379363,0.0227144649,0.0356953743,0.0055801683,0.0296837211,-0.132855428,0.0,-0.000116993
27828.0,-0.003700658,0.0126513223,-0.160991736,-0.11147692,0.0494356534,-0.005386213,1.0,0.0003431709
66181.0,-0.002337359,0.0437384539,2.5901386749,0.0003400568,0.0443586893,0.0176917319,0.0,3.0848e-05
32870.0,-0.000440009,0.016361338,0.0288932706,-0.002963041,0.0464939257,-0.041964226,0.0,-0.001324211
65285.0,-0.004877083,0.0073051447,0.0488622479,-0.143895375,0.1146857426,0.0023186216,0.0,-0.017550816
42922.0,-0.003088459,0.0043430415,0.005973662,-0.065695419,0.1826201406,0.0314474239,0.0,-0.011868775
47571.0,0.0058838284,0.0060696116,0.02101622,0.4323375094,0.1512160675,-0.014043689,2.0,0.0437305921
16678.0,0.0005296826,0.0090223458,0.0453038674,0.0555154298,0.0431654676,0.0154753976,1.0,0.0022406453
48347.0,0.001288374,0.0170795784,0.0362724631,0.0009376502,0.1605108443,-0.028580363,0.0,0.0091452691
64282.0,-0.008297378,0.0833820378,-0.164047528,-0.01328741,0.2242446305,-0.019515687,1.0,0.0056509454
61399.0,0.0004032258,0.0203946948,-0.074448244,0.0088368126,0.039626613,0.0469094652,1.0,0.000240096
27617.0,0.0009886931,0.0004712081,0.0008232455,0.0057156844,0.0253742677,-0.059231182,0.0,0.0026897338
60097.0,0.0004574964,0.0131165474,0.0235736315,-0.000314355,0.1183100686,0.0199632821,1.0,0.0004779544
27975.0,0.0,-0.204420639,-0.20860721,-0.067025513,0.9893036764,0.0,0.0,-0.067707285
53197.0,-0.000708567,0.0142723948,0.022140632,-0.006686137,0.1152957648,0.0639431849,0.0,-0.003142019
57745.0,0.0084185657,0.0490210228,0.0637884985,0.0763477962,0.367865911,-0.014477656,4.0,0.0228190676
57809.0,-0.001235727,0.0272907764,0.0454420049,9.41026e-05,0.0287896677,0.0370199147,0.0,-0.000164406
57817.0,-0.002818807,0.0126663119,0.196369637,-0.053382705,0.0785591767,0.0073982304,1.0,-0.037871034
79611.0,-0.003355405,0.0292981642,0.0475418444,-0.014948907,0.3203775525,0.0216180313,0.0,0.0048076923
63706.0,0.0,1.3257333519,24.326530612,0.0514369535,1.0,0.0,5.0,0.0511875709
59185.0,0.0031713414,0.0154789192,0.0249727993,0.0556077208,0.0544867288,-0.019068084,0.0,0.0071302797
34948.0,-0.000119042,0.0281053426,0.0601250565,0.0443286892,0.0074251366,-0.048022923,1.0,0.0011943354
13936.0,0.0264987739,0.0121603731,0.028759227,0.0104655593,0.0468546859,0.1075530339,1.0,0.0081201335
64785.0,-0.006037013,0.0331781467,0.0500225657,-0.01295927,0.6648961055,0.0518885716,2.0,0.0074378046
55984.0,-0.00632567,0.0088029189,0.0232486999,-0.002682997,0.1240305523,-0.000763763,1.0,-0.035818014
91556.0,0.0020429235,0.0341251724,0.1077991319,0.0047786253,0.340220295,0.0188504899,1.0,0.0006768762
50948.0,-0.013644752,-0.03477722,-0.064376865,-0.010920248,0.0965380981,0.284361645,0.0,-0.000302755
42585.0,0.0016910512,0.0128550554,0.0253732978,0.0097706624,0.008590604,0.0041645841,2.0,0.0005890052
76081.0,-0.009615735,0.003719134,0.007434734,-0.299567445,0.0385062282,0.0194036146,0.0,-0.007342914
60580.0,0.0020955751,0.0300506356,0.0790559451,0.0185895692,0.0476168458,-0.008103262,0.0,0.0003586801
80179.0,-0.001865096,0.0410403991,0.0654200947,-0.000596201,0.4699373695,-0.001318574,1.0,-0.000749861
80857.0,0.0011489898,0.0129540187,0.0321594927,0.0783826662,0.131237475,-0.005509943,1.0,0.0065027573
59627.0,-0.157451857,0.0283607014,0.0636596489,-0.01661759,0.0070407524,-0.004422891,0.0,0.0612244898
55976.0,0.0079392306,0.025337565,0.0868476049,0.0288481956,0.0354650756,0.0160220105,1.0,0.0015291583
82932.0,-0.004095638,-0.022845436,-0.066309645,-0.009653625,0.0403100701,0.0303057833,0.0,-0.001310044
83011.0,-0.001198326,0.0772730647,0.2512452811,-0.005365613,0.0787781985,-0.008775814,1.0,0.000222321
15456.0,-0.002335587,0.0028343211,0.0067650677,-0.000984345,0.0694321487,0.0362305535,0.0,0.0110319467
40539.0,-7.547e-05,0.0365261208,0.1833078744,0.0070399107,0.1931990546,0.0090810016,0.0,0.0
67467.0,-0.004759561,-0.003088408,-0.015932654,-0.398734202,0.0121188936,-0.050224185,1.0,0.0293398533
10501.0,0.0139569073,0.0089205029,0.0177621479,0.022028315,0.0292877722,-0.003329228,0.0,-0.005760168
70228.0,0.0011834583,0.0155858457,0.0318893096,-0.001614155,0.069995093,0.0292520926,0.0,0.0050428643
10514.0,0.0004070091,-0.126549213,-1.792814695,-0.562587904,0.0561623997,-0.002294452,0.0,-0.175702491
10645.0,-0.005369585,0.0013414849,0.0015407802,0.0207512304,0.1731154314,0.0587123554,0.0,-0.013812155
27167.0,0.0,-0.07635144,-0.079939409,0.0,0.9786617678,-0.033333333,1.0,0.0183066362
11154.0,0.0010514901,0.0106290326,0.0168196583,0.01920485,0.2594133233,0.3812857947,0.0,-0.011589404
11174.0,-0.005641226,0.0011468645,0.0030433731,0.0494922836,0.0472816824,-0.005573652,0.0,-0.002902252
12266.0,0.006587179,0.0010433405,0.0025442203,0.006577491,0.1330195591,-0.033626915,1.0,0.0025268478
12146.0,0.0001786565,-0.067071829,-0.265918011,-0.007536675,0.3221211032,0.0027253761,0.0,-0.03649635
13628.0,0.0055575532,-0.010145211,-0.023238027,0.0057708725,0.4545613832,-0.048857039,0.0,0.0004409414
13634.0,-0.010875301,-0.016153738,-0.01887328,-0.001969425,0.2912876041,0.0075750941,2.0,0.0010017809
12076.0,0.0010798315,0.0436968169,0.1378573204,-0.042072983,0.1766811673,0.000381587,1.0,0.0020830621
81284.0,-0.000557091,0.000216819,0.0034770123,0.0516395806,0.2196828855,-0.029699427,0.0,-0.02826654
85636.0,0.0002402329,0.0004482846,0.0084294853,0.1208545519,0.0972287148,-0.006494789,0.0,-0.026023821
89428.0,0.0001943035,0.0012835163,0.0236531239,0.0754177186,0.0840139752,-0.002590578,0.0,-0.010717377
82654.0,0.0004787531,0.0016753433,0.029723127,0.069341874,0.2780629678,-0.002006194,0.0,-0.004679089
83835.0,-2.0803e-05,0.0008250205,0.0142032447,0.0583719521,0.1002938364,-0.008984131,0.0,-0.012775546
14609.0,-0.018929764,0.0119186562,0.0389296379,-0.104570011,0.0027812704,0.0012118125,0.0,0.0031813362
14182.0,0.001288664,0.0260789607,0.2899512782,0.0090524026,0.1209427428,-0.073413483,2.0,0.0012618022
14141.0,-0.000522102,0.013148543,0.043890866,0.0331898675,0.0205664802,0.0027206643,0.0,0.0038543072
14231.0,-0.019796592,0.0450742902,0.0551460867,0.0028860243,0.6458028398,-0.008387179,2.0,0.0005863383
14296.0,-0.00299205,-0.031355842,-0.356556843,-0.087943101,0.003557006,0.0129170241,0.0,-0.091252312
75905.0,-0.019857591,-0.079361538,-0.160958984,0.1344488005,0.0706575899,-0.001123729,0.0,-0.002955083
76052.0,0.0051377217,0.0257056331,0.0590242923,-0.03306237,0.0552429127,0.0804560975,1.0,0.0029552956
14544.0,0.0021328646,-0.002718955,-0.008553614,-0.087477536,0.0382489271,0.0161513118,1.0,-0.017718715
15145.0,0.0002780154,0.0194320602,-0.262653531,0.0051176018,0.3825682487,0.0593929971,3.0,0.0009377931
14939.0,0.0046583851,0.032106693,0.0624849796,0.0041080731,0.2637310606,0.0243914599,0.0,0.0009478673
76076.0,0.0001273047,0.0297999011,0.0688567739,0.0043752335,0.2301857262,0.0110618102,1.0,0.0006163961
14803.0,0.0035930587,-6.8195e-05,-0.000110986,0.0059222212,0.0823160348,-0.000242856,4.0,0.0004930156
15489.0,-0.000273148,-0.020201556,-0.124955104,0.3642835253,0.0229848272,-0.182925938,0.0,-0.125541126
15535.0,0.0020616863,0.0264123608,0.0402754828,0.0143287197,0.1324600214,-0.049960707,3.0,0.0007304602
90751.0,-0.023399287,0.0207748259,0.1176234381,-0.094594817,0.0292423734,0.0071745513,0.0,0.0077594568
77007.0,-9.5667e-05,-0.052567336,-0.681023791,-2.34285419,0.0195764263,0.0083682003,0.0,-0.865168539
76839.0,0.0023536389,0.0687052359,0.1164325771,0.0023169003,0.2247821974,-0.011225298,0.0,0.0011312217
15582.0,0.0009885312,-0.003349021,-0.006969981,0.0167236222,0.2050303424,0.0063430269,1.0,0.0013917884
77357.0,-0.000371292,0.0288313327,0.0492294304,0.00168975,0.1362776751,0.0234869931,1.0,0.0003392226
77584.0,-0.001495741,0.099352257,0.2016542434,0.009471474,0.3260277538,0.1100174477,2.0,0.0045454545
77606.0,-0.012820513,-0.016816558,-0.066650391,-0.133590495,0.0106657372,-0.110171356,0.0,-0.108742663
77699.0,0.0006762678,-0.019816604,-0.025021196,0.0035542587,0.4429443412,0.3751985316,1.0,0.0054644809
15729.0,0.0006385323,0.0228942535,0.088602369,0.0115497123,0.4465144238,-0.030528361,1.0,0.004837595
78034.0,-0.001123452,0.0187223048,0.0518098228,0.0014421295,0.0500647351,0.0048778534,0.0,0.0003312355
15707.0,0.0024536485,0.0087705478,0.0252215062,0.0405378165,0.0511593603,-0.131994131,1.0,0.006199628
15837.0,-0.006519251,0.013598101,0.0335645488,-0.130375576,0.0863544499,-0.067055009,1.0,0.0015037594
78975.0,0.004942402,0.0062026952,0.0104562146,0.0031020836,0.0761341078,-0.032349197,2.0,0.0017980931
79007.0,0.0002573055,0.022362822,0.0427425655,-0.030452522,0.0636231651,-0.07424663,0.0,0.0
78963.0,-0.004846107,0.0064380543,0.0230697887,0.0421781975,0.1498971664,0.0501953535,0.0,0.0113851992
79881.0,-0.000319148,0.0084572632,0.018098345,0.0207435125,0.1038955044,0.0455960984,0.0,-0.00109529
80114.0,-0.001718368,-0.003813418,-0.019732893,-0.044119736,0.427776212,0.7629979504,0.0,0.0119522111
80274.0,0.0014983604,0.0219001062,0.0735945035,-0.078153201,0.0053137953,0.0012500295,1.0,0.4121442365
80233.0,0.0089001111,0.0080044323,0.0215208949,0.2395444368,0.0248207877,-0.034304842,1.0,0.0425269567
80320.0,0.0056031237,0.0525016014,0.0605165971,0.0028120023,0.2799793945,-0.002966057,1.0,0.0004503828
93397.0,0.0240580623,0.0424158386,0.0867160412,-0.005864488,0.0388131835,-1.111948782,1.0,0.0891089109
80432.0,-4.6215e-05,0.0148643545,0.0373249953,-0.003763579,0.0497548054,-0.05343849,0.0,0.0043370508
81165.0,0.0111851499,0.0129896666,0.0199955066,0.957575677,0.0236776432,-0.007562947,1.0,0.0
81481.0,0.0042722058,0.0197385364,0.0546445446,0.0192666164,0.0279209977,0.0086800619,1.0,0.0001331735
15014.0,0.0006049135,0.0106225357,0.1084300973,0.1051471392,0.0482827275,-0.35119653,1.0,0.0011534025
82598.0,0.0061052632,0.0066462168,0.0540765391,-0.006208893,0.3240988671,-0.017566398,0.0,0.0010569228
88988.0,0.005064302,0.0298007104,0.0839938884,-0.030820739,0.4928323254,-0.002208419,1.0,0.0095120142
83399.0,0.0004858962,0.019971399,0.0365539961,0.1194374508,0.0043763676,0.0188585972,0.0,0.0542502053
83391.0,-0.000825042,-0.035070801,-0.063868399,0.0056214691,0.1072479316,6.45242e-05,2.0,0.0046296296
83822.0,-0.010303925,0.0413718411,0.228836181,0.015803986,0.1136965212,0.0776899019,1.0,0.0189900734
83976.0,0.0064194787,0.0142290592,0.0593177981,0.0271024286,0.1907788139,-0.003669959,2.0,-0.001381215
84084.0,0.0090256635,0.0409912841,0.113736332,0.088581593,0.0170524724,-0.030280467,2.0,-0.001657625
84275.0,-0.002051019,0.0023173558,0.0103542234,0.1612544305,0.0052390308,0.0079998626,0.0,-0.015136953
84255.0,-0.003569099,0.0447803765,0.0600278067,0.0633814579,0.3436320589,0.0388142441,2.0,0.1279182032
84588.0,0.0042361213,0.0332245585,0.164979417,0.0184484559,0.2009691754,-0.080406942,1.0,-0.003621255
84519.0,0.0032362915,0.0150387642,0.0281035409,0.0273324599,0.2036092747,0.0158580494,2.0,0.0057670127
85390.0,-0.031755441,-0.046583264,-0.238127781,-0.093168959,0.0169211411,0.0075670695,0.0,-0.101168173
86572.0,-0.000283441,0.0236824969,0.028382963,0.0020618202,0.2100119753,0.010384932,2.0,0.0006847439
92253.0,0.0,-0.563862928,-0.573389652,0.0,0.6149490374,5.5333333333,0.0,2.345097223
13687.0,-0.009913419,0.0181681132,0.0826123481,-0.018762051,0.284739256,0.0145074029,1.0,-0.002211609
89606.0,-0.012674061,0.0218954733,0.0302176522,-0.095766425,0.0842717118,0.0060473244,2.0,0.0018050542
86580.0,0.0002715731,0.0349239281,0.0662326104,-0.003304396,0.3228595017,-0.033021585,2.0,0.0003582945
86594.0,-0.005534613,0.0034481649,0.0071271416,0.0006661582,0.2407826579,-0.021359074,0.0,0.0020374143
89416.0,-0.012302468,-0.044666971,-0.068870407,-0.014867977,0.0497804651,0.1195799444,0.0,-0.094491928
87432.0,0.0021303379,0.0334219521,0.0663524976,0.0018226897,0.1144793479,0.0091933204,0.0,0.0003945292
88360.0,-0.000167627,-0.000683773,-0.000989781,0.0020444109,0.0404491588,0.0208162553,0.0,0.0
89301.0,0.0069728231,0.0145071482,0.0387148594,-0.004128136,0.4599152052,0.0402235362,3.0,0.0132601738
89397.0,0.0034682913,0.0059601433,0.0101946655,0.0008371621,0.1222341277,0.0099661227,2.0,0.0005267316
89447.0,0.0001707096,-0.00795342,-0.013797694,-0.084211541,0.0045322021,0.0122323179,1.0,-0.009984399
89449.0,-0.004314757,-0.011439377,-0.114713443,-0.293789755,0.0188553343,-0.053952397,2.0,-0.071038251
89540.0,-0.003251941,0.0263069692,0.0991181959,0.0227750699,0.2140062338,0.0231468711,1.0,0.0003823799
89908.0,-0.003371966,-0.024640039,-0.078811503,-0.299926408,0.0351768281,-0.003341061,0.0,-0.078639745
90215.0,0.0031509626,-0.001066562,-0.001651194,0.0064207378,0.1265364344,-0.010414928,0.0,0.0019051021
90679.0,-0.006985455,-0.012461059,-0.021455939,0.1135750569,0.1041666667,0.0016383035,1.0,-0.05696269
90371.0,0.0363091573,0.0789450387,0.2112298914,0.0416683721,0.1502809889,0.0102152069,2.0,0.0073289902
18109.0,0.0025442764,0.0593887173,2.1992775436,0.083186431,0.0312935062,0.0514238874,1.0,0.0177946825
90715.0,-0.009410542,0.0152465901,0.0300312607,-0.132234575,0.2319672471,0.0279905444,3.0,0.0038714673
90706.0,-0.002366964,0.0121366724,0.0418838586,-0.119828619,0.1901579765,-0.119198132,0.0,0.000635324
92294.0,-0.001369872,0.0156609685,0.0187328335,0.0230879487,0.0444733846,-29.98817135,1.0,0.0074441687
13379.0,-0.00218309,0.051185363,-0.471856304,0.0221704438,0.316355353,0.0161220598,3.0,0.0096063485
13511.0,-0.001201865,0.0067124795,0.1657480315,0.0070498376,0.2546986341,-0.013587804,7.0,0.0017650025
13527.0,0.0033758497,0.0541515276,0.1446363323,0.0115472139,0.1200540405,-0.089362794,1.0,0.0
91733.0,0.0164206424,-0.000758118,-0.001112788,0.0197095918,0.0849715915,0.0043588994,2.0,-0.000561987
92203.0,0.0085171851,0.0225656736,0.0394218355,0.0164496464,0.2059673931,-0.000956542,0.0,0.0004562044
92257.0,0.0033826196,0.01756382,0.6129032258,0.0035206572,0.1640362391,-0.007019661,1.0,0.0017963583
92322.0,0.0053429838,0.0639121951,0.1772662836,0.0192151221,0.1373967467,-0.003768231,1.0,0.002256985
92471.0,-0.000650704,0.0161028477,0.0354243311,0.0755882999,0.0369421929,-0.018146586,0.0,-0.006144743
92635.0,-0.002735732,0.0026344952,0.0041068336,-0.005954278,0.052060032,0.1855870916,0.0,-0.006179992
93002.0,-0.002034852,0.0515228877,0.1661896165,0.0049559505,0.1733035519,-0.076591098,8.0,0.000188031
15380.0,0.0,-0.475171411,6.9725609756,0.0,0.4152857626,-289.0333333,2.0,-0.609090909
93373.0,0.0157338021,0.2728647937,-10.28239869,-0.94196462,0.0469218529,0.0170313092,1.0,0.0775862069
12363.0,-0.022774787,-0.061042145,-0.100719244,-0.013574955,0.1151913098,-0.051772602,0.0,0.0016806723
13399.0,-0.009963888,-0.000207817,-0.000592485,-0.091217761,0.2381051472,-0.077467737,0.0,0.0146726862
13181.0,0.0054652241,-0.004715916,-0.007753377,0.0046465202,0.3589575972,0.0073492854,1.0,-0.002594211
91964.0,-0.00354791,-0.094217024,-0.103629588,0.0064125806,0.6942397913,0.0672854914,0.0,-0.015814292
