firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue
47730.0,-0.002242003,0.0079073302,0.022420219,0.0177706952,0.0178731192,-0.000674311,0.0,0.0006395225
13777.0,0.0030045687,0.0182501694,0.0250059895,-0.002746238,0.5495675141,-0.000258576,1.0,0.0026298488
38746.0,-0.147355906,0.1723155618,0.1861682411,-0.003801706,0.1096252431,-0.000397471,2.0,0.2189335446
60871.0,0.0013378928,0.0191138983,0.0263668033,0.0065177214,0.0332532689,-0.108258948,2.0,0.0008747886
14702.0,0.0043652666,0.0642445559,0.1408069542,0.004966982,0.1447476662,0.019807537,1.0,0.0008969414
15537.0,0.0005045453,0.0097476203,0.0167592957,0.1044668236,0.0283462757,-0.011210888,1.0,0.0218235135
68830.0,-0.015506186,0.0141920809,0.0185700113,-0.020824224,0.4877298867,0.0276148632,1.0,0.0048899756
85631.0,-0.003950365,0.0339316734,0.3233995585,0.0023000731,0.2195380377,-0.011059938,4.0,0.0002323852
85914.0,-0.003085009,0.0290817226,0.1653859004,-0.084238457,0.1425678669,-0.01357686,1.0,0.0056357078
18973.0,0.0016560171,0.0281246738,0.0416638789,0.0030861909,0.0788545719,0.0228778166,0.0,0.0001870208
19271.0,0.0020569757,0.0052850046,0.0073777954,-0.022051431,0.0765988055,-0.015649546,0.0,0.0055934029
29946.0,-0.007227755,0.014594279,0.0328947368,0.0013791977,0.0563580088,0.0360806715,0.0,-0.003304296
10866.0,-0.014418691,0.0209458131,0.1024209174,0.0184573769,0.0226466834,-0.002665785,1.0,0.0073020753
25320.0,0.000667167,0.0190523117,0.0669166426,0.0177754077,0.0132029748,0.0013877349,0.0,0.0011554015
21742.0,0.0022799204,0.0172891153,0.0398405613,0.0322892551,0.0707457791,0.0152225339,0.0,0.0025009538
11267.0,-0.002270554,-0.005533304,-0.012738121,0.0138577352,0.2394402864,0.247694613,1.0,0.0170545408
86474.0,-0.001608493,-0.012973673,-0.02775323,0.026028291,0.0442800094,-0.194104605,0.0,-0.018796992
26201.0,0.0030697972,-0.004913967,-0.008560866,0.0301909687,0.0218609455,-0.01873297,1.0,-0.010088272
65541.0,0.0009346195,0.0073614507,0.0117917625,0.0041364166,0.0102498897,-0.244813208,1.0,0.0007164761
27562.0,-0.001202205,0.0133320041,0.0625439732,0.028972225,0.0218920755,0.0023678802,1.0,0.0016131923
27909.0,-0.004717182,-0.055478562,-0.08781878,-0.433723197,0.1271265223,-0.032113442,1.0,-0.023076923
49154.0,-0.00568657,0.0157511463,0.0794990471,0.0050350731,0.041792444,-0.014776787,2.0,0.003020797
19350.0,0.0036048936,0.0217594135,0.0966834468,0.0246055776,0.0459834097,-0.028312287,0.0,0.0022940119
49429.0,-0.007930842,0.0762494025,0.1796907331,0.0013481979,0.2430749591,-0.003729082,2.0,0.0185349978
93096.0,0.0014620146,0.0227231844,0.1081647496,0.0303120408,0.0131200765,0.0155970622,1.0,-0.001241438
61313.0,0.0018062859,0.0342356688,0.07447177,0.0034144726,0.0695726363,0.0471470196,0.0,0.0011226945
12008.0,0.0060437423,0.0107617417,0.0288941739,0.0557266516,0.0975068021,0.0188568593,0.0,0.0071301248
33209.0,0.0,-0.132865409,-0.251611469,-0.271169954,0.0661068383,-0.011997119,0.0,-0.132690742
