firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
47730,0.6293773003,0.0491132575,-9.095388556,0.0224777607,0.7952319914,3.269539716,0.0606158983,0.0347596964,0.2594331165,0.0038393597,0.0186156779,-0.020917708,-0.596560847,0.078412304,0.0209177076,40.0,0.0,0.0727272727,0.0464765939,-0.004575019,0.6870503597,-0.121237675,0.0081477476,0.0559047506,0.2810351589,0.0,1.7613981763,0.0359473697,1.7613981763,0.0359473697,137.13351499,6.7265437049,0.10957079,0.0,0.0,0.0,0.0,0.0,0.5875704491,7.0,-10.12646548,-2.368738876,4.4074000695,-0.667213483,1.072984582,-2695.122318,0.0288563477,14.378789217,-0.010054423,0.0005440696,0.00119976,-0.014153246,0.0226128434,0.0019272427,0.0,-0.000910194,3.5056100216,-0.055703084,5.0,14.602341269,1.1541186049,0.0,0.0352321267,0.0149124309,0.024444997,0.2803017222,1.5037056403,1.2336772e-09,2.0849046e-08,0.9310558596,0.8668650137,0.1011308018,0.0205582086,-0.047687019,-0.154347788
13777,0.334795658,0.0292837215,2.3023241055,0.0408451711,0.1489405818,0.3706329092,0.118899857,0.0232129249,0.4408931565,0.0130417833,0.0693222969,-0.014283239,-0.233267717,0.0361146684,0.014283239,33.0,0.0,0.0496083551,0.0225842685,-0.041259529,1.6443066516,1.3234905123,0.0072702332,0.0039541919,0.5820782998,0.0,2.1806369427,-0.193430408,2.1806369427,-0.193430408,1.6528703867,5.2478192113,0.34905,0.0,0.0,0.0,0.0,0.0,0.6250432152,3.0,-10.15001153,-2.391857794,4.1128184272,2.2166734092,1.0306869463,-3956.861208,0.0288563477,12.416587955,0.0047845032,0.0191560038,0.0276779373,0.0151576352,0.4951273825,-0.006127386,0.0,0.0032537961,2.5645808676,0.0717488742,6.0,11.718172743,0.5327342421,0.0,0.0367170796,0.0202909045,0.0335635546,0.4915782502,0.9803331105,2.9834869e-08,5.3849024e-08,1.0815255289,1.1696974696,-0.002365626,0.029350189,0.0756293708,-0.154347788
38746,2.2669347833,-0.0870618,-6.605878838,0.0,1.103041916,1.2094885702,-0.026286914,-0.249902675,0.0354532085,0.1157894737,-0.570191297,-0.083700726,-3.779575893,0.2419948812,0.0837007263,41.0,-0.030697269,-0.548387097,-0.429909431,0.0085873944,0.1148892977,0.289000557,-0.096010771,0.1767947441,0.467207772,0.0,49.626865672,3.1272324815,14.207800122,3.2792663029,4.1319502075,4.4198845983,-0.023474893,0.0,0.0,1.0,0.0,0.0,0.0623195168,5.0,3.0904761535,-0.591735117,10.859575266,-2.324763747,1.7104601006,-794.7838719,0.0796288203,10.349993235,-0.002028332,-0.008498584,-0.012633812,-0.066154328,0.0717759306,0.1458035699,1.0,-0.0130815,-0.800753136,-0.020097147,3.0,7.8925865328,0.1814534475,0.0,0.0246174335,0.015226645,0.0171848875,1.6518775326,1.0952549329,2.7985777e-06,2.1000002199,0.5467169337,0.2988994056,0.0543084257,0.049656827,-0.141702338,-0.044655094
60871,0.3081141973,0.0407538092,3.2985161879,0.0294149224,0.1361089286,0.1855183568,0.2013411726,0.0748916833,0.3049536569,0.000514395,0.2798844702,-0.036594509,-0.384990148,0.0564436243,0.0365945094,40.0,0.012776556,0.0549450549,0.0877415671,-0.008249192,0.2280928373,0.0497587781,0.042315039,0.0038655357,0.537093136,0.0,5.3760013313,-0.439540373,4.8571043754,-0.465987794,0.99940868,7.2232397474,0.4120175205,0.0,0.0,0.0,0.0,0.0,0.4032753141,5.0,3.0661675286,-0.112295475,1.1232686556,-0.288457376,0.1480924311,10322.819893,0.0446872923,16.614492113,0.0029217253,0.0307127428,0.0436077618,0.0074118981,0.4344906675,-0.005937287,3.0,0.0005143151,1.2064670653,-0.007383727,6.0,17.39662453,1.8689951261,0.0,0.048952464,0.0196822529,0.0281086121,0.2806413555,2.6238822252,1.070141e-10,1.3016466e-08,1.1998081164,1.4395395162,0.0072245572,0.025120345,-0.003654956,-0.173219261
14198,0.5305829803,0.0334288944,3.0176793215,0.0051210179,0.0964097262,0.539450159,0.077850725,0.0221830837,0.4114874125,0.0049300897,-0.051119278,-0.008418175,-0.156178131,0.0386497566,0.0084181751,41.0,0.0127745687,-0.012352941,0.0439437501,0.0008322459,0.219258883,0.134863779,0.0159015662,0.0367357291,0.5509811679,0.0,5.070118054,0.1463902976,3.4069353585,0.1563606307,4.3642245557,4.1656656464,0.5726848257,0.0,0.0,0.0,0.0,0.0,0.4931796012,6.0,-0.786728155,-0.120879877,0.8313011013,-1.247996747,0.9726684273,-2110.357276,0.0352290716,13.744123768,0.007272822,0.017409725,0.0207293498,0.012454587,0.1971431756,0.0072748507,1.0,0.0001241465,1.0953668675,0.0252645079,6.0,14.099687235,1.2966392871,0.0,0.0185056794,0.0121974973,0.0280963334,0.2716919471,1.4468250536,2.2821394e-09,2.1324018e-08,0.3081154422,0.0949351257,3.2164011075,0.0345504732,0.000722494,-0.165492678
14702,0.2917111111,0.0397450828,4.9794086022,0.0180558352,0.1967233294,0.3363501779,0.1543148222,0.0939134767,0.3482520967,0.0141196013,0.0708375378,-0.057738827,-0.679104478,0.0667361464,0.057738827,40.0,0.0122139826,0.0912408759,0.2081502197,0.0345164469,0.4355400697,-0.097051075,0.0153616209,0.1100451467,0.4306842265,0.0,2.4679419058,0.0686249691,1.912858661,0.1050162471,2.8690702087,5.4323353293,0.2820387876,0.0,0.0,0.0,0.0,0.0,0.5783013544,8.0,7.2183441383,-0.046964821,-0.073902295,-0.347878914,0.0590451035,22520.878981,0.0410566741,16.875942982,-0.001789744,0.0242143225,0.0393964795,0.0107951228,0.208545579,-0.007338228,0.0,0.0,0.5080369004,-0.040804638,5.0,17.980880606,2.7189189827,0.0,0.0704716966,0.0267440072,0.0294644265,0.3356181507,5.2917307835,7.92588e-11,9.0951247e-09,1.4146590452,2.0012602142,0.0190504445,0.0278664836,0.5363255373,-0.268505553
15537,0.5858815922,0.0430064081,1.4729573751,0.0196305526,0.0998040173,0.8149908051,0.1427790148,-0.046611256,0.5007439331,-0.040999868,-0.046784141,0.0416431376,0.6801801802,0.0137543017,0.0416431376,35.0,0.0053055275,0.1184210526,0.2880073478,0.0825866699,0.246210765,0.4614793807,0.029077523,-0.0465818,0.626000861,0.0,6.4706865921,-0.015775875,4.842303271,-0.039231708,3.8192547121,6.0782249742,0.6067030538,0.0,0.0,0.0,0.0,1.0,0.5860629898,5.0,7.169005797,-0.019784644,0.2202681856,0.4207921085,0.0060632588,-4342.608569,0.0410566741,11.497503443,-0.001581118,0.0155855603,0.0180983546,0.0156070223,0.2431163457,-0.003671384,0.0,-0.002169197,-0.145119493,0.0046795812,5.0,10.562970626,0.2242044578,0.0,0.0444092341,0.0267169135,0.0455759766,1.2431270987,0.4489849209,1.1633978e-06,2.6665581e-07,0.289646791,0.0838952636,0.7069516512,0.0332802043,-0.013121991,-0.268505553
68830,0.7981577176,0.197904781,-0.134160584,0.0,0.1459221628,1.305050392,0.3263555313,0.0679625492,0.3700346836,-0.024814815,-0.453673739,-0.114012534,-0.58126671,0.3129402418,0.1140125337,31.0,-0.00295655,0.0095238095,-0.140913179,1.0939637793,0.0842748924,0.0077015184,0.0122467677,0.2531142469,0.5691083517,0.0,8.9862964667,0.9408612892,8.062739684,1.0019812534,4.1557187157,48.440700923,1.1393057902,0.0,0.0,0.0,0.0,0.0,0.5594795206,7.0,47.720519689,-0.199099431,-8.022244958,2.170618016,-8.444411742,-5108.892467,0.0248274717,12.755144469,-0.011358409,0.0359424376,0.0462477889,-0.09970529,0.3251117123,0.0094219884,1.0,-0.001936483,0.3456715116,0.21450321,5.0,14.091837199,4.0384595844,0.0,0.0288830604,0.0213169455,0.0389615973,0.2857603474,5.0206803275,3.2206759e-09,6.8164191e-09,1.8230665597,3.3235716812,-0.057410009,0.0687322463,-0.044574239,-0.317192058
85914,0.4037448903,0.1007139406,-0.320315914,0.0202882818,0.8289905094,3.2605936193,0.1277395116,0.0887033469,0.6924284593,0.0136034215,0.0231444533,-0.047080529,-0.552969502,0.1564056782,0.0470805289,30.0,-0.013803,-0.107142857,-0.048832822,0.0055474744,0.28583878,0.0371636178,-0.00834939,0.2531359759,0.5928947955,0.0,1.5081651022,0.0695961564,0.8428700013,0.2267726227,9.9064341847,31.51484375,0.1875739645,0.0,0.0,1.0,0.0,0.0,2.4116909182,7.0,-0.097013556,-0.395732346,-0.099764841,-0.107135274,0.1117167208,9970.4686959,0.3094931693,16.165817504,0.0024391944,0.0119542241,0.0336894002,0.0062072181,0.2711926876,0.0065985268,1.0,0.0046454011,2.745674258,0.1653763093,3.0,17.481618469,3.6640471979,0.0,0.0490753613,0.0212430466,0.0396032072,0.281649991,4.69801737,9.900689e-11,6.2351371e-09,1.0890436082,1.1860159806,-0.268747462,0.0530795222,-0.096358735,-0.388017422
49373,0.2201921455,0.058472552,1.6993130972,0.0264237927,0.3222452151,0.3698391556,0.4032650472,-0.037947779,0.3315400842,0.0038179909,-0.14488744,-0.03037567,-0.28734612,0.0752744129,0.0303756704,41.0,0.0,0.1204545455,0.017975429,-0.013894173,0.5132006153,0.3535908171,0.0168794099,0.177572309,0.6257387585,0.0,1.5712709812,0.1671564046,1.5712709812,0.1671564046,1.2126491903,18.329272939,0.2222024036,0.0,0.0,1.0,0.0,0.0,0.9706388941,6.0,0.0312443516,0.1341035787,-0.006718265,-0.120457228,-0.015762552,5303.0052811,0.1781425674,15.8642398,-0.006075585,-0.02137232,-0.052650128,0.0004492008,0.4863562577,-0.105488358,0.0,0.0015019525,0.9584640181,0.0304550519,3.0,16.61286113,2.6503302051,0.0,0.0258006789,0.0137239792,0.0203678137,0.2651837142,2.8706989261,1.287393e-10,1.0457444e-08,0.9876959786,0.9755433462,-0.004588487,0.0297785075,-0.031502333,-0.002287091
