firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
50906,0.1385556232,0.0196260393,20.164857604,0.0,0.0339494599,0.1857989911,0.2208254205,0.2789664655,0.6949472868,0.0388925196,0.6770120931,0.0142392735,18.0,0.0642742844,0.5482573727,0.4124495498,-0.109334982,-0.053282384,0.2578120232,-0.229862311,0.2131436091,0.2086731158,0.5742700812,0.0,3.5156567825,-0.301488691,2.5965765525,-0.360460351,4.5191817532,5.0729939529,1.0041488622,0.0,0.0,0.0,0.0,0.0,0.8168854455,4.0,-0.073707454,0.3942792058,-0.054206828,-0.213187013,0.0231064948,3435.6967088,0.0460850088,15.405097767,-0.00538922,0.0135216874,0.016834826,0.0201016318,0.1910076445,-0.013149696,0.0,6.96864e-05,0.8507789581,-0.056874208,6.0,16.161426392,2.2055773935,0.0,0.0923694745,0.0423504919,0.0548463502,0.6108713366,9.789633244,4.664422e-10,6.7941374e-09,2.3376536569,5.4646246196,0.0605635347,0.0666505157,0.4234581445,0.2828695523
80071,0.1747337552,-1.082678204,-29.80273782,0.0,7.2805223963,12.789354104,-0.098257898,-0.451879088,0.1491010718,-0.000142674,-0.57849703,-0.134931598,22.0,-0.184561212,-0.542168675,-0.670163552,0.1011454016,-0.041350788,0.3468298518,1.4864259484,-0.299181745,-0.954714004,0.2945892183,0.0,1.1585433492,0.0203912726,1.0015962556,0.384252363,65.6453125,8.4986345706,-0.101590057,0.0,0.0,0.0,0.0,0.0,0.7423668639,2.0,0.1133520896,-0.897947997,-0.43632982,-0.300041579,-0.141265687,-319.8817419,0.2382536203,8.781046731,0.0,-0.010945083,-0.329996149,-0.722644047,0.45539487,0.140821808,0.0,0.1321157256,0.1794871795,0.0727513246,3.0,8.0839071451,0.3924215512,0.0,0.3846153915,0.0976003712,0.1234843475,1.2933076308,1.9535389218,2.51037e-05,6.000000125,-0.447678916,0.2004164123,1.5705317998,0.1058681337,-0.705139358,0.1038176189
10568,1.8087737013,-0.027285987,-5.18924248,0.0280937956,6.3263098844,11.997127791,0.0341265276,0.0232340224,0.1896316199,-0.007682031,0.0410309431,0.0325816223,14.0,0.0034595898,-0.161512027,0.094261926,-0.410699692,-0.097584777,0.0534013543,0.0479492426,0.0189778385,-0.034495975,0.5360041926,0.0,1.6118158327,-0.094731791,1.3454897815,-0.088976292,24.516324285,8.3144438915,0.0377167337,0.0,0.0,1.0,0.0,0.0,0.5753641242,5.0,7.7507617435,-0.515038007,1.562991562,1.2489816182,0.2842129904,-167.4741796,0.0592554812,9.777243826,0.0029281631,0.0013826295,0.0064841855,0.0575082945,0.0875561356,-0.133132066,1.0,0.0298119921,-1.0,-0.023255814,2.0,8.2337687092,0.2678692988,0.0,0.0833333358,0.0499417935,0.0519167637,1.5208611766,1.5905399052,1.53597e-05,8.000000157,0.1522624579,0.0231838561,0.1352897394,0.0497660393,-0.175977533,0.0897217758
11157,0.7598289316,0.0842587035,-1.1544,0.0,0.5318127251,1.5180072029,0.1267146884,-0.035628256,0.4302840177,0.0023690445,-0.18171323,-0.039615846,20.0,0.0588604346,-0.024911032,0.0667510282,0.1348014748,0.569244712,0.1500779336,0.2261119902,-0.086549773,0.1020785722,0.5928526285,0.0,3.0898572132,0.4826554184,1.2818808469,0.4153000199,16.1856,5.7039751903,0.2281904762,0.0,0.0,1.0,0.0,0.0,0.8056371749,6.0,-2.72232273,-0.346798217,0.3105606842,0.8877436626,-0.107843432,-586.5766949,0.061725725,10.653753216,0.0513136519,0.0394897072,0.071987315,0.0927370948,0.072611095,0.1455260166,1.0,0.1543367347,0.0801348548,0.1127443202,2.0,10.696655392,0.6659976585,0.0,0.029940119,0.0210612924,0.0212982028,1.0582932129,1.8365144822,2.4108241e-07,2.000000056,0.0013435095,1.8050178e-06,0.7586837006,0.0824011684,0.6621621675,0.1449958314
11181,0.7394073657,0.0844229863,-80.48540718,0.0,0.7158446909,0.205740966,0.0953947003,0.3205646104,0.1792424703,0.1028820893,0.7857355222,0.0233371947,14.0,0.0,0.1428571429,-0.334957623,-0.755281553,0.4279651268,0.3198178664,-0.708443749,-0.014390024,0.0546027575,0.6754277515,0.0,34.15702412,0.0656626327,34.15702412,0.0656626327,36.37357631,0.1530165134,0.1682175596,0.0,0.0,0.0,0.0,0.0,0.2692602785,4.0,-0.34721538,-0.241842909,0.9710988364,-1.903411573,-0.036897622,-3379.042035,0.0384055348,12.368503946,-0.000561221,0.0163729311,0.0290607319,0.0124303981,0.0038868476,0.115413561,7.0,0.0025704736,-0.15042759,0.0582589824,2.0,12.072175472,0.8765704544,0.0,0.073170729,0.022095701,0.037013141,0.3100729048,0.8433246783,2.3708354e-08,3.7479498e-08,1.9166768944,3.6736503174,0.0468163813,0.0556342416,-0.044565207,0.0387213914
50032,0.2560952343,0.0562765624,56.251262862,0.0171998427,0.2812369289,1.5701438886,0.1802240078,0.1399261251,0.9332093945,-0.004878552,0.1301770459,0.0748734635,23.0,0.038601243,0.1,0.0946873882,0.094443337,0.0162593054,0.0963586544,0.0337074397,0.1765265258,0.1508279288,0.5201701403,0.0,1.3988558355,0.1867828615,0.2605040504,0.121859957,151.61699224,140.05813102,0.338903243,0.0,0.0,1.0,0.0,0.0,1.9404247735,5.0,-0.207570848,0.0658859879,-0.017202487,0.3579766066,-0.007923948,7063.9626176,0.0500031521,15.96333067,-0.001686448,0.0336367559,0.0714031473,0.0338515982,0.0192729742,-0.011321767,1.0,0.0,0.1940908126,-0.003290064,6.0,15.496667021,0.5776551604,0.0,0.024305556,0.0135797359,0.0235058802,0.4313841492,1.3522305292,6.07607e-10,3.4771623e-08,0.5675115127,0.3220693171,-1.591070905,0.0320774274,0.1414880536,0.1478381381
69171,0.1770985167,0.1154505702,5.6639529625,0.0046728972,0.2720998028,1.4890251222,0.3446232007,0.0438824842,1.6319841687,0.0125010852,-0.263518218,0.0864271628,13.0,-0.005094614,-0.076271186,0.0803085441,0.5918027969,-0.090492931,0.512995896,-0.405117435,-0.223875046,1.9762247839,0.4692382437,0.0,1.1666666667,0.7493351064,0.6143194867,1.5032646919,15.709181366,51.077941176,0.4601403274,0.0,0.0,1.0,0.0,0.0,7.4508510638,6.0,-2.685637459,-0.270650416,-0.104643161,-2.504374048,0.1152993769,-2107.139801,0.0277608887,8.7423147851,0.0252069917,0.0569851449,0.1269439421,0.0588807393,0.1580855693,-0.001148839,1.0,-0.002184814,0.0912951168,0.0084795319,3.0,6.57768749,0.2542416016,0.0,0.125,0.0654285927,0.1402611388,0.806428349,1.6407422096,7.7664475e-06,2.7391304875,1.8230040265,3.3233436805,0.0164815933,0.1362166671,-0.310386478,0.2107463449
68814,0.3814073345,0.0634382331,-7.358469203,0.013346461,3.7896169882,6.3707228725,0.0907948815,0.5181240322,0.3432145026,0.0631542219,0.6485194585,0.4548736462,17.0,0.1146561301,-0.054621849,1.6452317864,1.1746221633,-0.260945563,0.1263867237,0.0702613785,0.3869012482,0.1448482195,0.4033230254,0.0,1.5297659492,0.4202372753,0.8085884825,0.1663885366,59.342504529,8.6387506181,0.0710138794,0.0,0.0,1.0,1.0,0.0,1.9133464682,5.0,-0.013688453,-1.936532469,-0.285558594,3.247852727,0.3552217946,-745.4531323,0.0359981471,12.382423287,0.0097862355,0.0056316027,0.0357795769,0.0116862474,0.1157359878,-0.000408729,0.0,0.0147689505,1.0711384615,0.0615530312,3.0,12.23909994,1.4531944444,0.0,0.1082474217,0.0392526633,0.050844134,1.0104682259,8.3785695194,2.9049046e-08,1.3223412e-08,1.6885047326,2.8510482321,-0.148756187,0.0642432184,0.1976782768,0.3972280806
47730,0.4782999976,0.0632326146,-1.667118698,0.0210629819,0.6086779631,3.1643236465,0.1122529942,0.1337331666,0.4784863258,1.080824258,0.1193337866,0.048702505,22.0,-0.00810641,0.0444444444,0.1259026229,-0.03630519,-0.029288661,0.6048294196,0.1883032762,-0.005803453,0.1587392267,0.4055612976,0.0,2.0541222166,0.1181506479,1.9091987557,0.1450501677,693.63433312,5.916332818,0.1787027868,0.0,0.0,0.0,0.0,0.0,1.1048269928,4.0,-1.093739079,-0.618692713,0.5367940892,-0.956006094,0.1475881625,-340.115695,0.0614221491,13.111733707,0.0012942068,0.0127445559,0.0283549999,0.0987348577,0.0161082017,0.0005486669,0.0,0.0021000083,0.7965213248,0.0,4.0,11.342848635,0.2249917898,0.0,0.030927835,0.0155925579,0.0127812491,0.8468478448,0.6415419571,2.6979276e-08,1.1947727e-07,0.3774535635,0.1424711926,2.9845185784,0.0317797963,0.216526061,0.0368359315
12627,0.7791938425,0.2172391926,0.2718084139,0.0,0.0203461708,0.5652951942,0.7035274815,0.3603351955,0.7440143655,0.0,-0.346516008,0.2282641003,12.0,0.0,-0.111111111,-0.006492168,0.0606541148,-0.125288973,0.5186915888,-0.389388383,0.014764565,0.3998735911,0.9488140626,0.0,37.504322767,1.0660644661,34.67357513,1.0660644661,0.7664970584,24.784061697,1.8894580389,0.0,0.0,0.0,0.0,0.0,0.785631518,4.0,-0.157952162,-0.390573314,0.082381461,-9.377154046,0.1089977587,-430.9077087,0.3337896125,9.8047922747,0.0066344994,0.0586200728,0.0672550629,-0.016564419,0.6832891512,-0.014587965,0.0,0.0334291002,1.3755727775,0.0006097574,4.0,9.0149335756,0.5873688458,0.0,0.0645161271,0.0311881931,0.0716893727,0.7905987288,2.047525782,6.3683397e-07,3.10837e-08,1.0088817919,1.01784247,1.1925375145,0.1221170894,0.1416666792,-0.052252436
