firms,roeq,nincr,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42
54594.0,0.0307023155,0.0,-0.566371681,-0.009302888,-0.05,0.0857142857142856,0.0270270270270269,0.1014492753623188,0.3571428571428572,0.1692307692307693,0.2666666666666666,0.4615384615384614,0.4339622641509433,0.4615384615384614,0.3818181818181818,0.3103448275862068,0.853658536585366,0.8095238095238095,0.6170212765957446,0.4901960784313726,0.7674418604651163,0.6170212765957446,0.4074074074074074,0.3103448275862068,0.0704225352112675,-0.073170731707317,-0.0129870129870129,-0.0843373493975904,-0.05,-0.1999999999999999,-0.0379746835443037,-0.1162790697674418,-0.05,-0.1363636363636363,-0.3448275862068966,-0.3870967741935484,-0.2549019607843137,-0.371900826446281,-0.3391304347826087,-0.3214285714285714,-0.3870967741935484,-0.4864864864864865,-0.5365853658536586,-0.525,-0.62,-0.5220125786163522
26649.0,0.0108532327,0.0,0.0829730286,-0.062322014,-0.0582524271844659,-0.010204081632653,-0.2270916334661354,-0.217741935483871,-0.1779661016949152,-0.174468085106383,-0.3071428571428571,-0.2480620155038759,-0.3401360544217687,-0.434402332361516,-0.467032967032967,-0.6830065359477124,-0.6510791366906474,-0.6915739268680445,-0.6803953871499177,-0.6304761904761904,-0.6339622641509435,-0.6819672131147541,-0.7224606580829757,-0.6590509666080844,-0.734610123119015,-0.7480519480519481,-0.6987577639751552,-0.6734006734006734,-0.695447409733124,-0.7364130434782609,-0.7051671732522796,-0.6996904024767802,-0.6433823529411764,-0.5949895615866388,-0.4894736842105263,-0.4085365853658537,-0.4550561797752809,-0.4961038961038961,-0.4894736842105263,-0.706060606060606,-0.6643598615916955,-0.5907172995780591,-0.5435294117647058,-0.5221674876847291,-0.4684931506849314,-0.4457142857142857
40096.0,0.0355033117,1.0,-0.471947195,0.0,-0.0999999999999999,-0.1428571428571429,-0.0526315789473684,0.0588235294117647,0.2413793103448276,0.0588235294117647,0.2857142857142858,0.2413793103448276,0.0285714285714284,0.0588235294117647,0.1612903225806452,0.2857142857142858,0.1999999999999999,0.5,1.25,0.894736842105263,1.4,1.25,1.0,0.7142857142857142,0.7142857142857142,0.3846153846153846,0.3333333333333332,0.3333333333333332,0.2413793103448276,0.0588235294117647,-0.0526315789473684,-0.0999999999999999,-0.0270270270270269,0.0909090909090908,-0.25,-0.2340425531914893,-0.0526315789473684,-0.2340425531914893,-0.0526315789473684,0.0588235294117647,-0.1219512195121951,-0.1627906976744185,-0.25,-0.3207547169811321,-0.368421052631579,-0.4193548387096774
51190.0,-0.071304683,0.0,-1.0,0.020833334,-0.0799999999999999,-0.1481481481481481,-0.3235294117647058,0.0,0.0454545454545454,-0.0416666666666666,-0.3235294117647058,-0.3947368421052631,-0.1481481481481481,-0.303030303030303,-0.4523809523809523,-0.8203125,-0.6891891891891893,-0.54,0.9166666666666669,0.6428571428571428,0.7692307692307692,0.3529411764705883,0.2777777777777777,0.2777777777777777,-0.0416666666666666,0.0,0.3529411764705883,0.7692307692307692,0.5333333333333334,0.0454545454545454,0.0,0.5333333333333334,0.5333333333333334,-0.1153846153846154,0.2105263157894736,0.1499999999999999,0.0454545454545454,-0.0416666666666666,-0.2068965517241379,-0.2580645161290322,-0.4390243902439024,-0.4772727272727273,-0.3947368421052631,-0.4523809523809523,-0.4523809523809523,-0.6666666666666667
54332.0,-0.042399277,0.0,-0.972944849,-0.055555556,-0.1538461538461538,-0.3125,-0.2142857142857143,0.1,0.2222222222222223,0.2222222222222223,0.5714285714285714,0.375,0.1,-0.2142857142857143,-0.0833333333333333,-0.2142857142857143,-0.2142857142857143,-0.3125,0.0,-0.2666666666666667,0.375,0.0,-0.2142857142857143,-0.3125,-0.3888888888888888,-0.5217391304347826,-0.5217391304347826,-0.56,-0.5769230769230769,-0.7317073170731707,-0.75,-0.75,-0.7317073170731707,-0.7924528301886793,-0.828125,-0.8428571428571429,-0.8166666666666667,-0.8166666666666667,-0.8070175438596492,-0.8103448275862069,-0.8035714285714286,-0.8674698795180723,-0.8777777777777778,-0.8791208791208791,-0.8829787234042553,-0.9009009009009008
41734.0,0.0460594228,2.0,-0.267639903,-0.015202908,-0.0746268656716417,-0.0676691729323308,-0.1079136690647482,0.0508474576271187,0.2038834951456309,0.1376146788990826,0.1071428571428572,0.2525252525252526,0.1698113207547169,0.117117117117117,-0.0534351145038167,0.0163934426229508,0.1588785046728971,0.4252873563218391,0.4252873563218391,0.4090909090909091,0.8787878787878789,0.8235294117647058,0.5696202531645569,0.6756756756756757,0.7222222222222223,0.5121951219512195,0.5308641975308641,0.4090909090909091,0.2277227722772277,0.117117117117117,0.0333333333333334,-0.0746268656716417,0.0163934426229508,0.2277227722772277,0.0689655172413792,0.0420168067226891,0.3052631578947369,0.1481481481481481,0.3333333333333332,0.3777777777777777,0.3052631578947369,0.1809523809523809,0.1923076923076923,0.0163934426229508,-0.008,-0.0814814814814814
53313.0,0.0488865162,0.0,-0.094339623,-0.025636006,-0.0270270270270269,-0.0999999999999999,-0.1999999999999999,-0.0270270270270269,-0.0270270270270269,-0.0999999999999999,-0.1627906976744185,-0.1627906976744185,-0.28,-0.3454545454545454,-0.1627906976744185,-0.1428571428571429,-0.5263157894736843,-0.5068493150684932,-0.5714285714285714,-0.4285714285714286,0.2413793103448276,0.1612903225806452,0.2857142857142858,0.4399999999999999,0.2857142857142858,0.1999999999999999,0.2413793103448276,0.3333333333333332,0.4399999999999999,0.2857142857142858,0.2857142857142858,0.1999999999999999,0.2857142857142858,0.2857142857142858,0.125,0.0588235294117647,0.0285714285714284,-0.0270270270270269,-0.0999999999999999,0.0,-0.0769230769230768,0.0,-0.0769230769230768,-0.1428571428571429,-0.0999999999999999,-0.1999999999999999
10401.0,0.0277958342,2.0,-0.320566046,0.0092371521,-0.0519480519480519,-0.0309734513274336,-0.0179372197309417,-0.0045454545454545,0.076167076167076,0.0814814814814814,0.1088607594936708,0.1934604904632153,0.1837837837837836,0.1173469387755101,0.076167076167076,0.1116751269035531,0.1202046035805626,0.1088607594936708,0.086848635235732,0.1288659793814432,0.2268907563025211,0.2658959537572254,0.1837837837837836,0.3353658536585366,0.2882352941176471,0.2997032640949555,0.1742627345844503,0.1902173913043479,0.1587301587301588,0.0977443609022556,0.0453460620525059,0.086848635235732,0.0922693266832916,0.1679999999999999,0.1288659793814432,0.0528846153846154,0.1526315789473684,0.0895522388059701,0.0709046454767725,0.0709046454767725,0.0579710144927536,0.0814814814814814,0.100502512562814,0.0379146919431279,0.0379146919431279,0.0735294117647058
50091.0,0.0185583005,1.0,1.8231292517,-0.022832722,-0.044776119402985,-0.072463768115942,-0.1292517006802721,-0.037593984962406,-0.0153846153846153,-0.1232876712328767,-0.0857142857142857,-0.0791366906474819,-0.0303030303030302,-0.1232876712328767,-0.1688311688311687,-0.1232876712328767,0.0847457627118644,0.1327433628318584,0.3061224489795917,0.4382022471910112,0.855072463768116,0.7534246575342465,0.5238095238095237,0.6842105263157894,0.4883720930232558,0.5421686746987953,0.3763440860215055,0.3473684210526315,0.3617021276595744,0.292929292929293,0.28,0.292929292929293,0.4545454545454546,0.3061224489795917,0.1228070175438595,0.1962616822429905,0.2075471698113207,0.0756302521008402,0.2549019607843137,0.1531531531531531,0.1034482758620689,0.0,0.0491803278688525,-0.0153846153846153,-0.044776119402985,-0.0921985815602837
52046.0,-0.12115638,1.0,-0.426078972,0.0497835502,-0.1333333333333333,-0.0714285714285714,-0.1875,-0.037037037037037,0.4444444444444444,0.4444444444444444,0.368421052631579,0.4444444444444444,0.1304347826086955,0.0833333333333332,0.2380952380952381,0.368421052631579,0.3,0.2380952380952381,0.8571428571428572,0.625,1.0,1.3636363636363638,1.1666666666666663,0.8571428571428572,0.8571428571428572,0.7333333333333334,0.4444444444444444,0.3,0.368421052631579,0.0,-0.1333333333333333,-0.2352941176470588,0.0833333333333332,0.0,-0.2571428571428571,-0.2972972972972972,-0.2121212121212121,-0.4347826086956522,-0.3333333333333333,-0.3157894736842105,-0.5517241379310345,-0.6,-0.6060606060606061,-0.6578947368421053,-0.75,-0.7425742574257426
