firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
56899,0.8085127834,-0.077333375,-0.076664062,0.0150281186,0.9162678597,1.125905389,-0.082213023,0.1242740379,0.1257280158,0.1623831776,0.1337174399,11.0,-0.061276458,-0.120689655,-0.226164646,-0.30586795,-0.367482059,0.097467709,0.3440173199,0.0480346655,0.1137604486,0.6074196554,0.0,6.766805887,1.7511589666,4.5049721559,2.7328589496,4.1069228648,4.4637521859,0.0025139124,0.0,0.0,1.0,0.0,0.0,0.1727846398,1.0,-0.220880094,-0.101568239,0.2643851867,0.0915331985,2.2323282969,-106.7822024,0.0510165814,11.865664674,-0.026767158,-0.020424262,-0.041572811,-0.077843764,0.1589472684,-0.134634884,1.0,-0.057837778,-0.551881854,0.0356395058,2.0,11.858812175,0.7658730159,0.0,0.073170729,0.0332151078,0.0473393923,0.6573540013,2.6838410409,7.4700041e-08,2.7096061e-08,2.2143867101,4.9035085019,0.1195495315,0.0554857597,-0.261298122,0.1012394129
10496,0.1451851852,0.0572486772,5.7097061443,0.0,0.1823280423,0.4787301587,0.450811359,0.7535410765,1.5978280221,0.5144230769,0.6472275335,5.0,-0.121399177,-0.029411765,0.0617226003,-4.210166801,0.1781114246,0.3875,0.3769417476,-0.140509915,0.9082058414,0.7506630048,0.0,1.7530006317,0.1277345022,1.5091598231,0.8917045137,4.0284951024,3.9545454545,0.4803178043,0.0,0.0,1.0,0.0,0.0,4.1168289291,4.0,0.0731897164,-0.184469555,-0.276697639,0.4414361103,0.6335174377,-425.2801101,0.191441564,9.5020767148,0.0665153459,0.0773388773,0.1683257919,0.0389417989,0.3628432956,0.0018949401,0.0,0.0183068783,-0.353235309,0.0,5.0,10.011556896,1.5444444444,0.0,0.1818181872,0.0791225399,0.0895946636,1.0775497765,11.83410114,8.6357399e-07,8.5485824e-09,1.3875089349,1.9251810444,-0.180123401,0.0631528677,0.3525641085,0.24585661
27991,0.9306814135,0.1599074202,-69.26955006,0.11772528,1.4815266185,0.5797351683,0.0693743468,0.144220922,0.1337068656,0.0601471595,0.2218225649,11.0,-0.000229889,0.1172873063,0.1804431705,0.010812211,-0.032087709,0.0203579533,0.0107725912,0.1338955299,0.1117810843,0.5170023764,0.0,1.0539140404,1.3760051361,0.7944993619,1.8616448216,74.429784537,9.2923137782,0.1550680687,0.0,0.0,0.0,0.0,0.0,0.2373086734,4.0,-0.054351709,0.0240309476,-52.6486701,-0.202241353,-0.534595124,1241.5252308,0.0103024126,14.566389238,0.0006242247,0.0152831042,0.034679129,0.0215461701,0.0029634131,0.0864170584,0.0,-0.004036697,0.2838887031,0.0342181195,5.0,13.948404951,0.6550498121,0.0,0.029787235,0.0131128936,0.0158662224,0.5822349273,3.2373343953,1.7161387e-09,3.1961425e-08,0.5572153681,0.3104889665,-0.370033903,0.0283089231,-0.024521792,0.3496831785
20482,0.2287626896,0.0569056458,11.776874866,0.020534019,0.1953833677,0.410926548,0.2226288101,0.0931249896,0.5739584361,-0.005314636,0.0175220052,11.0,0.0101185466,0.0318997267,0.082575431,-0.064191503,0.0096603912,0.1138233244,0.0936343114,0.0919869129,0.1671947339,0.5264986439,0.0,2.1312244282,0.1089551655,1.5430024884,0.111424043,7.6813614107,5.9651652003,0.3921245163,0.0,0.0,0.0,0.0,0.0,1.0707655831,5.0,-0.94938795,-0.136056665,-0.269360389,0.611519138,0.2338633948,5931.5261399,0.0812427753,15.931598514,7.02828e-05,0.0404917392,0.0792300063,0.0127238693,0.1261274742,0.0272129124,1.0,5.55759e-05,0.0213120843,-0.027529977,6.0,15.108720136,0.2562119011,0.0,0.0451020412,0.0240526611,0.0278794376,0.3124534124,0.4989147931,9.965345e-10,5.9464045e-08,1.2181104792,1.4837931395,0.2607159255,0.0294419674,0.2225494299,0.2267463956
64688,0.2187089994,0.0598844172,6.1698110336,0.0206724464,0.2576404064,0.6427141385,0.2775854424,-7.0519e-05,0.605351728,0.5038176265,-0.113575534,3.0,-0.016982783,0.0357142857,0.3012606588,0.1632698797,-0.010321988,0.16438312,0.2221960582,-0.006378737,0.177543944,0.5982778312,0.0,2.8075994851,0.2600740128,1.9802370482,0.3234538015,6.2728319383,5.2020540875,0.2777396583,0.0,0.0,1.0,0.0,0.0,1.5286150783,5.0,-0.1465997,-0.002444524,-0.489293735,-0.37745405,0.2846988946,16.971429764,0.0415193682,12.800741822,0.0035117698,0.0323487701,0.0645854182,0.0149589051,0.2507510978,0.0292318661,2.0,0.0016112137,-0.008801408,-0.004586362,4.0,12.228551835,0.5120814927,0.0,0.0192307699,0.0097482217,0.0152760113,1.2266481729,3.8773185751,3.2157615e-08,2.7601849e-08,1.141679101,1.3034311696,0.0006672245,0.0317643001,-0.303968314,0.3748577103
10640,0.5189462882,0.0769953143,0.8470961488,0.0097781048,0.5908395616,1.4559017155,0.0595633441,0.1374930539,0.5652238628,0.0137052176,0.1102843524,11.0,0.067193419,0.077173913,0.1949669043,0.1113536769,-0.03630455,0.1276623377,-0.194416349,0.1180142097,0.1701412386,0.6256063228,0.0,2.8773002208,-0.02553168,1.7284859346,-0.080966304,13.253106548,3.7896076406,0.187971999,0.0,0.0,1.0,1.0,0.0,1.2205898404,4.0,-0.959217716,-0.090782479,0.0208232098,2.2707469119,-0.248892922,-122.7442599,0.0812427753,11.201780274,-0.002470826,0.0176004182,0.038729964,0.0775277853,0.0989863214,0.0737909425,1.0,-0.000571196,0.9340121441,-0.047680376,6.0,11.974171325,1.4884232007,0.0,0.0222222228,0.0306194848,0.0353966547,0.8602040596,7.5106082293,3.7383223e-08,9.828878e-09,2.1457912087,4.6044199112,0.1670611568,0.0493132143,-0.198145783,0.2267463956
10656,0.734443237,0.0983330941,-0.135053619,0.0042236483,0.3992577861,1.9080228815,0.1991513108,0.0686427157,0.3213578609,0.6488505747,-0.075268307,11.0,-0.010741797,0.0,-0.034727409,0.022555844,0.1081142464,0.1232151082,0.2699105511,-0.004786345,0.1643425971,0.7499684498,0.0,3.3773748997,0.1480309006,2.3415841584,0.2040980318,4.4551895825,6.6447697251,0.2630579063,0.0,0.0,0.0,0.0,1.0,0.5264098814,4.0,-0.166351769,-0.065665805,0.090447008,-1.057076793,0.7972513825,-192.275012,0.0746244585,10.968474114,0.0010292953,0.0159086724,0.023578212,-0.018880657,0.2756851225,0.0021467661,1.0,0.0027526215,-0.068796004,-0.006794624,3.0,9.506436943,0.1816539116,0.0,0.0410958901,0.0214307322,0.0232567083,1.0573504575,0.5143160235,7.4262533e-07,1.4405349e-07,0.5333333641,0.2844444772,0.2326697274,0.033874089,-0.044817781,0.2496829189
10664,0.1082706767,-0.068787353,15.776203966,0.0,0.6638133796,0.9264700212,-0.058805259,-0.105552329,0.08647876,0.2912621359,-0.141175297,11.0,0.0377732192,-0.640732265,-0.520523617,-0.177542144,-5.167127715,0.4332988625,0.4402477407,-0.009916469,0.1994873985,0.5230430983,0.0,1.2494786888,-0.049078553,0.9254316457,-0.16054119,34.033994334,2.4112393377,-0.073264988,0.0,0.0,0.0,0.0,0.0,0.1413925673,2.0,0.0071524221,-0.861039768,-0.597051761,-5.315289039,0.4901038611,-863.0212838,0.0501289914,9.8900286363,0.0085764059,-0.078619806,-0.487375887,-0.309350299,0.0352576908,-0.007154638,0.0,-0.063967611,9.7407407407,0.079210395,1.0,10.073293616,0.5814841327,0.0,0.0909090936,0.0447142194,0.0465542894,1.6373310934,2.4815072484,7.5040279e-06,7.636363705,0.7581571419,0.5748022518,1.62244871,0.0918921901,-1.329573939,0.3546665304
10057,1.2275840102,0.0563784042,-4.985006454,0.0339103483,1.4719884352,2.7066166832,0.0944130339,0.0230049371,0.350668865,0.0276595745,0.1837832512,11.0,0.0041359723,0.0171799028,0.0380092369,0.5280092369,0.9655919218,0.1830765046,0.1367987988,0.0411321151,-0.119642951,0.4484631144,0.0,1.882808966,-0.03835163,1.1346456816,-0.102913903,10.968771721,7.6537448902,0.144757144,0.0,0.0,1.0,0.0,1.0,0.6249670538,3.0,-0.010575084,0.0363013188,0.6834564136,1.6988606811,1.7806278833,-183.8577024,0.0510165814,11.022233296,-4.134e-05,-0.005910978,-0.012750999,-0.082344322,0.084497797,0.0451987724,0.0,-0.0312,-0.269548219,-0.019072723,1.0,10.7042131,0.6097573924,0.0,0.0795454532,0.0390858472,0.048970911,0.8681233375,3.1179812145,2.6116341e-07,2.869834e-08,1.5863462453,2.5164944098,-0.015146275,0.0487175241,-0.150401103,0.1012394129
63837,0.7422675588,0.0902307088,-1.112871825,0.0398907547,0.4879469792,2.5816329818,0.1572510519,0.0874954868,0.6523949934,0.0571667596,0.0909367628,11.0,0.0250216201,0.0592300099,0.1489661441,-0.133728156,0.0990481301,0.1305088141,0.0404333819,0.0686304008,0.0852450858,0.6013115593,0.0,3.5988444078,-0.089956189,1.8262484523,-0.055333938,153.54048583,6.1277266117,0.2878043455,0.0,0.0,1.0,0.0,0.0,1.0434934063,5.0,-0.084230363,0.0783514259,0.1981399622,22.866596429,1.2326701673,-236.1044611,0.0510165814,10.344987214,-0.010926952,0.0146588037,0.0236595205,-0.078933267,0.0084811995,-0.002628157,2.0,-0.013385427,-0.275039746,-0.014084507,4.0,8.1339909171,0.1343134812,0.0,0.0333333351,0.0201457179,0.0153604994,1.3227755617,1.2557609816,3.0042313e-06,0.9545455755,0.6689482749,0.4474917945,0.5325581268,0.0387211449,-0.236063161,0.1012394129
