firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
44231,0.4146645761,-0.008159565,3.337824322,0.0,0.220534918,2.1246601456,-0.154621113,-0.185438163,1.2474930969,0.0,-0.38241828,-0.046464191,4.0,0.0732019862,-0.120950324,0.0491326245,0.5280058639,-0.040436972,0.2388888889,-0.102511253,0.0941723587,-0.019034853,0.5777111508,0.0,2.2163814181,0.2844682585,0.8942542787,-0.207938298,18.04427334,181.27272727,0.1404747891,0.0,0.0,1.0,0.0,0.0,2.2873994638,2.0,-0.027968326,0.7062176018,-0.106710186,-0.847395136,6.6601244248,-1.058857514,-0.142750842,-114.4423895,0.1334042047,9.7013292929,0.0626603082,0.1484373665,-0.059043521,0.1853702052,0.0383964728,3.0,-0.012126021,2.4278959811,-0.106742572,3.0,9.7596785255,1.1665538253,0.0,0.0784313753,0.0385719158,0.0396933428,0.8927847946,3.4562726919,3.1765061e-07,1.6815564e-08,1.4872587596,2.211938618,-3.492927177,0.1576074516,-1.4375,1.9759922076
11157,0.8632504097,-0.033219127,-3.921052632,0.0,0.2667957694,1.0064054819,-0.070931478,-0.076004872,0.1661388551,-0.037631711,-0.154789995,-0.040518397,6.0,-0.077108129,-0.421875,-0.354851031,-0.584017698,-0.178983555,0.1680216802,-0.018144914,-0.050548112,-0.04859629,0.5550531242,0.0,5.7430555556,0.2420818119,1.4285714286,0.3786911413,59.263157895,5.2049306626,0.0127877238,0.0,0.0,1.0,0.0,0.0,0.2124445904,1.0,-0.022502941,-0.347370555,-0.445877087,0.2674977626,-0.667316982,2.2164377295,-0.163347889,-210.2521531,0.081761087,9.3714170119,-0.015528747,-0.020207081,-0.134217191,0.0150276826,-0.002995876,0.0,-0.006554447,0.5127126617,0.0392194558,2.0,8.4271522299,0.6840458811,0.0,0.1176470593,0.0458809403,0.0607809493,0.8103744614,2.91147344,8.0971789e-07,2.4876319e-08,1.085701021,1.178746707,-0.193775927,0.1022023171,-0.915780104,0.6340593814
39116,2.3009927837,-0.313434757,-42.26098243,0.0,0.8318445869,3.6280450657,-0.122189638,-0.095130462,0.2006106749,0.0,-0.018785425,-0.546485786,8.0,-0.034036264,-0.15,-0.012056751,-0.144048015,0.0921165288,0.0986972147,-0.296695157,0.1007018796,-0.119886572,0.5863653753,0.0,3.1138211382,-0.224817907,1.7245101959,-0.237302078,84.428115016,4.4335206778,-0.193640674,0.0,0.0,1.0,0.0,0.0,0.2650317702,3.0,-0.040721059,0.2431688436,-0.083227918,-32.0147382,-0.795294249,-0.505840402,-5.812403298,-62.26848877,0.0624425817,10.363085669,-0.032648232,-0.044451074,0.0424466002,0.0470399605,-0.149126234,0.0,0.0389245647,-0.165114836,-0.035714287,1.0,10.632466296,1.7677784356,0.0,0.0588235296,0.0252853602,0.0410106517,0.7088840036,2.3822455782,1.7121415e-07,2.6056543e-08,1.6391985317,2.6869718265,-0.10397104,0.0744317083,0.452380943,1.137676608
50032,0.494267638,0.0847746229,0.3476332063,0.0226738533,0.7126601369,5.7220031354,0.1590914922,0.170786099,1.2842654826,0.0956638655,0.0417700693,0.0387545283,9.0,0.0240816236,0.0666666667,0.1320321097,0.4233494054,0.0086928183,0.1175722174,-0.004353702,0.118298732,0.4252906295,0.6099072338,0.0,1.7427541528,0.1531875182,0.862453932,0.3486305087,23.383761232,117.42614889,0.2078612082,0.0,0.0,1.0,0.0,0.0,3.7263266776,5.0,0.0011258604,-0.032430027,0.0509674465,-0.781233881,-0.933271755,0.7321869689,-0.062803022,464.06952028,0.0528787148,13.605808143,0.0224751563,0.0576293264,0.2318634951,0.2027460687,0.003701304,1.0,0.0042928272,1.3987833019,0.006788169,5.0,11.418422459,0.1119155725,0.0,0.0510204099,0.0222670619,0.0235169045,0.8420599084,0.6258017843,7.7650802e-08,1.6600605e-07,0.4113934225,0.1692445481,0.2472196811,0.0344885387,-0.247832029,1.1365697458
17304,1.1824450287,0.1235236792,-57.75600076,0.0504932111,1.9252575397,4.5550887828,0.1095262475,0.0476858004,0.5506532289,0.0292140386,0.0247784761,-0.01993759,9.0,0.0096473362,-0.030769231,0.1805925417,0.0885403592,-0.007103976,0.0743948063,0.320729785,0.043694203,0.0875524293,0.5828025986,0.0,2.2555511638,0.3699646827,1.4393551975,0.382263369,253.94325864,4.2092445259,0.1141903562,0.0,0.0,0.0,1.0,0.0,1.3866993994,3.0,-0.007138126,0.0755878381,-0.043357328,0.1048641982,-0.390452621,-0.265373827,-0.056453228,113.27039455,0.1086337356,13.815926471,0.0318294249,0.0885717084,0.1097746036,0.0057658988,0.0002714627,3.0,0.0164727306,0.0919139034,-0.004108957,2.0,13.40582468,0.7069379138,0.0,0.0460704602,0.018980492,0.019150518,0.6341853651,2.4561351187,5.0211874e-09,2.1743602e-08,0.7851035659,0.6163876093,0.1249171567,0.0348063738,-0.147706464,1.1058613967
66229,0.1664285896,0.0280728684,26.307279689,0.0219991814,0.5068898336,0.8352515279,0.0060405157,0.7194675134,0.6133365901,0.5749242096,1.4862772695,0.0471069427,3.0,0.018412898,-0.645833333,0.4002244849,-0.313771458,-0.007931721,0.0424424973,-0.316251369,0.572667318,-0.078145695,0.4252063357,0.0,0.8653518383,-0.248149089,0.7022157292,-0.238013232,34.652777778,10.334319527,0.1207105369,0.0,0.0,1.0,0.0,0.0,1.1758940397,2.0,0.3108782136,0.4956405838,-0.795358167,-1.046914855,1.3650874627,-4.686354729,-0.577955676,-465.4635529,0.0286998734,10.155320596,0.0026516924,0.00945758,0.0531806298,0.035797997,-0.009991587,0.0,-0.002486864,-0.785167527,0.0347954929,4.0,8.6758622195,0.2976518431,0.0,0.1320754737,0.0509376503,0.0597464124,0.8238082175,1.4160182667,1.1794504e-06,5.4596438e-08,0.7082552219,0.5016254594,0.8312307524,0.1208808757,-0.722619351,0.5466076093
47730,0.7279873025,0.0969574147,-2.065873046,0.0311874306,0.4589588864,4.2604022371,0.1758080191,0.1482004234,0.7540714402,0.0140018067,0.2170839689,0.0810480371,8.0,-0.006772465,0.0,0.1129982224,-0.008666753,0.0032402009,0.2927856767,0.0203799329,0.0348379567,0.1086422391,0.5287545152,0.0,2.0749274176,-0.179039728,1.8007518797,-0.149764888,69.874827428,7.4237520168,0.362559361,0.0,0.0,0.0,0.0,0.0,1.1662429228,3.0,0.042973664,0.0282161576,-0.065950137,0.2355888513,-0.112360441,-0.189773667,1.2430514701,-289.8738777,0.2120884706,11.320747493,0.0182851875,0.0298130661,0.0563999687,0.0384117495,0.0028183248,0.0,0.0016822982,-0.253578732,-0.024679084,4.0,9.960056904,0.2682106097,0.0,0.0247524753,0.0151099813,0.0135208888,1.2520881396,1.9826325235,2.3776792e-07,7.5282277e-08,0.7542413324,0.5688799875,-0.278092242,0.0358915639,-0.768602915,1.1112943013
48581,0.7703825636,0.1381618656,-1.325741694,0.0130224051,1.3370156988,1.9678463649,0.1849998727,0.0443327267,0.3766266103,0.0028889806,-0.031026042,0.0739521414,8.0,0.0003711909,0.0,0.144084558,0.328482666,0.033294144,0.0888086886,0.0906584635,0.0305728632,0.1990624763,0.433110884,0.0,1.6225187796,0.0455676507,1.2990893449,0.0259539701,10.252715838,13.18206322,0.172609564,0.0,0.0,1.0,1.0,0.0,1.0268541714,6.0,0.0752391468,0.0750125841,0.0565596069,-1.31133854,-0.382533202,0.4758632576,0.2512891657,-60.37745659,0.1851852985,12.109737941,0.0089718544,0.0238613319,0.0154311636,0.0792659676,0.2396591224,0.0,0.0019978781,-0.457056375,-0.029149378,4.0,11.071023266,0.5290601326,0.0,0.0238095243,0.0169961792,0.0139623914,1.3580679504,2.307663084,9.4632633e-08,0.9130435199,1.6911191465,2.8598839676,0.0113962465,0.052853614,-0.549886191,0.5606223296
44652,0.5671836669,0.143394148,-5.552690988,0.0333625317,1.5372247439,11.912778531,0.1341699952,0.0649098153,1.3191868044,-0.003757871,0.0212697325,-0.027410717,8.0,0.0366801812,-0.024234375,0.0579405365,-0.074419961,0.0479000074,0.1282692682,0.0234363273,0.0829179962,0.2343357747,0.5512912757,0.0,1.4019229575,0.0661708295,0.2829173563,0.2126655683,90.213717527,170.3368273,0.1809101468,0.0,0.0,1.0,0.0,0.0,5.0641111483,5.0,0.0031792868,0.0639605162,-0.039933595,-0.708317852,-1.529718689,0.6788105544,-0.128968267,405.70697091,0.0528787148,13.816028424,0.0262902527,0.0866129497,0.1555230927,0.05761832,0.0045451462,1.0,0.0099583016,-0.227340267,0.0033416806,3.0,11.989780569,0.148639005,0.0,0.0335820913,0.0171090054,0.0229740666,0.8411842938,0.6474762961,2.5575475e-08,8.4122741e-08,0.4612738045,0.2127735227,0.1176245078,0.0422114476,-0.093836728,1.1365697458
44548,0.495595544,0.0773716406,1.6921014725,0.0107445004,0.5061028038,2.508144731,0.0297301805,0.2219505879,0.9078169743,0.2377662637,0.0244922719,0.0177181244,9.0,0.0131413431,0.0322580645,0.1391700835,0.1259176486,-0.006854441,0.0969700738,-0.079994534,0.1369112898,0.5213983173,0.5849347323,0.0,3.6815175424,0.2055530997,1.1675339936,0.8642831489,17.823513753,63.306334699,0.2131442269,0.0,0.0,1.0,0.0,0.0,2.2208635989,4.0,-0.000366059,0.0291244788,0.0196699668,-0.581985286,0.8319417254,-0.491222424,-0.018797513,-460.4948883,0.1086337356,12.441786854,0.025754284,0.072134759,0.1174215942,0.1404825269,0.0458021904,3.0,0.0081410973,-0.175688509,0.0085532633,5.0,11.372875731,0.2648062016,0.0,0.054298643,0.0248463204,0.0180240741,0.9811215628,1.5796634618,4.344536e-08,3.7111379e-08,0.8879761652,0.7885016699,-0.046792387,0.0500789805,-0.352795361,1.1058613967
60871,0.3148568352,0.0370830549,258.51950355,0.0,0.2968296201,0.6531618138,0.1440007882,0.1245402033,0.6918309743,0.2642904436,0.0709322642,-0.009141247,8.0,0.0141498402,0.118464351,0.1136101795,0.0776925538,0.1130579556,0.1636684711,0.2100259889,0.1325663729,0.18020376,0.5091202109,0.0,3.800130662,-0.115280014,1.7668989547,-0.079579428,316.33818182,5.0864175876,0.258929097,0.0,0.0,1.0,0.0,0.0,1.3022768209,4.0,-1.123464522,0.0962363702,-0.008750795,-0.35471219,-0.212071079,-0.110379763,-0.275613844,46.891451096,0.0419981991,13.342289759,0.0156124384,0.0303294031,0.0110046272,0.0019135951,-0.000403384,0.0,0.0014035717,-0.399610136,0.0180377439,7.0,12.097916559,0.3184956748,0.0,0.0505836569,0.023003055,0.0247461977,0.6103008299,0.6449719936,3.2227456e-08,7.9385043e-08,1.5453399124,2.3880754449,0.0089723718,0.0468920241,0.0103896174,1.1892865687
14198,0.3167432878,0.0538227972,11.817705079,0.0,0.1222201334,0.4830334,0.1944757742,0.2895490816,0.6293846731,0.0050498978,0.509257696,0.0268020212,8.0,0.0791644982,0.1333333333,0.2791180411,0.2197112239,-0.061210841,0.098015346,-0.299435769,0.281569646,0.2209651635,0.633312088,0.0,4.1090649875,-0.196634249,2.1344303196,-0.244302477,9.4607694368,4.4287564767,0.6489335457,0.0,0.0,1.0,0.0,0.0,0.8138010997,2.0,0.0534852989,-0.007497971,0.1093312463,-0.279009359,0.8712691406,0.9518085988,-0.096027471,2.4585969119,0.081761087,13.006970483,0.034655017,0.048989878,0.0139716723,0.2430417456,-0.084781446,1.0,0.0016323871,-0.148563957,0.0345132188,6.0,11.913026211,0.3938627365,0.0,0.0923913047,0.0286798272,0.0261341683,0.7467847027,1.785960868,2.5729458e-08,2.8590382e-08,1.8221911363,3.3203805373,0.0289523532,0.0567397946,-0.728265448,1.025805992
14307,1.6166161374,0.179990426,-4.065588663,0.098292644,1.2344024254,3.6865060369,0.1307746684,-0.03098561,0.3490490997,-0.067410714,-0.07478871,0.1373331206,5.0,-0.002460567,-0.210526316,-0.119201932,0.0497557622,0.0718366267,0.0879636755,0.2693896398,0.0129076578,0.0053585605,0.6112602142,0.0,2.906925934,0.1917568721,2.0176971816,0.1606083554,12.592659884,5.5652802313,0.2348215025,0.0,0.0,1.0,0.0,0.0,0.596057158,4.0,-0.075839522,-0.219808876,-0.213953182,0.3848255812,-0.905340058,-0.603958568,-0.425175372,-85.39966528,0.0374117784,9.4044515325,0.0012449542,0.0026188398,0.0702090314,0.0886755367,-0.028838678,1.0,-0.019892559,0.4584062536,0.0135135138,5.0,6.9505752762,0.0951013244,0.0,0.0107526882,0.0079239845,0.060174598,1.306729108,0.3119749286,1.3513898e-06,9.1304351695,0.3080281898,0.0948813657,-0.956494891,0.0384965991,0.1788955434,0.9174967561
45583,0.3916089285,0.0652186001,3.8503436856,0.0175281772,0.2740559296,0.9826162111,0.1795423277,0.1640201618,0.562857237,0.0,0.2073561211,0.0442215995,9.0,-0.012521361,0.0178571429,0.0337732495,0.0147944877,-0.013621289,0.1504583289,-0.006353926,0.0404058706,0.1361265147,0.6387097069,0.0,5.0770516153,-0.058684578,2.7117991088,0.1474496217,7.9455045031,7.1023025755,0.3410351811,0.0,0.0,1.0,0.0,0.0,0.8965290614,1.0,-0.014830067,-0.120226622,-0.205354815,-1.130861993,-0.168268334,0.2703610737,0.6518671289,86.30300642,0.1539018468,12.423142791,0.023776535,0.0409556314,0.022006971,0.1854060977,-0.033322822,0.0,0.0021284889,4.4409345179,-0.076333793,4.0,10.748201721,0.2419785132,0.0,0.0582524277,0.0345068451,0.0341286727,0.943391604,0.6230016782,2.4578426e-07,9.1506243e-08,1.1402990206,1.3002818565,-0.086784141,0.0556766255,-0.676605102,0.7049263352
57920,0.5444780041,0.0932006505,-0.224002271,0.013734954,0.7896388669,3.0982057852,0.1329309673,0.1680277222,0.6179023773,1.0,0.1841461834,-0.057348042,8.0,0.071490724,-0.019230769,0.2180786123,0.0970871442,-0.097444476,0.1854566979,0.1019384982,0.100099368,0.1454162021,0.6218653898,0.0,2.5141481481,0.0728656216,1.176345679,0.0903290983,29.080737616,7.0567679286,0.1602031613,0.0,0.0,1.0,1.0,0.0,1.4188199932,3.0,-0.381613994,0.2500361737,-0.002382351,0.5544298371,-1.167793137,0.9872347145,-1.884328778,105.4696552,0.5375397949,13.012224519,0.0080413579,0.0200896769,-0.017653842,0.1122187017,-0.00252765,0.0,-0.005269157,0.1707418152,-0.028821048,5.0,12.065424561,0.4128223456,0.0,0.0267379675,0.0124706302,0.0215126373,0.7484557037,0.7789342015,3.1478005e-08,7.7846168e-08,1.4675034698,2.1535664338,-0.024084301,0.054976849,-0.632896164,0.9531962826
14702,0.2854266142,-0.077764257,7.7118392338,0.0,0.3243416867,0.72698297,-0.161744365,0.0845369584,0.3969911816,0.1382978723,0.0309162304,-0.065476154,8.0,-0.126462548,-0.097391304,0.1391018196,-0.186089594,-0.337368246,0.2008227848,0.6811549087,-0.090498931,0.1526641389,0.6342083553,0.0,2.5072584902,0.2759232166,1.6964191448,0.8113339175,10.701867119,3.1287749894,-0.161611735,0.0,0.0,1.0,0.0,0.0,0.7702055478,2.0,-0.070089993,0.0092867855,-0.080342234,0.661939941,-0.865341688,0.0605838206,0.1229544391,-82.99374809,0.0371133477,12.447717978,0.0009995002,0.0021352724,-0.003250935,0.0833627549,-0.008067433,2.0,0.0075936944,0.3490664893,0.0310683139,3.0,12.139999614,0.864523881,0.0,0.0340136066,0.0258181338,0.0230048067,0.9086160727,3.5729178299,1.9077596e-08,2.1024288e-08,1.7541273521,3.0769627673,0.035592614,0.0602673465,-0.887420684,0.9807219797
10559,1.0197508173,0.1310797986,-42.52601904,0.0665127924,1.5880357547,5.3306119072,0.1349271255,0.09194544,0.5210372153,-0.003097117,0.1315766278,-0.132916928,9.0,0.0104089457,0.0166666667,0.1590693732,-0.344662267,-0.069435147,0.081615648,0.1486837647,0.0472205707,0.0567973737,0.5283071993,0.0,1.7534725181,0.0682980087,0.7194133608,0.3303602373,203.73473039,11.23267733,0.1605441477,0.0,0.0,1.0,0.0,0.0,1.2678429436,4.0,-0.003833707,-0.108796941,0.0040785689,-0.057830013,-0.150131681,0.301261579,-0.169432566,-22.45410545,0.1086337356,13.610353955,0.0366700801,0.0922333011,0.1620151258,0.0092033558,-0.000820811,3.0,0.0211060976,1.7241635688,0.1201981511,3.0,13.527632466,0.9035678181,0.0,0.0252918284,0.014547471,0.0161790428,0.7718110697,3.4146792836,5.1271652e-09,2.1776178e-08,0.8217405271,0.6752574938,0.2678281898,0.040428962,0.1618938357,1.1058613967
15537,0.3692824726,0.0103800219,70.916311417,0.0084447635,1.1558770105,1.7915213999,0.0523275962,0.0417196348,0.3274009014,0.0,0.0552521683,-0.090957141,3.0,0.0247919851,0.0304568528,0.0688569329,-0.01387688,-0.024240414,0.0823427707,0.2551554283,0.096729458,0.0081652257,0.5490697803,0.0,1.8566978193,0.5417825788,0.9043168669,0.4987563627,848.58333333,5.638427464,0.0687714911,0.0,0.0,1.0,0.0,1.0,1.0686839577,3.0,0.030962517,0.0918602873,0.047505923,0.7457957994,-0.945564133,-3.039637255,0.0974734521,-198.7280023,0.0371133477,9.5412704937,0.0187771926,0.0715532286,-0.020056313,0.0013312625,-0.037349164,2.0,-0.003166786,-0.804017638,0.0,4.0,7.2429767337,0.2658876589,0.0,0.1101694927,0.0309654762,0.0439850847,1.2091267233,1.9038279745,7.2200273e-07,1.8260869991,0.877508792,0.77002168,0.6154799863,0.0847055615,-0.607046091,0.9807219797
63095,0.8428270632,-0.134235191,-70.91474895,0.1103844076,2.7581940485,9.8494791958,-0.08721465,-0.122393374,0.5250308799,0.0203821656,-0.074294577,-0.206905547,8.0,-0.103631755,-0.294117647,-0.219850285,-0.246979888,-0.042426387,0.1898631251,0.1543005923,-0.085428322,-0.249933669,0.577505071,0.0,1.1261093737,-0.063502472,0.4551319979,0.024406436,276.46025105,9.0425619269,-0.01039204,0.0,0.0,1.0,0.0,0.0,1.8830591669,0.0,0.0509202404,-0.441641602,-0.285062828,-0.700164727,-12.12116655,0.6241596883,0.0099910834,-56.0679051,0.1198859378,9.4728392428,0.0016144389,0.0068977715,-0.698655508,0.0167389521,-0.00775038,0.0,-0.005762107,-0.294776119,0.0,2.0,7.9211727216,0.2176742233,0.0,0.0149253728,0.0123858872,0.0145529796,1.1791068486,1.0871928592,1.0835363e-06,0.9130435624,0.7883231391,0.6214533717,0.2067118694,0.0467385414,-0.128823747,1.3398088674
