firms,roaq,roeq,cash,nincr,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22
39116.0,0.0243018391,0.0309020045,0.0306526807,1.0,0.1795105639,0.0531135555,-0.0588235294117647,-0.36,-0.3962264150943396,-0.3043478260869565,-0.0303030303030302,0.1428571428571428,0.2307692307692308,0.1428571428571428,0.2307692307692308,0.4545454545454546,0.28,0.3913043478260869,0.5238095238095237,0.5238095238095237,0.5238095238095237,0.5238095238095237,0.3913043478260869,0.3333333333333332,0.3333333333333332,0.6000000000000001,0.4545454545454546,0.5238095238095237
50032.0,0.0187799902,0.045559995,0.1654499123,2.0,7.4973797046,-0.052691054,-0.0577777777777778,0.0653266331658291,0.0095238095238094,-0.0046948356807511,-0.4301075268817204,-0.4536082474226804,-0.4479166666666666,-0.427027027027027,-0.3727810650887574,-0.4391534391534392,-0.4536082474226804,-0.3837209302325581,-0.3416149068322981,-0.2428571428571428,-0.2428571428571428,-0.208955223880597,-0.0535714285714286,-0.094017094017094,-0.0407239819004524,-0.0230414746543778,0.0,0.0
49330.0,0.0009984318,0.0027702565,0.0189584785,0.0,-0.4703657,0.0002295813,0.0370370370370369,0.0526315789473683,0.1111111111111111,0.1111111111111111,0.1666666666666667,0.25,0.25,0.4432989690721649,0.3592233009708738,0.8181818181818181,0.7721518987341771,0.7948717948717949,0.917808219178082,1.08955223880597,1.0588235294117645,0.971830985915493,0.6867469879518073,0.5053763440860215,0.5555555555555556,1.1538461538461535,1.028985507246377,0.728395061728395
17304.0,0.0087967785,0.0220561349,0.0065842662,2.0,-0.323013086,-0.002264069,0.0249999999999999,0.0677083333333332,-0.0284360189573459,-0.0487238979118329,0.0704960835509138,0.0904255319148936,0.1614730878186969,0.3225806451612902,0.4539007092198581,0.3442622950819671,0.4385964912280702,0.5185185185185186,0.774891774891775,0.8141592920353982,0.8981481481481481,0.7826086956521738,0.8222222222222222,0.6465863453815262,0.8061674008810573,0.8303571428571428,0.943127962085308,0.9617224880382776
47730.0,0.025641898,0.0398210606,0.0501913389,3.0,0.4551607445,0.015537947,-0.0515463917525773,-0.0612244897959183,-0.1153846153846154,-0.1636363636363637,-0.2396694214876032,-0.2333333333333332,-0.0980392156862745,-0.1279620853080568,-0.3588850174216028,-0.2610441767068273,-0.3082706766917293,-0.2755905511811023,-0.1785714285714286,-0.0212765957446808,-0.0612244897959183,-0.0416666666666666,0.0760233918128654,0.0109890109890109,0.1499999999999999,0.0823529411764705,0.1358024691358024,0.1219512195121952
48581.0,0.0259003846,0.0599443781,0.1193195354,3.0,0.7687213449,5.36712e-05,-0.06,-0.0891472868217054,-0.1454545454545455,-0.2166666666666666,-0.1577060931899642,-0.1231343283582089,-0.0126050420168066,-0.0248962655601659,0.0352422907488987,0.1032863849765257,0.0681818181818181,0.2771739130434782,0.4506172839506173,0.5771812080536913,0.7407407407407407,0.5562913907284768,0.5562913907284768,0.6319444444444444,0.6666666666666667,0.7669172932330828,0.9747899159663866,1.0258620689655171
44652.0,0.0153355191,0.0443993177,0.051417625,0.0,0.2451361868,0.0030490684,0.0737179487179486,0.2316176470588236,-0.58125,-0.5894607843137255,-0.4781931464174455,-0.4508196721311475,-0.4749216300940438,-0.431239388794567,-0.348249027237354,-0.3557692307692307,-0.3931159420289855,-0.3469785575048733,-0.2522321428571429,-0.1604010025062656,-0.0846994535519125,-0.0694444444444444,0.0567823343848581,0.0771704180064307,0.1551724137931034,0.3188976377952757,0.5654205607476634,0.4194915254237288
44548.0,0.0222360594,0.0644234764,0.0284291325,2.0,2.1627604167,0.0453154952,-0.0749354005167958,-0.2399150743099787,-0.2952755905511811,-0.2633744855967078,-0.1693735498839906,-0.0055555555555555,0.0056179775280897,0.081570996978852,0.2013422818791945,0.335820895522388,0.2430555555555555,0.6053811659192825,0.7549019607843137,0.924731182795699,0.9670329670329668,0.8172588832487309,0.8453608247422681,0.8453608247422681,1.0340909090909092,0.9456521739130436,1.1058823529411763,1.1437125748502992
38746.0,0.015623657,0.0314476289,0.1167636671,0.0,-0.565891473,0.0265359473,0.054421768707483,0.0064935064935065,0.1151079136690647,0.0763888888888888,0.3839285714285714,0.3963963963963963,0.3596491228070175,0.55,0.6847826086956521,0.7816091954022988,1.0945945945945947,1.1232876712328768,1.5833333333333337,1.3846153846153846,1.3846153846153846,1.1527777777777777,1.039473684210526,1.2142857142857144,1.4603174603174605,1.039473684210526,1.9807692307692308,1.7678571428571428
60871.0,0.0321680253,0.046327796,0.1088807704,3.0,-0.016945585,-0.005307245,-0.1125,-0.0206896551724138,0.0402930402930403,-0.0104529616724738,0.1225296442687746,0.3209302325581395,0.0676691729323308,0.0327272727272727,0.0757575757575756,0.2850678733031675,0.251101321585903,0.5268817204301075,0.7317073170731707,0.6228571428571428,0.9060402684563758,0.9319727891156462,1.0141843971631204,0.7861635220125787,0.6136363636363635,0.680473372781065,0.7639751552795031,1.0285714285714285
