firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
50091,0.9756644778,0.0843495935,-14.40631229,0.0392120075,1.7671122577,3.2651813634,0.0159847408,0.0385209654,0.3546924302,0.012866701,0.0167365334,0.0210774534,0.6726598703,0.0276110069,0.0210774534,20.0,0.0289909365,0.0414923291,-0.078690745,-0.335832497,-0.04222949,0.1403681177,-0.033718648,0.0472617377,0.0804491231,0.5084000502,0.0,2.1598305124,0.1114140799,1.3371494844,0.0554572463,46.254928018,4.2830832966,0.1188508777,0.0,0.0,1.0,0.0,1.0,0.9404834046,5.0,0.0878458135,0.0275728381,0.2815621948,-0.387231909,-1.672603497,-0.114624996,-434.0626891,0.0678165275,11.908633124,-0.000738149,0.0110136281,0.0321699008,0.1307076043,0.0089627212,-0.021063576,1.0,0.0063332701,-0.839129406,0.0213145441,1.0,11.013861649,0.3879601486,0.0,0.0266666673,0.0141717848,0.0131654062,0.5996689339,1.1315638759,3.9206051e-08,5.6742773e-08,0.8046414731,0.6474479002,0.1819872658,0.0233624809,-0.211075389,0.164576913
14286,1.7085487763,-0.06325405,-5.950705666,0.1011720097,3.993795243,10.92847294,-0.10168109,-0.101070179,0.4294299239,0.0025920166,-0.149963316,0.0068061863,0.8555858311,-0.11737332,0.0068061863,21.0,-0.018662823,0.0490463215,0.1640719662,0.266813244,-0.123944355,0.1731476616,-0.306315214,-0.013418399,-0.085179033,0.5403643627,0.0,2.3769069151,0.1449334084,1.2176852106,0.240944141,12.969318879,8.0049236208,0.0638483503,0.0,0.0,1.0,1.0,1.0,1.7920819491,4.0,0.223788894,-0.316052083,1.6171133069,-1.236723427,0.2981288271,-0.159515888,-3371.196139,0.0597197003,9.0142646589,0.0110928175,-0.007303281,-0.015555664,-0.622769087,0.1054887565,0.0203962633,1.0,0.0490175801,0.2750455373,0.0454545468,1.0,8.1291749969,0.2438814202,0.0,0.1875,0.0683549464,0.0713577753,1.3162479863,1.2714865554,1.69131e-05,7.3500001593,0.6352615945,0.4035572934,0.7794541024,0.1031589967,-0.537398363,0.3087457933
11581,0.3667097242,0.0577380464,27.889879392,0.0053616829,0.7179358375,1.4818748462,0.1190953898,0.0919367823,0.6118041269,0.0113033449,0.0366264038,-0.041004473,-0.737866951,0.1003410427,0.0410044731,8.0,0.0355347981,-0.027027027,0.2029360201,-0.10997261,-0.005647857,0.2864565651,-0.028053637,0.1618010307,0.2193046245,0.428582249,0.0,1.7144020007,-0.016228101,0.783209925,-0.062231526,227.39590981,6.7483776592,0.1758992536,0.0,0.0,0.0,0.0,1.0,1.8915577775,6.0,-0.344231171,-0.127708157,-0.091497975,-0.71455284,0.4071900664,0.0429346268,-295.8520098,0.0295456463,12.900543949,0.003305764,0.0230064248,0.0639454472,0.0817263283,0.0097900114,0.009596463,1.0,0.0016038835,4.1045894474,0.0800251286,7.0,11.978184262,0.454281243,0.0,0.0619469024,0.0228187273,0.0184109892,1.1098491573,4.5715299604,2.3273737e-08,2.7210764e-08,1.1856905369,1.4058620493,-0.154633243,0.0354775613,-0.099860709,0.402240906
15203,0.9196358162,-0.151695462,-80.87790698,0.0,1.2171481827,2.9103161517,-0.0739016,-0.136608539,0.3010833671,0.0056232427,-0.136331265,-0.068212909,-1.036862004,0.0055917987,0.0682129088,21.0,-0.111366745,-0.047008547,-0.008547844,-0.047244381,-0.297037405,0.2173305381,0.1754467159,-0.097734778,-0.136975242,0.5768963296,0.0,1.6471956224,-0.049132817,0.6310533516,0.0699662731,236.02325581,4.975,-0.04760345,0.0,0.0,1.0,0.0,0.0,0.6241926803,4.0,-0.441602644,-0.147689677,0.4614281175,-1.631789791,1.1256390717,-0.051814617,-581.5095098,0.0295456463,8.6410908281,-0.000231736,0.016953317,0.0449877751,0.1466771812,0.0057706502,0.0036408027,2.0,-0.012043874,-0.291926422,-0.021276595,1.0,6.0753460311,0.2631416203,0.0,0.2352941185,0.1000632451,0.0831692044,0.6932822776,1.9686815089,1.22281e-05,4.2000000548,0.4702638769,0.2211481139,1.1263792795,0.0555391672,-0.168478264,0.402240906
15748,0.8606525912,0.063915547,-28.20689655,0.0,2.1007677543,5.192706334,0.0485771013,0.4464235493,0.6428236618,0.0101793505,0.6588360109,0.0971796444,3.8078078078,-0.179462572,0.0971796444,12.0,0.1154966278,0.0447761194,0.5050904033,0.131685605,-0.01863907,0.1765489674,-0.369102448,0.3139589388,0.1019906611,0.5869193726,0.0,1.3182260681,-0.083982427,0.6690102758,-0.056272397,84.808777429,5.0276900204,0.098386821,0.0,0.0,1.0,0.0,0.0,1.5758171541,3.0,0.1095818927,-0.118265077,0.2315561515,15.260658058,-1.417661747,-0.095488827,-803.9419818,0.0639047177,9.0619853647,0.0,0.0097417659,0.0292207792,0.5019193858,0.0206753516,0.1947415926,4.0,0.1076775432,2.5402169522,0.053306343,2.0,8.6415766187,2.2194577352,0.0,0.227272734,0.0614686076,0.0947036473,1.2379074561,16.691504614,8.4522722e-07,7.1943196e-09,1.5855715677,2.5140371963,0.3305097095,0.089769223,-0.118962474,0.4939071988
15828,0.7256577086,0.0132956153,0.167945439,0.0191230552,0.2531636021,0.9100612918,0.0376781598,-0.108978541,0.3449785408,0.006405694,-0.346095767,-0.057066599,-4.458156028,0.0725695427,0.0570665989,14.0,-0.106725252,-0.202919708,-0.396090406,0.0830034802,0.0785260511,0.4176436108,0.4748309477,-0.370077253,0.0200683969,0.4715572618,0.0,3.2173703257,0.2725056057,2.5386409329,0.5316060173,5.1423699915,5.0566907681,0.2094071216,0.0,0.0,1.0,0.0,1.0,0.5237400917,7.0,-0.547648518,-0.330913985,0.1803404668,-0.168177109,2.7623754814,0.0794979467,-420.7788789,0.0647790231,10.906994432,-0.015364807,0.001981198,0.0027092353,-0.332314946,0.1808022812,-0.101897001,0.0,0.005921735,1.2758359339,-0.036810452,5.0,11.48036095,1.6636430498,0.0,0.0396039598,0.0326941025,0.0392421678,0.8094647533,2.7148872515,2.3947205e-07,3.1981407e-08,1.0746662922,1.1549076396,-0.101042922,0.0523570667,-0.255508145,0.5653347885
16126,0.8760925028,0.0646741191,-30.61010363,0.0047132596,0.79572118,1.8282529176,0.1082073009,0.1976218438,0.3591309454,0.0170062002,0.3378583241,0.0410949754,0.9746514575,0.0016393947,0.0410949754,20.0,0.0514622383,0.0855614973,0.0924229808,-0.149966712,-0.098678566,0.114895847,-0.196799114,0.1901937757,0.0935134029,0.4929547204,0.0,2.2184752499,0.0744796032,1.3473443334,0.036418718,231.12953368,4.0936037441,0.196421729,0.0,0.0,1.0,0.0,0.0,0.5836402701,3.0,-0.056869453,-0.042274904,0.3560959984,2.3553900332,0.5839062134,-0.068491504,-389.9391753,0.0480605867,10.224846151,-0.002550436,0.0135814273,0.0259169162,0.0394448866,0.0018968922,-0.088070842,1.0,-0.006864306,-0.50731778,0.0727513246,3.0,7.9705676635,0.3341189268,0.0,0.2580645084,0.0806456675,0.0809450184,1.4618568593,4.1520950111,4.1980779e-06,3.8003339e-08,0.1529309663,0.0233878805,0.575834785,0.0677787335,0.6955583323,0.1780699229
17137,0.7352629462,0.0622099011,1.4411319863,0.0284223727,0.1128451141,1.271698804,0.047172374,0.0296965628,0.302309195,-0.024986157,0.0837738918,0.0005900092,0.0079276105,0.0617167253,0.0005900092,20.0,0.0306387594,-0.018867925,0.0134803581,0.0538725411,-0.010792267,0.1612897313,-0.040430226,0.0455639625,0.0218710515,0.4896867823,0.0,5.6748471516,-0.06566373,3.387120736,-0.147000294,12.065721375,7.0973351683,0.7754741241,0.0,0.0,0.0,0.0,0.0,0.3412098659,3.0,-0.000628284,-0.148268299,0.3014586963,-0.091306409,-0.550479087,0.128160486,143.15881551,0.0700566297,12.668459056,-0.003594073,0.014503819,0.0166614777,-0.041069889,0.1464543937,-0.005156614,1.0,-0.008518519,1.2182906982,-0.040825686,5.0,13.019898665,1.1863972472,0.0,0.0270270277,0.0145379312,0.0302609559,0.6545187168,2.2501350557,1.5946078e-08,3.1788705e-08,0.6816418637,0.4646356304,0.0434673139,0.0381097704,-0.152359112,0.0138072088
85885,2.0919059011,-0.341507177,-4.347700274,0.0412679426,1.1808213716,11.891048644,-0.238559354,-0.28751362,0.4219624356,-0.013375295,-0.439375296,-0.244570024,-3.309690601,0.7887759171,0.2445700235,9.0,-0.20337338,-0.13648294,0.0266006885,0.2913461422,-0.31204244,1.1988636364,0.8420040246,-0.171477644,-0.176050255,0.6495040048,0.0,3.4169302326,0.3364331787,2.4122790698,0.5593069043,18.167986598,7.0415559884,-0.143801553,0.0,0.0,0.0,0.0,0.0,0.8789163722,4.0,-0.031230293,-0.427964174,1.5089183699,-0.560324264,-0.112331708,0.8651466472,-481.804454,0.0687928111,9.1041461756,0.0010195196,0.0015605875,0.0023432116,-0.622769087,0.2047669562,-0.003365631,0.0,0.1465804837,-0.635076451,0.0,2.0,8.1782178246,0.3224909647,0.0,0.065789476,0.0479382814,0.0392477749,1.4262457333,2.7750030794,4.1786362e-06,2.1000000633,0.7475416802,0.5588185637,0.782673955,0.0769928493,-0.180147029,0.0323316728
85914,0.4096306025,0.0627871113,-2.49951624,0.0,0.9812731023,5.5320932958,0.1076689405,0.5822934318,0.7653203065,1.0227109386,0.4055112706,0.0772981506,1.6489219615,-0.040743935,0.0772981506,10.0,0.2193242124,0.6644736842,0.6895059228,0.0946132059,-0.168561095,0.1624157287,0.2547228876,0.3798743089,0.2076713631,0.5498045046,0.0,1.9642679594,0.0328019764,0.527201568,0.673375904,35.104056669,60.15581478,0.12479597,0.0,0.0,1.0,0.0,0.0,2.2510852673,4.0,-0.011675207,0.3302134615,-0.239156251,-1.422875973,0.4696998019,0.0007023671,526.1972335,0.0807269576,13.449344285,0.0003045594,0.0030999419,0.0124215015,0.4096332335,0.0331627774,-0.011241117,0.0,9.02564e-05,0.6623525418,0.031391765,1.0,14.990104087,3.5552667525,0.0,0.0692307726,0.0343079143,0.0407094513,0.5339331687,11.311817584,1.6612656e-09,5.7455235e-09,1.913522255,3.6615674205,0.2166524388,0.0720620872,-0.241671351,-0.181700748
