firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48,mom49
21020,0.7887787793,0.0886046733,-1.814269611,0.0011341749,1.5932007915,1.9103450325,0.0444909687,0.1723803312,0.1211358244,0.0011247252,0.2089589808,0.0619341781,1.5475187367,-0.048512719,0.0619341781,12.0,0.0054376397,0.0422264875,-0.018406064,-0.111316133,-0.088295868,0.0773824664,-0.154909972,0.184627925,0.1393828459,0.5655226735,0.0,1.0626783698,-0.156258066,0.9304233621,-0.180177616,5.5547428076,8.7184295694,0.1408918179,0.0,0.0,0.0,0.0,0.0,0.275107134,1.0,-0.036973596,-0.087985201,-0.170737361,0.5500773912,-0.463234046,-0.809799264,5.9607688754,2713.1594619,0.0653863218,14.544566724,0.0011134508,0.0026454679,0.0079377543,0.0176637632,0.0999603158,-0.047563798,1.0,-0.000574163,0.0893912482,0.0101925749,5.0,15.385801583,2.225158131,0.0,0.084615387,0.0589989438,0.0626661031,0.3672290013,6.2574992142,1.19919e-09,6.8226763e-09,1.0900976158,1.188312812,0.1655646221,0.0401364466,-0.239280433,0.3776118821,-0.1144067796610169,-0.0752212389380531,-0.0256410256410256,-0.1049250535331906,-0.1010752688172043,-0.0792951541850219,-0.0690423162583518,0.0145631067961164,-0.0521541950113378,-0.1049250535331906,-0.0991379310344827,-0.0873362445414847,-0.0141509433962264,0.1206434316353888,0.2628398791540784,0.2330383480825959,0.3527508090614886,0.3227848101265822,0.1875,0.0829015544041451,0.0913838120104437,0.0971128608923883,0.3186119873817035,0.244047619047619,0.2514970059880239,0.3933333333333333,0.4463667820069203,0.6076923076923078,0.613899613899614,0.908675799086758,0.8914027149321266,0.9351851851851852,0.7131147540983607,0.6587301587301588,0.5655430711610487,0.5144927536231885,0.7131147540983607,0.5144927536231885,0.4463667820069203,0.412162162162162,0.5954198473282444,0.8999999999999999,0.685483870967742,0.5893536121673004,0.388704318936877,0.981042654028436,0.9174311926605504,1.0,1.4444444444444446
62500,0.5747110321,0.0887453203,0.6808995123,0.0,0.686450322,0.9320590858,0.0701534144,0.0076607727,0.2879898408,0.1666666667,-0.111391896,0.1308362381,1.852248394,-0.075633057,0.1308362381,10.0,0.0324649877,0.0833333333,0.1249609041,-0.160558408,0.1522183319,0.1614839989,0.1236877631,0.1299156625,0.1996321806,0.6453199638,0.0,4.7243358957,-0.135815632,3.7708475236,-0.205842586,2.8644544731,2.8639983013,0.1891747877,0.0,0.0,1.0,1.0,0.0,0.6517976272,5.0,-0.02316086,-0.126130166,-0.016227494,0.1030037969,-0.402789045,-0.597697912,-1.568839176,-209.7226739,0.0818192251,10.677678862,0.0017557464,0.0177081444,0.0452530637,0.0339851828,0.208086929,-0.000453541,2.0,0.0093523817,-0.228307255,0.0126543213,5.0,10.951437926,1.2045239289,0.0,0.0806451589,0.0587501922,0.063145488,0.8483282124,6.6258640474,9.9939788e-08,1.2492662e-08,1.0118155479,1.0237707031,0.1496487144,0.0378833448,-0.457455667,0.2076660107,-0.1999999999999999,-0.0869565217391304,-0.1063829787234043,-0.0454545454545454,-0.0454545454545454,-0.0232558139534884,-0.0666666666666666,-0.0232558139534884,-0.134020618556701,-0.2566371681415929,-0.3279999999999999,-0.282051282051282,-0.3,-0.2222222222222222,-0.3225806451612903,-0.3057851239669421,-0.3057851239669421,-0.1844660194174757,-0.2222222222222222,-0.2432432432432432,-0.2432432432432432,-0.1923076923076923,-0.134020618556701,-0.1157894736842105,-0.2432432432432432,-0.1999999999999999,0.05,-0.0561797752808989,-0.125,-0.0344827586206896,-0.1428571428571429,0.0,-0.1428571428571429,0.0370370370370369,-0.16,-0.2432432432432432,-0.2941176470588235,-0.3,-0.3636363636363636,-0.3333333333333333,-0.3,-0.4166666666666666,-0.4437086092715232,-0.4716981132075472,-0.5087719298245614,-0.5555555555555556,-0.3868613138686131,-0.4324324324324324,-0.4814814814814815
56899,1.1117828054,-0.022428959,-1.772487223,0.0,0.7085466063,1.4143638009,0.0278429142,-0.081446112,0.1975544977,0.1877569667,-0.326969893,0.0397821616,3.3718528083,-0.098056109,0.0397821616,12.0,-0.002852464,0.0,0.0933211703,0.1552747052,0.6732333362,0.1499248864,0.5382005783,-0.03527237,0.1968000125,0.5764814364,0.0,3.9606020499,-0.414701394,2.5834897965,-0.426524803,5.5468199886,5.2026364847,0.1090832861,0.0,1.0,1.0,0.0,0.0,0.3493644448,4.0,0.1281640332,0.0747320125,-0.005571144,0.5288291684,1067.4666657,0.3722697152,-0.258367434,-166.1223863,0.0563332678,12.150615431,0.012907731,0.0137014632,0.0224334972,0.0602077554,0.1410522992,0.175304892,1.0,0.0262567224,-0.243478261,0.0694444478,1.0,12.420914332,1.0169617084,0.0,0.1958762854,0.0952674625,0.0836833068,0.5372980156,3.2742609488,7.1061931e-08,1.6070921e-08,2.1813838611,4.7584355496,-0.053348813,0.0571977257,-0.838171088,0.2378447072,0.078740157480315,0.2232142857142858,0.611764705882353,0.3979591836734695,0.4574468085106382,0.611764705882353,0.4891304347826086,0.5568181818181819,0.3564356435643565,0.2017543859649122,0.1913043478260869,0.1810344827586207,-0.0072463768115942,0.2017543859649122,0.1810344827586207,0.2685185185185186,0.5747126436781609,0.3979591836734695,0.2924528301886793,0.2342342342342342,0.2803738317757009,0.1229508196721311,0.1512605042016805,-0.0352112676056337,-0.2864583333333333,-0.2974358974358975,-0.0214285714285714,-0.0486111111111111,-0.1161290322580644,-0.0986842105263158,-0.3284313725490196,-0.1217948717948718,-0.154320987654321,-0.1746987951807228,-0.1941176470588235,-0.1796407185628742,-0.2712765957446809,-0.2864583333333333,-0.368663594470046,-0.3883928571428571,-0.1746987951807228,-0.3800904977375565,-0.3444976076555024,-0.3284313725490196,-0.6005830903790088,-0.4338842975206611,-0.4267782426778242,-0.3413461538461538,-0.3413461538461538
20482,0.1703820123,0.0517643349,14.269921939,0.0185904704,0.1998594094,0.3646886754,0.2518240259,0.1145309342,0.6166389832,0.9134495589,0.306049283,0.0957479852,0.6496447471,0.0181359066,0.0957479852,12.0,0.0165203569,0.0291290081,0.1331323378,0.0237851862,0.0412793263,0.1292725108,0.1357295313,0.1181983599,-0.049042505,0.5279643314,0.0,1.4490537552,-0.320083922,1.0467794535,-0.321595745,7.9060361993,6.0930625543,0.4016732177,0.0,0.0,0.0,0.0,0.0,1.0971414948,5.0,-0.015497016,0.0178063454,-0.070431819,-0.301325223,-0.714055462,0.3710077917,-1.475070213,6412.8732455,0.0818192251,15.868752653,0.0012734688,0.0366296747,0.0795965644,0.0100649392,0.1186228129,-0.021265887,0.0,0.0001244813,-0.048682171,-0.069492858,7.0,15.785585515,0.5770977897,0.0,0.0749279559,0.042636807,0.0585541237,0.404955082,1.8503530213,9.3307e-10,2.657756e-08,1.2632900528,1.5959017574,0.006253491,0.0269481398,-0.560596976,0.2076660107,0.0,0.1080459770114943,0.3205479452054793,0.2785145888594165,0.4011627906976744,0.4388059701492537,0.2141057934508816,0.1990049751243781,0.1209302325581396,-0.3486486486486486,-0.3014492753623188,-0.3014492753623188,-0.1469026548672566,-0.1236363636363636,-0.1188299817184643,-0.0321285140562248,0.0343347639484978,0.0616740088105727,0.0410367170626349,0.0855855855855856,0.0501089324618735,0.1131639722863742,0.1813725490196078,0.1367924528301887,0.2584856396866841,0.2751322751322751,0.4431137724550897,0.4606060606060607,0.4650455927051671,0.4474474474474474,0.2751322751322751,0.3850574712643677,0.3810888252148996,0.5253164556962024,0.3615819209039548,0.4650455927051671,0.4260355029585798,0.3810888252148996,0.3314917127071823,0.3426183844011141,0.1901234567901235,0.2454780361757105,0.2819148936170212,0.2390745501285347,0.2519480519480519,0.3890489913544668,0.2956989247311827,0.4011627906976744,0.5015576323987538
10057,1.3859983348,-0.029433051,-5.07112909,0.0451898129,1.6522343919,3.0005584216,0.0072710909,-0.142747444,0.2690745123,0.0,-0.14736921,0.0214900747,2.4493150685,-0.101523866,0.0214900747,12.0,-0.04419167,-0.226896112,-0.157889496,-0.10045168,-0.05714046,0.1963965474,0.0727567027,-0.020425019,-0.142359586,0.4795474283,0.0,1.7017080503,-0.096186559,1.028009939,-0.093981535,9.5420043081,6.8380623346,0.0888854947,0.0,0.0,1.0,0.0,1.0,0.5608558541,1.0,0.0446974816,-0.081405538,-0.232467256,0.8030446977,1068.1234349,0.3722697152,-0.261835191,-242.2422613,0.0563332678,11.142861284,-6.3432e-05,-0.00603413,-0.011325982,0.0149640363,0.0813707345,-0.010609372,0.0,-0.01877551,2.0755301406,-0.117409037,0.0,11.047706372,1.0510697032,0.0,0.1645569652,0.0758028577,0.0644532152,0.8963714134,5.3543872015,2.0223215e-07,1.8054725e-08,1.3058716838,1.7053008545,-0.156762376,0.0536164227,-0.404769399,0.2378447072,-0.0754716981132075,0.0769230769230768,0.1807228915662651,0.1666666666666667,0.1529411764705881,0.240506329113924,0.1264367816091953,0.2564102564102564,0.0315789473684211,-0.01010101010101,-0.0666666666666666,-0.125,0.0,-0.1009174311926605,-0.02,-0.0754716981132075,0.0425531914893617,-0.0576923076923077,-0.1327433628318584,-0.2222222222222222,-0.274074074074074,-0.1478260869565217,-0.1551724137931034,-0.2096774193548387,-0.3333333333333333,-0.3422818791946308,-0.0576923076923077,-0.1403508771929824,-0.2222222222222222,-0.1764705882352941,-0.1694915254237288,-0.1009174311926605,-0.2949640287769784,-0.3378378378378378,-0.4166666666666666,-0.4166666666666666,-0.4585635359116022,-0.507537688442211,-0.5148514851485149,-0.5355450236966824,-0.4555555555555556,-0.4615384615384615,-0.4842105263157894,-0.449438202247191,-0.5196078431372548,-0.4585635359116022,-0.3950617283950617,-0.3717948717948718,-0.3333333333333333
63837,0.7411977709,0.0615377162,1.8209852511,0.0406547631,0.3588992028,2.2738561951,0.1190740057,-0.068669765,0.5771082337,0.0585597468,-0.233956473,-0.022949317,-0.425385024,0.087714939,0.0229493167,12.0,-0.040569579,-0.133271202,-0.082677425,0.0397979346,0.0446753034,0.1270593081,-0.026431211,-0.016434263,0.0399853265,0.6064343473,0.0,5.0580781415,0.4054728597,2.6359028511,0.4433429623,59.064516129,6.4056343215,0.2462279801,0.0,0.0,1.0,0.0,1.0,0.9336023478,4.0,0.0674486481,-0.171307899,-0.138842346,0.1582441339,1067.6380244,0.7357276569,-0.072596386,-273.6482657,0.0563332678,10.333698117,-0.001293281,0.0057173327,0.008582355,0.006943276,0.0166871289,0.0842653389,2.0,-0.002932936,-0.544378698,0.0183870941,4.0,8.6145920974,0.290933135,0.0,0.0714285746,0.0326121111,0.0272525213,1.4509840647,1.472445369,1.4784776e-06,0.9545455153,0.6664307111,0.4441298927,0.2744594237,0.0344982836,-0.337601511,0.2378447072,0.125,0.0161290322580645,0.26,0.2352941176470588,0.26,0.1886792452830188,0.1052631578947369,0.0161290322580645,0.0327868852459016,-0.0307692307692307,-0.0597014925373133,-0.0454545454545454,-0.125,-0.1126760563380281,-0.0597014925373133,0.0862068965517242,0.0862068965517242,0.0327868852459016,0.0,0.0161290322580645,0.0161290322580645,-0.015625,-0.125,-0.16,-0.2025316455696202,-0.1923076923076923,-0.16,-0.136986301369863,-0.2125,-0.2125,-0.1710526315789473,-0.0735294117647058,-0.1126760563380281,-0.0735294117647058,-0.2125,-0.2125,-0.125,-0.3942307692307693,-0.2758620689655172,-0.3297872340425531,-0.2674418604651163,-0.2921348314606742,-0.3368421052631579,-0.34375,-0.4112149532710281,-0.3883495145631068,-0.34375,-0.2921348314606742,-0.2921348314606742
28695,1.3496839444,0.2466165414,-208.2215909,0.0,4.6346396966,13.741845765,0.1003679736,0.4037127098,0.5749362434,0.0813397129,0.2046529968,0.0212193738,0.1551786359,0.591908976,0.0212193738,12.0,-0.054282119,-0.141447368,0.3181266977,-0.778081388,0.2775934669,0.1443471782,-0.165156245,-0.064942767,2.2449848024,0.6079146949,0.0,1.2188207014,0.0519350158,0.9699519231,0.4252806315,1036.2163236,4.0625654059,0.2114111966,0.0,0.0,1.0,0.0,0.0,5.376899696,5.0,-0.882618754,0.3645099276,-0.217974843,-32.07615755,7.9297692842,0.6559323247,0.1839616122,-262.2605292,0.026479355,7.6453976994,-0.043191451,-0.035729235,-0.227229511,-0.466303271,0.023637759,-0.228034173,0.0,-0.20412408,-0.337016575,-0.064754857,3.0,6.3377102956,0.2157859079,0.0,0.0625,0.0482077412,0.0416047328,1.249093919,2.0764573211,1.21559e-05,3.8181818725,0.5884841932,0.3463136456,1.0698283739,0.089302784,-1.154426907,0.3084475308,-0.04,0.0434782608695651,0.1162790697674418,0.5483870967741935,0.5,0.3714285714285714,0.3333333333333332,0.411764705882353,0.1999999999999999,0.1162790697674418,0.0666666666666666,0.5483870967741935,0.5483870967741935,0.92,1.526315789473684,0.92,1.6666666666666663,1.2857142857142856,1.0869565217391304,1.1818181818181817,1.1818181818181817,1.0,0.7777777777777777,0.7777777777777777,0.2972972972972973,0.1999999999999999,0.3714285714285714,0.7777777777777777,0.8461538461538463,0.6551724137931034,0.6000000000000001,1.823529411764706,1.1818181818181817,1.1818181818181817,0.7142857142857142,0.411764705882353,0.4545454545454546,-0.0204081632653061,0.0909090909090908,-0.0943396226415094,0.0434782608695651,-0.0769230769230768,-0.2131147540983606,0.1999999999999999,-0.1578947368421053,-0.1999999999999999,-0.2131147540983606,-0.3513513513513513,0.0
60038,0.7363263903,-0.017419706,3.7917713568,0.039347143,0.3956870947,1.3459014984,0.010750078,-0.019229496,0.355696035,-0.014596273,0.1343773957,0.0137016058,0.899122807,-0.033082161,0.0137016058,12.0,-0.018547296,-0.210526316,-0.032300593,-0.091948021,-0.0858581,0.1889534884,0.2759194159,-0.004600516,-0.085756297,0.5371153106,0.0,6.9372371401,-0.188000359,1.9181494662,-0.067100682,44.261306533,8.0291704649,0.0799425317,0.0,0.0,1.0,0.0,0.0,0.4787269364,0.0,-0.038501672,0.0060403145,-0.241825376,-69.27638292,-0.871349837,0.6345031491,13.87356225,-153.5086294,0.0307829939,9.9719752965,-0.003148477,-0.003172139,-0.004876783,-0.019893882,0.0104312677,0.0016295805,1.0,-0.004351787,2.9333333333,-0.161281977,2.0,7.6553906448,0.1220716462,0.0,0.0566037744,0.0319326816,0.0312672812,1.2394128191,0.9103967674,3.6776743e-06,7.6363637914,0.6457662,0.417013985,0.0784369933,0.0362194155,0.0716594942,0.2722906064,0.0895522388059701,0.0735294117647058,0.1060606060606059,0.1967213114754098,0.140625,0.1774193548387097,0.140625,-0.0519480519480519,-0.1204819277108434,-0.1511627906976744,-0.1888888888888888,-0.1978021978021977,-0.1888888888888888,-0.2150537634408602,-0.2065217391304348,-0.1309523809523809,-0.0519480519480519,-0.0641025641025641,-0.0875,-0.0875,-0.0875,-0.1097560975609756,-0.0875,-0.0394736842105263,-0.0759493670886075,-0.1204819277108434,-0.0641025641025641,-0.0875,-0.0135135135135134,-0.160919540229885,-0.1704545454545454,-0.160919540229885,-0.284313725490196,-0.2772277227722772,-0.324074074074074,-0.3482142857142857,-0.376068376068376,-0.396694214876033,-0.4341085271317829,-0.416,-0.3047619047619048,-0.4296875,-0.446969696969697,-0.5133333333333333,-0.6137566137566137,-0.6157894736842106,-0.5408805031446541,-0.5654761904761905,-0.525974025974026
51510,0.564831135,0.0758147513,-0.043637126,0.0,0.6976282013,2.090601526,0.155741617,0.0831092121,0.4755462637,-0.033181318,0.0868980261,-0.263136099,-4.213605867,0.3952682321,0.263136099,12.0,-0.146315559,-0.089392133,-0.008393884,0.4257014784,-0.007938644,0.1587027773,-0.009751223,-0.095105193,0.0784659168,0.6424984914,0.0,2.1012941828,-0.26390643,1.3021956298,0.0520605963,5.2930306388,13.598722684,0.1619492551,0.0,0.0,1.0,1.0,0.0,0.9681302796,3.0,0.1536347226,-0.091438704,-0.533559196,-0.054278875,0.633252296,1.1518318987,0.6766126124,-36.97293045,0.5334339891,10.088409891,-0.009323121,-0.002557872,-0.007349901,-0.175127273,0.1046498376,0.001423258,0.0,-0.030506667,0.2916209294,-0.161281977,5.0,9.9167985666,0.5719393939,0.0,0.1290322542,0.0690242818,0.0616629303,0.6959134913,2.7128777919,5.9033922e-07,2.5948992e-08,1.1808303059,1.3943602114,-0.478178139,0.0561212432,-0.196554814,0.2495200708,0.1029411764705883,0.1363636363636364,0.0273972602739727,0.1538461538461537,0.0273972602739727,-0.0506329113924051,-0.127906976744186,-0.2647058823529411,-0.3181818181818182,-0.3181818181818182,-0.2857142857142857,-0.375,-0.3421052631578947,-0.2268041237113401,-0.3119266055045872,-0.1758241758241758,-0.0853658536585365,-0.1573033707865169,-0.2647058823529411,-0.3181818181818182,-0.2424242424242424,-0.127906976744186,-0.1847826086956522,-0.1477272727272727,-0.4485294117647058,-0.4094488188976378,-0.3697478991596639,-0.3119266055045872,-0.3181818181818182,-0.3243243243243243,-0.3243243243243243,-0.3362831858407079,-0.4047619047619047,-0.3181818181818182,-0.2924528301886793,-0.3243243243243243,-0.1847826086956522,-0.2718446601941747,-0.21875,-0.2424242424242424,-0.1573033707865169,-0.2574257425742574,-0.2105263157894736,-0.1758241758241758,-0.7626582278481013,-0.7115384615384616,-0.691358024691358,-0.6287128712871287,-0.5253164556962026
10752,-0.436847502,-0.603152194,3.5294822604,0.0,0.831482907,1.2749787771,-0.51475204,-0.290425007,0.3973525563,1.1733291693,-0.118097892,-0.145623392,-0.263296424,-0.444344378,0.1456233921,7.0,-0.126548284,-0.3,-0.182488285,0.120132106,0.6889955245,0.3770469977,0.0662206796,-0.209499903,1.0896610375,0.6290163573,0.0,1.3001220629,0.0345759406,0.6757705218,0.094425892,12.867679558,5.1630458878,-0.592496606,0.0,0.0,1.0,0.0,1.0,-1.962944964,3.0,0.0310797134,0.2301193686,-0.399560827,-0.942492211,-1.669938927,-0.439002683,-1.937550497,-231.0726904,0.0818192251,10.479486262,-0.004120693,0.034576499,0.2425489265,0.0849784105,0.1193573763,0.0122757586,4.0,0.2516625669,1.5416759976,-0.059984833,1.0,11.168086449,0.7731851852,0.0,0.3333333433,0.1217539606,0.1128752234,0.9251352435,1.6264026286,1.5970178e-06,4.877514e-08,2.6794171106,7.1792760527,0.0268537601,0.1062506474,-0.852817513,0.2076660107,0.0263157894736842,0.1142857142857143,0.625,0.4444444444444444,0.3448275862068966,0.3928571428571428,0.625,0.7727272727272727,0.95,0.95,0.6956521739130435,0.6956521739130435,0.3928571428571428,0.8571428571428572,0.95,0.3928571428571428,1.1666666666666663,0.5,0.0263157894736842,-0.1136363636363636,-0.025,-0.35,-0.5465116279069768,-0.5666666666666667,-0.6388888888888888,-0.6388888888888888,-0.4264705882352941,-0.409090909090909,-0.409090909090909,-0.35,-0.4868421052631578,-0.3709677419354839,-0.4583333333333333,-0.5465116279069768,-0.6694915254237288,-0.5760869565217391,-0.6020408163265306,-0.59375,-0.74,-0.7880434782608696,-0.7678571428571428,-0.8088235294117647,-0.7989690721649485,-0.8125,-0.8576642335766423,-0.8741935483870968,-0.8957219251336899,-0.8968253968253969,-0.9048780487804878
