firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
50906,0.1385556232,0.0196260393,20.164857604,0.0,0.0339494599,0.1857989911,0.2208254205,0.2789664655,0.6949472868,0.0388925196,0.6770120931,0.0350491441,0.2744703475,0.0142392735,0.0350491441,18.0,0.0642742844,0.5482573727,0.4124495498,-0.109334982,-0.053282384,0.2578120232,-0.229862311,0.2131436091,0.2086731158,0.5742700812,0.0,3.5156567825,-0.301488691,2.5965765525,-0.360460351,4.5191817532,5.0729939529,1.0041488622,0.0,0.0,0.0,0.0,0.0,0.8168854455,4.0,-0.073707454,0.3942792058,-0.054206828,-0.213187013,0.3756928576,0.0231064948,3435.6967088,0.0460850088,15.057490725,0.0076530938,0.0405411426,0.0495724814,0.0142564978,0.1441697108,0.0356903682,2.0,0.0004334365,0.8590449444,0.0766210109,6.0,16.70967143,4.4780662845,0.0,0.1080332398,0.0437124623,0.0529424382,0.465146295,13.090336344,4.814637e-10,5.0144243e-09,1.8241228834,3.3274242939,0.2058566896,0.073053711,-0.679713786,0.1220596118
80071,-0.243284558,0.0225167373,-3.380939187,0.1265340249,12.416996857,13.597250478,-0.064708609,-0.455111111,0.2717992691,-0.329070605,-0.406267639,0.2203805071,13.543969849,-0.714901338,0.2203805071,23.0,0.0040738615,-0.41926851,-0.472419251,-0.015860133,0.1155593478,0.1796126003,-0.482130505,0.0135154448,-2.233397498,0.6689004677,0.0,0.8507169317,-0.265701251,0.5510168082,-0.449861354,8.5448149576,8.2506048762,0.025435179,1.0,0.0,0.0,0.0,0.0,7.4508510638,4.0,-0.392244928,-0.560601221,-3.38880482,-2.613281523,-1.229927558,-3.379932547,-356.3823693,0.2091536928,9.526837645,0.0009901799,0.0028290625,-0.014330683,-0.568828214,0.231091314,-0.003666452,0.0,0.1828571429,4.0891632373,0.2095588297,1.0,7.6703119109,0.1343002004,0.0,0.1142857149,0.0406216514,0.0504034544,1.1628281926,1.1816058548,1.04561e-05,6.6315791822,0.0554645014,0.0030763109,3.0540595837,0.1160848859,1.3163752066,0.0844146769
10568,1.3692060152,0.1479670772,-4.49625542,0.0128101987,4.2932112136,8.393093632,0.1234264734,0.0095327412,0.290869973,-0.011107371,-0.015734291,-0.010618556,-0.404433292,0.2078098892,0.0106185556,15.0,0.0701241943,0.0942622951,0.0146712254,-0.161989636,0.5548352341,0.0755324583,0.4144296393,-0.11018922,0.097905915,0.5595599078,0.0,1.5123422929,-0.061715202,1.0844369564,-0.194020667,17.819471817,7.1698033411,0.0828274595,0.0,0.0,1.0,0.0,0.0,1.0698193728,7.0,-11.21185461,-0.25173513,2.4955876149,1.907554559,-0.030554739,0.3150785732,-267.8241524,0.0386874715,10.064244931,6.50717e-05,0.0011038372,0.0045649718,0.4957234465,0.0604444444,0.0878278007,0.0,-0.000242789,1.6562447414,-0.130434781,5.0,8.3692730613,0.1380563124,0.0,0.0859375,0.0443944681,0.0476460048,1.5202452387,0.8245244762,1.18713e-05,8.8421054716,-0.212807001,0.0452868195,5.9489451701,0.0526264398,0.1774672882,0.1523918388
11157,0.7598289316,0.0842587035,-1.1544,0.0,0.5318127251,1.5180072029,0.1267146884,-0.035628256,0.4302840177,0.0023690445,-0.18171323,0.0941652883,1.4701691897,-0.039615846,0.0941652883,20.0,0.0588604346,-0.024911032,0.0667510282,0.1348014748,0.569244712,0.1500779336,0.2261119902,-0.086549773,0.1020785722,0.5928526285,0.0,3.0898572132,0.4826554184,1.2818808469,0.4153000199,16.1856,5.7039751903,0.2281904762,0.0,0.0,1.0,0.0,0.0,0.8056371749,6.0,-2.72232273,-0.346798217,0.3105606842,0.8877436626,-0.926304235,-0.107843432,-586.5766949,0.061725725,11.055289046,-0.002991378,0.0116004055,0.0196190476,-0.004235964,0.0711737727,-0.038603638,0.0,-0.001567307,-0.017210145,0.0421004575,2.0,9.7610163183,0.3838434521,0.0,0.0447154455,0.0167324898,0.0202027561,0.9853664686,1.0126639244,8.9861706e-08,8.151234e-08,-0.225110523,0.0506747478,0.4333602725,0.0820583697,-1.005882349,0.0947641772
50032,0.2560952343,0.0562765624,56.251262862,0.0171998427,0.2812369289,1.5701438886,0.1802240078,0.1399261251,0.9332093945,-0.004878552,0.1301770459,-0.036872762,-0.330455528,0.0748734635,0.0368727617,23.0,0.038601243,0.1,0.0946873882,0.094443337,0.0162593054,0.0963586544,0.0337074397,0.1765265258,0.1508279288,0.5201701403,0.0,1.3988558355,0.1867828615,0.2605040504,0.121859957,151.61699224,140.05813102,0.338903243,0.0,0.0,1.0,0.0,0.0,1.9404247735,5.0,-0.207570848,0.0658859879,-0.017202487,0.3579766066,-0.328309775,-0.007923948,7063.9626176,0.0500031521,16.257532372,-0.002055559,0.0233354713,0.0476518489,0.0218716816,0.0034039957,-0.004754649,1.0,-0.001349091,0.7435309734,-0.006972424,6.0,15.384508799,0.5229367636,0.0,0.0394736826,0.0169499657,0.0209263614,0.370766504,0.7005170494,5.840706e-10,5.3977832e-08,0.4228805577,0.1788279661,4.2082519764,0.0352990167,0.3967614189,0.1996254054
69171,0.1602986088,-0.408415338,4.1892097264,0.0146589752,0.3637597557,3.3526976586,-0.392444583,-0.455111111,1.5122016388,0.0107176541,-0.577753269,-0.325399331,-0.856430708,-0.058635901,0.3253993308,14.0,-0.131700234,-0.229357798,-0.288831947,-0.637361358,-0.006732921,0.7774030354,0.5154176504,-0.330334877,-0.714112806,0.6180060724,0.0,1.4679104478,0.2582089552,0.6365671642,0.0362151584,37.539513678,26.936750273,-0.564528636,0.0,0.0,0.0,0.0,0.0,4.1009440813,4.0,8.1490049083,-0.384489073,0.0369303668,-2.138630734,0.433998281,-0.020226188,-2764.022468,0.0264272264,8.9048337146,-0.009440684,-0.299664135,-0.621939275,-0.568828214,0.1427022338,-0.386998012,0.0,-0.279683819,-0.151411043,-0.213742692,2.0,8.9895690048,0.5792331184,0.0,0.25,0.1268732874,0.1520514088,1.3955929963,4.0415733762,1.73536e-05,4.6847465e-08,1.8645315219,3.4764777963,0.7524536846,0.1416456387,0.5454545242,-0.026636439
47730,0.4782999976,0.0632326146,-1.667118698,0.0210629819,0.6086779631,3.1643236465,0.1122529942,0.1337331666,0.4784863258,1.080824258,0.1193337866,0.0139658591,0.2297882136,0.048702505,0.0139658591,22.0,-0.00810641,0.0444444444,0.1259026229,-0.03630519,-0.029288661,0.6048294196,0.1883032762,-0.005803453,0.1587392267,0.4055612976,0.0,2.0541222166,0.1181506479,1.9091987557,0.1450501677,693.63433312,5.916332818,0.1787027868,0.0,0.0,0.0,0.0,0.0,1.1048269928,4.0,-1.093739079,-0.618692713,0.5367940892,-0.956006094,1.3110173122,0.1475881625,-340.115695,0.0614221491,13.517147648,0.0023386986,0.0186060153,0.0399632718,0.0565783518,0.0040662419,0.0037243883,2.0,0.0,0.0264509502,0.0328112897,4.0,12.423458905,0.3065005052,0.0,0.0419287197,0.0165562017,0.0192589279,0.6630518261,2.2473796884,1.7642324e-08,7.2207275e-08,0.4993158514,0.2493163194,-1.591345021,0.032468764,0.1541463375,0.1530935549
12627,1.3075733118,0.2271590798,-0.453129965,0.0,0.0105595911,0.6086898036,0.6772675086,0.5086535641,0.5465679085,0.0347995546,-0.547550432,0.0446094481,0.1707699194,0.2491928975,0.0446094481,13.0,0.0,-0.25,-0.061300695,-0.979038484,0.0606302739,0.0377457405,-0.804555183,0.2673071282,0.4629392731,0.7370413669,0.0,37.347740668,1.2764254859,33.695519348,1.2764254859,0.7189386718,12.131367292,1.9095453566,0.0,0.0,0.0,0.0,0.0,0.5608397923,4.0,0.1248964925,-0.334432125,0.3341518778,11.964058357,0.5036518499,0.0667143894,-671.1255274,0.361971906,9.823317493,-0.016060428,0.0632612159,0.067592796,-0.006725854,0.6118996695,1.6935124315,2.0,0.0156039817,-0.60193993,0.0264069252,4.0,8.4379876332,0.4671860557,0.0,0.1052631587,0.0426402185,0.0491438021,0.9425042561,2.8443407486,1.1611678e-06,4.5436749e-08,0.8894645684,0.7911472184,0.65696483,0.1032486278,0.0250000081,0.0421587233
13232,0.9537906996,0.0992800095,-7.361690246,0.0,2.9699836241,3.4991354625,0.1087940307,0.1204765139,0.475374889,0.0022648084,0.1235861725,-0.132377944,-4.950608183,0.590776437,0.1323779439,13.0,0.0015474155,0.1672025723,0.0879756053,-0.365919858,0.0830543326,0.1488047274,0.1065511158,0.1098072,0.1109027363,0.5463262702,0.0,0.7854178813,-0.068620964,0.3770019548,0.1681575805,23.732936212,16.215024589,0.1942852673,0.0,0.0,0.0,0.0,0.0,1.6222402182,6.0,-0.017463457,0.0806203144,0.4337498932,-0.719179945,-1.051914746,0.459350599,-689.6256772,0.2388789648,10.907368973,0.0054045248,0.0592404686,0.2437077962,0.0505720692,0.0460220143,1.4819572963,2.0,0.0028230799,1.1082055906,-0.122612348,4.0,10.272048762,0.6319672604,0.0,0.0205479451,0.0102905501,0.0136620114,1.3009907213,3.3625410476,2.6795462e-07,0.9545454991,0.9699906408,0.9408818433,-0.446836898,0.0437511171,0.519353137,0.3924780642
13777,0.5200199793,0.0180588306,1.3120339261,0.0,0.2320079608,0.6559955395,-0.00458009,0.069727479,0.4429402304,0.0082154882,0.1294153127,-0.114841347,-4.626500858,0.1016080258,0.1148413467,15.0,0.0,0.0,0.092241835,-0.160773959,0.2323184127,0.153938976,0.0411711397,0.0244982486,0.0450859855,0.4955573976,0.0,1.8011630508,-0.040128007,1.8011630508,-0.040128007,3.4709087929,4.2038112252,0.1774213536,0.0,0.0,0.0,0.0,0.0,0.6258034394,6.0,-0.941619727,-0.663137158,0.578514071,-0.912645942,-0.980484924,0.2004936833,-554.47582,0.0614221491,11.865159437,0.0077790961,0.0138911772,0.0200887539,0.0364082411,0.2704703876,-0.011480368,0.0,0.0011764706,1.3136639182,-0.074923157,5.0,12.270542805,1.7157420843,0.0,0.0769230798,0.050808283,0.0552769881,0.8134897935,9.1745506882,2.8072411e-08,1.0795703e-08,2.2095715427,4.8822064025,0.3240751239,0.0773105467,-0.837682495,0.1530935549
