firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15
50906.0,0.0173436573,0.0309382999,0.0507615438,0.1352690805,0.0136458723,-0.001860211,2.0,0.0169270474,7.3552400757,0.0502824876,-0.0256410256410256,0.0961538461538462,0.0754716981132075,0.2666666666666666,0.2666666666666666,0.1875,0.0754716981132075,0.0754716981132075,0.1875,0.1875,0.425,0.425,0.2666666666666666,0.0654205607476634,0.0363636363636363
18980.0,-0.001526917,0.010708452,0.0393895212,0.0184181205,0.1071002548,-0.00093985,2.0,0.0013275439,0.8974859971,0.0322580636,0.0,-0.1351351351351351,-0.0303030303030302,0.2307692307692308,0.3913043478260869,0.3913043478260869,0.3913043478260869,0.2307692307692308,0.5238095238095237,0.2307692307692308,0.1851851851851851,2.555555555555556,1.4615384615384617,0.8823529411764706,0.0
65840.0,-0.000246038,0.0140875701,0.0395884969,0.0485118375,0.0578308294,0.0338308166,2.0,0.0038078028,-0.460721868,0.0001367992,-0.1460674157303371,-0.1914893617021277,-0.2692307692307693,-0.0617283950617284,-0.1999999999999999,-0.3504273504273504,-0.4242424242424242,-0.4758620689655172,-0.371900826446281,-0.3968253968253968,-0.3870967741935484,-0.3770491803278688,-0.4452554744525547,-0.3870967741935484,-0.4492753623188406
11181.0,0.0041177368,0.0193039207,0.0585177619,0.0345753422,0.0195813783,-0.124107335,0.0,0.0025163336,-0.380766274,0.0236855168,-0.0119521912350597,-0.0197628458498023,0.0508474576271187,0.2038834951456309,0.24,0.2277227722772277,0.3626373626373627,0.4252873563218391,0.8102189781021898,0.7222222222222223,0.9375,0.6986301369863013,0.7342657342657342,0.3478260869565217,0.3121693121693121
39116.0,0.0,0.0185482081,0.0248866532,-0.090765814,0.0190746563,0.2250874325,1.0,-0.018181818,0.4492753623,0.0018115938,0.0,-0.0833333333333333,-0.0434782608695651,0.0,-0.12,0.0,-0.0434782608695651,-0.1538461538461538,-0.12,0.0,-0.1851851851851852,-0.2903225806451612,-0.3333333333333333,-0.4054054054054054,-0.4054054054054054
50032.0,0.0006625779,0.0181793361,0.0413209864,0.0718312242,0.1979889673,-0.011322631,0.0,3.9834e-05,0.7262992126,-0.042021781,-0.0163265306122448,-0.0242914979757085,0.0570175438596491,0.0387931034482758,0.0570175438596491,0.0616740088105727,0.0711111111111111,0.0904977375565609,0.1756097560975609,0.193069306930693,0.2684210526315789,0.1871921182266009,0.193069306930693,0.205,0.1756097560975609
49330.0,-0.00031782,-0.004442807,-0.011238881,-0.002997445,0.0366170816,-0.00547335,0.0,-0.003636364,0.5225856698,0.0216519414,-0.0222222222222222,-0.0638297872340425,-0.0434782608695651,0.0731707317073171,-0.0056497175141242,-0.0434782608695651,-0.0687830687830688,-0.0736842105263158,-0.12,-0.1538461538461538,-0.0833333333333333,-0.1330049261083743,-0.1538461538461538,0.0057142857142857,-0.0434782608695651
17304.0,0.0010184269,0.0064347222,0.016191602,0.0319795364,0.0063246347,-0.000909207,0.0,0.0021160174,0.8613162327,0.01359468,-0.0218340611353712,0.0205011389521641,0.0769230769230768,0.1313131313131312,0.1370558375634518,0.0516431924882629,0.1546391752577318,0.1820580474934037,0.3023255813953489,0.3333333333333332,0.4177215189873418,0.382716049382716,0.3742331288343559,0.3061224489795917,0.2584269662921348
47730.0,-0.004787989,0.0139162861,0.0248348363,0.1068467522,0.0224603557,0.013628474,1.0,-0.005628563,5.0,-0.038745265,-0.0048309178743961,0.03,0.03,0.0673575129533678,0.1444444444444443,0.1839080459770115,0.2261904761904762,0.0618556701030927,0.1704545454545454,0.0842105263157895,0.1195652173913044,0.1135135135135134,0.1573033707865168,0.0618556701030927,0.10752688172043
13777.0,0.0057885882,0.0366262642,0.046503051,0.0281830158,0.4872276387,0.6279259198,0.0,0.0004333335,0.12290444,0.0416666679,-0.3846153846153846,-0.36,-0.3043478260869565,-0.2258064516129032,-0.0943396226415094,-0.1578947368421053,-0.2380952380952381,-0.2615384615384615,-0.0204081632653061,-0.1272727272727273,-0.0769230769230768,-0.0769230769230768,-0.2992700729927007,-0.2380952380952381,-0.1864406779661016
13793.0,-0.035712854,-0.055985083,-0.243376829,-0.440742476,0.0643750872,-0.013315465,0.0,-0.096453877,4.8202363399,-0.266666673,0.0740740740740741,-0.0645161290322581,-0.0645161290322581,0.2083333333333332,-0.09375,-0.1714285714285713,0.0,-0.1944444444444444,-0.1470588235294118,-0.1714285714285713,-0.3555555555555555,-0.3958333333333333,-0.4629629629629629,-0.4727272727272728,-0.3695652173913043
44652.0,0.0009066447,0.0077446393,0.029418906,0.8125001346,0.0198168555,-0.157480154,0.0,-0.000704854,2.4080265644,0.0101321675,-0.0328638497652582,-0.0506912442396313,0.0274314214463839,0.2875000000000001,0.3642384105960266,0.3597359735973597,0.2834890965732086,0.3825503355704698,0.4609929078014185,0.5907335907335907,0.7531914893617022,0.6479999999999999,0.6284584980237153,0.6031128404669261,0.5606060606060606
44548.0,0.0032224431,0.0147026893,0.0312619541,0.061341787,0.0366363907,-0.011766799,0.0,0.0021261093,0.2873944929,0.0221935706,0.1830985915492957,0.2043010752688172,0.423728813559322,0.5627906976744186,0.5342465753424657,0.4545454545454546,0.4608695652173913,0.5774647887323943,-0.2663755458515283,-0.1724137931034483,0.0059880239520957,0.1275167785234898,0.0370370370370369,0.0120481927710842,0.0632911392405062
38746.0,0.0036399977,0.0157674888,0.0472035179,-0.065271083,0.0327523928,0.0476907496,2.0,-0.016462226,-0.851364522,0.0001754388,0.0975609756097561,0.0227272727272727,0.0975609756097561,0.2857142857142858,0.1946902654867257,-0.0217391304347825,-0.0939597315436241,-0.1176470588235294,-0.0689655172413793,0.0546875,-0.2241379310344827,-0.3181818181818182,-0.3414634146341463,-0.2372881355932203,-0.2415730337078652
14190.0,-0.031876233,-0.021358773,-0.043592505,0.1266577829,0.0058223535,-0.020204428,0.0,-0.116251031,-0.021554044,-0.04590187,-0.0689655172413793,-0.15625,-0.0181818181818181,0.2272727272727273,0.1739130434782609,0.0,0.0588235294117647,-0.1147540983606557,0.08,-0.0689655172413793,-0.0999999999999999,-0.25,-0.2702702702702703,-0.3720930232558139,-0.4375
60871.0,-0.008987904,0.0281679524,0.040981457,0.00881986,0.0181979286,0.1121757573,0.0,0.0001351352,-0.364602622,0.0058124345,-0.3018867924528302,-0.3333333333333333,-0.3116279069767441,-0.2169312169312169,-0.2043010752688172,-0.1956521739130434,-0.1912568306010929,-0.3480176211453745,-0.1823204419889502,-0.2448979591836735,-0.1638418079096045,-0.1731843575418994,-0.3807531380753138,-0.4103585657370517,-0.3884297520661157
45583.0,0.001598989,0.0250850471,0.0385688791,0.0237864202,0.0996457227,-0.000979124,1.0,-0.000952381,-0.058643429,-0.039285768,0.05,0.0120481927710842,0.0059880239520957,0.1830985915492957,0.1666666666666667,0.1200000000000001,0.024390243902439,-0.0175438596491228,0.1052631578947369,0.0632911392405062,0.2537313432835821,0.1052631578947369,0.05,0.0632911392405062,-0.0175438596491228
