firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12
50906.0,-0.02236195,0.0116082366,0.0204333094,0.0413690995,0.0185104168,-0.130563248,0.0,-0.013267143,-0.15464343,0.0005050506,-0.0943396226415094,-0.0943396226415094,0.0,0.0,0.1999999999999999,0.1999999999999999,0.0666666666666666,-0.102803738317757,-0.1272727272727273,-0.1428571428571429,-0.1999999999999999,-0.1724137931034483
18980.0,0.0013279053,0.0024736699,0.5978647687,0.0782214793,0.038377497,-0.000712563,0.0,-0.003224183,-0.566747901,0.0454545468,0.0,-0.1153846153846154,0.0952380952380953,-0.1153846153846154,-0.1481481481481481,1.5555555555555554,0.7692307692307692,0.3529411764705883,-0.28125,-0.303030303030303,-0.303030303030303,-0.425
11181.0,0.0123880102,0.031462039,0.0990115231,0.042672636,0.0299573262,0.3915821079,2.0,0.0074175082,-0.687450406,0.009998058,0.1098901098901099,0.160919540229885,0.4744525547445255,0.4027777777777777,0.578125,0.3835616438356164,0.4125874125874125,0.0978260869565217,0.0687830687830688,0.0520833333333332,0.086021505376344,0.2948717948717949
39116.0,0.0,0.0125786164,0.016510732,-0.004943047,0.0165057339,-0.050590982,1.0,-0.010909091,-0.246841594,0.0019762851,-0.0434782608695651,-0.1538461538461538,-0.12,0.0,-0.1851851851851852,-0.2903225806451612,-0.3333333333333333,-0.4054054054054054,-0.4054054054054054,-0.4054054054054054,-0.3714285714285714,-0.3125
50032.0,0.0017260343,0.0180152891,0.0422619896,0.1309040536,0.188515539,0.0107243486,0.0,-8.8106e-05,1.7837580829,0.0046868226,0.0088888888888889,0.0271493212669682,0.1073170731707318,0.1237623762376238,0.1947368421052631,0.1182266009852217,0.1237623762376238,0.135,0.1073170731707318,0.0460829493087557,0.0412844036697248,0.070754716981132
49330.0,0.0043064821,0.001618907,0.0041824983,0.0671464445,0.0346140904,0.0111057795,0.0,0.0026086957,-0.481672817,-0.005780347,-0.0264550264550265,-0.031578947368421,-0.0799999999999999,-0.1153846153846154,-0.0416666666666666,-0.0935960591133004,-0.1153846153846154,0.0514285714285713,0.0,0.4045801526717556,0.3529411764705883,0.3142857142857143
17304.0,-0.000381153,0.0073958402,0.0182753115,0.0429625938,0.0055195282,-0.001543636,2.0,-0.001391726,-0.225477658,-0.040390594,0.097938144329897,0.1240105540897098,0.2383720930232558,0.2678571428571428,0.3481012658227849,0.3148148148148149,0.3067484662576687,0.2419825072886297,0.196629213483146,0.1151832460732984,-0.0046728971962616,0.0390243902439024
47730.0,-0.006702268,0.0142406813,0.0241251698,0.1366265407,0.0353368286,-0.014018659,0.0,-0.000749425,1.9706390328,0.0062057693,0.0357142857142858,-0.1030927835051546,-0.0113636363636363,-0.0842105263157895,-0.0543478260869565,-0.0594594594594594,-0.0224719101123596,-0.1030927835051546,-0.0645161290322581,-0.116751269035533,-0.0645161290322581,-0.0543478260869565
13777.0,0.0041941282,0.0334054639,0.0458681523,0.0410980707,0.689994086,0.038989593,2.0,0.0046068147,-0.147271187,-0.06601554,-0.0952380952380952,-0.123076923076923,0.1632653061224489,0.0363636363636363,0.0961538461538462,0.0961538461538462,-0.1678832116788321,-0.0952380952380952,-0.0338983050847457,-0.2083333333333333,-0.3214285714285714,-0.3666666666666667
44652.0,0.004252875,0.0097135967,0.0577269691,1.3106517721,0.0503024133,-0.172881794,2.0,0.0001980198,0.3169029604,-0.023345816,-0.0560747663551401,0.0167785234899329,0.074468085106383,0.16988416988417,0.2893617021276595,0.2119999999999999,0.1976284584980236,0.178988326848249,0.1477272727272727,-0.0441640378548895,-0.1008902077151335,-0.0955223880597014
44548.0,0.0051698904,0.0220839141,0.0554103425,0.0558964845,0.0292250289,-0.045395718,2.0,0.0053755768,-0.415228426,0.0094489488,0.0043478260869564,0.0845070422535212,-0.4956331877729257,-0.4310344827586206,-0.3083832335329342,-0.2248322147651006,-0.2870370370370371,-0.3042168674698795,-0.2689873417721519,-0.3921052631578947,-0.45260663507109,-0.3547486033519553
38746.0,-0.003223258,0.0120432329,0.0366999557,0.0763723347,0.0710237309,0.1138711199,0.0,0.0249913108,0.6505894962,0.0091728084,-0.0738255033557047,-0.0980392156862745,-0.0482758620689655,0.078125,-0.2068965517241379,-0.303030303030303,-0.3268292682926829,-0.2203389830508474,-0.2247191011235955,-0.1428571428571429,-0.0799999999999999,-0.1096774193548386
14190.0,0.0032434624,0.0027133802,0.0052907813,0.4286137566,0.0139855701,-0.024715834,1.0,0.0200634921,-0.490793783,-0.021276595,0.0588235294117647,-0.1147540983606557,0.08,-0.0689655172413793,-0.0999999999999999,-0.25,-0.2702702702702703,-0.3720930232558139,-0.4375,-0.4130434782608695,-0.3793103448275862,-0.3333333333333333
60871.0,0.0038465514,0.0371908621,0.0553698433,0.0408188147,0.0466383191,0.118917569,7.0,-4.3478e-05,-0.47832758,0.005795775,0.0054644808743169,-0.1894273127753304,0.0165745856353591,-0.0612244897959183,0.03954802259887,0.0279329608938547,-0.2301255230125523,-0.2669322709163346,-0.2396694214876032,-0.4064516129032258,-0.4474474474474474,-0.352112676056338
14198.0,-0.009224614,0.006614955,0.0082161796,-0.013383719,0.2478953103,-0.062309576,0.0,-0.011428571,0.6773415146,0.0481727589,0.1951219512195121,-0.0392156862745097,0.1395348837209302,-0.0392156862745097,-0.1833333333333333,-0.1833333333333333,-0.3594771241830066,-0.3636363636363636,-0.4096385542168674,-0.4731182795698925,-0.4431818181818182,-0.4335260115606936
45583.0,0.002346859,0.0290892427,0.0453178889,0.0373281537,0.0779194811,-0.071927983,3.0,0.0016,-0.803948577,0.0136477528,-0.0853658536585365,-0.1228070175438597,-0.0131578947368421,-0.0506329113924051,0.1194029850746267,-0.0131578947368421,-0.0625,-0.0506329113924051,-0.1228070175438597,-0.1712707182320442,-0.25,-0.1978609625668449
57920.0,0.0014881087,0.0126605309,0.0228929504,0.085895094,0.1326667773,0.0070426051,0.0,0.0015906499,0.0871701822,0.0166666675,-0.0890410958904109,-0.130718954248366,-0.0220588235294117,0.0,-0.036231884057971,-0.0827586206896552,-0.1790123456790123,-0.2176470588235294,-0.2035928143712575,-0.3144329896907216,-0.3248730964467005,-0.2569832402234636
14702.0,0.0230778746,0.0317413346,0.058832869,0.1178008798,0.1894969311,0.0246278443,8.0,0.0002,-0.320237341,0.0105263162,-0.1794871794871795,-0.3191489361702128,-0.0943396226415094,-0.2258064516129032,-0.1428571428571429,-0.2066115702479338,-0.2258064516129032,-0.1999999999999999,-0.2195121951219512,-0.3766233766233766,-0.2671755725190839,-0.3379310344827586
10559.0,0.0007639095,0.0088985869,0.0174182355,0.0514919216,0.0023587535,0.003362484,0.0,0.0018662957,0.3961642505,-0.023857412,-0.0273684210526315,-0.0149253731343284,0.0523917995444191,0.0744186046511627,0.2287234042553192,0.2157894736842105,0.1846153846153846,0.0794392523364486,0.0870588235294118,-0.0149253731343284,-0.1584699453551912,-0.149171270718232
63095.0,0.0170362509,0.0081865341,0.032351057,0.5765909091,0.0144048522,-0.00396264,5.0,0.0451515152,-0.160997732,-0.034785239,0.0819672131147541,-0.0434782608695651,0.2452830188679244,0.32,0.1785714285714286,0.03125,-0.0958904109589041,0.0,-0.1538461538461538,-0.0571428571428571,0.0476190476190476,0.0476190476190476
61938.0,0.0,0.0255148718,0.0403692743,0.0022475314,0.1108509174,0.0,0.0,0.0014035088,-0.00660066,0.0089861872,0.0270270270270269,0.0654205607476634,0.1457286432160804,0.1457286432160804,0.1287128712871286,0.1014492753623188,0.1692307692307693,0.2063492063492062,0.1573604060913704,0.1231527093596058,0.0961538461538462,0.1813471502590673
