firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,mve_ia,herf,mve,roaq,roeq,rsup,cash,cinvest,nincr,sue,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
54594,1.5374003505,0.0443937352,-32.38823124,0.0573313381,2.581359804,6.375447735,0.0847690878,0.3680770388,0.4606199218,0.53624318,0.33504517,8.0,0.0231792119,0.5665236052,0.327908697,-0.339281165,-0.13686039,0.1000276659,0.0020156659,0.2813842913,0.4273745836,0.5419077455,0.0,1.9965422227,-0.016433593,0.9134745259,0.2406886479,100.58547742,6.1342445692,0.0719032942,0.0,0.0,1.0,0.0,0.0,1.0417213418,2.0,-0.014310179,0.1130799182,0.551144235,0.5033746395,-0.588671447,-26.50875019,0.5281310274,11.001482984,0.0057555797,0.0148749793,-0.279398497,0.0154583691,0.0059722054,1.0,0.0057171236,-0.039829304,2.0,11.055051967,0.6948118006,0.0,0.0517241396,0.0212416028,0.0319517991,0.6918018759,2.1954177658,1.1989377e-07,3.2539818e-08,1.5408351896,2.3741730815,-0.01846512,0.0546453008,0.2548599489,0.8706494064
47351,1.7494161844,0.0190882323,-7.889192599,0.0351304701,3.0602091583,6.542796223,0.0572112451,0.1000928936,0.5474686484,0.0492170022,0.2185655373,8.0,0.1118655314,-0.092682927,-0.196348399,-0.002583205,-0.046667464,0.5816733068,1.0722111554,0.1220157919,-0.05980574,0.6004053198,0.0,1.5678293261,-0.094256207,0.6172705723,-0.208385831,13.549201009,5.7147924796,0.017494624,0.0,0.0,0.0,0.0,0.0,1.1813816436,1.0,-0.038927261,-0.672925161,-0.108062297,0.7153904733,-0.707367555,-49.17823375,0.5281310274,8.6037607199,-0.020622028,-0.059322034,-0.375799574,0.0957621267,0.0018921785,0.0,-0.074093817,-0.028571429,0.0,6.7093043403,0.1674958541,0.0,0.1212121248,0.0416275727,0.0232675731,0.8864531907,0.9013206509,6.2984113e-06,8.9679851e-08,0.9250792092,0.8557715433,-0.224471759,0.0636789507,-0.504901957,0.8706494064
11010,0.2581215835,0.0330714427,6.312838048,0.0,0.3504751279,0.7092489284,0.1226516785,0.1793647003,0.4064166866,0.0018521377,0.2117897727,7.0,0.0848949772,0.1538461538,0.1916891006,-0.02250478,0.2146469876,0.2556701031,0.8383040511,0.1023007722,0.1380184749,0.6382108141,0.0,2.0969602494,-0.069806101,1.0330475448,-0.073407995,9.4545454545,3.6560779331,0.1352514289,0.0,0.0,0.0,0.0,0.0,0.8203224054,5.0,0.017508281,-0.02341562,0.1384667837,-0.775904128,-1.338338629,-29.76149147,0.5281310274,11.061130055,0.0121575243,0.0293209877,0.0228950922,0.0251444536,-0.000373086,0.0,0.0004823646,-0.072645372,4.0,11.153536126,1.4280103105,0.0,0.065040648,0.0268154338,0.0171467795,0.6108355362,4.4089450558,5.0255667e-08,1.3356433e-08,2.0033374337,4.0133608732,0.0063863214,0.1027191766,-0.350877164,0.8706494064
40096,2.2876203086,0.1357641188,-3.028705212,0.0494983959,1.4806742374,6.8247695677,0.0505551618,-0.074192661,0.3492007905,-0.085034014,0.0147982689,8.0,-0.086091339,-0.328313253,-0.16239797,0.0666511195,0.1073011784,0.1352652532,0.1863742597,-0.094029067,-0.107379883,0.6423493016,0.0,2.9394689469,0.0118044044,1.8182943294,0.1857003505,9.0945982628,9.2553867403,0.193597561,0.0,0.0,1.0,0.0,0.0,0.5398799825,4.0,0.0315561965,-0.163799292,-0.284368183,1.1894516536,17.629611022,-581.2013533,0.0858898163,9.8919967858,0.0065385966,0.0107684777,-0.547370701,0.2345445058,-0.001711275,0.0,-0.000288736,0.015408163,0.0,7.9622197362,0.3835192069,0.0,0.0567375869,0.0203202965,0.0119560582,1.2666190208,3.7360732906,4.3319262e-07,2.5842666e-08,0.6793060133,0.4614566597,-0.172490975,0.0439164954,-0.170121681,1.1179338157
12320,1.3492330284,-0.306894782,-10.58159463,0.0517329842,2.1145768829,4.6962367969,0.0494763645,0.3320043543,0.1855490543,0.331284153,1.3745927044,8.0,0.137753167,-0.01317716,-0.004836424,-0.0775851,0.1391846478,0.0974480578,-0.327305211,0.3781602939,-0.21095108,0.550096875,0.0,1.4424262561,-0.145126886,0.8779857496,-0.428991641,32.965226031,7.2817952376,-0.082307919,0.0,0.0,1.0,0.0,0.0,0.2413500538,1.0,-0.052397934,-0.140034968,0.0307679108,0.2510643734,18.83421677,-562.7593533,0.0858898163,11.711404328,0.0008172522,0.0020980855,0.0573748227,0.0087112774,-0.164954464,1.0,0.0193764525,-0.012698541,1.0,12.407537912,1.5070998059,0.0,0.0355871879,0.0120513175,0.0137333629,1.1471076792,1.5208751215,3.5016432e-08,4.4945838e-08,0.3631656468,0.131889287,0.7870716599,0.0416194193,0.422192068,1.1179338157
13056,0.8634027774,0.1244895929,-23.50393525,0.0280151807,1.0009428733,2.2968960992,0.0879450221,0.1393949222,0.7642211824,0.0032942899,0.1797265904,8.0,0.0558441812,0.1092347991,0.2386629137,0.0813210228,0.0005339911,0.0824123981,0.1081709837,0.0990062083,0.0959584296,0.5445530808,0.0,3.16179437,0.1595934274,1.5598775654,0.1404257829,179.97326997,4.590820934,0.1868992232,0.0,0.0,1.0,0.0,0.0,1.4781274057,5.0,0.0010245791,0.1086867286,0.090247085,-0.26147387,-0.229157581,130.73582668,0.0452468438,13.461011816,0.0353506502,0.0807839549,0.0575137169,0.0061435101,-0.010181491,1.0,0.0099061552,-0.020479403,0.0,13.294362465,0.9269686279,0.0,0.0649999976,0.0245618266,0.0267456059,0.560234979,2.1257406752,7.4856398e-09,2.4049909e-08,1.0699787024,1.1448544235,0.1812170107,0.0396505301,-0.231476735,1.0969010982
41734,1.8572040253,-0.243277318,-61.91725703,0.0405443591,2.3447521759,5.1816405341,-0.080771766,-0.166395742,0.0845042306,0.0040630587,-0.193994628,8.0,-0.108049,-0.433066442,-0.19133101,-0.007767345,-0.468302301,0.1072312035,0.0894485382,-0.079846966,-0.131413118,0.5422039574,0.0,2.4626665433,0.173811992,0.835492228,0.1706598971,147.779688,6.0814128683,-0.048214684,0.0,0.0,0.0,1.0,1.0,0.1188048512,1.0,-0.09453147,-0.062933134,-0.343550565,0.5426887557,-1.460239081,-6.595526864,0.0365567883,11.485913916,-0.039932394,-0.086699799,-0.397093596,0.0082658765,0.0055631518,0.0,-0.242685674,0.0625281846,0.0,10.682846832,0.594768069,0.0,0.0803571418,0.0344438553,0.0373344476,0.8464218585,3.590319148,8.505672e-08,2.1310664e-08,1.3845018742,1.9168454396,-0.041400174,0.0523093434,0.3098948892,0.9334540374
50091,1.8842214539,0.2296606914,-13.33479163,0.0852726485,1.7093765582,4.5784186305,-0.057337505,-0.006406323,0.3081213055,0.0,-0.089793254,8.0,-0.058691186,-0.0625,-0.068331143,-0.124657135,0.0717761879,0.1071515217,-0.007828572,-0.01681131,0.0826742067,0.4608712092,0.0,2.0896681618,-0.065938243,1.4310595911,0.0460819377,25.262042215,5.1493950649,0.2004967302,0.0,0.0,1.0,0.0,0.0,0.6324609691,3.0,0.0526071454,-0.088361957,0.0325033806,0.2473387828,-0.385406837,-77.04355386,0.0666725774,11.185837062,0.0176585554,0.0322562928,-0.186958974,0.0472116347,0.0147700846,3.0,-0.006637403,0.0393184302,4.0,10.320732999,0.4472645234,0.0,0.0409836061,0.0179435017,0.0137650951,1.0161606462,0.8248273147,3.2238267e-07,8.4552812e-08,0.9863157763,0.9728188106,-0.082062853,0.0438826124,-0.050749642,0.9414721395
14526,0.3525615341,0.070430833,5.1115981682,0.0080042544,0.3056149855,1.4811393886,0.2337533736,0.2255323484,0.5488130413,0.5372608258,-0.006300566,8.0,-0.019831896,0.0508069337,0.265981574,-0.022335519,-0.010422393,0.1086985749,0.1377515668,0.0324808966,0.579305583,0.6595938846,0.0,2.8381510417,0.210746075,2.2092447917,0.3750670347,16.253111031,5.2994681899,0.2877971702,0.0,0.0,1.0,0.0,0.0,1.2741171829,5.0,-0.056059409,0.0666711279,0.0473800676,-0.879229022,-0.34360843,-3.973467242,0.0374117784,11.712542424,0.0343230687,0.0639194698,0.0628185132,0.1245846935,-0.013203932,0.0,0.0029778995,0.0073546441,5.0,10.746400815,0.3865684905,0.0,0.0510948896,0.0314331106,0.0349788812,0.6269992499,0.9965056532,1.0037043e-07,4.9226581e-08,0.8380273269,0.7022898007,-0.099969545,0.0457121393,-0.790612548,0.9334540374
27502,1.4564674226,0.0191098542,-8.674615626,0.0627934433,0.5675571786,2.2139699624,0.0924145754,-0.066459824,0.385968467,0.0,-0.098320611,8.0,-0.008108356,-0.106382979,-0.138864564,0.0971388387,-0.021336032,0.1571457206,0.1483514256,-0.01095422,-0.053426124,0.5829913181,0.0,7.3718426501,0.4973733007,2.7806763285,0.3866363277,25.301223721,5.2806155861,0.1757959446,0.0,0.0,1.0,0.0,1.0,0.5292648108,2.0,0.0054627993,-0.058371286,-0.089333909,1.8329807495,-0.572781849,-167.9909981,0.0371133477,10.806976693,-0.006308043,-0.00850507,-0.149446748,0.0432329042,-0.007442523,0.0,-0.071497213,-0.031799836,1.0,9.5386544209,0.2477851606,0.0,0.0434782617,0.0172935999,0.0172210827,1.0444749544,2.0596512203,2.4352122e-07,5.2107033e-08,0.4800773827,0.2304742934,0.1321362872,0.0326459489,0.6428249819,0.9623194801
