firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33
50906.0,0.0089172274,0.0426822869,0.0589599642,0.0483247659,0.2536539412,0.0042204401,0.0,0.0002550725,0.4992787146,0.0288204942,-0.0071942446043165,0.2777777777777777,0.078125,-0.4051724137931034,-0.3611111111111111,-0.28125,-0.2417582417582418,-0.2333333333333332,-0.1038961038961039,-0.0416666666666666,-0.1038961038961039,-0.2659574468085106,-0.1585365853658537,-0.1153846153846154,-0.1481481481481481,-0.086092715231788,-0.086092715231788,-0.0547945205479452,-0.1265822784810126,-0.188235294117647,-0.0799999999999999,-0.3669724770642202,-0.303030303030303,-0.2333333333333332,-0.1785714285714286,-0.1153846153846154,-0.1038961038961039,-0.0416666666666666,-0.1153846153846154,-0.0416666666666666,0.0,0.1129032258064515,0.2105263157894736
10146.0,0.0548311479,0.0108188309,0.0364697301,0.2213971666,0.0215728631,-0.012454414,1.0,0.0944797264,13.06216137,0.0357142873,0.1219512195121952,0.8400000000000001,0.4375,-0.1153846153846154,-0.1153846153846154,-0.1481481481481481,-0.0980392156862745,-0.0980392156862745,0.0,-0.0416666666666666,-0.0799999999999999,-0.1320754716981131,0.0952380952380953,0.1219512195121952,0.1219512195121952,0.069767441860465,-0.0212765957446808,-0.0612244897959183,0.0,0.0454545454545454,-0.0416666666666666,-0.0612244897959183,-0.0707070707070707,0.0109890109890109,-0.0799999999999999,0.0952380952380953,0.2432432432432432,0.393939393939394,0.2777777777777777,0.2432432432432432,0.2777777777777777,0.0952380952380953,-0.0612244897959183
18980.0,-0.012769348,0.0045624597,0.0185489203,0.1137710469,0.0353134645,-0.33551593,0.0,-0.00073127,-0.617386301,0.0332661271,0.1842105263157893,-0.0217391304347825,0.3235294117647058,-0.1818181818181817,-0.2622950819672131,-0.3076923076923077,-0.2372881355932203,-0.1346153846153845,-0.1818181818181817,-0.3382352941176471,-0.3571428571428571,-0.2372881355932203,-0.1176470588235294,-0.1176470588235294,-0.1176470588235294,0.0465116279069768,-0.1176470588235294,-0.1346153846153845,-0.2105263157894736,-0.3283582089552238,-0.2741935483870967,-0.2105263157894736,-0.2741935483870967,-0.0425531914893616,-0.0625,0.1538461538461537,0.25,0.6666666666666667,0.4516129032258065,0.40625,0.3636363636363635,0.40625,0.40625
10568.0,0.0017807286,0.0039785894,0.0121553885,0.0159174349,0.1388742767,-0.164899513,0.0,0.0109432365,1.6442307692,0.0439407974,0.0714285714285714,0.0227272727272727,-0.0217391304347825,-0.2622950819672131,-0.2622950819672131,-0.25,-0.25,-0.1964285714285714,-0.2372881355932203,-0.25,-0.296875,-0.296875,-0.25,-0.2741935483870967,-0.2241379310344827,-0.1964285714285714,-0.0999999999999999,-0.1346153846153845,-0.1346153846153845,-0.0999999999999999,-0.0625,0.0714285714285714,0.0465116279069768,0.0714285714285714,-0.0217391304347825,-0.0999999999999999,-0.0999999999999999,-0.0816326530612244,-0.0999999999999999,-0.0217391304347825,-0.0625,-0.0999999999999999,-0.1346153846153845
10998.0,0.0261529126,0.0291560437,0.0590572034,0.1227236738,0.004536617,0.0931556408,3.0,0.0166666667,-0.334765424,0.0380952395,0.0434782608695651,0.411764705882353,0.1999999999999999,-0.25,-0.25,-0.3513513513513513,-0.1999999999999999,-0.2258064516129032,-0.2727272727272727,-0.368421052631579,-0.3142857142857143,-0.3513513513513513,-0.5102040816326531,-0.5789473684210527,-0.52,-0.4782608695652174,-0.5,-0.5862068965517242,-0.5932203389830508,-0.5102040816326531,-0.4893617021276596,-0.4,-0.3513513513513513,-0.3846153846153846,-0.4146341463414634,-0.2941176470588235,-0.0943396226415094,-0.0769230769230768,-0.2727272727272727,-0.3142857142857143,-0.3513513513513513,-0.2941176470588235,-0.2727272727272727
11181.0,-0.0018882,0.0271566801,0.0739043891,0.013020378,0.0338166336,-0.15305318,3.0,0.0025549862,-0.242913303,0.0,0.04,0.248,0.1818181818181818,-0.1612903225806451,-0.1789473684210526,-0.0714285714285714,-0.1333333333333333,-0.0602409638554216,-0.1333333333333333,-0.1789473684210526,-0.2427184466019417,-0.1789473684210526,-0.1428571428571429,0.0129870129870128,0.0833333333333332,0.1304347826086955,0.04,0.0758620689655171,-0.5593220338983051,-0.48,-0.4918566775244299,-0.4347826086956522,-0.3333333333333333,-0.2777777777777778,-0.1875,-0.0930232558139535,0.0129870129870128,-0.048780487804878,-0.1136363636363636,-0.4388489208633094,-0.4468085106382978,-0.390625,-0.3709677419354839
50032.0,0.0017475108,0.0297340978,0.0626027455,0.0640245618,0.1436306902,0.0057590037,1.0,0.0008256881,1.6728952981,0.0321125835,0.0738916256157635,0.101010101010101,0.0186915887850467,-0.5775193798449613,-0.5758754863813229,-0.5240174672489083,-0.5112107623318385,-0.4494949494949495,-0.4734299516908212,-0.4809523809523809,-0.412398921832884,-0.3531157270029673,-0.3662790697674418,-0.4059945504087193,-0.4322916666666666,-0.3588235294117646,-0.4293193717277487,-0.3735632183908046,-0.4171122994652406,-0.3292307692307692,-0.2296819787985865,-0.2733333333333333,-0.1742424242424242,-0.1517509727626459,-0.1615384615384615,-0.128,-0.0723404255319148,-0.0135746606334841,-0.0267857142857143,-0.0762711864406779,-0.1484375,-0.128,-0.0954356846473029
49330.0,-0.009036833,0.0081615392,0.0181678497,0.015665276,0.0639056428,0.0054006803,2.0,-0.004517552,-0.65929316,-0.014487131,0.1308411214953271,0.1560509554140128,0.2560553633217992,0.0254237288135592,-0.0396825396825396,-0.0447368421052631,-0.0571428571428571,-0.0546875,-0.0546875,0.0868263473053891,0.0371428571428571,0.1343749999999999,0.1487341772151897,0.0803571428571428,-0.032,-0.0027472527472527,0.1824104234527688,0.2517241379310344,0.1824104234527688,0.1273291925465838,0.2305084745762711,0.1980198019801979,0.2517241379310344,0.2019867549668874,0.167202572347267,0.5646551724137931,0.6133333333333333,0.8615384615384616,0.815,0.815,0.9728260869565216,0.9516129032258064,1.0625
69171.0,6.943e-05,0.0082474227,0.0210827229,0.0045375218,0.1694865811,-0.005614795,0.0,0.0042882074,2.2384341637,0.078461539,-0.0769230769230768,-0.1111111111111111,-0.3333333333333333,-0.5384615384615384,-0.2258064516129032,-0.2941176470588235,-0.25,-0.3513513513513513,-0.4666666666666667,-0.6521739130434783,-0.7,-0.6571428571428571,-0.6470588235294117,-0.7669902912621359,-0.8110236220472441,-0.8695652173913043,-0.8588235294117648,-0.8451612903225807,-0.8743455497382199,-0.8878504672897196,-0.8983050847457628,-0.88,-0.9111111111111112,-0.9493670886075948,-0.9402985074626866,-0.922077922077922,-0.8285714285714285,-0.8588235294117648,-0.8695652173913043,-0.8421052631578947,-0.8333333333333334,-0.8636363636363636,-0.8481012658227848
66229.0,-0.028279032,-0.025753954,-0.099557686,0.0084843664,0.0326417394,-0.457049841,0.0,-0.100192442,1.6473429952,-0.133864636,-0.0930232558139535,-0.1136363636363636,0.1142857142857143,0.1142857142857143,0.0540540540540539,0.0833333333333332,0.0540540540540539,0.0833333333333332,0.0263157894736842,0.0263157894736842,-0.0714285714285714,-0.1333333333333333,0.0263157894736842,-0.0930232558139535,-0.048780487804878,-0.0930232558139535,-0.1875,-0.025,0.0,-0.025,0.2580645161290322,0.2580645161290322,0.6956521739130435,0.4444444444444444,0.625,0.7727272727272727,0.6956521739130435,0.6956521739130435,0.7727272727272727,0.625,0.5,0.4444444444444444,0.56
