firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchgm_pchsale,depr,invest,egr,tang,sin,currat,quick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
54594,0.3429671648,0.0496001121,37.151616178,0.0133964678,0.3694142947,0.8122633003,0.1262186422,0.2507229389,0.3625363224,0.0087586641,0.3745602487,0.077088716,0.9962118159,0.0001878944,0.077088716,15.0,0.0552812163,0.2763819095,0.168910367,0.0380107597,0.1267677762,0.0943680952,0.1400891712,0.4954082202,0.0,2.0065571723,0.9112517954,89.016429354,4.2676804806,0.1957639807,0.0,0.0,1.0,0.0,0.0,0.6345309209,4.0,-0.115107395,-0.166894792,-0.140758664,0.1566005339,-0.569915401,-0.012813802,324.20190246,0.5269949722,13.264425282,0.0011432043,0.0212162851,0.0443562472,0.0250499155,0.0128089654,0.012479722,3.0,-0.0001152,0.2147220289,0.0196232833,4.0,12.288850072,0.3878651592,0.0,0.0352112688,0.0134047904,0.0155326868,0.8472720706,1.2897925993,1.3727113e-08,6.4056498e-08,1.3369325199,1.7873885629,0.1092455911,0.0389493115,0.0584442994,0.0117106092
10154,1.6292838875,-0.06342711,-9.381017464,0.0,2.3904092072,4.3796994885,-0.032723183,0.1068212428,0.2454203748,-0.01536137,0.2424106475,0.0499045279,3.0100806452,-0.254347826,0.0499045279,15.0,-0.010829918,-0.106973995,0.1451056111,-0.219843431,0.1479136362,0.0562054911,-0.045939571,0.5487944264,0.0,1.7175179045,1.5901915595,20.804403948,2.397861131,0.0474528547,0.0,0.0,1.0,0.0,1.0,0.4465161556,2.0,-0.219572349,-0.148049187,1.109536447,0.3863838421,1.9325792162,-0.25202848,-244.0095186,0.0793382698,10.094644958,-0.000471608,0.0008271299,0.0020406561,-0.115846608,0.0541505043,-0.007190307,0.0,-0.003147482,1.7805061566,-0.045866936,2.0,9.6930751156,0.4425171051,0.0,0.2173912972,0.0607881468,0.0560792974,1.2711990434,2.5263227012,1.5191467e-06,1.050000043,1.2261291382,1.5033926636,-0.170152421,0.05114793,-0.065838191,0.1057096119
10285,0.8057600801,0.045379414,-10.28203593,0.0,1.9272727273,2.3963436013,0.0811040741,0.6214489481,0.6027873529,0.1852181656,0.7496362314,0.1596064251,7.770419426,-0.307237666,0.1596064251,8.0,0.2487955836,0.2058823529,0.5912129577,0.0155197155,0.3912503878,0.3803934387,0.3796740995,0.4584235499,0.0,1.9809492137,0.7931018101,28.648502994,4.3066882708,0.0716719034,0.0,0.0,1.0,1.0,0.0,1.5202401372,3.0,-0.004970623,-0.142836677,-4.152621616,6.2992750531,-0.397541513,-1.233552062,-389.3045737,0.1508177501,9.5915810912,0.0020122394,0.005021534,0.0170323864,0.1820686201,0.0174269888,-0.018625299,1.0,0.0017029802,-0.835007434,0.0803571492,1.0,7.1620582925,0.1139494115,0.0,0.0476190485,0.035888595,0.0355049755,1.2859738592,0.6906773828,1.20076e-05,1.0500001767,1.3242583026,1.7536600519,-0.022973962,0.0870260429,-0.204166667,0.1650550449
10867,0.5130591971,-0.495333543,-7.703138524,0.0,1.0863624457,4.826649145,0.1118550757,-0.283682653,0.3271922627,0.0141133622,-0.129785161,-0.39871364,-1.609402409,0.3018574547,0.3987136401,8.0,-0.013472013,-0.045454545,0.1874786227,0.1696421363,0.6158917418,-0.100768255,-0.4930166,0.5991361286,0.0,1.6222978723,1.1556595745,114.45467033,6.6872391653,-0.160079395,0.0,0.0,1.0,0.0,0.0,0.6944476245,5.0,0.3077332654,-0.150056329,-0.067768016,5.2518965912,0.28412691,0.2921005735,-394.9437648,0.0653410158,10.772594954,-0.011487242,0.0524769275,0.1103472283,-0.167960923,0.0703747535,0.0100022919,0.0,0.0067555584,1.2354772762,-0.088405801,2.0,11.259821937,2.2545000891,0.0,0.0958904102,0.0350876182,0.0448645921,1.0406143248,20.068650774,4.8315225e-08,5.1663179e-09,1.8800392961,3.534547755,0.1846666966,0.0687902587,0.550125323,0.0656176632
11010,0.9225399903,0.0070770722,-6.654530744,0.0,1.8776539021,3.8336403296,0.0490686052,0.0666297527,0.3441122185,0.0007276255,0.133493299,0.0211842458,8.1232876712,-0.050412021,0.0211842458,14.0,0.0585513977,0.0837209302,0.3226745158,-0.116099315,0.1750181554,0.0759320783,-0.047733413,0.611597612,0.0,1.4182274345,0.5649687846,15.996763754,5.6653295129,0.0436702784,0.0,0.0,1.0,0.0,0.0,0.8117682378,1.0,-0.117194764,-0.359555772,0.4388141619,-0.115692869,5.8405033631,-0.063413717,-165.7642254,0.5269949722,8.6495582792,-0.003985828,0.0018342274,0.005569567,-0.070169504,0.0787599353,0.01243991,1.0,-0.023021491,-0.202512749,0.0090909079,1.0,8.0752909923,0.4521400466,0.0,0.200000003,0.0744955807,0.1090214582,0.6610976332,2.1283222999,4.0212988e-06,3.387399e-08,1.1451459323,1.3113592063,-0.14396099,0.0762580706,-0.325814539,0.0117106092
12117,1.2052190847,0.137721519,-0.912573079,0.0,0.4594871795,2.6809996754,0.1455352191,0.119273743,0.9436103352,-0.028994642,0.0804738063,-0.068900751,-0.788461538,0.2463096397,0.0689007513,8.0,-0.014136022,0.0967741935,0.1121020206,-0.013703386,1.0208747515,0.0093226257,0.1348100337,0.7468683242,0.0,3.1750678119,2.6582278481,3.6807357764,5.824232852,0.5524446792,0.0,0.0,0.0,0.0,0.0,1.321353479,5.0,0.0298428778,-0.251944836,-3.753162612,7.3695854922,0.2798180712,-0.680004756,-390.0133237,0.1508177501,9.5138927178,-0.003272078,0.0180621413,0.0249482937,0.0904515652,0.3047104865,0.0573949451,1.0,-0.004294025,0.7822111388,0.0199849177,7.0,8.2328389091,0.5452372823,0.0,0.0606060624,0.0345694981,0.0411856291,1.4053391786,3.5319920447,5.9202354e-06,3.6381736e-08,1.2144049794,1.474779454,0.2613964609,0.0606888941,-0.406053451,0.1650550449
12320,0.9493817247,0.0999625288,-128.7929515,0.0337990472,1.0938279535,3.3430972646,0.1027196521,0.0240332248,0.3735425263,-0.007870754,-0.012000774,-0.050894322,-1.028060405,0.2027300466,0.0508943223,14.0,0.0295005739,0.0303030303,0.1814233287,0.0580453891,0.1456601938,0.0597047761,0.0689513845,0.5152326274,0.0,1.8727064673,0.965296137,687.80176211,6.739661573,0.1957009228,0.0,0.0,0.0,0.0,0.0,0.7729546633,7.0,0.0883833006,-0.057487348,0.3130202354,-0.553268378,-19.00059357,0.097999466,-1364.982766,0.103229783,11.395011483,-0.004140583,0.0089177804,0.0205198045,0.0124670651,0.0097595834,0.0132352045,0.0,-0.007692308,-0.576815537,-0.061113422,4.0,9.6945242348,0.5250626566,0.0,0.1000000015,0.0284400856,0.0225284208,1.6089684575,4.756218037,6.459997e-07,4.3526232e-08,1.4061396428,1.9772286952,0.4025557547,0.0427479161,0.2112411106,0.0537873578
13056,0.8260118861,0.0647285433,-1.66390574,0.0309768346,0.7640874568,1.8315821022,0.0813366783,-0.054474515,0.6303424989,0.0170948273,-0.145459243,-0.116935468,-2.955346253,0.2560238013,0.1169354677,15.0,-0.0683301,0.0,0.0663728904,0.0643826766,0.1620628877,-0.055291707,0.0488242709,0.5429220196,0.0,3.454542498,2.1542297456,13.286312731,5.1644103849,0.180374987,0.0,0.0,1.0,0.0,0.0,1.2838475775,8.0,0.0062888336,-0.078584441,0.3888101986,-0.79680303,1.111976372,0.0774016362,170.16583377,0.0425884429,13.866640126,0.0007603678,0.0160754675,0.03094579,-0.017345348,0.0860750352,-0.008004164,3.0,0.0,-0.279828209,-0.023993338,5.0,14.136494721,1.8403612776,0.0,0.0405904055,0.0202973271,0.0233624188,0.6229850039,4.77153473,2.4785615e-09,1.4884534e-08,0.9384946277,0.8807721662,0.0510152448,0.0330975821,0.2167240075,0.0797070331
13283,0.3202497544,0.071951594,2.4642005638,0.0190339059,0.0340895541,0.1979183265,0.6056927285,0.1840476736,0.5348384139,0.0,0.0430220357,0.0248714451,0.1129647283,0.0638236017,0.0248714451,11.0,-0.01385245,-0.346153846,-0.202018805,0.0988289514,0.5132743363,-0.032088013,0.2013379647,0.8482747774,0.0,9.9547283702,9.9547283702,0.7553664921,3.8783602151,1.833279691,1.0,0.0,0.0,0.0,0.0,0.6004116815,4.0,0.1104725039,-0.694872876,-4.638131942,6.0201866793,0.2207407627,-0.862490794,-380.1110814,0.1508177501,10.734617921,0.0113466067,0.0782036392,0.0865281645,0.0112603665,0.7204749679,0.0293805294,2.0,0.0053047391,2.6707317073,0.1077238414,4.0,8.4681604978,0.1677528361,0.0,0.0155038759,0.0084010809,0.0076068492,0.970621761,0.506235538,5.1932809e-07,3.1500002213,0.9874412184,0.9750401598,0.0579426276,0.044270336,0.5078299964,0.1650550449
13646,0.6455792017,0.0236105855,-0.262037037,0.0184284841,0.8409269557,1.1166555067,0.0334933974,0.1288694555,0.1406382562,0.130384704,0.1581331943,-0.033925323,-2.046855734,0.0719380477,0.0339253234,15.0,0.020723059,0.2777777778,0.5934527024,-0.443506064,0.0419758105,0.1491004808,0.0479678639,0.4494006513,0.0,0.6075860124,0.464608009,35.514814815,43.487528345,0.0915171107,0.0,0.0,1.0,0.0,0.0,0.1973534972,4.0,0.6875876204,0.1869476083,-0.042900851,-0.651841671,0.7049591717,0.0367959112,-82.14656134,0.1170226801,10.529850359,-0.001241306,0.0047171628,0.0110904893,0.1294360826,0.0208120556,0.15718145,0.0,0.0032024222,-0.478497508,0.0,5.0,9.4828453528,0.2709055091,0.0,0.0338983051,0.0086538143,0.0419792535,1.4103278361,1.1094034408,9.0967533e-08,1.2022112e-07,0.1988660575,0.0395477088,-1.325083373,0.0143322805,0.1288856236,0.0057134609
