firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear
54594.0,0.0038113214,0.0109587645,0.0292338024,0.070598826,0.099020059,-0.032658669,1.0,0.0060561414,1.4902564103,0.0193756316
10154.0,0.0034471091,0.0246911163,0.0569094684,0.0967985137,0.2625227342,-0.008681462,2.0,0.0133728962,-0.899159806,-0.02631579
47351.0,-0.008417115,-0.050812556,-0.163737446,-0.040059443,0.1605413534,0.0020164346,0.0,0.0242941138,-0.614325069,0.0006747637
10787.0,0.0004864489,-0.016657064,-0.033858251,0.0456696509,0.0064693219,-0.007955238,0.0,0.0001574816,-0.487641561,-0.025356659
10867.0,0.0331530274,0.0211094453,0.0548457463,0.1356102297,0.0168058919,-0.026654468,1.0,0.0188127387,-0.014671586,0.0677966103
11010.0,0.0034183397,-0.003962681,-0.009587379,-0.016407902,0.1223459081,0.0062961055,0.0,-0.031229031,0.9829441961,-0.200721666
11790.0,0.0147963668,0.0819877809,0.0903190914,0.0174255889,0.1343775369,0.3753941764,1.0,0.0021960736,-0.235286085,-0.00862069
12117.0,0.0099362302,0.0481304102,0.0620279854,0.133586578,0.2007274448,-0.004688065,5.0,0.0232546814,0.4913817958,0.0751223844
12320.0,-0.000388071,0.0019038953,0.0035154836,0.2187603056,0.0088588517,-0.0901773,0.0,-0.001353468,-0.940673667,0.0548387114
54332.0,-0.005827464,-0.005056696,-0.028018339,0.062009432,0.0822086856,0.0068177608,1.0,-0.011292244,-0.483193277,0.0470653381
13040.0,0.0124109448,0.0160728473,0.0293145086,0.1465577642,0.0068176144,-0.001567405,0.0,0.0297113627,0.3041556145,0.0137163568
13056.0,0.0071692427,0.026525704,0.0516905758,0.0171322171,0.0949333277,0.0423618825,0.0,0.0063944659,-0.18999133,-0.037955978
13646.0,0.001433064,0.0190406793,0.0379610915,0.0009343318,0.1833565352,-0.184054351,2.0,0.0046716588,-0.129880336,0.0
50091.0,0.0018957954,0.0004855094,0.0009796944,0.0877961295,0.0003529726,-0.038554893,0.0,-0.01737849,-0.446640316,-0.041604859
14286.0,0.0017221394,0.0218059502,0.0593903017,0.0930364689,0.2278983323,0.0958597695,1.0,0.0089485459,-0.488255034,-0.008333334
14526.0,-0.017139217,0.0020541324,0.0035059578,0.0802772487,0.0284832813,-0.011487953,0.0,-0.01319197,0.3644742318,-0.067937355
27502.0,0.0101781861,0.0155610156,0.0222777511,0.1070265764,0.1119652229,-0.005580798,2.0,0.0182057839,1.0,0.0926573453
15465.0,-0.005743996,0.0306947351,0.0353530579,0.0091614352,0.6692979309,0.0056745083,1.0,-0.001939468,-0.577091837,-0.033333335
15828.0,-0.00143825,0.0012291674,0.0019362187,-0.004368613,0.1831831832,-0.054712292,0.0,-0.003104737,-0.309215424,-0.010204081
18606.0,0.0004821594,0.0038270124,0.0214843046,-0.510825428,0.0083007296,-0.004625982,0.0,0.0040001382,0.502424101,-0.018985404
44601.0,0.0089437476,0.0224926835,0.0438052492,0.0649460482,0.0361689403,-0.004600618,0.0,0.0087364779,-0.704989154,0.0050644353
46156.0,0.0184322004,0.0234555047,0.0420419161,0.0690548123,0.0745014229,-0.020466678,2.0,0.0205947124,1.0653594771,0.0140116387
16126.0,0.0384335302,0.0090120824,0.0113620072,0.0174791416,0.0636323342,-0.049610588,2.0,0.0062143179,0.3991374541,0.0517859338
16249.0,0.0,-0.058045113,-0.075420086,0.0027012426,0.2815533981,0.1078882606,0.0,-0.003444084,0.6521040474,-0.027694417
16919.0,-0.00012705,-0.032773888,-0.163731806,0.1013511237,0.0152549964,0.0325368409,2.0,0.0350865371,0.2626254593,-0.032811575
16994.0,0.0047221213,0.0145353675,0.0164925091,0.0108844675,0.4703878258,0.3814258637,1.0,0.0165740755,-0.480615095,-0.02453313
17137.0,0.0043728766,0.0280281655,0.0330595956,0.062514031,0.3421861009,-0.009771007,0.0,0.0032755055,0.1266196216,-0.052927669
53284.0,-0.008172297,0.0058338389,0.0161752473,-0.065115711,0.0455419193,2.0760183037,0.0,-0.018448637,-0.532882606,-0.024413112
17953.0,0.0189150257,0.0277777778,0.0583333333,-0.014970351,0.0295698925,-0.007652156,0.0,0.1071903049,-0.531830427,-0.024388039
42438.0,0.0027461724,0.0172357069,0.0472638751,0.3360588675,0.0202078253,0.0026117374,1.0,0.0030384879,-0.488547009,0.0901638949
17807.0,-0.011477762,-0.099718159,-0.181529441,0.0125317129,0.0597396277,0.1590064877,0.0,-0.017707855,-0.143099231,0.024390243
55044.0,0.0014454492,0.0145405745,0.0195724229,0.0119274263,0.0230002307,0.0013374726,0.0,0.0046898316,1.5561797753,0.0182922371
18092.0,0.0442736919,0.0237913347,0.0262682251,0.0172737628,0.6500105307,-0.016761952,2.0,0.0051493046,1.8758562501,0.0886363648
18244.0,-0.037313433,-0.008384146,-0.008785942,0.0409091482,0.8562544846,-0.727029915,1.0,-0.012727291,2.0035237449,0.0
18439.0,0.0011398373,0.0089588378,0.0975224038,0.5387423935,0.0036843578,0.0018865837,0.0,0.0048681542,-0.856265517,0.0
65154.0,0.0016836303,0.0183395983,0.0642188775,0.2010592389,0.1561319787,-0.001658097,3.0,0.011486665,0.2254901961,0.0548387114
19175.0,0.0195482189,0.0224326684,0.0275236918,0.0920447074,0.2618369285,-0.007427944,0.0,0.0247957171,35.666666667,0.0185185187
30438.0,0.0,-0.024260355,-0.071145265,0.0,0.1285357737,-457.2666667,0.0,0.042337376,0.2793834297,0.0
65517.0,0.0463189981,0.05393967,0.1032180209,0.1642261902,0.2162281006,-0.006199478,2.0,0.0171913513,2.2332785088,0.1833299361
20205.0,-0.074938575,-0.136271014,-0.158800831,-0.101606031,0.2296664716,0.1519584312,0.0,-0.100950508,3.1860801701,0.2201581113
20336.0,-0.023149965,0.0087615604,0.0096455638,-0.021133372,0.5546053554,0.0516351826,0.0,-0.008474804,-0.179559306,0.0002403846
