firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
54594,0.9021367317,0.0491384659,-10.48222174,0.0242815246,0.9589624468,2.3182531727,0.0640554034,-0.052826054,0.2165242011,0.002680067,-0.099234588,27.0,-0.021385423,-0.137931034,-0.146512902,-0.043971374,-0.014458933,0.1705767306,0.0212786206,-0.02110667,0.0020529284,0.4698921428,0.0,3.8746969504,0.2414987778,1.3179947684,0.2320106305,63.310522123,7.5898755936,0.0972527437,0.0,0.0,1.0,0.0,0.0,0.4081027348,4.0,0.0177812473,-0.217905121,1.6852139176,86.394327317,0.1431514131,12.400370475,-0.005094481,0.0075604398,0.0165456048,-0.01060676,0.0196750321,0.0068862783,4.0,-0.0043,0.0779261341,0.1170873558,5.0,12.417481771,0.921962843,0.0,0.0762499571,0.0281035338,0.0418277961,0.5891398962,2.2130092494,1.8248801e-08,2.2465e-08,1.3891244732,1.929666802,0.0340059433,0.0756363926,-0.840990204,0.2584779357
11624,0.2029184114,0.0195152899,32.663571819,0.0,0.0355538637,0.2278644842,0.1216176384,0.3078458362,0.7556090847,0.0424603175,1.4818423384,18.0,0.0381713536,0.4838709677,0.4435691318,0.3864492606,0.7539889146,0.1992805755,7.8167060109,0.4030970406,0.2122498484,0.5409272746,0.0,2.9125624554,-0.556237542,2.022840828,-0.565447247,9.807755325,6.8333333333,1.7690155177,0.0,0.0,0.0,0.0,0.0,0.8322468163,6.0,-0.544535759,0.3596079039,0.1763888061,-3846.98686,0.0244816592,11.059236033,0.0008947006,0.0163004961,0.0189252484,0.0118005329,0.0963532074,-0.010117107,1.0,0.001192742,0.2731768751,0.0495064091,6.0,9.7066298244,0.5028333963,0.0,0.0407079495,0.0171078655,0.025275692,0.6661651057,0.8617719651,1.8118694e-07,7.9739895e-08,0.832512271,0.6930766814,-2.540930315,0.1026130304,-0.22503238,0.1617906191
11790,0.9136874429,0.1245163311,-1.171049317,0.0186011215,0.6470772502,0.3979651714,-0.06126413,0.1271587158,0.0785230879,0.0,0.1190959452,26.0,0.0082025656,-0.01369863,0.146241041,-0.524931692,0.1713380864,0.0488193332,-0.079488909,0.0370757446,0.1329394387,0.5556334664,0.0,4.5826988498,-0.113726206,2.8076300016,-0.004177993,2.2719258476,3.1180862832,0.2769735989,0.0,0.0,0.0,0.0,0.0,0.0970622025,6.0,0.1135801343,-0.039579118,-0.963038918,-551.9376644,0.1938922272,12.307697856,0.0021253736,0.0172275827,0.0301129107,0.0189903662,0.1237694193,-0.03524412,2.0,0.0076893822,-0.713102313,-0.006783205,5.0,10.282371461,0.2068884171,0.0,0.0371149257,0.0157732098,0.0241501756,1.0005212938,0.6278917394,1.7234556e-07,1.6287244e-07,0.3330664,0.1109332268,0.2718591056,0.0559366988,-0.928220447,0.3829495382
12320,1.546058371,0.033349195,-75.84617897,0.0480906495,3.2162740899,6.0537612023,0.0533893121,-0.099534008,0.2093644444,-0.061306533,-0.105558006,26.0,0.0006825319,-0.086693548,0.0368836523,0.1675126712,-0.138820599,0.1454616785,0.1914901311,-0.008671268,-0.086738578,0.4738561782,0.0,1.4332682035,-0.053447393,0.8225816618,-0.123767021,199.43011104,7.1807128326,0.1058368454,0.0,0.0,1.0,0.0,0.0,0.5783586897,5.0,2.3122567088,-0.093578477,-49.9520462,-3905.028622,0.0752971976,10.739644461,-0.011247427,-0.038620476,-0.132757955,-0.357775022,0.0250039884,-0.084296315,0.0,-0.018181818,-0.599304917,-0.026118216,3.0,10.575411097,0.6901402977,0.0,0.0647181496,0.0242737402,0.0331714748,0.5304124183,2.0291327105,1.1960877e-07,2.9568823e-08,0.413003336,0.1705717556,-2.109988796,0.0694979631,-0.244159545,0.1500447527
13056,1.2629432111,-0.111766476,-29.07244317,0.0475260489,2.0079010926,3.0377668249,0.0614279974,0.0770819342,0.642418952,-0.015979541,0.3155189906,27.0,0.0442779113,0.1315789474,0.1579497581,0.2584337133,-0.032986009,0.2054892411,0.4289106466,0.072582301,-0.163860745,0.2890220831,0.0,1.084996504,-0.425813909,0.7563478544,-0.482451652,48.728289257,6.4995948743,0.0036745135,0.0,0.0,0.0,0.0,0.0,1.2473644834,4.0,-1.630835181,0.1124343907,1.3486614479,-112.7126727,0.0421158232,13.670355186,-0.025471372,-0.029533117,-0.076486597,-0.182090696,0.0418079659,-0.034308343,1.0,-0.012759171,0.5175925685,0.0774186611,1.0,14.020455041,1.8368372093,0.0,0.0386949368,0.0206396182,0.0372051309,0.7694375161,17.330653563,2.5193774e-09,1.0881081e-08,0.6702867182,0.4492842845,-0.067176413,0.0675281471,0.0880217867,0.13109328
50091,1.3766925194,0.1912638925,-17.82332378,0.0381924072,2.2338822722,4.1555165238,0.0113270584,0.0424474962,0.3438460717,-0.030811623,0.0540222968,26.0,-0.027774222,0.0,0.0102370106,-0.166895033,-0.035884052,0.1241218766,-0.022002508,-0.020297756,0.0241971704,0.4898684395,0.0,2.0567381412,-0.024063538,1.414168173,0.1064290503,47.825343061,3.9343888655,0.1503538083,0.0,0.0,0.0,0.0,1.0,0.8140579385,5.0,-0.169180685,-0.062260293,3.7882446717,-661.5159405,0.092179625,12.498785498,0.0015021497,0.0148957362,0.0380967768,0.0128635922,0.0282464304,-0.012649138,1.0,0.0032535808,-0.156968328,0.0613357138,4.0,11.308085846,0.4467682245,0.0,0.0283482652,0.0141787547,0.0144922641,0.5184585168,1.0063709645,2.4681762e-08,5.351982e-08,0.8247254969,0.6801721453,-0.038738241,0.052408404,-0.767056131,0.3672581138
14286,0.5918698691,-0.098970204,-4.313880427,0.018537857,1.1969113735,2.4121776646,0.0207344492,-0.108895953,0.2779513982,0.0293971101,-0.101939971,27.0,-0.040031912,-0.105263158,0.369417711,0.1937681512,-0.233809566,0.1539860888,0.1323556734,-0.067972412,-0.135630956,0.4185832023,0.0,2.4408268734,0.0300399767,1.301464255,0.1063680953,30.127189642,7.2250228311,-0.00887089,0.0,0.0,1.0,1.0,1.0,0.7432540743,4.0,-3.165732669,-0.501953646,3.1304459313,-7521.696982,0.0294348519,10.172560036,-0.002263788,-0.012486395,-0.030710886,-0.51212448,0.0517159576,-1.139488193,1.0,-0.01600389,-0.619100247,-0.085634921,3.0,7.3677085724,0.2392550143,0.0,0.1495925933,0.0534219502,0.0542404529,1.173303895,3.0883445071,1.2331189e-06,7.3500000502,1.4376642917,2.0668786156,-4.49786942,0.2032784922,0.4218693035,-0.147286141
14526,0.6246976623,0.0562847994,-19.42652351,0.0245764179,1.1980140135,3.644757758,0.0666394075,-0.10074737,0.4431554139,0.0029557005,-0.171805744,27.0,-0.060733197,-0.076826983,0.0294019665,0.0582112161,0.0353757658,0.2319147927,0.3066778558,-0.121229378,0.0763580408,0.4451643551,0.0,1.2747004082,-0.195089071,0.9805001564,-0.092186848,184.51695457,7.1232741374,0.1516162792,0.0,0.0,1.0,0.0,0.0,1.4530964202,7.0,-0.037204649,-0.109672275,9.0160832411,-482.0101737,0.0496109426,13.012633801,0.002233388,0.0129472426,0.0377768187,-0.113047253,0.0088684159,0.0363559206,2.0,0.0085308057,-0.145207097,-0.032159907,2.0,13.638838222,1.6993632522,0.0,0.0792018995,0.0444878481,0.0780903785,0.5915621931,5.7446010716,1.2588748e-08,1.3335465e-08,0.0178070504,0.000317091,0.1278680543,0.0872977547,-1.074258568,0.039830438
11581,-0.509324741,0.1433800328,21.203826041,0.0091462606,2.9649221862,3.4337690141,0.2448186497,-0.57859987,0.1582833081,0.0163425522,-0.519529551,14.0,-0.137052747,-0.583333333,-0.616432958,-0.395212427,0.0512337961,0.4586316303,0.6380247856,-0.336455762,-1.390004045,0.3751661059,0.0,1.6136657082,0.2768732127,1.0781983952,0.7317315752,67.870048504,5.7677913557,0.0566271189,0.0,0.0,1.0,0.0,1.0,0.52537282,7.0,3.406738074,-1.36101366,-0.914767149,-3046.750024,0.0324035929,12.507829161,-0.005528538,0.0039327494,-0.00927965,-0.447923423,0.0018518139,0.0386349451,0.0,-0.000340136,-0.356522483,0.0229198835,4.0,11.670990176,0.8012172054,0.0,0.0752688348,0.0325964313,0.0316358463,0.9452997312,3.2193784406,3.4873753e-08,3.3943351e-08,0.991221163,0.9825193939,0.3041511224,0.080666707,0.9458863514,0.0555019297
15203,1.0539451449,-0.56310932,-305.8488263,0.0,1.7296243338,3.6992070714,-0.053349528,-0.289892559,0.190940443,-0.000795545,-0.248927523,27.0,-0.145111043,-0.328431373,-0.17402914,0.2853534755,-0.221265966,0.2541789577,0.1197021327,-0.127072556,-0.348231511,0.557906323,0.0,1.3649334179,-0.032971605,0.2260621433,-0.327156132,1627.9649123,10.690458302,-0.2126233,0.0,0.0,1.0,0.0,1.0,0.372829582,3.0,3.2946710832,-0.880070032,0.9722852613,-3238.502587,0.0324035929,7.6992081764,0.0,-0.004081633,-0.011677282,-0.584553159,0.0018427518,-0.012638109,2.0,-0.062596302,0.4560582423,0.0381771214,2.0,6.2713853311,0.1715459682,0.0,0.0695187151,0.0492800349,0.043331817,1.0472619565,2.4747368366,2.27871e-05,9.4500000766,-0.015429372,0.0002380655,1.6457409293,0.0564681594,0.0055555819,0.0555019297
