firms,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30
68806.0,0.0552000076,0.0601159565,0.1615260063,0.0512436392,0.3860262496,0.2138766032,3.0,0.0452204044,1.3176614775,0.0879163314,0.03125,-0.0609756097560976,0.0694444444444444,-0.0685483870967742,-0.0294117647058823,-0.0941176470588235,0.0452488687782806,0.1213592233009708,-0.150735294117647,-0.0759999999999999,0.064516129032258,0.1492537313432835,0.2157894736842105,0.3832335329341316,0.6153846153846154,0.519736842105263,0.4259259259259258,0.3832335329341316,0.375,0.375,0.3430232558139534,0.3125,0.297752808988764,0.5608108108108107,0.7238805970149254,0.54,0.6267605633802817,0.5931034482758621,1.026315789473684,0.8333333333333333
66755.0,0.0108549878,0.0188066819,0.0544428041,0.2787043389,0.0182959533,-0.001182494,3.0,0.0053521409,0.3957874651,-0.020967948,0.1313131313131312,0.2584269662921348,0.5033557046979866,0.4933333333333334,0.6000000000000001,0.3333333333333332,0.3176470588235294,0.2584269662921348,0.2375690607734806,0.1546391752577318,0.2444444444444444,0.2108108108108108,0.5238095238095237,0.7364341085271318,0.8064516129032258,0.7777777777777777,0.696969696969697,0.9145299145299146,1.0,1.074074074074074,1.2626262626262623,0.8666666666666667,0.792,1.174757281553398,1.604651162790698,1.1960784313725492,1.604651162790698,1.3333333333333337,1.1960784313725492,0.6716417910447761
65832.0,0.0018967106,0.007684603,0.0200937562,0.1238815754,0.042752143,-0.054472991,0.0,-0.003434001,0.7452574526,-0.079168683,0.0337078651685394,-0.1238095238095238,-0.0799999999999999,-0.2333333333333332,-0.0612244897959183,-0.5,-0.4320987654320988,-0.4355828220858896,-0.4213836477987421,-0.3082706766917293,-0.3235294117647058,-0.28125,-0.2977099236641222,-0.2977099236641222,-0.1320754716981131,-0.3185185185185185,-0.5208333333333333,-0.4424242424242424,-0.3428571428571428,-0.1999999999999999,-0.1320754716981131,-0.0799999999999999,-0.0515463917525773,0.2266666666666665,0.1794871794871795,0.0823529411764705,0.0454545454545454,0.0952380952380953,0.393939393939394,0.1499999999999999
65453.0,0.0180044849,-0.024268496,-0.052349817,-0.307059359,0.0436592471,0.0573251169,1.0,-3.16332976,-0.210139002,0.0008652378,-0.0967741935483871,-0.125,-0.3,-0.2911392405063291,-0.3563218390804598,-0.4226804123711341,-0.4615384615384615,-0.4399999999999999,-0.5,-0.3978494623655914,-0.4285714285714286,-0.3636363636363636,-0.3846153846153846,-0.308641975308642,-0.308641975308642,-0.3846153846153846,-0.4285714285714286,-0.3563218390804598,-0.3488372093023255,-0.3563218390804598,-0.3563218390804598,-0.3978494623655914,-0.5213675213675213,-0.5254237288135593,-0.5213675213675213,-0.5333333333333333,-0.5692307692307692,-0.5371900826446281,-0.4909090909090909,-0.5333333333333333
21020.0,0.0106232941,0.0009416635,0.0026564877,0.0032819015,0.1439206245,0.1469259644,0.0,-0.006060606,1.3838499322,0.0002700174,-0.0813704496788008,-0.0774193548387096,-0.0550660792951541,-0.0445434298440979,0.0412621359223301,-0.0272108843537415,-0.0813704496788008,-0.0754310344827586,-0.0633187772925764,0.0117924528301887,0.1501340482573727,0.29607250755287,0.2654867256637168,0.3883495145631068,0.3575949367088606,0.21875,0.1113989637305699,0.1201044386422975,0.1259842519685039,0.3533123028391167,0.2767857142857142,0.284431137724551,0.4299999999999999,0.4844290657439447,0.6499999999999999,0.6563706563706564,0.9589041095890412,0.9411764705882352,0.9861111111111112,0.7581967213114753
10429.0,-0.000455597,0.0215144166,0.0267711044,0.015513798,0.6947709061,-0.003285436,1.0,-0.000952381,1.999344228,-0.008977764,-0.1063829787234043,-0.1764705882352941,0.0,-0.134020618556701,-0.0454545454545454,-0.0454545454545454,-0.1923076923076923,-0.2222222222222222,-0.16,-0.2363636363636363,-0.1157894736842105,-0.1999999999999999,-0.0769230769230768,-0.0561797752808989,-0.0666666666666666,-0.1923076923076923,-0.1923076923076923,-0.1764705882352941,-0.288135593220339,-0.2631578947368421,-0.5172413793103448,-0.5227272727272727,-0.5531914893617021,-0.3823529411764705,-0.3636363636363636,-0.3225806451612903,-0.3538461538461538,-0.4473684210526315,-0.3636363636363636,-0.3636363636363636
62500.0,-0.001250496,0.0152841069,0.0341410684,-0.009902708,0.3027616543,-0.004338169,1.0,-0.000868085,1.1936818353,0.086796822,0.0681818181818181,0.0681818181818181,0.0930232558139534,0.0444444444444445,0.0930232558139534,-0.0309278350515463,-0.168141592920354,-0.248,-0.1965811965811965,-0.2166666666666666,-0.1296296296296296,-0.2419354838709677,-0.2231404958677686,-0.2231404958677686,-0.0873786407766989,-0.1296296296296296,-0.1531531531531531,-0.1531531531531531,-0.0961538461538461,-0.0309278350515463,-0.0105263157894737,-0.1531531531531531,-0.1047619047619047,0.175,0.0561797752808987,-0.0208333333333333,0.0804597701149425,-0.0408163265306122,0.119047619047619,-0.0408163265306122
56899.0,0.0178463135,-0.003927,-0.006504617,0.0558117647,0.1400770782,-0.366517689,0.0,0.0322027149,-0.645331117,0.0404568836,-0.1326530612244898,-0.0957446808510638,0.0,-0.0760869565217391,-0.034090909090909,-0.1584158415841584,-0.2543859649122807,-0.2608695652173913,-0.2672413793103448,-0.3840579710144928,-0.2543859649122807,-0.2672413793103448,-0.2129629629629629,-0.0229885057471264,-0.1326530612244898,-0.1981132075471697,-0.2342342342342342,-0.205607476635514,-0.3032786885245901,-0.2857142857142857,-0.4014084507042254,-0.5572916666666667,-0.5641025641025641,-0.3928571428571429,-0.4097222222222222,-0.4516129032258065,-0.4407894736842105,-0.5833333333333333,-0.4551282051282052,-0.4753086419753086
27991.0,0.0004469533,0.010088279,0.0245332339,0.0009100917,0.0286830527,-0.214506463,0.0,-0.003524229,2.2490916335,0.0040811021,-0.0257510729613733,0.0,-0.0257510729613733,-0.1098039215686275,-0.0043859649122807,-0.0340425531914894,0.0271493212669682,0.0044247787610618,-0.0541666666666666,-0.0130434782608696,0.0460829493087557,0.0412844036697248,0.0758293838862558,0.1581632653061224,0.233695652173913,0.1641025641025641,0.1182266009852217,0.0179372197309417,0.1293532338308458,0.1701030927835052,0.2404371584699454,0.3431952662721893,0.3352941176470587,0.2897727272727273,0.3592814371257484,0.3757575757575757,0.3926380368098159,0.5337837837837838,0.7461538461538462,0.644927536231884
10517.0,0.0147172646,0.0052049672,0.0112295204,0.0269409638,0.0028416578,0.0679316722,0.0,-0.001095082,-0.038563971,-0.017241379,0.0,-0.046875,-0.1159420289855072,-0.2179487179487179,-0.1866666666666666,-0.1756756756756756,-0.1159420289855072,-0.1866666666666666,-0.1285714285714285,-0.1408450704225352,-0.0895522388059701,-0.1159420289855072,-0.2906976744186046,-0.2606060606060606,-0.2278481012658227,-0.2738095238095238,-0.2469135802469135,-0.2738095238095238,-0.3146067415730337,-0.2738095238095238,-0.2988505747126436,-0.3068181818181817,-0.2906976744186046,-0.1159420289855072,-0.1159420289855072,-0.0757575757575758,-0.0757575757575758,-0.1159420289855072,0.0338983050847456,-0.0757575757575758
