firms,chtx,roaq,roeq,rsup,nincr,sue
20482.0,-0.001208775,0.0195763012,0.0386291494,-0.00158863,3.0,5.9499257e-06
49656.0,-2.336705e-06,0.0024118109,0.0253585127,0.1079236592,0.0,0.0198164911
47896.0,0.0003492423,0.0033997373,0.0420810455,0.0496001434,0.0,0.0081430579
25129.0,-1.5244e-05,0.0036732063,0.0452117788,0.0173983454,0.0,-0.000373208
70519.0,0.0001360736,0.0014622423,0.0169797671,0.1969544545,1.0,0.0007495042
91926.0,0.0020111301,0.0150754453,0.1367901235,0.06359172,0.0,0.0173890172
30681.0,5.80138e-05,0.0148358838,0.117932456,0.0091370821,2.0,0.0005019629
52476.0,-0.00233463,0.0140580175,0.0387001336,0.0033144604,3.0,-0.000150657
35554.0,8.12253e-05,0.0033225514,0.0267432189,0.0408067764,0.0,0.0020681466
66157.0,-8.3198e-05,0.0022369919,0.0287255512,0.0645174827,1.0,-0.005614439
36397.0,-0.00032379,0.0016104195,0.0158107328,0.0532451974,0.0,-0.020778614
14558.0,-0.000980704,0.0015007022,0.0218740763,0.1271204069,0.0,-0.000497049
42877.0,-0.00505762,0.0227252777,0.0479130085,-0.034688645,0.0,-0.004214555
22111.0,-0.002603869,0.0224794716,0.057339419,-0.006029742,0.0,-0.00036821
12558.0,0.0001571608,0.0077019964,0.0174032517,-0.034366047,0.0,-0.001190635
48486.0,-0.004841228,0.0472481561,0.1080851899,-0.019232698,1.0,-0.006505062
21178.0,-0.000999423,0.0295552669,0.1822510823,0.0029204127,1.0,-0.000930572
59408.0,-0.000301339,0.0024980805,0.0275378637,0.064782437,1.0,0.0033188668
58246.0,-0.000145146,0.0020911947,0.0281719192,0.0809323064,0.0,-0.004657674
38703.0,-4.4202e-05,0.0030735695,0.0320049281,0.0534425303,1.0,0.0150626668
60442.0,-0.000176951,0.0027839135,0.0315085158,0.037051938,1.0,-0.001431366
22509.0,0.0020126509,0.0191753691,0.0559495666,0.0057573561,0.0,0.0031730883
13856.0,0.0030171182,0.0322399016,0.1748374329,0.006361061,3.0,0.0016739634
18163.0,0.0018231541,0.0374165142,0.0966500631,0.0036622532,1.0,0.0016929558
72726.0,-0.000230591,0.0014326404,0.0174351347,0.0481542066,0.0,-0.012970178
36898.0,-0.003340081,0.0051715102,0.0103456761,-0.093670266,0.0,-0.016001509
91103.0,0.0019864285,0.0155029247,0.1475665152,0.1158322445,2.0,0.0140555617
92655.0,0.0003785011,0.020848503,0.0709263779,0.0245344231,1.0,0.0012388097
84129.0,-9.0422e-05,0.0020061905,0.0331251183,0.0615228181,0.0,-0.008125655
69032.0,-1.3793e-05,0.0020671107,0.0239874086,0.0598349885,1.0,-0.001670369
75517.0,-0.003978899,0.0135426916,0.018375179,-0.028023205,0.0,-0.007517782
64390.0,0.0035816334,0.0135185641,0.0670983107,0.0341021346,1.0,0.0122370092
75186.0,-0.000690834,0.002199392,0.0302850836,0.004662838,0.0,-0.008955451
88197.0,5.32394e-05,0.0026309737,0.0272872265,0.0470439392,0.0,0.0006169928
11618.0,-0.000151273,0.0645647614,0.0874053478,0.00139327,0.0,0.0003491182
14670.0,-0.000323253,0.003538823,0.0391350953,0.0222244352,0.0,-0.003765295
81577.0,-0.000513428,0.0022262633,0.0209718529,0.0505751386,0.0,-0.013980183
92807.0,-0.000297767,0.0004807832,0.0062472843,0.0587373775,1.0,-0.032020564
79851.0,0.0001834876,0.0041358327,0.0473485033,0.0240100164,0.0,0.0079123544
11844.0,6.13773e-05,0.0037364164,0.0312486272,0.030681164,2.0,0.0020377316
75906.0,-5.7432e-05,0.0027762285,0.0290649041,0.0281132045,0.0,-0.00396466
14889.0,-0.00025814,0.0019276806,0.0182319271,0.0485003717,0.0,-0.016486925
76684.0,-0.000319783,0.0026991881,0.0274971613,0.0366304111,0.0,-0.011815361
15838.0,-0.000341972,0.0024222342,0.0294932307,0.0438204807,1.0,-0.007628219
78947.0,0.0,0.0137789436,0.0537509157,0.0005928436,1.0,0.000825602
79507.0,-0.000904649,0.036323267,0.0501502661,-0.000640792,2.0,-0.002800313
79491.0,0.0100800474,0.2339572754,-0.255634788,0.0008861703,2.0,0.0006002593
79965.0,0.0003715032,0.0032023159,0.0325334288,0.041857669,0.0,-0.000569492
85592.0,4.22344e-05,0.0080918983,0.0139833198,0.0014489935,0.0,-0.002583642
85332.0,6.32772e-05,0.0027563288,0.0270357132,0.0336240718,1.0,-0.000910268
90710.0,0.0001796656,0.0050667997,0.061995364,0.0139567258,1.0,0.0036988318
84397.0,-9.831e-05,0.003898443,0.040766492,0.0493598057,1.0,3.37561e-05
59459.0,-5.2486e-05,0.0033506672,0.0184854724,0.0347721142,1.0,-0.001340482
84636.0,6.83429e-05,0.0030246743,0.0325666136,0.0663999718,1.0,0.0045945047
84262.0,-0.008199208,0.039665951,0.0662834321,-0.059679078,0.0,-0.018897861
89323.0,-0.000441703,0.0018325283,0.0154128473,0.0361589433,0.0,-0.011013237
86004.0,0.0006562667,0.0025347954,0.0281358141,0.096129908,2.0,0.0122352652
87114.0,0.0002369973,0.0040592987,0.0435657256,0.0505097281,1.0,0.0097401235
90603.0,0.0002442457,0.0057277043,0.057108081,0.0559428144,1.0,0.0035076684
87067.0,-0.000238386,0.0025998195,0.0322151007,0.0323840187,1.0,-0.010042538
89643.0,-0.000373525,0.0010086262,0.0141444083,0.0348413738,0.0,-0.016723555
86339.0,0.000102931,0.0067875621,0.0376099915,-0.001977916,0.0,-0.003855685
86868.0,7.069436e-06,0.0013096718,0.0176662975,0.0918470035,1.0,-0.009244133
87267.0,-0.001013601,0.0130785036,0.041980737,0.0021919263,2.0,0.0020568787
89395.0,4.6829134e-06,0.0028288047,0.0226913875,0.0469382973,0.0,-0.003120189
89056.0,-7.4241e-05,0.0064000678,0.0542173656,0.0635364194,1.0,0.0061302815
89179.0,-0.0016986,0.0118074894,0.0337390394,0.0283352232,0.0,-0.003057478
89393.0,0.0001686634,0.0330087645,0.0734673355,0.0037206938,3.0,0.0016860553
90601.0,0.0003923107,0.0114588611,0.0471531676,-0.004440525,1.0,0.0
90248.0,-0.00209304,0.0925189673,-0.035443096,-0.00312107,2.0,0.0035704402
90505.0,0.0028878849,0.0170633139,0.0877598152,0.0500545946,6.0,0.017646172
92043.0,0.0002441513,0.0013848233,0.0528815706,0.1057501712,1.0,0.0075298551
92121.0,-0.000877869,0.0049463362,0.0492927252,0.0618261572,0.0,-0.014914002
92810.0,-4.1987e-05,0.0029646038,0.028181222,0.0335874227,0.0,-0.002613508
93436.0,-0.001854191,0.0204545705,0.0362409544,0.0023873132,0.0,-0.00181189
88683.0,0.0005788748,0.0214781167,0.0385438413,-0.000573662,0.0,-0.000119211
90303.0,-0.009973693,0.0514250696,0.0910089706,-0.005264676,1.0,-0.004036014
