firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
21020,0.2130213973,0.2800818482,-0.522702302,0.0105093076,1.6172236695,1.5495558254,0.177157189,0.1060976446,0.3558063558,-0.104452489,0.0246706587,0.0295272601,0.1788436268,0.2362326019,0.0295272601,41.0,-0.003059033,0.0458958517,-0.038921454,0.1564483939,0.224247582,0.0584151218,-0.1081649,0.1181147335,1.7882236517,0.4783184137,0.0,0.7339213524,-0.18591204,0.6704887909,-0.189051413,5.8986904591,28.764912281,0.2180764226,0.0,0.0,1.0,0.0,0.0,7.2449282533,4.0,0.1216875788,0.0011873865,9.9445794107,-0.01539403,1.1129692808,20461.355118,0.0730462427,16.926701368,0.0110303334,0.0190346431,0.2016985138,-0.030513344,0.1519656814,-0.0187204,1.0,0.0060049452,-0.026597291,-0.002081798,3.0,17.864513683,2.7673673785,0.0,0.0350657552,0.0226590478,0.029563199,0.4461073217,8.2813150891,5.36289e-11,7.531914e-09,1.395128957,1.9463848067,0.063965787,0.0487145387,0.3370333545,0.3419726852
11499,0.9180881403,-0.021505604,-4.567984208,0.0306230283,1.358200599,1.4105019827,0.0555292553,0.4451486009,0.2714997647,0.2912780295,0.5175280195,-0.036003332,-3.255801499,0.0485123742,0.0360033321,36.0,0.0550679837,0.3763188746,0.3958900831,-0.278562772,-0.103380892,0.3672661791,-0.381990236,0.1359212289,0.3196541297,0.2920552838,0.0,1.5418193598,-0.18738149,1.0310380434,-0.183759744,9.2987624326,3.7577164597,0.0372031847,0.0,0.0,1.0,0.0,0.0,0.5878691564,2.0,-5.631900625,0.3739180011,0.4466382164,-0.365665131,0.0371439745,-3779.876654,0.0400118084,13.017038408,0.0008950403,0.0069599827,0.0168227094,0.0852244742,0.1041165992,-0.112932968,3.0,0.0034324943,1.1542241097,0.08236808,3.0,13.353822881,1.5024003887,0.0,0.0662893876,0.0338937041,0.0379489494,0.5383382067,5.2357595117,7.3103408e-09,1.6156583e-08,1.839412033,3.3834366271,-0.004671068,0.0494398213,0.2258756499,0.4074905983
81912,1.0340706901,0.0482265758,-0.320872595,0.033485255,0.1105328323,0.5678462592,0.1099378036,-0.020006385,0.1333948756,-0.004150068,-0.288452601,-0.026661825,-0.63924755,0.0790552962,0.026661825,36.0,-0.021214114,-0.019230769,-0.116535425,0.0254706882,0.0012038159,0.1786759512,-0.154144136,-0.002574201,0.0211743825,0.617339728,0.0,9.3559195128,0.4281979382,6.6700480305,0.4696632752,1.2600405564,5.4324448362,0.5019463525,0.0,0.0,0.0,0.0,1.0,0.1536175815,5.0,45.008799628,-0.1391897,9.3277603347,-0.202348321,0.3549827321,-3103.676176,0.0587429544,14.812244309,-0.001959675,0.0124030062,0.0137287757,0.0062917497,0.4370076594,0.0025935383,0.0,0.0,0.038892142,-0.01447357,5.0,13.427222523,0.2368985742,0.0,0.0317057706,0.0146237217,0.0211006197,0.4006465789,0.5505169439,3.4154089e-09,8.5976312e-08,1.1606503259,1.3471091789,0.0422679921,0.0221394268,-0.006159081,0.2784341694
27991,0.640570591,0.0611036314,-111.6763726,0.037803153,1.4405834027,0.4884639029,0.0552290647,0.0499335873,0.0942481562,0.0036989807,0.0525166855,-0.044787315,-1.502708933,0.1529246043,0.0447873153,41.0,0.0016321431,0.006440465,0.0010914667,0.0703588114,0.0969257887,0.0418684346,0.1229905115,0.0587867481,0.0495533708,0.4507093628,0.0,0.6174204422,-0.01108265,0.4233362014,-0.080015897,88.519119733,9.5034964084,0.0926894786,0.0,0.0,0.0,0.0,0.0,0.264238546,5.0,0.143614738,-2.823635891,-211.6575512,-0.182617614,-50.61508721,737.07237144,0.0244389518,15.971992359,-0.000110805,0.0079886199,0.0263713101,0.0027459661,0.0027698825,0.0660262761,1.0,-0.001480385,-0.145540804,-0.009065745,5.0,16.099382981,1.2709268906,0.0,0.0155676976,0.0073633857,0.0124503366,0.3266601602,1.8807152005,1.349939e-10,2.1039103e-08,0.2451799983,0.0601132316,-0.065245873,0.0222876021,-0.208029808,0.2537639508
10517,0.840729763,0.0834868232,-15.60721588,0.0041968264,0.7949836175,1.9561541765,0.0920861866,0.0822319203,1.142497855,0.0015450833,0.0477847247,-0.012139838,-0.228813122,0.1025897039,0.012139838,34.0,0.0024239017,0.0241935484,0.1667806016,-0.467966545,0.0172616047,0.9609573249,0.2205024576,0.0414544025,0.1169550829,0.3904345296,0.0,1.4559573699,0.4607270512,1.3910214356,0.4674430152,85.550904003,8.4029830236,1.131269649,0.0,0.0,1.0,0.0,0.0,2.2750733334,8.0,29.857621322,-0.079778838,-0.105994145,-0.579239694,-2.400454149,-1475.402889,0.138519725,14.60835508,-0.000503247,0.0151057354,0.0271531156,0.0127459301,0.1035244882,-0.12616245,0.0,0.0009136592,0.3325354896,0.0558945346,6.0,15.462563484,2.1053605556,0.0,0.0383692682,0.0292563962,0.0283597319,0.4358941771,6.5020002253,7.609299e-10,1.0491422e-08,1.0960009088,1.2012179922,-0.098742159,0.0455114028,0.2452904094,0.3504280376
20482,0.3207111976,0.0394028278,5.0222669633,0.0221357406,0.3012063443,0.3085244443,0.0897534779,-0.000678377,0.3072804361,-0.023454363,0.0145141577,-0.008724946,-0.138142748,0.0448460427,0.0087249461,41.0,-0.001066382,-0.038961039,0.0078036252,0.0546524819,0.0414187441,0.2568935428,-0.015075468,-0.007098728,-0.014633467,0.3165338813,0.0,1.5409318528,0.0634358347,1.2580013063,0.050029304,3.3314285714,5.9698654184,0.2061834821,0.0,0.0,0.0,0.0,1.0,0.5809253925,6.0,-0.739361224,-0.147487975,0.6214293186,-0.785604066,0.9788647134,63025.469174,0.0352290716,18.09065896,-0.001903683,0.0151121427,0.0289064762,0.0028207767,0.1114207527,-0.008622108,1.0,0.0005087764,0.1182664773,0.0225891462,5.0,18.042849534,1.0998002698,0.0,0.027203979,0.0095496654,0.0166453556,0.3320760132,2.7186882687,1.699627e-11,1.5373818e-08,0.771790744,0.5956609525,0.0017756457,0.0220004286,-0.251562458,0.2102207429
10656,0.4699378877,0.0536649365,3.3326226942,0.0110676406,0.364809194,0.8621398782,0.1144251684,0.1041378268,0.3174586646,0.015370364,0.0032815001,0.0056959765,0.0844215613,0.0491344588,0.0056959765,42.0,0.0048731165,0.0,0.0211591166,-0.026072078,0.0345160122,1.2642373556,0.1156102448,0.0065560851,0.1975956981,0.472715974,0.0,3.5656178594,0.436312824,2.5736962368,0.4983281463,8.2488886263,3.098401216,0.2011616893,0.0,0.0,1.0,1.0,1.0,0.5841053298,4.0,11.713039545,-8.558985883,0.0466292201,0.6137064524,-0.1149272,-2210.737014,0.1226110697,13.262076127,-0.010235333,0.012438487,0.0226668139,-0.017231251,0.1252066467,-0.000116113,0.0,-0.000913659,7.3513525606,-0.203473943,4.0,14.083274984,2.0255695026,0.0,0.019204393,0.011768078,0.0263626562,0.2760986556,2.9362475943,1.7554021e-09,1.0560878e-08,1.6465401446,2.7110944477,0.0191673717,0.0499964794,-0.383862907,0.293243904
60038,0.7412900479,0.0822930828,1.1323990107,0.0212341559,0.6563705901,1.8850162732,0.1001329198,0.0266429616,0.5297447925,0.0173199635,-0.041198596,0.0462144355,0.774718398,0.0185391175,0.0462144355,41.0,0.0228583516,0.1287128713,0.0241554905,0.0196373409,0.0239423017,0.2772598298,0.1304046353,0.0289630302,0.0952622502,0.4887852765,0.0,4.9961461126,0.3346280316,2.0212801609,0.3025556674,45.264633141,5.6126756964,0.1752755482,0.0,0.0,0.0,0.0,0.0,1.0511058131,4.0,0.0529909963,0.1425701375,12.735950365,-0.392890245,6.4180219572,-1869.127007,0.0502102314,11.302167421,0.00120777,0.0370030581,0.0757214046,0.1158180524,0.019927813,-0.007998277,2.0,0.0087431694,3.0816954011,0.1329939049,2.0,10.338968628,0.3652130326,0.0,0.0866089165,0.0404719438,0.0493411085,0.8592730028,2.7611144834,2.0682843e-07,3.8514567e-08,0.4393638368,0.1930405811,0.4521501507,0.0341086481,-0.447399419,0.4257607683
10779,0.643621255,0.0192420944,3.1379610195,0.0,0.0855635494,0.5493885968,0.0423806786,0.0665927648,0.3567836479,0.0048298573,0.2334132694,0.1040622751,3.8203650336,-0.05426973,0.1040622751,38.0,0.1091123177,0.0594059406,-0.040328049,-0.302422354,-0.041497724,0.4967391304,-0.462599523,0.1389444655,0.0477537388,0.4437852417,0.0,6.6042692939,-0.278329962,2.7848932677,-0.514053759,6.3658170915,7.2105773896,0.4664757814,0.0,0.0,0.0,0.0,0.0,0.3970751963,1.0,45.073404142,-0.06055299,8.9373108996,-0.448389437,0.2216577057,-5154.950476,0.0587429544,11.128545211,0.0176776338,0.029797638,0.0383018127,0.1440800201,0.2007605908,-0.009217179,2.0,0.0183907599,-0.03951665,0.0330805411,5.0,10.445244822,0.2642433055,0.0,0.0309278555,0.0122101822,0.0208185606,0.8269389297,0.7311760672,3.5887528e-07,1.2916366e-07,1.1131197441,1.2390355647,-0.032592035,0.0646290114,-0.342472064,0.2784341694
61487,0.9415871464,-0.00787177,-0.884267009,0.0229176545,0.5600069642,12.003856241,-0.017748351,-0.286370278,0.0918301478,0.0,-0.505201372,-0.091611889,-20.98196078,0.1572933954,0.0916118891,42.0,-0.019896272,-0.070114943,-0.529552176,-0.041229984,0.308452651,0.3971698903,0.3694172562,-0.030881947,-0.031664095,0.7450879345,0.0,2.2012918189,0.4789870471,2.1056398618,0.4950358691,21.161759744,26.132782258,0.1637970674,0.0,0.0,0.0,0.0,0.0,0.1986323549,4.0,-94.83634016,-0.098584492,1.3506244551,-6.07655077,-0.008405152,-2250.268606,0.1242964792,12.004247117,-0.001743371,0.0143076309,0.0222466212,-0.564276216,0.3608811813,0.0012770391,2.0,-0.005763795,0.8852904531,0.0441378858,3.0,10.629947442,0.2751699067,0.0,0.0432283729,0.0218697106,0.0350284834,0.833129566,1.14816569,1.1575011e-07,6.677335e-08,1.4049288602,1.9738251021,0.1628032649,0.0600216053,0.3853180123,0.293243904
